species,occurrences,ROCAUC,PRAUC,J,MCC,cutoff
Aeorestes_cinereus,1844,0.9985280866361443,0.9978874344594751,0.9793926247288502,0.9793932007857393,0.5691256953087586
Alces_alces,6072,0.9974802669893643,0.9964517041276528,0.9621212121212122,0.9621300325345322,0.6749966599889841
Antilocapra_americana,4293,0.9990215600789782,0.997120358259811,0.9932448171441881,0.993248077703042,0.5432927708215249
Antrozous_pallidus,1680,0.9999817531179137,0.9999819405076145,0.9976190476190476,0.9976218753494592,0.5320946882963555
Aplodontia_rufa,415,0.999976774568152,0.9999767182643197,0.9975903614457833,0.9975932576417643,0.2147194094865607
Bison_bison,1335,0.9936164064582194,0.9845407570558089,0.9640449438202245,0.9640979585617601,0.5574756287668723
Blarina_brevicauda,6495,0.9994954370656411,0.999093628211768,0.9909160892994611,0.9909223023992677,0.49635217974097073
Callospermophilus_lateralis,3649,0.9994908450875057,0.9993879316756982,0.9947930939983558,0.9947940278882148,0.645141280813278
Callospermophilus_saturatus,212,1.0,1.0,1.0,1.0,0.48204541392148925
Canis_latrans,16686,0.9976763685516385,0.9961193902866917,0.9797434975428503,0.9797992488415658,0.6178653186736858
Canis_lupus,4775,0.9570233052822016,0.9542251746448218,0.7698429319371729,0.7715450213034012,0.5719074137804961
Castor_canadensis,11031,0.9973529120482201,0.9966542041787889,0.9626507116308587,0.9627175677120803,0.6581155740258495
Cervus_elaphus,4450,0.9984052771114758,0.997911160600967,0.9791011235955058,0.9791349692953099,0.539303793011254
Condylura_cristata,1385,0.9987060954788931,0.9973711438568659,0.991335740072202,0.9913398744858051,0.38245280335180765
Corynorhinus_townsendii,1492,0.9988634648419811,0.9972316904511287,0.9926273458445041,0.9926293524519516,0.5763580028542657
Cryptotis_parva,1623,0.9981680851621163,0.9898653308370489,0.993222427603204,0.9932316656811325,0.4349744576784988
Cynomys_ludovicianus,1475,0.9999253088193047,0.9999251188044916,0.9925423728813558,0.9925426009865475,0.4734884548549418
Dama_dama,86,0.9944564629529475,0.9934293484783492,0.9767441860465116,0.9770084209183945,0.1639936354932544
Dicrostonyx_groenlandicus,314,0.995486632317741,0.9887702660991136,0.9777070063694269,0.9777516327514202,0.2699239615204687
Dicrostonyx_hudsonius,62,0.9845213319458898,0.9888348471290721,0.903225806451613,0.9074852129730301,0.4399781038212047
Dicrostonyx_richardsoni,18,1.0,1.0,1.0,1.0,0.5544500845423601
Didelphis_virginiana,10966,0.9995296173349497,0.9993261657771327,0.9944373518147,0.994437554418302,0.7698385244286627
Dipodomys_ordii,4015,0.9993963793929677,0.9990265873056908,0.9952677459526775,0.9952680237842048,0.4941548838203443
Eptesicus_fuscus,5326,0.9989252202157238,0.9975918435583939,0.9836650394292152,0.9837338636959526,0.6084445758342724
Erethizon_dorsatus,6555,0.9977216197393295,0.9973498576251364,0.9585049580472922,0.9585763497053905,0.5677232362804492
Euderma_maculatum,83,0.9994193642038032,0.9994121521122045,0.9879518072289155,0.9880235200593537,0.27646413650817203
Geomys_bursarius,1750,0.9999763265306122,0.9999762438114772,0.996,0.9960079680956173,0.49604565552532387
Glaucomys_sabrinus,1747,0.9989619951972619,0.9989757917000368,0.976531196336577,0.9765671942101961,0.5304203906913817
Glaucomys_volans,1974,0.9995816947572751,0.9992209012728794,0.9964539007092199,0.9964550514464946,0.4093050862063752
Gulo_gulo,1375,0.9952944132231405,0.9926080868145312,0.9556363636363638,0.9558793300618569,0.47026302074278364
Ictidomys_tridecemlineatus,2346,0.9983702829143074,0.9951337494317687,0.9884910485933505,0.9884918568136826,0.5815794778163912
Lasionycteris_noctivagans,1512,0.9983148480585651,0.9979429135975315,0.9847883597883598,0.984814422040312,0.5367487829953158
Lasiurus_blossevillii,249,0.9992580764826373,0.9992162865810967,0.9919678714859437,0.9919678714859438,0.4926874556717686
Lasiurus_borealis,2378,0.9982563744897331,0.9926389412694763,0.9865433137089992,0.9865436626264437,0.6069868669344767
Lemmiscus_curtatus,809,0.9997807422980958,0.9997890772778378,0.9938195302843016,0.9938202895276328,0.6212562622466062
Lemmus_trimucronatus,439,0.9956413675728126,0.9954207961239783,0.9681093394077449,0.9681093394077449,0.5648232452613254
Lepus_americanus,4157,0.9961095500521999,0.994130894351055,0.9417849410632668,0.9419262352897118,0.5777317725486854
Lepus_arcticus,177,0.9937757349420664,0.9926519491217982,0.9548022598870056,0.9550461663341012,0.44248121122236794
Lepus_europaeus,99,0.9960208142026323,0.9971537518977072,0.9797979797979797,0.9799979793876926,0.5778942923584764
Lepus_townsendii,1118,0.9998899933115932,0.9998892329702131,0.9937388193202148,0.9937423970168077,0.6123492796240336
Lontra_canadensis,6068,0.9973425219518278,0.9959718822422914,0.9584706657877389,0.9584894605853375,0.5494672556980937
Lynx_canadensis,1338,0.9955517236756555,0.9951649460531502,0.9603886397608372,0.9605069503526329,0.5224743711572899
Lynx_rufus,9260,0.9980438344630054,0.9966598795804872,0.9780777537796976,0.9781382650350893,0.6691224598509693
Marmota_broweri,37,0.9985390796201606,0.9985957617536565,0.972972972972973,0.9733285267845752,0.47679575352057957
Marmota_caligata,941,0.9997216202267467,0.9997222332153076,0.9861849096705633,0.9861899214843947,0.5455220271651564
Marmota_flaviventris,2366,0.9995579636567347,0.9996301736884217,0.996196111580727,0.9961962005592975,0.5227434495943583
Marmota_monax,7694,0.999471853909842,0.9986687786194259,0.9837535742136729,0.9837542472483299,0.5864281790719933
Marmota_vancouverensis,23,0.998109640831758,0.9981490233144297,0.9565217391304348,0.957427107756338,0.044941034552050674
Martes_americana,1742,0.9958470145958365,0.9899240093440186,0.9598163030998852,0.959818833466946,0.547033520551386
Mephitis_mephitis,8328,0.9989850997433747,0.9981626437503635,0.9853506243996157,0.985381569200789,0.6256488317547143
Microtus_chrotorrhinus,154,0.9996626749873503,0.9996716685459414,0.9870129870129869,0.987096233585649,0.5193760967074348
Microtus_longicaudus,2881,0.9995982005650252,0.9995908592177847,0.9864630336688649,0.9864635684882813,0.5010877822977963
Microtus_miurus,244,0.9981775732330018,0.9984003848633541,0.9754098360655739,0.97554093072863,0.4544365011862187
Microtus_montanus,1865,0.9994278690999002,0.9978145645134918,0.9946380697050938,0.9946403574041386,0.6340016405503823
Microtus_ochrogaster,1376,0.9980606070849108,0.99352165488679,0.9811046511627906,0.9811139784889843,0.4807167559278883
Microtus_oeconomus,1063,0.9969941653266594,0.9964768081680468,0.9727187206020695,0.9728431353626527,0.5094248938516555
Microtus_oregoni,415,0.9975642328349543,0.9987531496968192,0.9903614457831327,0.9903729467696014,0.22320689046549114
Microtus_pennsylvanicus,6136,0.9930926939182954,0.9929387162992016,0.927477183833116,0.9280260327549155,0.5637777526462608
Microtus_pinetorum,1045,0.9994267530505253,0.9993847255165258,0.9952153110047846,0.9952194120982413,0.53850362835865
Microtus_richardsoni,283,0.9964914033138135,0.983788195578416,0.9929328621908127,0.9929576588559564,0.458652860413581
Microtus_townsendii,352,0.999701381714876,0.9997294614300429,0.9971590909090908,0.9971631148515255,0.526736758338279
Microtus_xanthognathus,165,0.9920110192837466,0.9779120307059347,0.9515151515151516,0.9517948752272215,0.2867588779000829
Mus_musculus,4591,0.9984618746602089,0.9970501926744939,0.9747331736005229,0.9747821052133236,0.6746894843779404
