longitude,latitude
-110.41928,44.879326
-112.181725,37.551797
-110.397496,41.323642
-104.327204,40.634449
-113.387055,39.878183
-107.558912,44.032419
-120.325816,40.499094
-104.652721,36.171245
-103.48652,46.979297
-112.214557,40.958085
-110.588012,51.080191
-110.399405,44.919641
-104.379585,40.681444
-109.769058,34.953513
-103.863029,40.7873
-103.756314,42.568303
-104.069542,40.576199
-114.794633,44.026365
-103.358887,43.741872
-102.700475,36.997242
-103.144708,30.290665
-105.717514,41.176405
-103.133395,30.294089
-101.864892,36.646493
-103.441186,43.887463
-119.66153,42.552547
-113.978484,28.037992
-106.274054,37.536571
-104.629517,36.449055
-105.786815,39.391567
-105.488444,34.676469
-109.862822,41.54382
-106.700164,47.449245
-112.981627,35.27416
-114.163383,47.34382
-110.588454,44.427968
-111.65,35.39
-115.322105,38.052597
-104.220407,40.640018
-104.729056,40.683912
-110.04457,46.679659
-120.249587,39.727593
-108.042808,47.920433
-105.568135,37.672393
-110.655768,49.348956
-105.034372,35.74165
-120.368438,41.710249
-119.07181,41.88179
-112.237637,41.037032
-116.13611,43.458307
-107.296085,44.997061
-109.24447,44.415503
-108.27807,34.305457
-108.693926,49.566167
-103.345001,43.712502
-103.771769,43.993948
-103.105669,35.629088
-107.426371,45.569231
-101.227611,47.50213
-106.691177,42.978149
-104.27801,36.92479
-107.551782,34.092421
-114.030022,46.682808
-104.69949,38.791955
-111.282413,50.554629
-110.259401,44.905207
-118.038952,45.298517
-111.505754,31.57172
-106.239658,45.449817
-109.839592,42.816307
-104.61812,41.449937
-119.110401,38.300723
-107.290284,43.075968
-104.810105,41.067689
-105.527762,50.425318
-112.278809,34.618505
-106.176617,41.008286
-104.645626,36.553176
-110.166693,44.86904
-104.745422,34.034002
-104.84796,36.093677
-108.069695,38.788824
-109.380548,33.925717
-109.927656,41.935173
-103.891596,41.743127
-111.488267,31.553276
-110.379035,44.911792
-110.691396,43.608728
-106.362617,39.192978
-104.073669,41.187328
-112.709435,45.295798
-111.897448,50.703755
-114.092288,44.298099
-104.829675,39.078342
-103.996075,40.794101
-110.757896,44.273759
-109.955841,50.659353
-104.724425,30.7737
-102.991835,36.926343
-104.056122,44.811975
-103.446862,43.681556
-112.258286,41.030075
-103.492329,36.828742
-105.570374,41.626444
-110.61266,31.719358
-112.237616,41.03696
-100.746211,36.244515
-112.771328,51.850919
-110.513707,43.827999
-109.767151,34.957996
-111.677728,52.178362
-103.370325,43.761568
-105.512922,34.667153
-110.551087,43.866623
-112.739692,51.589986
-118.765529,34.774818
-110.588455,44.427963
-109.858763,41.677203
-107.880933,31.01714
-120.06433,43.635845
-110.724572,43.740406
-109.196945,41.232182
-104.91607,50.263162
-103.361397,43.64822
-110.506752,43.818991
-107.22837,38.420981
-114.739801,43.877749
-114.057407,27.252003
-117.25969,39.29379
-103.406324,43.614061
-110.110823,42.401657
-103.48443,43.543323
-104.007249,36.731759
-108.881333,43.2355
-110.728782,43.747826
-104.211887,39.39557
-104.523255,38.843765
-112.113171,36.099772
-121.885455,42.018668
-102.339691,43.85538
-104.695225,38.75068
-109.853653,34.815249
-112.043961,40.7841
-120.102599,35.414332
-121.940324,41.931517
-104.581142,36.558461
-102.12901,43.80004
-107.776261,42.484976
-107.562951,49.242703
-104.677113,40.721147
-118.984171,43.293505
-104.231597,30.195097
-110.765481,44.648718
-106.400173,49.872997
-111.356321,50.505406
-102.810771,36.881896
-102.261804,48.970464
-103.532538,46.966841
-103.409694,43.65909
-110.652569,43.669371
-119.867906,35.208325
-107.514302,49.087073
-109.781667,38.870122
-105.638359,42.798843
-112.023983,40.203226
-111.723447,44.61433
-104.598063,36.573385
-103.429035,43.629192
-103.354568,43.67498
-101.8415,46.55415
-109.009152,43.228988
-104.196889,40.716546
-107.200718,40.498404
-103.023945,36.435355
-110.234136,44.889714
-106.576697,46.266274
-111.99493,40.249698
-102.745564,37.011204
-103.319126,46.924653
-109.897567,44.509956
-106.474167,49.087467
-119.145412,38.162607
-107.131064,34.023153
-103.014787,30.376495
-103.982714,30.542253
-104.601539,40.693657
-109.752301,34.853577
-105.849762,33.642375
-105.836506,41.237173
-103.718462,33.402187
-110.703758,44.973451
-112.269267,43.953745
-120.24939,39.733687
-109.808819,42.905064
-117.607802,38.878911
-120.968864,43.128442
-104.088066,40.727371
-120.249393,39.733687
-109.927656,41.935173
-109.61988,50.892773
-113.638616,43.960818
-114.785842,43.414945
-107.48711,34.008777
-103.719353,36.634388
-112.095905,40.305476
-121.028747,41.207491
-103.35315,43.73195
-104.944641,35.843506
-110.146476,44.833736
-110.253895,50.930413
-102.236912,40.617009
-106.840447,49.758488
-119.601431,42.568911
-110.681763,43.790428
-120.983163,41.170703
-110.50492,44.927934
-110.584263,31.781196
-120.65673,40.659682
-110.326159,43.965567
-111.679543,45.217228
-103.987456,30.458825
-104.608104,39.651876
-114.824338,43.342766
-110.629771,43.655888
-110.474617,43.820548
-103.160371,30.282637
-112.260533,41.035859
-105.885881,51.129649
-120.088203,35.461786
-100.963181,46.762978
-112.223123,41.003347
-103.39606,43.770897
-107.520687,49.179167
-105.702663,41.171477
-105.710329,44.249461
-109.442368,40.897944
-109.906073,41.894847
-110.664064,43.639797
-118.582297,43.28056
-114.21932,47.328632
-107.640993,34.104106
-114.88586,39.900489
-112.707413,38.710695
-112.225808,41.030225
-110.588455,44.427963
-105.780774,39.389645
-106.427298,40.216623
-109.705718,50.892442
-103.387312,45.857482
-110.525457,31.958673
-110.681763,43.790428
-111.032978,42.409604
-100.31521,30.482988
-104.537812,34.063728
-109.791626,35.10217
-110.202929,44.871705
-109.949686,31.828458
-112.214557,40.958085
-109.780038,35.067881
-107.260287,40.595754
-119.647166,42.550301
-112.243662,41.053417
-108.066014,38.793346
-103.704586,39.06783
-103.411777,43.656349
-110.239712,44.898433
-119.596358,42.573563
-119.726592,34.968367
-110.639316,31.780378
-110.588455,44.427963
-106.79299,49.757302
-110.674079,43.682365
-110.670062,31.768598
-109.317341,40.19322
-109.040787,39.278858
-110.096917,49.784399
-121.516145,41.823892
-122.199797,39.444611
-107.751488,41.723372
-104.609141,38.254372
-114.05608,39.179806
-117.049108,39.213182
-105.462779,41.021679
-111.713915,35.16703
-103.353765,43.73231
-103.961068,30.546392
-110.701774,45.014392
-110.650625,31.717894
-105.72216,38.957893
-103.47765,43.711564
-105.965457,43.837702
-117.880525,42.5147
-104.822056,40.76704
-104.574094,38.19676
-110.514897,43.858978
-111.643906,49.133573
-108.110372,43.235792
-118.955259,45.188555
-103.498192,43.603276
-110.676476,44.084079
-110.120003,50.580002
-115.0,55.0
-104.660797,36.18568
-104.4679,40.6389
-110.338667,44.902444
-111.621343,49.15959
-112.148867,37.650869
-106.663485,35.078382
-107.51153569443221,33.035228606229985
-107.51153569443221,33.035228606229985
-106.180617,38.821524
-103.594711,46.899727
-103.623092,30.316274
-104.07383,39.845845
-106.060357,34.704197
-112.766389,39.934176
-109.228996,31.934401
-103.504997,41.2356
-105.7167,41.55
-110.725895,43.724485
-103.356538,43.676981
-111.620763,49.089341
-110.368072,44.910972
-116.8582,37.995537
-112.82242,41.967362
-109.871433,34.812257
-100.258277,44.210853
-105.812903,41.194285
-104.205398,38.682424
-112.242812,41.05483
-109.310242,38.879875
-108.263987,43.651308
-110.600181,31.679991
-109.110035,39.318899
-102.330322,35.228737
-106.907393,42.134969
-109.056531,44.526342
-115.970512,43.21492
-113.467153,31.985126
-111.173252,50.234535
-107.863426,44.508584
-104.710201,38.751139
-103.993663,30.302798
-106.344816,42.170201
-109.586819,34.034645
-103.43524,43.741528
-104.501042,36.755707
-104.519195,40.753945
-119.115288,38.313634
-104.735787,39.665882
-115.243765,37.941092
-110.598918,31.697733
-110.231201,44.88916
-109.645653,40.133303
-104.460937,38.979803
-110.312709,44.938156
-110.299966,50.265301
-121.077693,40.733052
-106.301214,40.677025
-112.241958,41.036225
-105.292872,40.899248
-104.593163,33.940409
-110.429419,41.183774
-104.569288,41.144991
-104.947299,35.842198
-104.410944,40.660846
-104.79241,40.840852
-112.163002,37.666894
-104.069154,40.611531
-105.760771,41.221688
-116.072899,43.440613
-112.288215,34.657033
-104.328395,43.174016
-103.931523,34.415016
-120.765931,44.337662
-106.55081,49.951703
-102.419482,48.66404
-113.976761,28.040659
-120.28736,35.924342
-103.168854,29.829735
-104.339942,33.353911
-103.873892,30.603814
-106.40856,40.07257
-103.258824,30.170434
-112.345343,34.68364
-106.554912,49.016006
-112.277489,34.618868
-103.045612,30.213233
-105.249832,40.82774
-111.210616,49.911167
-110.325592,44.913461
-112.040505,40.784308
-117.970081,45.438306
-112.97002,35.302663
-104.943367,36.13778
-107.76828,41.717108
-109.720459,44.455065
-114.256793,47.371559
-112.004285,35.177644
-103.923558,30.550865
-104.14645,50.10538
-114.209756,47.362961
-111.505222,31.571369
-105.95861,39.032974
-108.199997,44.983334
-106.883331,34.883331
-104.800003,27.0
-110.346108,49.929225
-114.8331,44.005414
-103.452758,43.685875
-110.16495,38.995117
-109.806154,41.545626
-109.539769,43.449132
-111.973785,39.905099
-104.698546,44.588646
-110.741409,43.73797
-103.169785,30.212087
-112.694964,43.32921
-110.588455,44.423624
-113.532975,43.546045
-115.965648,43.113737
-111.101931,49.78595
-115.255005,43.337008
-102.666714,37.206943
-113.570116,38.118068
-104.339966,40.708035
-104.501008,36.650708
-103.358917,43.739028
-112.636249,39.331261
-113.054048,37.740476
-107.899246,41.127739
-108.939991,44.42452
-105.373677,42.953339
-120.984656,40.587339
-105.40749,45.443881
-100.963197,38.83832
-103.449954,43.562041
-110.707109,38.573697
-105.211045,29.834116
-115.299745,37.950303
-105.064733,40.95535
-120.865863,41.175953
-110.174261,44.863067
-110.706916,43.76775
-103.989763,30.300477
-108.597676,47.05773
-120.39093,39.643239
-111.555575,49.091717
-103.941809,38.899934
-103.376922,45.888344
-110.355772,44.908712
-108.927815,49.261667
-108.130273,44.541665
-114.532498,39.712206
-111.963337,40.330566
-103.420536,43.652111
-112.20717,40.957998
-104.734419,39.455267
-119.207366,44.410661
-110.595738,43.744522
-108.520203,50.666872
-109.446475,50.850997
-108.081714,43.236368
-104.687148,38.756742
-106.368056,42.7375
-103.441564,43.572439
-103.420815,43.65095
-102.853109,36.414449
-101.382,35.4575
-119.824047,35.172281
-103.431554,43.799072
-105.97699,41.432991
-103.127119,36.424378
-112.562747,49.581611
-103.614383,30.390766
-101.678832,35.555293
-110.76488,45.05309
-111.359023,47.686672
-106.185368,37.815183
-109.12571,49.177836
-104.13214,50.10535
-107.663515,41.149431
-100.847651,38.62063
-109.808784,42.906052
-114.736947,39.484478
-114.4186,39.285453
-105.783057,50.468622
-112.167695,37.628316
-105.494093,50.571543
-105.228085,34.592433
-120.54905,40.933453
-110.64569,31.707862
-109.965043,52.508885
-119.811218,39.949398
-120.887794,40.710897
-107.654572,49.261745
-110.095383,39.191079
-110.153435,44.877878
-103.506698,46.957437
-102.158661,43.81675
-110.504093,43.805118
-104.193092,30.751101
-116.19075,42.051316
-105.542218,38.931841
-110.456841,31.712469
-112.393303,53.075992
-103.347194,43.690946
-106.821985,44.416269
-104.588045,36.68242
-119.804229,35.179734
-109.568857,50.659667
-104.692564,38.743658
-110.668213,31.769045
-115.315979,37.974262
-107.258646,41.454408
-120.094392,41.891465
-103.420124,45.7524
-106.001467,45.500457
-104.123378,41.172781
-110.663762,43.634912
-112.213197,41.005766
-102.034478,35.69257
-109.22,31.611617
-106.859253,43.034561
-103.441564,43.572439
-120.200572,40.293731
-114.375219,27.637589
-110.028151,49.17681
-114.53116,39.04231
-103.704015,42.51484
-109.273999,40.189759
-103.355389,43.73323
-120.355256,35.815375
-114.059763,27.250899
-104.717846,43.698388
-109.780982,35.065676
-112.98133,35.252047
-112.215042,41.016358
-107.604218,49.187902
-103.365898,43.748033
-110.819855,45.152961
-108.516661,46.336846
-107.578468,49.239569
-103.765812,42.42484
-103.607712,29.603173
-110.686276,31.662365
-107.257813,40.64914
-110.44235,49.973105
-103.939212,30.523448
-112.877406,35.325561
-118.802471,38.380422
-104.506546,40.767518
-114.439,38.688
-112.217788,41.007283
-109.365821,49.982259
-109.2331,34.084751
-110.174261,44.863067
-105.22906,34.586126
-109.382799,34.18844
-107.728129,43.072297
-103.488033,43.559502
-104.630448,36.393016
-114.12264,38.65756
-110.70078,45.025343
-108.034806,47.918803
-106.2696,40.709884
-104.365205,30.531273
-102.286913,42.886838
-110.396618,44.916065
-103.102752,30.212283
-105.977801,41.770956
-107.273521,41.28631
-103.094116,30.212772
-109.844667,43.52085
-111.624277,45.122259
-105.635388,38.977342
-102.616196,28.774742
-112.708642,45.410968
-110.664365,49.878286
-106.880836,40.103942
-110.707695,45.028648
-102.230561,43.893036
-110.242633,44.463168
-109.938312,44.678705
-105.727242,50.36733
-103.108122,30.318737
-106.278682,37.796393
-110.66358,31.772292
-99.946067,43.841045
-103.888192,46.046594
-108.069367,38.792068
-110.385846,44.905735
-107.104721,34.057466
-110.584263,31.781196
-104.641034,38.941867
-106.126707,34.823768
-115.716393,42.917568
-120.086144,35.40299
-104.026046,30.300031
-112.774619,44.027274
-112.811596,49.610707
-114.20898,38.648299
-112.243592,41.040781
-110.216832,44.881193
-103.488979,36.82878
-112.822425,41.967337
-118.996828,44.132053
-119.918518,35.248984
-110.424708,45.640191
-104.866571,41.160949
-109.833539,41.877798
-119.655548,42.549207
-107.82423,43.170227
-101.589203,47.420403
-107.413599,43.137698
-111.992965,40.294024
-113.579892,44.207691
-110.534912,31.681786
-112.2409,41.055927
-110.672107,43.68921
-117.227079,44.240285
-108.715318,49.573252
-106.008438,35.535367
-103.8422,30.2725
-118.749699,43.069611
-105.285908,34.589116
-112.482019,34.757194
-109.635237,42.604891
-105.638359,42.798843
-106.876307,43.033985
-112.199507,41.023842
-109.783142,34.931858
-106.482843,37.057698
-102.950095,37.146609
-110.587868,31.740914
-110.726528,43.730032
-110.638332,31.699801
-108.715208,49.57359
-105.406808,33.885331
-103.941124,42.830927
-113.781103,32.633538
-121.118769,45.24588
-110.680959,31.703503
-110.555454,44.960043
-104.627157,40.643094
-112.519142,34.772867
-110.655488,31.683697
-109.677038,34.953762
-104.605338,36.069197
-121.873422,40.944325
-112.183614,37.606932
-102.993216,36.98531
-115.201306,37.859174
-103.697767,30.424818
-106.303833,42.842383
-110.346515,44.907788
-120.315198,39.755832
-109.143241,49.247149
-105.107192,42.972194
-103.96323,36.743173
-110.624775,31.752591
-107.290284,43.075968
-111.540526,46.481075
-103.877551,30.573492
-113.80687,35.962295
-120.282789,44.158027
-107.258453,49.436686
-102.95699,36.97806
-105.78581,41.463432
-106.509747,41.798574
-99.32677,38.879178
-106.509747,41.798574
-99.32677,38.879178
-110.137447,35.392671
-106.509747,41.798574
-112.601361,31.902969
-114.235679,27.146784
-110.137447,35.392671
-107.548278,42.990348
-103.506783,30.009358
-103.762869,41.594087
-118.977717,43.81846
-110.635206,44.446002
-118.74635,42.313288
-110.832172,39.292784
-104.378039,36.908518
-116.123937,42.12701
-113.093098,37.692039
-107.423762,42.124797
-106.026068,34.166227
-110.584263,31.781196
-111.053727,41.434204
-110.722162,43.722732
-104.521592,50.019153
-110.418656,44.916623
-105.594339,41.638448
-104.003281,40.752765
-119.069622,43.028392
-111.377249,50.368098
-104.05199,42.504522
-112.227917,41.032403
-105.874428,41.425788
-110.482426,49.916674
-104.0244,30.2909
-104.354253,40.682991
-99.901813,43.969515
-117.534103,40.485397
-102.368217,43.906533
-107.259258,44.002576
-119.021187,44.205005
-107.486525,49.09017
-113.152383,39.899769
-104.247453,32.089089
-120.416202,44.143747
-105.0766,40.915328
-110.392902,44.909294
-119.601431,42.568911
-115.968583,43.237829
-118.642425,38.54272
-104.711472,34.46628
-106.709562,34.31849
-110.112788,50.823242
-110.628591,31.4571
-112.069387,40.801173
-120.375977,41.743043
-105.327872,41.208333
-110.709153,43.704022
-103.95476,36.746453
-116.804086,39.23737
-110.666324,31.77173
-103.299749,46.959833
-107.50046560235863,42.99986605911755
-110.68056173656919,43.67983893476366
-110.3836,41.3167
-104.99247,39.677875
-105.9686,42.8495
-106.4097,48.8581
-119.964823,44.80134
-106.0667,41.9167
-101.147398,38.916937
-106.0667,41.9167
-119.6,42.5
-103.364441,43.66674
-112.210735,41.012703
-120.045796,42.993984
-114.931224,44.193879
-112.260991,41.03836
-111.800473,44.087243
-109.748922,49.233167
-105.609,41.3015
-110.335443,44.955671
-105.850533,33.642588
-110.566156,32.279058
-103.54763,45.427533
-110.310931,44.938496
-110.568122,44.407039
-112.19377,41.013904
-105.726724,41.532387
-110.726455,43.734112
-104.014161,30.636552
-111.919058,49.260986
-112.494039,45.006987
-112.10535,40.777701
-114.831826,43.989118
-110.490082,44.622822
-104.76154,40.768518
-105.901642,42.065822
-114.028818,27.970908
-110.309875,44.92112
-106.25674,41.897769
-104.00344,34.296279
-104.187456,36.174385
-110.27967,50.343813
-104.240245,48.968518
-109.299275,41.642409
-120.551949,41.454049
-104.484722,48.483561
-104.875133,40.639889
-103.690472,42.447494
-110.565984,44.591523
-107.223548,43.99324
-112.262979,37.720809
-110.266202,41.95925
-107.32789,42.378158
-102.220272,35.870883
-117.046967,38.09566
-110.26371,43.815359
-106.326884,42.829369
-104.761363,39.5186
-104.7378,39.664555
-119.831084,35.155513
-103.391527,43.693435
-117.427611,37.055561
-103.411591,43.617196
-110.783222,41.860693
-103.741353,42.413153
-104.002789,47.63038
-122.356957,41.765591
-109.29056,40.187576
-105.558836,39.056277
-104.563883,37.785282
-110.629001,43.80633
-108.173789,34.645656
-119.825462,35.163508
-119.651074,35.067629
-107.609384,34.06797
-108.865531,31.438036
-102.071405,30.209907
-109.882045,41.685639
-104.558411,40.606086
-104.61758,37.39924
-103.348335,43.724361
-114.247661,47.342925
-111.520157,31.583758
-110.377321,44.912402
-110.318,44.918
-105.027389,41.207712
-110.825297,45.153181
-115.13306,38.388818
-119.842776,35.176701
-105.193729,41.09577
-101.798251,43.837356
-110.428199,31.703265
-112.174243,40.935397
-104.001275,34.466738
-109.806154,41.545626
-112.191778,41.013715
-110.126014,43.583278
-103.458248,43.640385
-110.01041,32.615999
-105.665131,39.067181
-105.122161,49.367758
-104.38746,40.683858
-110.344411,44.907527
-110.330418,44.910674
-104.433905,40.639504
-104.433906,40.639414
-104.399811,33.475842
-103.963875,40.807911
-112.166809,37.633129
-110.697931,44.972411
-104.783412,40.812169
-105.799671,41.200668
-110.85,49.16667
-113.19008,41.99216
-104.696776,40.72506
-104.467973,40.638956
-111.994629,49.396675
-110.344411,44.907527
-110.330418,44.910674
-110.170545,44.868247
-112.394477,49.728811
-120.39093,39.643239
-108.980767,39.24594
-117.710456,39.043361
-105.638219,49.329119
-108.646483,42.427958
-108.750175,46.952597
-112.147317,35.314195
-110.381453,44.905603
-109.968767,46.009601
-103.371172,43.756619
-108.50069,45.783286
-108.383497,41.637223
-104.354253,40.682995
-110.17917,49.618665
-112.199988,41.02617
-106.874727,49.074837
-109.475131,42.044678
-106.291121,40.805276
-104.085939,40.694733
-104.430764,36.894537
-110.701942,45.027853
-110.934477,39.221607
-121.610521,41.87395
-112.207875,37.60478
-112.204513,40.995603
-102.721415,37.147667
-112.643488,35.299701
-103.660989,46.860681
-110.368072,44.910972
-109.976913,38.843738
-104.734419,39.455267
-110.78288,45.083216
-104.627879,36.298027
-106.60467,41.737197
-110.029741,44.641689
-116.877717,37.999345
-103.980649,30.534828
-108.093522,50.863377
-105.087233,40.951553
-104.981452,40.877005
-110.598822,44.958799
-110.690303,44.978272
