longitude,latitude
-83.545519,35.658008
-105.753853,40.424781
-113.960269,46.877589
-122.186936,48.706722
-122.981314,38.140521
-105.630697,40.314049
-105.607363,40.323438
-110.409529,44.915131
-98.713748,32.677875
-113.961858,46.874284
-112.140111,36.054445
-110.701025,44.968393
-104.937711,37.153484
-110.963212,44.662563
-110.698179,44.976109
-110.699342,44.977064
-115.928056,51.496846
-110.444985,44.941549
-107.511692,44.641236
-123.852204,40.837397
-110.168227,44.584671
-104.921241,36.886582
-124.196903,48.872214
-118.060757,52.887676
-110.600303,43.668792
-121.983603,47.548034
-105.684944,40.329983
-108.821401,41.777506
-123.923546,46.032131
-105.703754,38.41957
-105.755254,32.919973
-123.997772,48.811325
-123.980911,49.644799
-114.145539,39.321658
-117.940852,45.246433
-122.93128,38.03304
-112.123003,36.029447
-105.713775,40.395905
-113.959671,46.877877
-123.958703,45.88772
-124.08185,41.796741
-83.385511,35.579401
-124.036518,41.325137
-119.244635,35.236766
-105.670693,32.88914
-105.737627,32.954618
-96.388794,41.047079
-116.111723,51.381298
-115.336155,51.082065
-124.067321,41.403598
-124.067437,41.383083
-110.701317,44.976762
-105.521155,40.377133
-122.800577,38.203601
-110.289262,44.539092
-109.383574,33.939711
-123.788788,45.108128
-110.961079,44.652299
-124.088087,41.22373
-123.918565,46.002373
-105.752384,40.429715
-103.52375,46.928703
-106.479109,35.824311
-112.08356,36.05255
-110.745292,44.650003
-124.035408,44.454702
-115.731583,36.421248
-105.572721,40.400741
-112.112732,36.106815
-110.698417,44.977711
-115.983903,50.539485
-111.910858,36.013561
-110.550943,43.856643
-121.854788,37.597472
-110.523099,43.857563
-105.799446,40.434765
-107.74374,49.599672
-124.041969,43.694867
-102.167871,49.814496
-121.123157,37.072948
-98.107421,30.538657
-124.042305,41.321512
-122.95692,47.718769
-115.570807,51.178397
-105.680803,32.961728
-115.570807,51.178394
-105.626725,40.400608
-123.923176,47.861336
-110.247067,44.341688
-83.377357,35.44039
-105.189919,39.904189
-117.979086,52.830317
-104.986364,36.891114
-105.80047,40.428128
-115.137525,50.944246
-83.413752,35.769162
-105.742211,32.950514
-122.925334,38.27073
-105.317215,39.633321
-110.70564,44.972165
-122.922508,38.012077
-112.54414,44.004739
-110.588455,44.427963
-110.503689,44.719208
-111.019797,42.400453
-110.588454,44.427968
-105.604562,40.35662
-105.522611,40.374256
-113.475917,49.050389
-121.843933,45.763997
-105.709619,40.403297
-110.469834,44.668319
-112.18808,37.606972
-106.476748,35.839262
-115.514137,51.210337
-78.638359,41.725651
-124.059799,41.286369
-83.192284,35.631544
-120.932037,37.061655
-105.599193,40.350642
-121.844521,37.500145
-110.901687,44.643242
-124.088105,41.22403
-105.74823,32.948955
-78.506821,41.362939
-122.825905,38.161429
-110.693475,44.994183
-83.362825,35.59799
-105.520463,40.377173
-105.694812,32.960512
-83.254287,35.586757
-110.937774,44.648418
-78.395728,41.290863
-105.273744,36.784303
-123.980911,49.644799
-124.059799,41.286369
-112.132661,35.701562
-107.675729,36.914285
-124.02768,41.348794
-125.671875,49.43555
-83.227099,35.483268
-102.921506,37.031267
-124.1075,41.2025
-110.724275,43.51538
-83.326285,35.518302
-123.935059,47.860321
-112.12697,36.057343
-110.712698,45.035722
-119.92788,35.039803
-110.661706,43.9814
-105.587219,34.258454
-105.692652,33.178475
-110.705313,45.027683
-124.025554,41.357082
-123.55513,45.70755
-83.255031,35.446487
-118.100792,52.865394
-112.817217,53.646574
-110.362566,46.879682
-105.710021,32.957827
-105.56163,40.36855
-84.230894,36.254671
-105.811733,32.960495
-105.744935,32.932956
-105.740718,32.946147
-121.771295,37.322899
-110.93318,41.25998
-110.588577,44.428191
-122.900524,47.686138
-124.021098,41.386412
-122.917549,38.00038
-123.975115,46.208885
-83.328888,35.436395
-122.921281,38.230283
-105.44319,40.123887
-103.76694,41.653771
-107.002403,34.012972
-112.110764,36.048797
-111.65037,35.277938
-118.047462,52.914988
-110.588454,44.427968
-115.546369,51.168945
-83.356316,35.560857
-110.74567,43.649429
-124.212767,40.697651
-121.800413,47.51945
-106.473253,35.858791
-83.359634,35.498514
-122.976724,38.38146
-105.578951,40.367613
-103.46203,43.759504
-83.292728,35.428334
-115.928056,51.496846
-110.699805,44.977028
-112.12093,36.006008
-124.066986,41.284662
-110.588455,44.427963
-124.028196,41.341946
-110.572985,44.418551
-83.188516,35.603041
-117.80397,52.759476
-124.103537,48.810726
-124.021915,41.362229
-110.69913,44.976879
-124.04728,41.302156
-112.137375,36.056764
-112.166241,36.037172
-105.591503,40.358312
-105.65728,33.003686
-110.610352,44.480831
-105.505114,40.376294
-110.732042,44.911908
-105.515129,40.378299
-122.898505,47.686683
-105.742489,32.947913
-105.586113,40.401688
-105.247971,40.138074
-114.175766,49.752965
-112.121452,36.038205
-116.548848,44.919419
-105.669967,33.372403
-122.874928,38.183559
-105.752635,40.423134
-110.753425,43.482453
-124.040845,41.317471
-121.268295,37.082667
-112.080479,36.099844
-110.630035,44.941248
-107.953136,36.054609
-119.312232,35.380843
-105.75827,40.42725
-119.329432,50.236432
-105.745112,40.41627
-122.866281,38.055448
-124.069423,41.380817
-122.845958,46.904491
-118.07209,52.889214
-98.740057,34.78538
-110.57463,43.872767
-110.703217,44.976273
-109.307472,45.249267
-121.007692,40.426242
-109.083788,33.825451
-104.620541,31.869383
-110.69913,44.976879
-105.748179,32.948169
-121.323487,46.938118
-113.877,35.093333
-111.3115,45.27392
-120.750175,36.397754
-110.701385,44.976431
-122.836208,39.510247
-124.060376,41.4304
-123.570253,48.667562
-123.922985,46.172925
-78.352897,41.342605
-120.829602,37.011132
-111.559024,40.792658
-116.080117,44.103533
-105.566055,40.368692
-124.14841,41.73343
-105.683639,40.342793
-121.55839,48.490892
-83.385872,35.451255
-123.956627,47.8808
-110.677849,43.556185
-121.949316,38.182293
-124.069153,41.381603
-114.227783,47.360212
-110.402345,44.55002
-105.712158,40.404331
-107.945678,36.044714
-121.149059,40.145239
-105.69323,33.178855
-83.398298,35.417791
-122.194947,48.708572
-112.108555,36.061493
-110.698944,44.977531
-110.693153,44.974205
-105.857405,40.353237
-77.472636,44.50523
-102.358536,49.712128
-112.125283,35.935322
-123.286934,39.454486
-110.638478,44.942325
-105.739775,32.95599
-105.654026,40.293694
-123.928083,46.118277
-122.990933,38.213781
-110.996453,44.651948
-83.399639,35.454778
-123.931249,46.1082
-110.498925,44.72072
-107.539458,39.901621
-123.956482,46.206925
-123.957863,45.901662
-122.986478,38.295508
-102.348388,41.509728
-123.514707,39.739503
-105.521665,40.377201
-112.166166,36.071734
-124.027839,41.359303
-105.736978,32.957303
-111.486552,40.799879
-122.86529,38.067424
-121.866774,38.143916
-113.964952,46.876364
-105.658444,33.36722
-105.718345,32.958628
-122.19016,48.70936
-111.530547,40.669713
-122.856065,38.287086
-105.793546,32.844442
-124.043884,41.322879
-112.126167,35.973083
-111.646467,35.139663
-124.040865,41.317409
-110.961137,44.660887
-111.299789,44.69006
-105.858239,26.86199
-112.121129,36.050629
-110.72764,43.697077
-106.257171,40.898682
-103.490768,43.596553
-105.713249,40.395512
-110.571121,44.462732
-105.31632,39.639419
-110.117427,44.61573
-122.941624,38.214792
-110.482972,44.4588
-105.078011,40.59295
-124.30607,48.065736
-105.581812,40.342667
-105.700537,40.394342
-105.553313,40.382338
-83.103285,35.557741
-107.506405,33.894606
-83.386476,35.463245
-122.888597,38.378528
-110.433327,44.535208
-105.496764,40.381716
-113.682975,51.794558
-110.718889,45.0325
-110.69913,44.976879
-105.531775,40.382098
-105.757247,40.426095
-110.705837,44.966697
-112.141642,36.079891
-119.272133,35.245727
-122.913826,38.144389
-105.744995,40.415887
-118.059934,44.998899
-122.932138,38.162753
-110.70576,44.973532
-110.394436,44.551551
-110.545247,44.501075
-109.457985,44.67821
-83.245897,35.464072
-112.123161,36.028897
-105.621513,40.38372
-105.821782,32.936762
-105.808286,40.423417
-112.173828,37.631552
-124.087314,41.310823
-105.750952,37.952649
-110.701788,44.966456
-123.825788,47.481539
-118.054245,52.917114
-105.750229,32.947578
-115.327711,51.085797
-118.065565,52.999979
-105.543608,40.362872
-105.733334,32.926679
-118.178977,52.90581
-116.96233,45.617793
-121.668288,46.611058
-103.370325,43.761568
-105.521003,40.379392
-112.135933,36.057547
-122.837301,38.008372
-105.753381,40.441466
-105.29995,36.801388
-109.799356,34.983717
-105.683639,40.342793
-121.068929,37.047033
-105.683639,40.342793
-105.573501,40.343265
-119.752005,44.839418
-121.634603,37.694392
-83.300118,35.512186
-122.943114,38.092596
-105.675334,40.389666
-105.679225,40.312055
-110.743204,43.479731
-124.037248,41.324423
-113.960816,46.878756
-105.574457,33.060349
-123.549761,48.321301
-105.701395,32.955488
-110.706558,44.970383
-123.784364,40.161827
-110.728294,44.932194
-112.109127,36.058675
-122.792525,47.067021
-123.695133,47.534863
-105.571455,40.398716
-110.737983,43.654025
-122.921145,38.020198
-126.052992,49.80809
-121.632386,37.292305
-105.567154,40.349541
-105.727553,40.340782
-112.114609,36.041215
-105.61087,40.38763
-121.518573,43.78534
-122.931021,38.141254
-115.591235,51.176137
-111.523098,40.553975
-88.113069,36.700643
-105.25858,36.36673
-110.588455,44.427963
-122.811682,38.040889
-105.8165,32.95605
-115.024188,49.54276
-110.674862,43.998012
-105.613493,40.357454
-115.548814,51.196942
-108.236514,33.214932
-112.081682,36.043594
-100.846653,29.711754
-110.395647,44.55504
-110.642441,44.462085
-122.940317,38.273779
-110.6982,44.97748
-124.039947,43.693774
-110.434394,44.533761
-110.729294,44.892286
-118.044403,52.904837
-124.020927,41.359917
-105.737987,32.953697
-112.112997,36.106965
-118.071866,52.8598
-110.45548,44.643829
-105.59243,32.928862
-123.869509,40.745006
-105.745659,32.948758
-110.745292,44.650003
-106.444966,37.178995
-105.744865,40.413406
-121.34677,35.722002
-105.75557,32.971775
-110.723042,43.67529
-83.071181,35.751688
-124.093111,41.222533
-105.706681,33.287551
-105.823715,40.380464
-106.435633,36.682428
-112.035972,35.999072
-124.145754,41.78877
-110.619859,44.421644
-118.082052,52.869782
-114.399676,49.459681
-115.976892,50.534113
-112.079215,36.041083
-105.665817,40.28635
-123.869798,46.692065
-135.805463,60.848082
-118.085249,52.874584
-124.182368,41.884597
-106.794222,37.004822
-124.034282,43.696197
-124.037626,41.323057
-106.569108,36.825195
-124.064614,41.400555
-83.832031,35.522948
-118.02234,37.06454
-124.051753,48.827472
-121.822763,38.054062
-105.29473,36.380213
-122.859649,38.204992
-102.937886,30.476341
-111.230216,40.050416
-105.819838,32.953835
-83.179587,35.785944
-110.694887,44.969047
-118.070549,52.837682
-116.042514,49.685988
-123.958115,45.899335
-105.661326,40.308832
-122.871898,37.969383
-112.1231,36.028298
-123.966025,45.914216
-124.067153,41.400403
-118.460122,35.134568
-123.508788,41.477655
-122.600645,37.808647
-121.800386,47.518915
-112.729421,45.882677
