longitude,latitude
-92.790222,15.7095
-87.085,36.1658
-91.013,30.414
-97.092778,19.151111
-96.7673,34.6743
-95.441,28.948
-101.97278,48.72889
-92.1564,29.9807
-103.706,35.183
-101.69,34.989
-91.16,30.3723
-96.738266,33.183765
-97.439476,35.22257
-91.176,30.3632
-98.26,23.45
-96.57,36.95
-91.0173,30.4331
-91.1759,30.352
-94.061195,35.277195
-82.2219,29.6514
-103.75466,35.172318
-91.1855,30.3534
-103.7104,35.1786
-92.7708,30.0236
-91.1759,30.3401
-96.97,19.38
-92.1342,29.974
-94.13,35.77
-91.16,30.3695
-91.1541,30.3937
-86.78,36.18
-97.3069,35.17905
-91.0732,30.3488
-91.1543,30.3707
-99.26,22.36
-91.1759,30.4141
-91.1759,30.4141
-94.061195,35.277195
-81.6,31.99
-91.1729,30.3688
-101.693,33.528
-98.70313,34.69107
-96.97,19.38
-96.44697,36.86885
-91.176,30.3706
-102.73,20.14
-94.31,29.752
-102.73,20.14
-101.292,34.255
-80.8551,33.5003
-96.534,29.022
-91.176,30.3706
-91.2535,30.584
-91.1975,30.4141
-100.16,35.92
-97.864228,16.182417
-79.99,32.79
-92.0129,30.224
-98.294,29.643
-96.534,29.022
-103.08334,34.091667
-92.5345,32.4361
-81.78,32.49
-97.78794,31.14212
-101.92604,37.008053
-94.09,35.77
-104.40642,33.4632
-92.502,30.4224
-92.0078,32.105
-93.9326,32.5392
-92.0831,30.519
-92.0831,30.519
-91.8196,30.4082
-103.706,35.183
-91.6978,29.9405
-91.2149,30.3507
-96.414,28.953
-101.598,33.592
-91.176,30.3706
-91.0258,30.3496
-79.7646,32.8592
-98.539,33.844
-95.19051,35.67704
-84.4839,42.7369
-97.7734,35.9204
-80.36,25.18
-92.798305,15.705917
-97.93,22.38
-91.1729,30.3688
-91.3763,30.7794
-95.19051,35.67704
-93.1504,30.2264
-92.5823,30.1895
-93.7317,32.5154
-98.41908,32.937626
-103.68478,35.11674
-88.316666,36.6
-96.44697,36.84184
-92.0199,30.1538
-96.19,17.0
-91.973,30.2237
-103.706,35.183
-104.413,33.457
-92.7605,29.666
-91.2099,30.4371
-87.085,36.1658
-91.176,30.3821
-98.50712,33.9841
-98.70313,34.69107
