longitude,latitude
-79.233,56.533
-79.233,56.533
-60.283333,55.433333
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.233,56.533
-79.233,56.533
-57.211412,54.460574
-57.211412,54.460574
-76.306815,56.267433
-61.758081,56.523822
-76.306815,56.267433
-61.902719,57.521772
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-63.746796,58.841618
-79.233,56.533
-79.233,56.533
-67.17,55.05
-79.233,56.533
-69.16667,58.91667
-79.025,53.82917
-79.283333,38.833332
-57.416667,54.35
-64.741199,56.382525
-61.758081,56.523822
-67.626614,58.506309
-67.626614,58.506309
-64.7,56.25
-64.741199,56.382525
-63.35266,58.865008
-61.758081,56.523822
-67.626614,58.506309
-64.741199,56.382525
-67.626614,58.506309
-79.230003,56.529999
-61.758081,56.523822
-61.758081,56.523822
-61.902719,57.521772
-61.902719,57.521772
-64.7,56.25
-80.816667,42.65
-67.626614,58.506309
-64.7,56.25
-64.741199,56.382525
-67.626614,58.506309
-60.283333,55.433333
-57.19,54.47
-79.233,56.533
-79.233,56.533
-63.35266,58.865008
-63.35266,58.865008
-57.211412,54.460574
-67.626614,58.506309
-64.7,56.25
-67.626614,58.506309
-62.407808,58.132673
-64.7,56.25
-67.626614,58.506309
-67.626614,58.506309
-77.783333,55.411223
-76.306815,56.267433
-67.626614,58.506309
-76.306815,56.267433
-61.67083,56.54583
-78.1047,58.4542
-66.8,54.8
-80.0,56.2167
-66.8,54.8
-68.4,58.1
-77.7833,55.2667
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-79.2667,56.6
-80.0,56.2167
-80.0,56.2167
-66.8,54.8
-80.0,56.2167
-78.1047,58.4542
-66.8,54.8
-68.4,58.1
-76.6833,57.0333
-68.4,58.1
-80.0,56.2167
-66.8,54.8
-80.0,56.2167
-80.0,56.1833
-76.7333,58.5
-66.8,54.8
-80.0,56.2167
-66.8,54.8
-76.9833,55.8167
-79.2667,56.6
-80.0,56.2167
-76.7333,58.5
-80.0,56.2167
-78.8833,56.1333
-80.0,56.2167
-80.0,56.2167
-69.5667,61.0833
-76.7333,58.5
-80.0,56.2167
-66.8,54.8
-78.4167,57.3333
-80.0,56.2167
-77.7833,55.2667
-80.0,56.2167
-80.0,56.2167
-74.0,59.4167
-80.0,56.2167
-66.8,54.8
-66.8,54.8
-71.5122,61.6033
-78.2,59.1333
-80.0,56.2167
-80.0,56.1833
-80.0,56.2167
-80.0,56.2167
-78.1047,58.4542
-80.0,56.2167
-66.8,54.8
-79.8833,56.2
-78.1019,58.4542
-69.5917,61.0761
-80.0,56.2167
-80.0,56.2167
-66.8,54.8
-78.4167,57.3333
-80.0,56.2167
-70.1333,59.2167
-80.0,56.2167
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-80.0,56.1833
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-66.8,54.8
-80.0,56.2167
-65.8333,58.8667
-80.0,56.2167
-80.0,56.2167
-66.8,54.8
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-68.4,58.1
-79.7833,56.2667
-80.0,56.2167
-80.0,56.2167
-66.8,54.8
-68.4,58.1
-80.0,56.2167
-76.7333,58.5
-76.6833,57.0333
-80.0,56.2167
-80.0,56.2167
-76.6833,57.0333
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-71.5122,61.6033
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-70.25,58.3333
-68.4,58.1
-78.1047,58.4542
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-66.8,54.8
-66.8,54.8
-66.8,54.8
-66.8,54.8
-79.2667,56.6
-79.7833,56.2667
-80.0,56.2167
-68.4,58.1
-80.0,56.2167
-80.0,56.2167
-66.8,54.8
-80.0,56.2167
-66.8,54.8
-66.8,54.8
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-70.25,58.3333
-80.0,56.2167
-66.8,54.8
-77.7833,55.2667
-70.25,58.3333
-80.0,56.2167
-71.5833,61.5611
-76.6833,57.0333
-80.0,56.2167
-70.1167,58.2167
-80.0,56.1833
-66.8,54.8
-70.1167,58.2167
-78.4167,57.3333
-66.8,54.8
-77.7833,55.2667
-80.0,56.2167
-80.0,56.2167
-78.2,59.1333
-80.0,56.2167
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-78.15,59.4417
-75.6333,62.2
-78.1047,58.4542
-75.6333,62.2
-80.0,56.2167
-66.8,54.8
-77.7833,55.2667
-80.0,56.2167
-79.65,56.3167
-80.0,56.2167
-80.0,56.2167
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-78.4167,57.3333
-80.0,56.2167
-79.2667,56.6
-68.4,58.1
-66.8,54.8
-71.5833,61.5611
-66.8,54.8
-76.7333,58.5
-80.0,56.2167
-80.0,56.2167
-78.1047,58.4542
-70.25,58.3333
-74.0,59.4167
-66.8,54.8
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-78.1047,58.4542
-66.8,54.8
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-80.0833,56.1833
-80.0,56.2167
-80.0,56.2167
-80.0,56.2167
-77.7833,55.2667
-80.0,56.2167
-68.4,58.1
-66.8,54.8
-80.0,56.2167
-78.4167,57.3333
-76.6833,57.0333
-79.2667,56.6
-76.7378,55.9972
-80.0,56.2167
-76.6833,57.0333
-76.6833,57.0333
-80.0,56.2167
-70.25,58.3333
-76.6833,57.0333
-70.25,58.3333
-76.6833,57.0333
-78.4167,57.3333
-76.7333,58.5
-66.8,54.8
-78.1047,58.4542
-66.8,54.8
-80.0,56.2167
-79.5333,56.5
-80.0,56.2167
-69.7167,60.0
-80.0,56.2167
-80.0,56.2167
-70.25,58.3333
-68.4,58.1
-80.0,56.1833
-66.8,54.8
-80.0,56.2167
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-73.666667,62.333333
-79.233,56.533
-79.233,56.533
-79.233,56.533
-79.233,56.533
-79.233,56.533
-74.0,60.0
-75.0,62.166667
-75.0,62.166667
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-78.10194,58.45417
-78.10194,58.45417
-78.10194,58.45417
-78.10194,58.45417
-67.626614,58.506309
-57.211412,54.460574
-67.626614,58.506309
-79.233,56.533
-66.90777,52.94404
-66.90777,52.94404
-102.4,41.31
-66.90777,52.94404
-66.90777,52.94404
-66.90777,52.94404
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.233,56.533
-79.233,56.533
-79.368889,38.602779
-79.233,56.533
-79.233,56.533
-79.230003,56.529999
-63.35266,58.865008
-64.7,56.25
-67.626614,58.506309
-67.626614,58.506309
-57.416667,54.35
-57.211412,54.460574
-67.626614,58.506309
-61.758081,56.523822
-64.7,56.25
-57.416667,54.35
-63.35266,58.865008
-64.7,56.25
-77.5,58.666672
-77.5,58.666672
-77.5,58.666672
-77.860864,62.384038
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.230003,56.529999
-79.233,56.533
-70.0,58.58
-64.7,56.25
-76.306815,56.267433
-64.7,56.25
-61.758081,56.523822
-67.626614,58.506309
-63.35266,58.865008
-76.429463,56.257629
-79.233,56.533
-64.916667,60.416667
-75.65,62.216667
-77.783333,55.266667
-78.1,58.45
-70.25,58.333333
-70.25,58.333333
-70.25,58.333333
-70.25,58.333333
-70.25,58.333333
-70.116667,58.216667
-70.25,58.333333
-70.25,58.333333
-70.25,58.333333
-70.25,58.333333
-70.25,58.333333
-70.25,58.333333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-79.233333,56.533333
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-79.233333,56.533333
-80.0,56.217
-80.0,56.217
-79.233333,56.533333
-80.0,56.217
-79.233333,56.533333
-79.233333,56.533333
-80.0,56.217
-79.233333,56.533333
-80.0,56.217
-79.233333,56.533333
-80.0,56.217
-79.233333,56.533333
-80.0,56.217
-68.366667,56.083333
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-68.366667,56.083333
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-80.0,56.217
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-78.80861,47.155
-79.233,56.533
-79.230003,56.529999
-79.233,56.533
-67.17,55.05
-79.233,56.533
-79.233,56.533
-79.233,56.533
-79.233,56.533
-67.233333,55.066667
-67.233333,55.066667
-67.233333,55.066667
-67.233333,55.066667
-67.233333,55.066667
-67.233333,55.066667
-75.0,62.166667
