name,latitude,longitude
Dipodomys ordii,36.306716,-102.795354
Dipodomys ordii,38.594864,-102.798274
Dipodomys ordii,45.666169,-119.616203
Dipodomys ordii,37.134939,-101.824221
Dipodomys ordii,37.378562,-111.026485
Dipodomys ordii,40.853174,-104.74301
Dipodomys ordii,34.55048,-111.83312
Dipodomys ordii,37.798683,-115.185937
Dipodomys ordii,41.664214,-103.947394
Dipodomys ordii,34.407275,-101.046805
Dipodomys ordii,42.587293,-118.884689
Dipodomys ordii,36.506421,-105.602007
Dipodomys ordii,37.676417,-105.732558
Dipodomys ordii,35.003544,-109.800187
Dipodomys ordii,40.19038,-119.84811
Dipodomys ordii,30.317537,-103.137178
Dipodomys ordii,40.95855,-115.46628
Dipodomys ordii,39.54417,-118.76888
Dipodomys ordii,40.91325,-115.35013
Dipodomys ordii,38.78501,-109.597883
Dipodomys ordii,39.861996,-104.817487
Dipodomys ordii,32.695007,-102.254619
Dipodomys ordii,42.510334,-120.250914
Dipodomys ordii,36.969387,-102.796263
Dipodomys ordii,42.433938,-118.859522
Dipodomys ordii,42.487745,-101.887545
Dipodomys ordii,42.686593,-119.306115
Dipodomys ordii,43.276062,-116.393953
Dipodomys ordii,40.813091,-104.698536
Dipodomys ordii,33.991772,-107.494549
Dipodomys ordii,37.080009,-102.000835
Dipodomys ordii,36.51843,-113.0544
Dipodomys ordii,36.71715,-113.35959
Dipodomys ordii,36.64614,-112.83779
Dipodomys ordii,36.57631,-113.06858
Dipodomys ordii,35.48332,-111.39071
Dipodomys ordii,40.842522,-104.090084
Dipodomys ordii,35.502067,-106.867731
Dipodomys ordii,35.502318,-106.869024
Dipodomys ordii,35.504085,-106.866292
Dipodomys ordii,31.978963,-108.513245
Dipodomys ordii,31.969838,-108.628372
Dipodomys ordii,32.60541,-106.827426
Dipodomys ordii,32.606853,-106.795376
Dipodomys ordii,32.605706,-106.803361
Dipodomys ordii,32.608598,-106.858163
Dipodomys ordii,32.619955,-106.84616
Dipodomys ordii,32.605,-106.827
Dipodomys ordii,38.079672,-109.6009
Dipodomys ordii,42.6751,-119.9658
Dipodomys ordii,38.259554,-109.423615
Dipodomys ordii,38.266703,-109.339949
Dipodomys ordii,40.462418,-103.035457
Dipodomys ordii,40.180753,-112.429727
Dipodomys ordii,40.206225,-112.428493
Dipodomys ordii,40.183889,-112.436683
Dipodomys ordii,40.181,-112.43
Dipodomys ordii,32.62,-106.846
Dipodomys ordii,44.079732,-121.029071
Dipodomys ordii,38.429108,-109.495602
Dipodomys ordii,39.529238,-114.664733
Dipodomys ordii,40.290684,-104.125183
Dipodomys ordii,37.758475,-105.522105
Dipodomys ordii,35.462899,-100.592717
Dipodomys ordii,40.468354,-103.013501
Dipodomys ordii,40.206,-112.428
Dipodomys ordii,38.299839,-109.885254
Dipodomys ordii,34.725906,-107.906597
Dipodomys ordii,34.72246,-107.927428
Dipodomys ordii,32.607847,-106.848717
Dipodomys ordii,32.608,-106.849
Dipodomys ordii,40.91978,-112.52648
Dipodomys ordii,36.78893,-112.69402
Dipodomys ordii,36.6648,-111.6121
Dipodomys ordii,40.1854,-109.69897
Dipodomys ordii,38.236238,-109.404418
Dipodomys ordii,38.232941,-109.398912
Dipodomys ordii,36.0952,-111.4221
Dipodomys ordii,36.0895,-111.186
Dipodomys ordii,36.69624,-111.79857
Dipodomys ordii,34.758634,-107.929974
Dipodomys ordii,34.758791,-107.929953
Dipodomys ordii,38.583225,-109.492247
Dipodomys ordii,42.908103,-115.692803
Dipodomys ordii,40.186515,-112.474083
Dipodomys ordii,32.606,-106.803
Dipodomys ordii,32.609,-106.858
Dipodomys ordii,40.174,-112.481
Dipodomys ordii,40.195,-112.505
Dipodomys ordii,32.607,-106.795
Dipodomys ordii,34.783271,-107.935015
Dipodomys ordii,34.784387,-107.934806
Dipodomys ordii,42.90075,-113.97499
Dipodomys ordii,31.180992,-106.241583
Dipodomys ordii,40.184,-112.437
Dipodomys ordii,38.091368,-103.013688
Dipodomys ordii,34.70407,-107.922494
Dipodomys ordii,34.773171,-107.936049
Dipodomys ordii,33.439978,-109.006107
Dipodomys ordii,32.679638,-108.490264
Dipodomys ordii,36.37686,-104.93606
Dipodomys ordii,37.676544,-97.947166
Dipodomys ordii,50.721845,-110.029009
Dipodomys ordii,34.756764,-107.933706
Dipodomys ordii,31.079314,-106.288163
Dipodomys ordii,31.036125,-106.359432
Dipodomys ordii,31.043649,-106.234525
Dipodomys ordii,31.183639,-106.248678
Dipodomys ordii,31.183614,-106.248594
Dipodomys ordii,31.183444,-106.248583
Dipodomys ordii,37.037191,-99.776287
Dipodomys ordii,37.93889,-118.61251
Dipodomys ordii,39.28372,-110.79513
Dipodomys ordii,30.030436,-103.555047
Dipodomys ordii,34.751967,-107.933148
Dipodomys ordii,43.25598,-116.710793
Dipodomys ordii,38.209249,-109.41456
Dipodomys ordii,38.9709,-110.6584
Dipodomys ordii,39.9696,-110.6658
Dipodomys ordii,34.83625,-99.42358
Dipodomys ordii,34.85748,-99.70152
Dipodomys ordii,34.79778,-99.98225
Dipodomys ordii,38.268912,-109.349213
Dipodomys ordii,40.187,-112.474
Dipodomys ordii,34.479548,-99.7712
Dipodomys ordii,34.805613,-111.064592
Dipodomys ordii,31.232444,-106.506278
Dipodomys ordii,38.048184,-102.944288
Dipodomys ordii,41.56741,-118.56632
Dipodomys ordii,33.014364,-108.551788
Dipodomys ordii,31.287167,-106.482917
Dipodomys ordii,31.288889,-106.480694
Dipodomys ordii,31.287056,-106.483194
Dipodomys ordii,31.228361,-106.5005
Dipodomys ordii,31.200611,-106.497861
Dipodomys ordii,31.287667,-106.480361
Dipodomys ordii,31.289806,-106.479972
Dipodomys ordii,31.228306,-106.500694
Dipodomys ordii,50.731276,-109.375705
Dipodomys ordii,50.603021,-109.339643
Dipodomys ordii,31.344171,-106.444136
Dipodomys ordii,31.312667,-106.543555
Dipodomys ordii,42.520275,-102.242692
Dipodomys ordii,38.8657,-110.6633
Dipodomys ordii,38.9672,-110.6634
Dipodomys ordii,38.9684,-110.6616
Dipodomys ordii,38.9892,-110.6786
Dipodomys ordii,42.373192,-102.201758
Dipodomys ordii,39.84128,-113.39451
Dipodomys ordii,35.952543,-97.594768
Dipodomys ordii,27.022703,-98.747106
Dipodomys ordii,40.205694,-104.683462
Dipodomys ordii,39.345484,-112.357936
Dipodomys ordii,39.345568,-112.358014
Dipodomys ordii,39.348068,-112.361598
Dipodomys ordii,39.345225,-112.358329
Dipodomys ordii,39.347866,-112.360889
Dipodomys ordii,39.345112,-112.358299
Dipodomys ordii,39.343862,-112.357307
Dipodomys ordii,39.350267,-112.363026
Dipodomys ordii,39.344951,-112.358233
Dipodomys ordii,39.346922,-112.359113
Dipodomys ordii,39.347821,-112.360755
Dipodomys ordii,39.344028,-112.357641
Dipodomys ordii,39.345592,-112.358024
Dipodomys ordii,39.348012,-112.36114
Dipodomys ordii,39.348094,-112.361647
Dipodomys ordii,39.344837,-112.358169
Dipodomys ordii,39.345611,-112.358423
Dipodomys ordii,39.345356,-112.357888
Dipodomys ordii,39.344962,-112.357161
Dipodomys ordii,44.018152,-113.204798
Dipodomys ordii,38.143263,-109.453977
Dipodomys ordii,34.47955,-99.76395
Dipodomys ordii,34.46507,-99.75655
Dipodomys ordii,34.465,-99.77614
Dipodomys ordii,35.503748,-106.847999
Dipodomys ordii,35.50392,-106.848299
Dipodomys ordii,34.120767,-100.364259
Dipodomys ordii,34.79773,-99.88006
Dipodomys ordii,34.76853,-99.76713
Dipodomys ordii,34.76847,-99.69583
Dipodomys ordii,34.47807,-99.18497
Dipodomys ordii,34.34879,-99.14558
Dipodomys ordii,34.407,-99.6972
Dipodomys ordii,34.43579,-99.72592
Dipodomys ordii,33.0019399991377,-108.55282
Dipodomys ordii,35.06722,-109.778892
Dipodomys ordii,34.14422,-98.55316
Dipodomys ordii,34.1784,-98.76653
Dipodomys ordii,34.18616,-98.78398
Dipodomys ordii,32.5895699991433,-107.91703
Dipodomys ordii,39.03078,-114.46661
Dipodomys ordii,40.473551,-103.025194
Dipodomys ordii,35.00407,-99.36035
Dipodomys ordii,34.55083,-99.15872
Dipodomys ordii,40.174342,-112.480716
Dipodomys ordii,43.281436,-108.201103
Dipodomys ordii,35.070188,-109.79496
Dipodomys ordii,40.195079,-112.504944
Dipodomys ordii,42.90866,-115.692666
Dipodomys ordii,35.870319,-98.197842
Dipodomys ordii,42.802775,-102.203774
Dipodomys ordii,26.941245,-98.671714
Dipodomys ordii,36.841386,-100.520704
Dipodomys ordii,34.10112,-98.45538
Dipodomys ordii,34.18262,-98.66241
Dipodomys ordii,32.382763,-108.372011
Dipodomys ordii,34.94776,-106.506506
Dipodomys ordii,35.029765,-106.507155
Dipodomys ordii,34.32007,-106.813223
Dipodomys ordii,34.29086,-99.15044
Dipodomys ordii,34.17436,-98.84201
Dipodomys ordii,34.24747,-99.14165
Dipodomys ordii,38.211883,-98.472691
Dipodomys ordii,38.80745,-109.31354
Dipodomys ordii,39.020019241658574,-114.12948513707751
Dipodomys ordii,38.814514,-109.308819
Dipodomys ordii,37.296264,-109.525514
Dipodomys ordii,40.44254,-112.98547
Dipodomys ordii,40.42962,-112.96064
Dipodomys ordii,34.81232,-99.52808
Dipodomys ordii,34.78308,-99.6065
Dipodomys ordii,34.94744,-99.66089
Dipodomys ordii,34.65641,-99.07114
Dipodomys ordii,40.46916,-113.0182
Dipodomys ordii,39.77817,-113.83734
Dipodomys ordii,39.006111,-114.182778
Dipodomys ordii,32.7922,-106.1989
Dipodomys ordii,34.60894,-99.0709
Dipodomys ordii,38.24833,-109.38827
Dipodomys ordii,39.035278,-114.134167
Dipodomys ordii,39.066111,-114.039306
Dipodomys ordii,50.710168,-109.026842
Dipodomys ordii,35.226284,-106.605898
Dipodomys ordii,39.695995,-102.987288
Dipodomys ordii,42.04123,-113.717251
Dipodomys ordii,34.333063,-106.735903
Dipodomys ordii,34.947765,-106.506057
Dipodomys ordii,38.186839,-109.424926
Dipodomys ordii,26.81304,-98.79732
Dipodomys ordii,35.019511,-106.297681
Dipodomys ordii,38.144852,-109.453922
Dipodomys ordii,37.209319,-112.384153
Dipodomys ordii,37.7565,-111.435875
Dipodomys ordii,37.854236,-111.433319
Dipodomys ordii,37.025222,-112.783361
Dipodomys ordii,37.035097,-112.740681
Dipodomys ordii,37.207583,-111.961528
Dipodomys ordii,37.234514,-112.336375
Dipodomys ordii,37.206458,-112.388958
Dipodomys ordii,37.054125,-112.156417
Dipodomys ordii,32.99759,-107.49996
Dipodomys ordii,32.99644,-107.50206
Dipodomys ordii,32.996662,-107.50161
Dipodomys ordii,32.998254,-107.49861
Dipodomys ordii,32.997887,-107.49931
Dipodomys ordii,32.998356,-107.4983
Dipodomys ordii,32.998407,-107.4982
Dipodomys ordii,33.004834,-107.490047
Dipodomys ordii,33.01058,-107.59346
Dipodomys ordii,33.00898,-107.51455
Dipodomys ordii,33.00882,-107.51444
Dipodomys ordii,33.00915,-107.51343
Dipodomys ordii,39.77820808244633,-113.8055858019399
Dipodomys ordii,39.778938112177336,-113.79959565852116
Dipodomys ordii,39.7776480852007,-113.80654581969151
Dipodomys ordii,39.612264,-113.812097
Dipodomys ordii,39.772444,-113.801694
Dipodomys ordii,33.932077,-99.347738
Dipodomys ordii,41.121775,-109.524617
Dipodomys ordii,38.708821,-100.800161
Dipodomys ordii,40.150341,-112.479169
Dipodomys ordii,34.995678,-109.798905
Dipodomys ordii,40.899361,-112.532056
Dipodomys ordii,40.901722,-112.526
Dipodomys ordii,40.902722,-112.524361
Dipodomys ordii,40.887944,-112.540542
Dipodomys ordii,40.895056,-112.536111
Dipodomys ordii,34.53606,-99.82426
Dipodomys ordii,34.68155,-99.08046
Dipodomys ordii,34.52162,-99.80956
Dipodomys ordii,34.79782,-99.94456
Dipodomys ordii,34.39292,-99.62146
Dipodomys ordii,40.473576,-103.020055
Dipodomys ordii,40.206674,-112.447162
Dipodomys ordii,31.653878,-102.834228
Dipodomys ordii,33.036522,-107.509869
Dipodomys ordii,32.9976,-107.4996
Dipodomys ordii,32.9971,-107.5004
Dipodomys ordii,32.9969,-107.5002
Dipodomys ordii,32.9974,-107.4991
Dipodomys ordii,32.9963,-107.5012
Dipodomys ordii,40.777103,-112.732458
Dipodomys ordii,40.790958,-112.739861
Dipodomys ordii,33.09397,-107.58601
Dipodomys ordii,33.09623,-107.58744
Dipodomys ordii,40.22475,-112.21825
Dipodomys ordii,50.71047,-109.42101
Dipodomys ordii,50.60153,-109.33361
Dipodomys ordii,50.68868,-109.41622
Dipodomys ordii,37.820375,-111.194708
Dipodomys ordii,37.906181,-111.123903
Dipodomys ordii,37.824875,-111.196903
Dipodomys ordii,37.814875,-111.194514
Dipodomys ordii,37.920167,-111.223417
