longitude,latitude
-94.005889,58.757695
-105.059681,69.116864
-50.697608,66.97918
-50.541112,67.045026
-94.0868,58.759122
-105.120378,69.115728
-86.161195,80.034185
-93.704675,58.784772
-140.0,68.199997
-100.306232,67.431148
-93.726185,58.712178
-94.117904,58.751491
-94.117904,58.751491
-63.35266,58.865008
-61.669414,45.797919
-63.35266,58.865008
-59.202842,55.047394
-60.211441,55.457888
-63.35266,58.865008
-61.669414,45.797919
-71.40625,68.532189
-71.40625,68.532189
-63.35266,58.865008
-61.666667,45.749068
-60.211441,55.457888
-119.13,72.33
-82.9,76.416667
-82.9,76.416667
-80.616667,73.116667
-82.166667,76.4
-78.166667,72.633333
-68.4,58.1
-82.166667,76.4
-115.1014699684219,67.83345215884891
-82.166667,76.4
-69.866667,62.85
-82.9,76.416667
-125.49,72.084167
-69.866667,62.85
-122.24,72.216944
-82.9,76.416667
-122.772222,72.239444
-69.866667,62.85
-82.9,76.416667
-78.233333,72.583333
-50.107735,67.142349
-49.0,61.6
-83.5,64.21667
-102.2,67.38333
-119.91667,79.81667
-119.91667,79.81667
-94.048121,58.719937
-105.145567,69.111931
-56.37612,45.86226
-56.37612,45.86226
-52.23587,66.982132
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-104.8,61.842
-72.63333,78.31667
-72.63333,78.31667
-101.3,73.362
-72.63333,78.31667
-59.33930279972414,47.97068854495015
-104.8,61.842
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-72.63333,78.31667
-86.21933,80.06279
-51.92,68.63
-52.08,68.63
-106.608854,68.071071
-94.256882,72.008128
-50.733863,67.010862
-93.735425,58.791233
-100.269739,67.219649
-82.458655,74.526737
-92.201312,62.851669
-56.164044,46.801278
-105.059681,69.116864
-100.259784,67.237111
-93.56523,69.543779
-99.587449,64.638219
-93.730553,58.78631
-94.194833,58.78514
-86.161195,80.034185
-68.564722,63.747097
-93.820481,58.736593
-74.274959,83.070143
-93.828863,58.775047
-94.164964,58.768411
-52.08,68.63
-51.17,70.0
-94.171058,58.769317
-62.678007,82.493753
-96.048927,65.086724
-59.202842,55.047394
-59.202842,55.047394
-63.35266,58.865008
-61.77114,55.520071
-63.35266,58.865008
-60.211441,55.457888
-59.202842,55.047394
-63.35266,58.865008
-63.35266,58.865008
-54.1608,46.958943
-63.35266,58.865008
-61.669414,45.797919
-76.578498,80.266371
-77.9,64.416667
-71.40625,68.532189
-59.202842,55.047394
-70.0,68.5
-59.202842,55.047394
-61.669414,45.797919
-63.35266,58.865008
-59.393298,47.882061
-59.040039,53.44934
-70.0,68.5
-63.35266,58.865008
-54.1608,46.958943
-64.7,56.25
-63.35266,58.865008
-63.35266,58.865008
-60.211441,55.457888
-60.211441,55.457888
-60.211441,55.457888
-59.393298,47.882061
-63.35266,58.865008
-49.0,61.6
-52.0,70.0
-51.0,70.0
-63.35266,58.865008
-93.583333,74.683333
-71.40625,68.532189
-59.202842,55.047394
-63.35266,58.865008
-59.202842,55.047394
-61.669414,45.797919
-55.6,51.383333
-61.669414,45.797919
-90.747191,79.415086
-72.63333,78.31667
-104.0,65.667
-105.122085,69.116407
-89.14112,79.732547
-47.91,61.11
-93.81882,58.734091
-65.72,66.144
-65.72,66.144
-100.253074,67.238997
-93.95,58.76
-140.0,68.199997
-105.402435,69.114556
-86.076804,80.007733
-56.18776,46.78477
-56.15915,46.80212
-61.758081,56.523822
-61.666667,45.749068
-63.35266,58.865008
-61.669414,45.797919
-63.35266,58.865008
-60.211441,55.457888
-59.202842,55.047394
-63.35266,58.865008
-63.35266,58.865008
-61.669414,45.797919
-61.902719,57.521772
-61.669414,45.797919
-63.35266,58.865008
-59.27263,47.777514
-59.202842,55.047394
-68.743689,76.53819
-78.8833,56.1333
-114.75,68.75
-119.917,73.8167
-80.0,56.2167
-85.95,79.9833
-110.083,68.0167
-122.133,71.5667
-92.0,80.5
-125.5,71.5833
-122.133,71.5667
-68.4,58.1
-89.8,68.5333
-97.5,64.8167
-123.0,71.5
-68.4,58.1
-80.0833,56.1833
-114.75,68.75
-114.75,68.75
-118.767,74.0167
-110.083,68.0167
-110.083,68.0167
-79.6167,56.4167
-114.75,68.75
-68.4,58.1
-92.0,80.5
-68.4,58.1
-110.13300000000001,68.01669999934596
-85.95,79.9833
-125.5,71.5833
-80.0833,56.2
-68.7,77.35
-110.083,68.0167
-79.0,75.1333
-88.5,79.5
-125.5,71.5833
-114.75,68.75
-68.4,58.1
-114.75,68.75
-118.767,74.0167
-68.4,58.1
-125.5,71.5833
-125.5,71.5833
-114.75,68.75
-122.583,71.2167
-68.4,58.1
-68.7,77.35
-80.0667,56.1667
-90.75,63.4167
-119.917,73.8167
-125.5,71.5833
-79.0,75.1333
-68.4,58.1
-99.0,64.45
-68.4,58.1
-125.5,71.5833
-85.95,79.9833
-119.337,76.23389999956466
-77.7833,72.7167
-114.75,68.75
-93.724542,58.785938
-100.306232,67.431148
-105.024522,69.11142
-93.84058,58.744694
-93.949997,58.759998
-69.866667,62.85
-83.916667,72.666667
-105.0510267770944,69.11691503642379
-82.166667,76.4
-115.1014699684219,67.83345215884891
-115.1014699684219,67.83345215884891
-69.866667,62.85
-82.166667,76.4
-78.25,72.566667
-105.05,69.116667
-115.1014699684219,67.83345215884891
-78.166667,72.633333
-105.05,69.116667
-82.9,76.416667
-77.666667,72.766667
-82.166667,76.4
-110.86558,63.602456
-105.05,69.116667
-123.936667,72.116389
-116.11813605912332,67.11675282524098
-80.616667,73.116667
-105.05,69.116667
-82.9,76.416667
-82.166667,76.4
-76.6,72.816667
-115.1014699684219,67.83345215884891
-69.866667,62.85
-115.1014699684219,67.83345215884891
-123.233611,72.191667
-82.9,76.416667
-68.4,58.1
-123.233611,72.191667
-69.866667,62.85
-69.866667,62.85
-115.1014699684219,67.83345215884891
-69.866667,62.85
-49.0,61.6
-93.828537,58.775058
-68.449657,63.730346
-105.059681,69.116864
-93.825817,58.774875
-47.98,61.24
-96.032442,64.321392
-93.854828,58.763928
-105.28277,69.128992
-65.72,66.144
-63.35266,58.865008
-77.9,64.416667
-59.202842,55.047394
-60.211441,55.457888
-59.040039,53.44934
-70.0,68.5
-63.35266,58.865008
-63.35266,58.865008
-61.669414,45.797919
-61.758081,56.523822
-93.583333,74.683333
-89.138223,79.828289
