name,latitude,longitude
Marmota vancouverensis,49.752231,-125.298298
Marmota vancouverensis,49.752603,-125.297399
Marmota vancouverensis,48.951064,-124.219493
Marmota vancouverensis,49.01327,-124.313811
Marmota vancouverensis,49.6957,-125.63523
Marmota vancouverensis,49.753074,-125.296389
Marmota vancouverensis,49.688589,-125.712524
Marmota vancouverensis,49.726162,-125.375115
Marmota vancouverensis,48.96501,-124.330208
Marmota vancouverensis,49.746111,-125.296293
Marmota vancouverensis,49.699147,-125.663357
Marmota vancouverensis,49.749334,-125.294842
Marmota vancouverensis,49.744323,-125.290704
Marmota vancouverensis,49.546875,-125.373447
Marmota vancouverensis,49.750556,-125.299722
Marmota vancouverensis,49.746944,-125.300552
Marmota vancouverensis,49.1217,-124.563434
Marmota vancouverensis,49.013127,-124.313857
Marmota vancouverensis,49.753056,-125.296389
Marmota vancouverensis,49.69139,-125.618486
Marmota vancouverensis,49.691265,-125.618843
Marmota vancouverensis,49.746019,-125.300791
Marmota vancouverensis,49.747138,-125.300947
Marmota vancouverensis,49.746027,-125.300743
Marmota vancouverensis,49.743897,-125.296994
Marmota vancouverensis,49.056667,-124.3425
Marmota vancouverensis,49.012271,-124.310697
Marmota vancouverensis,49.74,-125.3
Marmota vancouverensis,49.75,-125.3
Marmota vancouverensis,49.753102,-125.296497
Marmota vancouverensis,49.459963,-125.566264
Marmota vancouverensis,49.74661,-125.302093
Marmota vancouverensis,49.741231,-125.303419
Marmota vancouverensis,48.834134,-125.136287
Marmota vancouverensis,48.834574,-125.136382
Marmota vancouverensis,48.834957,-125.135994
Marmota vancouverensis,48.834256,-125.136535
Marmota vancouverensis,48.834971,-125.136047
Marmota vancouverensis,48.83512,-125.136112
Marmota vancouverensis,49.743132,-125.285727
Marmota vancouverensis,49.744792,-125.293814
Marmota vancouverensis,49.743161,-125.3051
Marmota vancouverensis,49.74968718904043,-125.30106692373522
Marmota vancouverensis,48.96029223433557,-124.80103459054234
Marmota vancouverensis,49.13103279349969,-124.64627071477722
Marmota vancouverensis,48.49140749332097,-123.3467860695902
Marmota vancouverensis,50.416668,-126.98333
