longitude,latitude
-78.589932,45.561933
-115.6799,45.8121
-115.6799,45.8121
-115.6799,45.8121
-73.96442,44.18287
-153.650404,67.352625
-90.100883,47.966112
-76.287125,50.045179
-135.31929,57.062658
-78.514605,45.574069
-78.359258,45.583958
-92.627233,47.267366
-78.376427,45.588439
-78.689038,45.547332
-78.373864,45.587739
-78.677215,45.516451
-96.927561,50.014076
-78.639106,45.550414
-89.187383,48.476086
-78.515639,45.5756
-73.638213,44.152633
-99.973847,50.637683
-78.359258,45.583958
-78.517983,45.582756
-134.953772,60.615482
-57.5631,53.1138
-78.75,51.48
-155.03,66.92
-57.5631,53.1138
-155.62,66.93
-153.21,63.37
-153.21,63.37
-153.21,63.37
-153.21,63.37
-135.36,58.06
-153.21,63.37
-143.18,63.04
-135.36,58.06
-135.220619,57.058011
-107.450839,38.49902
-133.4969,56.7928
-133.8833,56.933
-156.5167,63.1333
-133.3253,57.3161
-133.3253,57.3161
-126.3222,65.1361
-153.2667,63.383
-127.1708,54.7806
-61.356167,53.2745
-148.27,65.38
-148.27,65.38
-135.36,58.06
-153.21,63.37
-156.37,61.09
-156.1,63.02
-135.36,58.06
-153.21,63.37
-154.53,62.44
-154.53,62.44
-153.21,63.37
-153.21,63.37
-153.21,63.37
-135.36,58.06
-153.21,63.37
-133.118983,55.206467
-135.385688,57.9895419991527
-135.370545,57.600253
-135.370545,57.600253
-113.671667,61.17166
-113.533333,61.366667
-113.772057,61.004315
-113.772057,61.004315
-114.367925,60.741804
-113.667891,61.300158
-113.671667,61.17166
-113.772057,61.004315
-112.674175,61.126216
-112.967,60.8
-112.886179,61.055549
-112.886179,61.055549
-113.772057,61.004315
-135.250376,56.887976
-135.365841,57.130302
-131.460375,55.288323
-135.110599,56.760833
-135.148032,56.834544
-78.336405,45.613526
-117.470114,53.227385
-89.998901,48.218899
-106.300003,41.306198
-125.448997,49.6506
-90.957298,48.209
-110.7,43.8333
-110.7,43.8333
-110.7,43.8333
-110.7,43.8333
-84.959,46.4035
-64.658744,44.493835
-87.451337,53.007324
-78.379124,45.837159
-84.47762,46.612297
-78.480924,45.554866
-79.216982,45.385532
-135.197642,57.081777
-79.656944,38.086109
-79.083054,38.357777
-78.515316,45.562871
-87.012347,45.847244
-78.33328,45.592898
-96.544753,50.736662
-71.324072,47.267439
-78.360204,45.583599
-65.241267,44.407973
-92.626638,47.272837
-79.839985,47.543881
-84.473142,46.626994
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-60.16667,55.5
-115.575378,51.145035
-78.370779,45.589184
-78.37348,45.573685
-78.512651,45.572758
-121.737655,46.794308
-135.022443,60.699358
-78.559823,45.554366
-78.373575,45.587351
-94.243438,50.101416
-79.818056,45.970634
-78.75,51.4833
-71.01062,44.694252
-123.593013,56.85673
-73.77319,44.15727
-71.0333,44.75
-61.758081,56.523822
-59.502319,55.032085
-71.160733,44.226846
-69.065922,45.215377
-114.949827,45.385192
-68.490042,46.418655
-123.593013,56.85673
-60.211441,55.457888
-59.202842,55.047394
-59.502319,55.032085
-71.0333,44.75
-123.593013,56.85673
-145.251916,66.567316
-60.211441,55.457888
-59.502319,55.032085
-69.065922,45.215377
-69.684552,45.667962
-70.771457,45.107553
-60.211441,55.457888
-59.502319,55.032085
-69.065922,45.215377
-59.040039,53.44934
-60.211441,55.457888
-71.042703,44.762884
-69.652439,45.648263
-59.502319,55.032085
-69.065922,45.215377
-123.593013,56.85673
-96.2,50.5585
-78.640717,45.549539
-79.351387,48.311668
-114.956594,54.285066
-78.357224,45.585556
-91.863395,47.8931
-155.03,66.92
-155.5,66.63
-57.5631,53.1138
-155.03,66.92
-152.283333,64.666667
-152.283333,64.666667
-146.551111,62.281389
-144.733333,61.75
-144.733333,61.75
-146.666667,62.216667
-146.36235270980052,62.306444272494815
-144.52874593508497,61.397655220181726
-144.52874593508497,61.397655220181726
-143.583333,61.5
-143.583333,61.5
-145.0,61.9
-146.36235270980052,62.306444272494815
-135.542,57.90791
-135.555,57.9109
-135.697,57.95671
-135.528,57.96077
-156.62169583297825,61.145181763971536
-156.62169583297825,61.145181763971536
-156.62169583297825,61.145181763971536
-131.452733,55.281283
-135.15,56.9
-135.15,56.9
-149.0,65.0
-131.5125,56.225
-135.166667,56.75
-135.441667,58.108333
-135.216667,57.5
-135.558333,57.433333
-135.566667,57.25
-152.483333,64.416667
-152.483333,64.416667
-143.0,68.0
-152.0,65.0
-133.3,56.333333
-130.881944,55.407778
-139.5,59.5
-139.5,59.5
-135.2875,58.0875
-134.916667,58.916667
-132.833333,56.666667
-135.183333,57.779167
-132.966667,56.802778
-144.5,62.9
-144.52874593508497,61.397655220181726
-134.2,56.5
-135.6,57.166667
-135.333333,57.25
-134.775,58.091667
-135.441667,58.108333
-135.420833,58.086111
-135.0,58.716667
-135.5,57.9
-134.2,56.5
-131.633333,55.6
-132.666667,55.233333
-132.666667,55.233333
-132.466667,55.416667
-132.45,55.316667
-132.466667,55.416667
-132.466667,55.416667
-132.633333,55.45
-133.183333,56.1
-131.15,55.1
-144.7865270673349,61.84150406371691
-121.483333,47.016667
-127.833333,65.283333
-133.991667,57.9125
-131.466667,56.233333
-111.163611,44.608056
-143.46090707242521,61.35123818325728
-152.283333,64.666667
-152.283333,64.666667
-152.283333,64.666667
-144.7865270673349,61.84150406371691
-145.30407253297474,62.301505349692725
-145.75,62.866667
-146.043503051839,61.87926259365232
-146.043503051839,61.87926259365232
-146.043503051839,61.87926259365232
-143.24501302545733,61.35167458316225
-144.52874593508497,61.397655220181726
-145.0,61.9
-135.432,57.97
-135.652,57.95322
-135.524,57.9674
-135.64862827203308,57.964627506293915
-156.62169583297825,61.145181763971536
-156.62169583297825,61.145181763971536
-154.34819594418485,60.260411944673685
-150.83,60.87
-149.76,60.35
-150.21,60.38
-149.88,60.47
-149.76,60.35
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-147.0,65.166667
-152.166667,63.833333
-152.166667,63.333333
-142.166667,63.833333
-148.0,65.166667
-152.166667,63.833333
-147.166667,64.333333
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-156.833333,66.0
-148.333333,64.916667
-132.966667,56.802778
-152.166667,63.833333
-148.166667,65.333333
-152.166667,63.833333
-152.166667,63.833333
-135.416667,57.766667
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.333333
-152.166667,63.833333
-143.7,61.4
-152.21345162483087,63.89793570490037
-152.21345162483087,63.89793570490037
-156.62169583297825,61.145181763971536
-152.6,63.4
-147.5,65.166667
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-149.1,65.666667
-136.0,58.0
-136.0,58.0
-136.0,58.0
-135.216667,57.5
-135.216667,57.5
-135.341667,57.25
-135.55,57.458333
-135.0,57.966667
-131.5125,56.225
-152.483333,64.416667
-152.483333,64.416667
-152.483333,64.416667
-143.0,68.0
-131.633333,55.603333
-146.67687431961144,62.49944322557794
-134.05,57.786111
-130.883333,55.4875
-135.158333,58.575
-134.916667,58.916667
-135.416667,57.766667
-135.183333,57.779167
-135.183333,57.779167
-134.9,58.591667
-130.2813310017675,54.209652441603566
-126.23121915335275,54.13969981381237
-152.166667,63.833333
-152.166667,63.833333
-147.916667,65.166667
-143.7,61.4
-146.27656358026704,61.88481492694347
-145.30407253297474,62.301505349692725
-132.983333,57.0
-134.666667,58.166667
-135.2875,58.0875
-135.477778,58.079167
-135.516667,57.841667
-132.958333,56.725
-134.2,56.5
-133.416667,56.0
-132.666667,55.233333
-132.666667,55.233333
-132.466667,55.416667
-132.466667,55.416667
-135.283333,58.083333
-133.183333,56.1
-146.393202558399,64.89460386108173
-127.833333,65.283333
-127.833333,65.283333
-133.183333,56.1
-139.55,59.441667
-123.8,48.866667
-132.916667,57.016667
-132.333333,56.466667
-152.283333,64.666667
-152.283333,64.666667
-152.283333,64.666667
-144.7865270673349,61.84150406371691
-145.30407253297474,62.301505349692725
-144.02630383158316,62.808481948173004
-144.02630383158316,62.808481948173004
-142.69616813824592,61.368750512802386
-144.733333,61.75
-144.733333,61.75
-144.733333,61.75
-144.5,62.9
-146.67687431961144,62.49944322557794
-146.67687431961144,62.49944322557794
-144.52874593508497,61.397655220181726
-144.52874593508497,61.397655220181726
-143.583333,61.5
-135.623,57.95277
-135.542,57.90791
-135.644,57.95161
-152.21345162483087,63.89793570490037
-152.21345162483087,63.89793570490037
-156.62169583297825,61.145181763971536
-156.62169583297825,61.145181763971536
-156.62169583297825,61.145181763971536
-153.725369,64.875787
-134.833333,57.266667
-135.166667,56.75
-135.441667,58.108333
-136.0,58.0
-135.616667,57.383333
-135.616667,57.383333
-136.216667,58.191667
-152.0,65.0
-152.0,65.0
-131.633333,55.333333
-131.966667,55.620833
-139.5,59.5
-132.833333,56.666667
-135.416667,57.766667
-135.55,58.184722
-131.75151145526593,57.69967597688897
-130.2813310017675,54.209652441603566
-132.916667,56.516667
-145.266667,66.566667
-146.043503051839,61.87926259365232
-144.52299649321216,62.99903322606525
-145.083333,62.883333
-145.30407253297474,62.301505349692725
-146.54815862905602,62.330541746592345
-144.733333,61.75
-145.0,61.9
-145.5343706601871,61.428639765302314
-144.5,62.9
-134.2,56.5
-135.6,57.166667
-135.383333,57.15
-134.775,58.091667
-133.233333,57.1
-134.166667,57.833333
-134.733333,58.233333
-134.2,56.5
-134.2,56.5
-132.323611,55.247778
-133.066667,56.2
-132.633333,55.45
-132.633333,55.45
-131.95,55.616667
-132.466667,55.416667
-146.016667,62.433333
-135.125,57.738889
-127.833333,65.283333
-127.833333,65.283333
-127.833333,65.283333
-132.466667,55.416667
-133.183333,56.1
-134.166667,57.833333
-132.333333,56.466667
-132.991667,56.8125
-131.466667,56.233333
-113.011944,46.336667
-113.973611,48.065
-152.283333,64.666667
-144.7865270673349,61.84150406371691
-144.7865270673349,61.84150406371691
-147.14718722654638,62.53343622599896
-147.14718722654638,62.53343622599896
-146.551111,62.281389
-144.02630383158316,62.808481948173004
-144.733333,61.75
-144.733333,61.75
-145.116667,62.75
-145.5343706601871,61.428639765302314
-143.583333,61.5
-146.033333,61.75
-145.30407253297474,62.301505349692725
-135.44,57.97768
-156.62169583297825,61.145181763971536
-156.62169583297825,61.145181763971536
-131.977222,55.631667
-150.83,60.87
-149.76,60.35
-150.21,60.38
-149.76,60.4
-149.76,60.35
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.312222,63.882778
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-148.0,65.166667
-152.166667,63.833333
-148.0,65.166667
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-152.166667,63.833333
-147.5,65.166667
-147.5,65.166667
-147.5,65.166667
-147.5,65.166667
-152.25,63.5
-147.0,65.25
-132.833333,56.666667
-135.216667,57.780556
-152.166667,63.833333
-146.05,61.816667
-135.420833,58.086111
-152.166667,63.833333
-152.21345162483087,63.89793570490037
-152.21345162483087,63.89793570490037
-152.21345162483087,63.89793570490037
-148.0,65.166667
-152.166667,63.833333
-147.5,65.166667
-142.166667,63.75
-131.5125,56.225
-131.5125,56.225
-135.616667,57.383333
-135.291667,56.983333
-135.666667,57.166667
-135.566667,57.25
-131.5125,56.225
-143.0,68.0
-148.0,65.0
-148.0,65.0
-152.0,65.0
-152.0,65.0
-133.3,56.333333
-133.620833,56.354167
-135.183333,57.779167
-134.9,58.591667
-126.37125415916829,55.04970749528632
-152.166667,63.833333
-147.666667,65.0
-152.166667,63.833333
-152.166667,63.833333
-144.733333,61.75
-146.27656358026704,61.88481492694347
-143.7,61.4
-145.5343706601871,61.428639765302314
-144.52299649321216,62.99903322606525
-146.54815862905602,62.330541746592345
-145.0,61.9
-134.2,56.5
-134.75,58.436944
-135.2875,58.0875
-135.733333,58.0
-135.477778,58.079167
-135.271944,58.06
-134.166667,57.833333
-134.2,56.5
-134.2,56.5
-131.633333,55.6
-133.066667,56.2
-132.666667,55.233333
-132.45,55.316667
-132.466667,55.416667
-132.466667,55.416667
-132.466667,55.416667
-131.95,55.616667
-145.30407253297474,62.301505349692725
-135.271944,58.06
-133.233333,57.1
-132.483333,55.75
-113.697334,48.09243
-132.916667,57.016667
-133.991667,57.9125
-132.966667,56.733333
-113.011944,46.336667
-115.946389,48.263611
-144.7865270673349,61.84150406371691
-144.7865270673349,61.84150406371691
-144.733333,61.75
-135.395,57.94475
-135.682,57.94905
-135.598,57.93049
-152.21345162483087,63.89793570490037
-152.21345162483087,63.89793570490037
-154.316481,60.264385
-149.1,65.666667
-135.65,57.4
-135.441667,58.108333
-136.0,58.0
-136.0,58.0
-135.166667,56.75
-135.341667,57.25
-152.483333,64.416667
-143.0,68.0
-143.0,68.0
-143.0,68.0
-152.0,65.0
-133.620833,56.354167
-131.633333,55.603333
-146.67687431961144,62.49944322557794
-139.5,59.5
-135.2875,58.0875
-135.420833,58.086111
-134.916667,58.916667
-134.261111,58.013889
-132.833333,56.666667
-135.183333,57.779167
-132.966667,56.802778
-146.27656358026704,61.88481492694347
-144.733333,61.75
-146.54815862905602,62.330541746592345
-145.083333,62.883333
-134.2,56.5
-135.658333,57.975
