name,latitude,longitude
Microtus oeconomus,60.78724,-161.774734
Microtus oeconomus,60.787849,-161.773511
Microtus oeconomus,68.5623,-149.49025
Microtus oeconomus,68.56068,-149.48666
Microtus oeconomus,68.62579,-149.32825
Microtus oeconomus,68.56068,-149.4866
Microtus oeconomus,69.56921,-138.916738
Microtus oeconomus,69.569275,-138.916648
Microtus oeconomus,69.569128,-138.916725
Microtus oeconomus,64.58997,-165.29133
Microtus oeconomus,64.58461,-165.58906
Microtus oeconomus,68.62579,-149.3285
Microtus oeconomus,68.6257,-149.3285
Microtus oeconomus,64.70013,-165.771705
Microtus oeconomus,68.646164,-149.574428
Microtus oeconomus,68.600789,-149.503828
Microtus oeconomus,68.599097,-149.507447
Microtus oeconomus,68.624715,-149.565958
Microtus oeconomus,68.642251,-149.581145
Microtus oeconomus,57.837056,-152.353714
Microtus oeconomus,65.09694,-164.68153
Microtus oeconomus,65.04885,-164.71654
Microtus oeconomus,64.62442,-165.68583
Microtus oeconomus,65.07456,-164.66824
Microtus oeconomus,65.3325,-151.1076
Microtus oeconomus,65.602225,-171.038741
Microtus oeconomus,68.628701,-149.344443
Microtus oeconomus,68.625906,-149.337798
Microtus oeconomus,69.568558,-138.915138
Microtus oeconomus,68.55405,-149.48499
Microtus oeconomus,68.62275,-149.31934
Microtus oeconomus,68.55908,-149.48425
Microtus oeconomus,68.55482,-149.48532
Microtus oeconomus,68.55831,-149.4841
Microtus oeconomus,68.62527,-149.3231
Microtus oeconomus,69.00111,-150.27716
Microtus oeconomus,68.61092,-149.55043
Microtus oeconomus,68.99886,-150.27747
Microtus oeconomus,68.61021,-149.55014
Microtus oeconomus,68.9994,-150.28023
Microtus oeconomus,68.99756,-150.28159
Microtus oeconomus,68.5623,-149.94025
Microtus oeconomus,68.3818,-149.345
Microtus oeconomus,69.00052,-150.27637
Microtus oeconomus,68.99746,-150.2796
Microtus oeconomus,68.93698,-150.27411
Microtus oeconomus,68.3733,-149.355
