name,latitude,longitude
Mus musculus,31.555769,-92.587115
Mus musculus,15.344772,-61.306747
Mus musculus,40.717456,-75.396654
Mus musculus,33.716583,-118.235733
Mus musculus,44.544828,-123.307472
Mus musculus,33.231746,-97.114558
Mus musculus,32.986893,-117.223313
Mus musculus,32.987032,-117.223335
Mus musculus,37.868195,-122.312724
Mus musculus,52.109771,-106.642158
Mus musculus,40.370136,-111.81356
Mus musculus,39.154064,-76.679642
Mus musculus,32.662273,-117.086887
Mus musculus,30.232922,-97.680299
Mus musculus,42.360914,-71.089836
Mus musculus,40.763624,-73.923094
Mus musculus,32.279036,-64.876672
Mus musculus,39.73317,-105.028175
Mus musculus,36.687314,-95.984473
Mus musculus,37.560185,-122.099183
Mus musculus,29.522645,-98.523697
Mus musculus,35.618502,-78.39003
Mus musculus,40.127323,-84.427882
Mus musculus,39.834975,-105.12317
Mus musculus,49.65438,-112.87496
Mus musculus,32.520592,-95.270892
Mus musculus,39.654521,-89.66304
Mus musculus,45.028906,-93.153188
Mus musculus,34.146781,-118.294485
Mus musculus,49.670774,-112.887901
Mus musculus,32.767256,-117.104286
Mus musculus,49.894845,-97.002131
Mus musculus,45.55356,-73.64092
Mus musculus,51.109328,-114.09146
Mus musculus,30.444686,-97.573458
Mus musculus,45.077139,-67.053837
Mus musculus,49.241319,-123.113112
Mus musculus,32.742051,-117.070408
Mus musculus,37.939189,-122.357381
Mus musculus,30.284072,-97.781669
Mus musculus,42.375038,-71.249409
Mus musculus,48.408517,-123.368033
Mus musculus,32.685287,-117.046158
Mus musculus,32.730127,-117.214935
Mus musculus,41.300766,-105.577638
Mus musculus,34.805523,-80.159117
Mus musculus,31.179509,-92.415601
Mus musculus,39.597308,-104.694825
Mus musculus,35.103495,-84.932183
Mus musculus,40.8052,-73.955447
Mus musculus,33.825597,-118.359572
Mus musculus,58.384134,-134.582917
Mus musculus,40.183142,-105.14924
Mus musculus,36.610719,-87.364323
Mus musculus,45.204133,-117.870943
Mus musculus,37.77984,-122.49013
Mus musculus,42.42418,-89.048496
Mus musculus,40.013829,-75.190981
Mus musculus,50.903367,-113.919276
Mus musculus,35.222553,-97.45993
Mus musculus,49.888273,-97.176556
Mus musculus,30.264744,-97.741642
Mus musculus,32.056038,-84.217508
Mus musculus,35.68692,-84.134064
Mus musculus,49.289314,-123.040637
Mus musculus,40.122424,-84.475406
Mus musculus,37.469631,-122.43042
Mus musculus,29.304275,-98.524702
Mus musculus,34.372312,-88.721176
Mus musculus,51.093597,-114.091369
Mus musculus,39.162827,-77.203692
Mus musculus,40.668064,-73.988464
Mus musculus,40.764786,-73.927287
Mus musculus,30.998323,-92.226193
Mus musculus,39.981853,-105.11225
Mus musculus,39.284563,-76.608274
Mus musculus,18.967067,-99.22248
Mus musculus,37.868603,-122.260575
Mus musculus,34.605957,-86.745059
Mus musculus,60.715708,-135.084733
Mus musculus,33.402038,-88.752341
Mus musculus,38.049689,-97.844278
Mus musculus,34.839408,-92.493697
Mus musculus,41.94357,-78.67337
Mus musculus,42.918301,-112.508397
Mus musculus,39.062666,-108.595414
Mus musculus,38.090701,-78.471648
Mus musculus,38.941932,-77.023346
Mus musculus,37.147881,-94.47448
Mus musculus,40.69875,-111.922983
Mus musculus,51.058728,-114.031914
Mus musculus,47.870491,-116.851814
Mus musculus,35.657811,-105.921917
Mus musculus,40.941519,-124.098926
Mus musculus,41.858206,-87.671024
Mus musculus,39.372121,-76.670395
Mus musculus,33.272197,-96.317542
Mus musculus,40.649795,-73.963254
Mus musculus,38.898737,-76.88335
Mus musculus,34.105221,-82.59503
Mus musculus,19.412222,-99.090556
Mus musculus,32.847547,-117.278547
Mus musculus,38.763325,-76.384238
Mus musculus,33.811778,-85.106293
Mus musculus,35.566111,-83.056726
Mus musculus,31.154842,-83.821988
Mus musculus,38.752838,-76.382206
Mus musculus,39.134196,-77.205506
Mus musculus,38.83533,-77.504905
Mus musculus,29.23755,-90.002036
Mus musculus,35.70681,-82.574495
Mus musculus,41.541438,-93.576939
Mus musculus,29.237594,-90.002064
Mus musculus,29.236805,-90.003569
Mus musculus,39.941917,-75.178459
Mus musculus,30.246967,-90.877906
Mus musculus,29.237792,-90.001586
Mus musculus,29.237517,-90.002075
Mus musculus,40.769014,-73.935825
Mus musculus,19.258947,-99.017853
Mus musculus,28.185576,-97.43121
Mus musculus,32.962314,-97.139386
Mus musculus,43.800278,-79.232434
Mus musculus,37.226488,-121.806228
Mus musculus,35.111831,-106.422593
Mus musculus,40.462161,-79.944453
Mus musculus,19.399723,-99.170686
Mus musculus,19.208668,-98.783769
Mus musculus,34.109831,-118.145316
Mus musculus,35.229059,-83.318983
Mus musculus,34.797385,-76.460199
Mus musculus,30.105275,-97.353837
Mus musculus,25.419183,-100.143718
Mus musculus,39.167186,-77.003939
Mus musculus,45.277691,-66.072372
Mus musculus,45.96177,-66.643418
Mus musculus,49.919472,-125.186111
Mus musculus,42.062258,-93.640854
Mus musculus,29.978583,-97.89193
Mus musculus,40.779295,-124.147767
Mus musculus,42.852506,-112.438697
Mus musculus,44.961976,-93.239853
Mus musculus,42.339847,-71.080139
Mus musculus,33.177222,-117.368056
Mus musculus,42.354752,-71.14978
Mus musculus,41.83266,-87.800651
Mus musculus,40.459995,-79.951583
Mus musculus,41.78694,-71.419253
Mus musculus,39.237103,-77.23838
Mus musculus,14.123436,-88.390955
Mus musculus,19.378876,-99.178872
Mus musculus,19.465508,-98.884415
Mus musculus,24.096568,-110.308533
Mus musculus,44.142589,-123.427995
Mus musculus,40.249508,-111.631177
Mus musculus,40.86551,-73.205625
Mus musculus,34.407392,-101.046005
Mus musculus,38.89464,-77.068556
Mus musculus,45.016732,-93.125537
Mus musculus,40.31986,-75.397314
Mus musculus,49.287162,-122.796149
Mus musculus,40.649078,-74.002992
Mus musculus,39.631009,-86.099642
Mus musculus,24.359148,-106.776017
Mus musculus,43.613919,-91.243674
Mus musculus,19.403151,-99.018026
Mus musculus,38.305125,-76.646728
Mus musculus,40.127378,-84.430595
Mus musculus,49.237442,-122.812333
Mus musculus,61.204729,-149.89482
Mus musculus,28.276278,-105.478607
Mus musculus,42.37375,-71.113083
Mus musculus,36.141797,-95.937277
Mus musculus,40.753982,-74.030255
Mus musculus,49.170259,-122.806832
Mus musculus,29.412625,-82.561714
Mus musculus,40.640923,-73.957338
Mus musculus,40.996197,-73.859199
Mus musculus,18.305293,-66.287587
Mus musculus,29.777645,-95.608688
Mus musculus,46.860088,-96.74869
Mus musculus,36.9233,-121.748675
Mus musculus,34.495504,-118.621879
Mus musculus,42.470267,-71.310778
Mus musculus,43.078525,-89.37088
Mus musculus,34.043837,-118.266836
Mus musculus,45.482092,-122.629243
Mus musculus,44.930489,-93.232133
Mus musculus,40.778692,-111.866705
Mus musculus,37.274067,-122.09894
Mus musculus,34.494244,-114.325162
Mus musculus,43.452371,-82.633201
Mus musculus,35.781,-78.3697
Mus musculus,44.254176,-79.255409
Mus musculus,30.080746,-97.844409
Mus musculus,33.535623,-117.779182
Mus musculus,44.972313,-93.334095
Mus musculus,38.394203,-122.839888
Mus musculus,38.92593,-77.037742
Mus musculus,33.161453,-117.218712
Mus musculus,40.797328,-96.707965
Mus musculus,34.076767,-118.276108
Mus musculus,37.874318,-122.263864
Mus musculus,35.098837,-120.721374
Mus musculus,40.026561,-75.211403
Mus musculus,38.968371,-76.987467
Mus musculus,44.981908,-93.06475
Mus musculus,50.970009,-114.086095
Mus musculus,36.415125,-90.623049
Mus musculus,39.635138,-76.269287
Mus musculus,36.414975,-90.622952
Mus musculus,37.808172,-122.223564
Mus musculus,35.383215,-97.54566
Mus musculus,20.881095,-156.546355
Mus musculus,40.754051,-73.89175
Mus musculus,42.463737,-71.094078
Mus musculus,37.552851,-77.475057
Mus musculus,33.98883,-118.403105
Mus musculus,19.33324,-98.984207
Mus musculus,42.376183,-71.116958
Mus musculus,31.918333,-116.605
Mus musculus,31.918889,-116.604722
Mus musculus,34.08848,-118.17969
Mus musculus,31.916667,-116.604444
Mus musculus,31.918056,-116.604722
Mus musculus,42.303503,-71.087056
Mus musculus,40.461195,-79.938972
Mus musculus,42.378631,-71.242604
Mus musculus,37.594881,-122.003097
Mus musculus,32.558136,-117.051165
Mus musculus,40.624432,-74.035525
Mus musculus,45.536168,-94.355665
Mus musculus,60.766083,-135.1382
Mus musculus,29.82062,-98.543377
Mus musculus,32.984246,-114.495258
Mus musculus,40.008176,-75.277161
Mus musculus,36.181953,-95.924912
Mus musculus,51.045646,-114.024226
Mus musculus,19.752305,-155.142717
Mus musculus,37.81057,-122.24627
Mus musculus,34.11384,-118.222555
Mus musculus,38.882192,-78.169985
Mus musculus,32.612553,-116.970938
Mus musculus,35.149756,-106.726969
Mus musculus,40.87221,-73.925555
Mus musculus,31.909444,-116.603611
Mus musculus,45.20407,-117.871161
Mus musculus,38.544141,-78.405165
Mus musculus,36.140972,-95.947158
Mus musculus,40.753312,-73.893524
Mus musculus,45.204402,-117.869977
Mus musculus,45.204208,-117.871161
Mus musculus,46.183596,-123.828956
Mus musculus,40.774072,-73.952807
Mus musculus,37.416471,-122.164723
Mus musculus,37.80132,-122.43228
Mus musculus,40.480986,-111.876765
Mus musculus,39.929756,-83.199093
Mus musculus,32.667171,-97.021085
Mus musculus,40.319944,-75.397232
Mus musculus,25.646342,-80.3228
Mus musculus,44.938803,-93.221778
Mus musculus,31.91905,-116.605151
Mus musculus,41.83166,-87.672907
Mus musculus,61.189175,-149.889983
Mus musculus,19.729583,-99.031867
Mus musculus,35.358813,-79.894583
Mus musculus,43.649085,-79.446811
Mus musculus,33.687912,-117.713792
Mus musculus,41.256537,-95.934503
Mus musculus,61.195647,-149.880447
Mus musculus,40.435203,-111.911805
Mus musculus,40.770841,-73.952165
Mus musculus,35.251911,-97.43192
