name,latitude,longitude
Myotis ciliolabrum,34.763524,-107.929497
Myotis ciliolabrum,38.849173,-101.005908
Myotis ciliolabrum,40.141261,-113.25438
Myotis ciliolabrum,41.716646,-103.672907
Myotis ciliolabrum,45.198017,-109.241888
Myotis ciliolabrum,32.83754,-116.541375
Myotis ciliolabrum,42.84021,-103.003815
Myotis ciliolabrum,43.8779,-101.961028
Myotis ciliolabrum,44.055253,-108.722755
Myotis ciliolabrum,37.7,-113.1
Myotis ciliolabrum,41.716663,-103.672916
Myotis ciliolabrum,41.716667,-103.672913
Myotis ciliolabrum,41.716652,-103.672921
Myotis ciliolabrum,32.267638,-110.853669
Myotis ciliolabrum,31.887847,-109.171639
Myotis ciliolabrum,41.875275,-103.642129
Myotis ciliolabrum,41.875836,-103.642843
Myotis ciliolabrum,33.439018,-107.894726
Myotis ciliolabrum,33.438854,-107.894512
Myotis ciliolabrum,33.951486,-107.50346
Myotis ciliolabrum,49.066371,-118.53198
Myotis ciliolabrum,49.047311,-118.534441
Myotis ciliolabrum,31.88706,-109.173132
Myotis ciliolabrum,31.885587,-109.173623
Myotis ciliolabrum,32.336951,-110.719355
Myotis ciliolabrum,31.884041,-109.174369
Myotis ciliolabrum,31.887386,-109.172453
Myotis ciliolabrum,31.403866,-111.241418
Myotis ciliolabrum,31.403458,-111.242009
Myotis ciliolabrum,49.007966,-107.282595
Myotis ciliolabrum,49.598667,-111.35318
Myotis ciliolabrum,47.32521,-106.171257
Myotis ciliolabrum,41.716671,-103.672903
Myotis ciliolabrum,38.990892,-114.218544
Myotis ciliolabrum,41.716646,-103.673204
Myotis ciliolabrum,49.69216,-112.856295
Myotis ciliolabrum,28.550611,-105.874286
Myotis ciliolabrum,33.628003,-116.506628
Myotis ciliolabrum,24.370237,-104.912128
Myotis ciliolabrum,35.142906,-116.103439
Myotis ciliolabrum,43.992947,-107.21097
Myotis ciliolabrum,39.9129,-105.2277
Myotis ciliolabrum,51.479038,-112.789345
Myotis ciliolabrum,44.370569,-103.742124
Myotis ciliolabrum,41.716758,-103.673114
Myotis ciliolabrum,39.985548,-105.227779
Myotis ciliolabrum,36.485237,-121.167526
Myotis ciliolabrum,33.13,-117.05
Myotis ciliolabrum,39.00564,-114.21992
Myotis ciliolabrum,34.7306,-107.91241
Myotis ciliolabrum,35.779726,-106.271802
Myotis ciliolabrum,35.779695,-106.27185
Myotis ciliolabrum,32.57711999914347,-107.92270999999998
Myotis ciliolabrum,33.2,-117.1
Myotis ciliolabrum,46.821348,-119.160061
Myotis ciliolabrum,32.58533999914336,-107.92115
