longitude,latitude
-73.393928,44.081783
-77.960371,42.666373
-76.509476,42.438103
-76.655259,42.276659
-71.92277,44.23785
-85.607029,34.668592
-84.6947,45.580387
-85.7957,34.5122
-76.509476,42.438103
-76.509476,42.438103
-77.960371,42.666373
-74.0203,42.6643
-84.6947,45.580387
-77.960371,42.666373
-88.34611,37.456236
-89.31739,37.259535
-79.083054,38.357777
-92.197998,34.864897
-64.36718,49.808524
-73.299802,41.554172
-92.197998,34.864897
-73.219447,42.534411
-58.177866,48.756152
-69.858266,44.329916
-71.566177,42.39176
-88.240946,47.160666
-89.043856,41.340585
-135.31023,59.46554
-132.83499,55.44977
-135.31023,59.46554
-132.83528,55.44953
-133.283333,56.166667
-135.32916,59.45799
-134.784,58.48
-134.58538,58.41132
-134.58634,58.41169
-134.58843,58.41235
-135.33601,59.47985
-134.73824,58.51512
-135.26372,59.50258
-135.433333,58.1
-130.64479,55.09352
-135.26372,59.50258
-135.2641,59.50268
-135.32916,59.45799
-109.675761,43.029546
-72.5558,41.5622
-71.860049,43.745144
-72.9792,42.2792
-123.1,47.733333
-123.22265925575934,47.42141112202557
-123.04486898974957,48.0789111576115
-78.6,45.55
-72.938887,42.289415
-58.506111,48.797778
-66.768056,44.688889
-69.858266,44.329916
-71.688141,44.28034
-58.506111,48.797778
-66.8,44.7
-89.043856,41.340585
-89.043856,41.340585
-66.989979,44.906191
-72.938887,42.289415
-73.299802,41.554172
-71.339119,41.792402
-72.978712,42.279255
-73.77319,44.15727
-72.938887,42.289415
-71.566177,42.39176
-71.688141,44.28034
-71.566177,42.39176
-88.240946,47.160666
-73.299802,41.554172
-70.366757,41.673445
-70.366757,41.673445
-72.938887,42.289415
-72.938887,42.289415
-73.77319,44.15727
-70.952565,44.798774
-71.1373,42.325799
-89.043856,41.340585
-69.858266,44.329916
-58.684849,48.556201
-66.821632,44.698139
-70.952565,44.798774
-69.858266,44.329916
-77.0,45.5
-70.618364,41.64594
-89.043856,41.340585
-70.618364,41.64594
-72.037023,42.563144
-73.299802,41.554172
-66.989979,44.906191
-89.043856,41.340585
-72.938887,42.289415
-73.299802,41.554172
-123.56820367041031,48.13137583123237
-122.9851458493079,48.45582115519283
-123.97439651264868,47.47387347442687
-122.677521,39.182364
-71.582993,42.501049
-73.299802,41.554172
-71.649513,42.543702
-72.92705,43.651456
-70.06026,41.669599
-72.938887,42.289415
-71.963934,42.879068
-72.938887,42.289415
-87.90390513798788,45.786924052543675
-87.90390513798788,45.786924052543675
-87.90390513798788,45.786924052543675
-83.37166380688961,45.18673162459236
-83.37166380688961,45.18673162459236
-83.49486759252014,45.18773155669156
-83.37166380688961,45.18673162459236
-85.13692001576749,46.23022591175947
-87.66509997967349,46.49352204553166
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-84.62580344011508,45.86522766337564
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-86.36044772897756,41.881656950574225
-87.93880628475387,45.805923919499556
-84.3447956208573,46.49532574420188
-87.66509997967349,46.49352204553166
-83.43146551547048,45.06053228390438
-84.71490620464374,45.86172760651296
-85.6679297145111,42.963246332378986
-85.21091994990667,44.98023142872441
-89.3175,46.8729
-84.98476881757301,42.62884035998673
-83.38836433406863,45.2010315401626
-83.38836433406863,45.2010315401626
-85.1568206101956,46.215225942843404
-84.8245067727113,44.20033680764795
-86.36094778593345,41.89960674147514
-86.36094778593345,41.89960674147514
-86.36094778593345,41.89960674147514
-86.36094778593345,41.89960674147514
-86.36094778593345,41.89960674147514
-86.36094778593345,41.89960674147514
-87.99100793178076,45.81352380417995
-87.39329159718235,46.5456223165726
-84.98476881757301,42.62884035998673
-87.99100793178076,45.81352380417995
-96.1668280484784,41.01684377833095
-72.96945854430216,42.26994907236646
-72.96945854430216,42.26994907236646
-79.70139,39.76694
-79.70139,39.76694
-96.1668280484784,41.01684377833095
-96.1668280484784,41.01684377833095
-72.96945854430216,42.26994907236646
-72.96945854430216,42.26994907236646
-72.96945854430216,42.26994907236646
-84.81181019807607,46.4383255534543
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-86.66836657619473,45.71802613615714
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-86.66836657619473,45.71802613615714
-84.81181019807607,46.4383255534543
-86.66836657619473,45.71802613615714
-84.81181019807607,46.4383255534543
-86.66836657619473,45.71802613615714
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-84.81181019807607,46.4383255534543
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-86.66836657619473,45.71802613615714
-84.62580344011508,45.86522766337564
-87.44099227759784,46.28102300014453
-88.06551025286586,45.815423674312825
-88.63022878035659,46.08312170360133
-85.01071335744957,44.72703311693153
-85.01071335744957,44.72703311693153
-85.01071335744957,44.72703311693153
-85.00111311394552,44.754632955976504
-85.00111311394552,44.754632955976504
-85.00111311394552,44.754632955976504
-85.00111311394552,44.754632955976504
-85.62043204762662,44.76303229285708
-88.04040947872451,45.81712370886786
-94.10024112745262,36.42155335176573
-73.35057155968634,41.578858261322424
-73.09862889143962,43.254658756191944
-73.09862889143962,43.254658756191944
-72.96945854430216,42.26994907236646
-73.35057155968634,41.578858261322424
-72.96945854430216,42.26994907236646
-72.96945854430216,42.26994907236646
-75.81528,40.53167
-80.43677437731316,37.71792658221041
-73.35057155968634,41.578858261322424
-73.35057155968634,41.578858261322424
-72.96945854430216,42.26994907236646
-72.96945854430216,42.26994907236646
-75.81528,40.53167
-72.72138690103108,43.535765350351824
-75.85972,40.52083
-106.81700347668135,29.443237314323955
