name,latitude,longitude
Myotis lucifugus,41.312787,-81.415358
Myotis lucifugus,43.345481,-73.079608
Myotis lucifugus,43.275692,-89.671513
Myotis lucifugus,44.01577,-74.868878
Myotis lucifugus,36.898066,-80.845575
Myotis lucifugus,44.553775,-80.348176
Myotis lucifugus,53.376705,-112.855884
Myotis lucifugus,43.412819,-70.211075
Myotis lucifugus,45.352215,-81.76962
Myotis lucifugus,44.990169,-85.673032
Myotis lucifugus,43.772995,-73.768202
Myotis lucifugus,51.001327,-56.812234
Myotis lucifugus,39.617847,-84.057874
Myotis lucifugus,45.59892,-75.108449
Myotis lucifugus,41.299591,-70.486923
Myotis lucifugus,44.296648,-80.533806
Myotis lucifugus,38.914013,-82.11605
Myotis lucifugus,53.197392,-117.912262
Myotis lucifugus,46.322739,-62.601823
Myotis lucifugus,49.949891,-119.553855
Myotis lucifugus,45.140212,-93.033979
Myotis lucifugus,46.308698,-62.766473
Myotis lucifugus,44.770549,-79.594229
Myotis lucifugus,41.332954,-81.582865
Myotis lucifugus,41.94929,-91.646133
Myotis lucifugus,57.254815,-154.137325
Myotis lucifugus,41.650674,-103.620517
Myotis lucifugus,61.368272,-149.555444
Myotis lucifugus,61.270069,-149.466704
Myotis lucifugus,41.331948,-81.412556
Myotis lucifugus,45.064821,-64.460267
Myotis lucifugus,45.124917,-63.381635
Myotis lucifugus,41.169899,-74.212503
Myotis lucifugus,50.985975,-114.100399
Myotis lucifugus,52.583577,-110.009913
Myotis lucifugus,43.335339,-111.211055
Myotis lucifugus,47.193324,-92.552704
Myotis lucifugus,52.583841,-110.009956
Myotis lucifugus,44.424561,-78.393757
Myotis lucifugus,39.82098,-105.545745
Myotis lucifugus,44.898352,-123.145342
Myotis lucifugus,47.330596,-79.440804
Myotis lucifugus,44.856826,-79.968966
Myotis lucifugus,47.007998,-92.559942
Myotis lucifugus,47.048222,-92.425894
Myotis lucifugus,47.09793,-92.489212
Myotis lucifugus,47.120618,-92.550494
Myotis lucifugus,47.033034,-92.488819
Myotis lucifugus,46.920323,-122.394969
Myotis lucifugus,41.008053,-121.581212
Myotis lucifugus,43.361625,-79.934156
Myotis lucifugus,41.113027,-81.521308
Myotis lucifugus,60.875314,-135.353097
Myotis lucifugus,45.376827,-86.902155
Myotis lucifugus,51.041341,-114.019368
Myotis lucifugus,43.483532,-80.3801
Myotis lucifugus,49.178687,-119.4281
Myotis lucifugus,60.750986,-135.099739
Myotis lucifugus,41.249716,-85.124113
Myotis lucifugus,53.232528,-112.512764
Myotis lucifugus,44.003317,-90.429162
Myotis lucifugus,45.2594,-77.513253
Myotis lucifugus,60.772213,-136.207003
Myotis lucifugus,43.023482,-76.00353
Myotis lucifugus,44.99357,-80.011751
Myotis lucifugus,41.053419,-124.18548
Myotis lucifugus,41.107468,-124.090755
