longitude,latitude
-122.291734,37.499275
-123.062806,38.340301
-122.066463,36.969471
-124.051784,49.61832
-115.73491,51.190428
-123.342408,48.411322
-123.948529,49.222282
-122.069344,37.237545
-123.341569,48.411247
-122.865386,48.683261
-106.359313,39.246672
-121.904749,36.625295
-120.662494,35.305005
-112.225342,41.043627
-122.060872,36.991386
-116.570777,34.050898
-103.283125,44.027164
-121.7761,37.149873
-116.642539,33.082136
-122.005706,49.035805
-122.604325,38.414864
-123.081925,51.117366
-119.463764,49.907313
-115.762733,30.123378
-111.431248,41.155832
-122.688569,38.569116
-123.971032,49.208759
-122.168655,39.427243
-112.913361,37.221034
-135.30794,60.864587
-122.0653,36.956072
-123.970513,49.208168
-116.108515,43.011353
-117.610208,33.669343
-122.250433,37.466744
-123.341263,48.410987
-113.285856,54.721198
-122.939912,47.079528
-119.930345,37.527524
-104.971802,38.039656
-122.193838,37.833767
-111.456405,39.544571
-105.746689,32.947617
-108.37655,31.138766
-122.512046,38.342837
-114.611822,51.241885
-123.33465,43.29316
-123.402222,48.760197
-122.522972,38.350848
-122.478685,48.751911
-122.171726,37.327323
-122.54518,38.30648
-122.549256,37.981394
-112.001221,41.249439
-119.496375,49.910788
-118.365128,34.43388
-122.086982,37.558143
-104.87915,38.878022
-122.963556,45.474278
-122.096199,42.901195
-105.316689,39.988117
-122.521041,38.350658
-118.398683,34.394203
-121.777471,36.68457
-107.514402,49.145175
-111.830864,34.812857
-121.308868,38.619154
-122.302986,37.440544
-123.972184,49.208546
-121.907863,37.749856
-105.74824,32.949022
-124.03946,49.623052
-123.983452,49.204153
-121.896099,36.961989
-122.072518,47.555673
-123.364436,48.461899
-121.460872,37.074284
-122.512046,38.342837
-110.825858,32.283467
-122.06333,37.233528
-111.8526,40.75429
-122.072208,41.339861
-122.522268,38.350517
-106.545943,52.126314
-121.774454,36.243632
-116.571873,32.978668
-122.120666,37.334605
-108.329612,31.140722
-122.387838,37.319794
-116.704222,33.033719
-106.877072,33.806812
-122.89909,41.45655
-119.95029,37.47911
-105.502764,37.744561
-122.059255,36.982057
-107.76419,38.242943
-121.289118,38.151608
-116.576032,33.313216
-112.122386,36.053921
-122.51903,38.351526
-123.061005,38.327075
-104.587191,38.864339
-122.469722,42.174167
-105.512559,37.740687
-110.840124,40.864006
-119.967557,37.564181
-122.570595,37.891783
-117.653021,45.088383
-120.72482,38.699658
-117.871445,45.204269
-123.98888,49.209977
-122.172397,37.326541
-121.310638,38.617334
-105.745731,32.952001
-119.813772,37.429743
-124.261133,40.576958
-123.344545,48.412967
-108.376368,31.138918
-120.249915,39.347057
-122.923732,38.204105
-122.51903,38.351526
-117.51098,47.72336
-106.294333,42.845887
-121.997712,37.179579
-120.620495,40.36491
-122.806816,39.017511
-123.952545,45.168297
-123.478952,48.511378
-103.566977,28.845236
-105.800856,32.805816
-106.516902,31.860841
-122.507322,37.526303
-122.061539,36.996811
-122.080433,36.953322
-122.125455,41.114329
-121.731493,37.349739
-123.481292,49.523309
-122.837635,47.652318
-121.941946,49.188927
-118.062519,34.174723
-121.904456,36.548444
-122.651108,48.964583
-111.119149,32.312702
-105.15287,39.650311
-122.512046,38.342837
-112.864363,49.739081
-123.97125,49.173203
-113.803669,48.671497
-118.193558,37.502589
-119.420067,37.908154
-116.096843,43.542238
-105.821717,32.950455
-123.082536,49.379945
-125.228753,49.984045
-104.854814,39.813014
-116.507805,45.8124
-110.641145,31.674683
-112.141175,36.057871
-122.51903,38.351526
-116.72616,33.074486
-122.062071,36.98511
-122.465287,38.2981
-119.91442,38.4809
-120.782588,37.184961
-122.063532,37.312683
-105.650444,33.366413
-105.744728,32.954064
-125.219908,49.963847
-112.947004,37.285244
-114.139518,51.118497
-119.968582,37.564066
-123.711753,39.19016
-123.29921,42.92646
-117.058487,32.827338
-105.317215,39.633321
-121.588722,36.987853
-124.075211,40.87692
-104.85355,39.815235
-103.477213,46.929399
-102.789421,30.228304
-104.804878,39.749981
-122.514702,38.350426
-123.329292,48.456962
-120.662494,35.305005
-122.555388,38.017028
-121.397124,49.031908
-110.844872,40.270538
-122.502595,38.006983
-105.161444,39.689658
-106.231702,31.409668
-108.489716,37.168888
-118.341996,34.13515
-118.839914,36.666988
-121.718355,37.334103
-105.63108,39.905083
-121.782039,37.216028
-122.516596,38.351037
-122.793797,38.043117
-103.437099,38.934097
-120.853825,50.629703
-116.150026,43.568195
-122.973749,38.213281
-123.400808,48.428164
-114.057034,51.020929
-106.469422,51.037603
-121.84176,37.216759
-122.724023,38.537739
-104.60579,38.855958
-122.415657,40.714417
-123.315002,48.474724
-113.846458,52.266342
-105.004492,39.24784
-111.863013,40.518596
-105.275701,40.024896
-122.521041,38.350658
-123.738358,48.359158
-118.704936,34.101899
-105.296841,40.02077
-105.628843,40.395623
-122.523352,38.352198
-113.345475,37.61226
-117.871287,45.203511
-106.489108,35.121488
-122.51903,38.351526
-122.514702,38.350426
-116.743515,33.155415
-105.164762,39.749742
-122.680542,48.024168
-110.991534,41.315465
-122.516596,38.351037
-121.922258,37.849331
-105.604623,32.922673
-123.318198,48.46837
-122.032842,49.032795
-118.60627,34.42365
-119.846791,37.502422
-111.850762,37.726055
-123.49907,47.970695
-119.317715,34.405724
-123.832127,47.953128
-119.671715,49.002804
-119.861117,37.400723
-121.803672,37.396428
-121.70869,39.85767
-112.843221,53.01927
-104.865852,39.823853
-123.967084,49.206729
-122.060872,36.991386
-122.18691,37.165182
-122.132561,37.818961
-111.964417,42.085994
-116.079906,44.946571
-103.753,41.661207
-121.910438,36.609133
-122.246132,37.869453
-121.299244,36.912432
-122.616378,38.44367
-121.932852,36.632541
-112.769659,51.489972
-119.647921,48.178076
-121.708851,39.864209
-110.681763,43.790428
-116.515351,32.69926
-123.312804,48.420158
-122.580422,38.073534
-105.162886,40.101191
-111.831795,40.379234
-122.514702,38.350426
-120.091029,50.654004
-121.451577,45.406902
-135.321651,57.050114
-122.768483,48.132993
-122.522313,38.35048
-105.544624,37.741834
-123.969619,49.205745
-112.842762,53.009139
-123.521263,45.097472
-122.523174,38.35171
-122.51903,38.351526
-122.058956,36.951518
-108.488693,37.183782
-124.02275,41.363608
-112.846167,49.706242
-116.83947,34.138499
-114.76821,43.331539
-117.050623,33.178243
-114.230059,39.090915
-122.977348,51.017557
-121.968697,36.582385
-116.030602,50.496555
-123.395648,48.533614
-120.662494,35.305005
-117.657297,33.690654
-125.972389,49.776056
-122.612708,38.100447
-117.604789,33.652461
-120.779802,37.205037
-118.328228,33.342819
-122.086311,37.330567
-110.388866,41.314394
-122.028636,47.822424
-104.763533,39.207592
-123.971223,49.209835
-118.048839,34.168113
-113.0263,37.298202
-105.275308,40.024934
-121.759716,36.65028
-111.176594,39.759264
-121.095752,36.42636
-122.514702,38.350426
-116.409648,33.071718
-124.049423,49.610227
-122.514692,38.350434
-120.762945,38.660894
-119.755403,39.25123
-122.500922,40.801608
-122.521041,38.350658
-123.36039,49.397163
-111.618031,40.572466
-122.51903,38.351526
-110.611351,31.641756
-118.739038,36.60809
-121.17691,36.482934
-122.578356,38.415372
-122.873553,38.116789
-116.561247,32.928463
-125.21982,49.964008
-104.725318,38.888438
-122.14921,37.023386
-118.835237,36.663445
-105.74644,32.946272
-111.291395,44.724565
-122.521041,38.350658
-109.719946,31.561553
-123.303056,42.9225
-123.505211,47.970272
-103.671888,41.833867
-116.032,50.498091
-122.383733,37.557805
-119.829623,37.512014
-108.487233,38.868726
-123.35434,48.500011
-118.283637,34.295167
-119.980265,37.555248
-122.492989,48.02384
-123.331595,44.410809
-107.761502,38.247517
-110.68888,50.03884
-105.275252,39.659259
-121.353285,38.573567
-121.783863,37.140961
-122.58914,38.016147
-104.890906,39.011762
-111.583663,35.215053
-122.64232,38.490908
-117.747012,33.566126
