name,latitude,longitude
Ovis dalli,60.984891,-149.604077
Ovis dalli,60.169287,-134.602075
Ovis dalli,61.002833,-149.66385
Ovis dalli,60.195703,-134.565333
Ovis dalli,61.006135,-149.688134
Ovis dalli,60.292644,-134.720778
Ovis dalli,61.007452,-149.695435
Ovis dalli,61.240749,-138.560616
Ovis dalli,58.969915,-125.714324
Ovis dalli,58.924476,-125.796092
Ovis dalli,58.800452,-125.542708
Ovis dalli,59.068694,-125.834727
Ovis dalli,64.59227,-138.2173
Ovis dalli,64.59233,-138.2462
Ovis dalli,64.647729,-140.62987
Ovis dalli,63.091315,-151.192606
Ovis dalli,61.016463,-149.732617
Ovis dalli,61.006782,-149.694386
Ovis dalli,61.012395,-149.693627
Ovis dalli,60.985182,-149.610447
Ovis dalli,61.008278,-135.917725
Ovis dalli,63.535667,-149.828777
Ovis dalli,59.157614,-125.791668
Ovis dalli,63.522227,-150.043888
Ovis dalli,61.006428,-135.911606
Ovis dalli,60.504001,-149.991218
Ovis dalli,63.753377,-149.46517
Ovis dalli,61.011878,-149.687488
Ovis dalli,64.509673,-138.120464
Ovis dalli,60.984075,-149.521961
Ovis dalli,63.942744,-149.797845
Ovis dalli,60.997786,-149.776893
Ovis dalli,61.026538,-149.766534
Ovis dalli,58.843243,-125.600356
Ovis dalli,58.990168,-125.761442
Ovis dalli,58.793104,-124.775405
Ovis dalli,60.982942,-149.59378
Ovis dalli,63.087165,-151.192606
Ovis dalli,63.580774,-149.367697
Ovis dalli,63.55777,-149.664983
Ovis dalli,58.95073,-125.770177
Ovis dalli,61.007772,-149.694306
Ovis dalli,60.011295,-134.6688
Ovis dalli,60.322868,-134.985919
Ovis dalli,61.022341,-138.522435
Ovis dalli,60.318321,-134.96635
Ovis dalli,64.511951,-138.12869
Ovis dalli,60.32512,-134.963346
Ovis dalli,59.92756,-134.866291
Ovis dalli,58.460298,-124.767075
Ovis dalli,60.510053,-135.212983
Ovis dalli,58.627081,-124.614594
Ovis dalli,58.648291,-124.708044
Ovis dalli,58.612462,-124.79706
Ovis dalli,58.643743,-124.660349
Ovis dalli,61.035492,-149.619767
Ovis dalli,61.121315,-149.619469
Ovis dalli,60.347494,-136.005945
Ovis dalli,57.755725,-129.80242
Ovis dalli,61.069605,-149.605763
Ovis dalli,63.269849,-151.073815
Ovis dalli,61.002156,-149.55162
Ovis dalli,61.020445,-138.509431
Ovis dalli,58.663992,-124.559092
Ovis dalli,60.985316,-149.600707
Ovis dalli,59.843395,-127.419777
Ovis dalli,60.985645,-149.605448
Ovis dalli,61.482812,-148.699766
Ovis dalli,60.931442,-149.360055
Ovis dalli,60.817845,-149.940908
Ovis dalli,60.984834,-149.593915
Ovis dalli,61.001312,-138.510197
Ovis dalli,60.752578,-135.523589
Ovis dalli,61.015284,-138.536736
Ovis dalli,61.027311,-138.521956
Ovis dalli,62.106757,-133.182812
Ovis dalli,58.707047,-124.79734
Ovis dalli,62.244111,-133.330917
Ovis dalli,63.536411,-149.813723
Ovis dalli,63.735966,-149.29815
Ovis dalli,63.588519,-149.580396
Ovis dalli,63.553217,-149.741425
Ovis dalli,63.655699,-148.827244
Ovis dalli,63.655769,-148.827136
Ovis dalli,58.727604,-124.942277
Ovis dalli,58.604062,-125.424093
Ovis dalli,63.526855,-149.897568
Ovis dalli,63.565013,-149.641937
Ovis dalli,64.504403,-138.127669
Ovis dalli,63.784614,-148.374524
Ovis dalli,63.537225,-149.906123
Ovis dalli,63.53597,-149.908968
Ovis dalli,63.1148,-151.192606
Ovis dalli,63.545487,-149.657061
Ovis dalli,61.181557,-149.21446
Ovis dalli,61.334861,-149.03284
Ovis dalli,66.244234,-136.854034
Ovis dalli,63.479736,-150.14167
Ovis dalli,65.076503,-138.358268
Ovis dalli,59.338063,-126.330519
Ovis dalli,64.504967,-138.127808
Ovis dalli,63.91107,-149.451675
Ovis dalli,63.738465,-149.252007
Ovis dalli,63.790763,-150.71151
Ovis dalli,63.740727,-149.254292
Ovis dalli,60.931579,-149.326589
Ovis dalli,69.161557,-140.15665
Ovis dalli,59.061342,-125.865218
Ovis dalli,61.006727,-149.693538
Ovis dalli,58.693525,-124.798445
Ovis dalli,58.853682,-125.751626
Ovis dalli,59.256198,-125.949775
Ovis dalli,58.668083,-124.654028
Ovis dalli,63.114993,-151.192627
Ovis dalli,63.555675,-149.536846
Ovis dalli,63.1968,-148.583743
Ovis dalli,58.796117,-124.658547
Ovis dalli,63.722472,-149.382804
Ovis dalli,63.553235,-149.701588
Ovis dalli,59.099759,-125.763767
