name,latitude,longitude
Spilogale putorius,31.33712,-87.591116
Spilogale putorius,36.045001,-84.518202
Spilogale putorius,36.022723,-84.413326
Spilogale putorius,36.012683,-84.436858
Spilogale putorius,36.069738,-84.513076
Spilogale putorius,36.071098,-84.556119
Spilogale putorius,36.148819,-84.529182
Spilogale putorius,26.95507,-80.055821
Spilogale putorius,26.330202,-81.578836
Spilogale putorius,36.172564,-84.500651
Spilogale putorius,36.092681,-84.569519
Spilogale putorius,36.187118,-84.582845
Spilogale putorius,36.063869,-84.513518
Spilogale putorius,36.09688,-84.511888
Spilogale putorius,27.213704,-81.336245
Spilogale putorius,26.351266,-81.477698
Spilogale putorius,32.644256,-97.305639
Spilogale putorius,33.905754,-87.890435
Spilogale putorius,31.646995,-96.449094
Spilogale putorius,26.03806,-81.453352
Spilogale putorius,31.928898,-99.345749
Spilogale putorius,31.94719,-99.29071
Spilogale putorius,44.268865,-97.985273
Spilogale putorius,45.128153,-99.22826
Spilogale putorius,27.101824,-80.068729
Spilogale putorius,26.699151,-81.769687
Spilogale putorius,26.26733,-80.060502
Spilogale putorius,28.064772,-80.77764
Spilogale putorius,32.799442,-85.477701
Spilogale putorius,32.236387,-99.721747
Spilogale putorius,32.22977,-99.7797
Spilogale putorius,31.09553,-87.646916
Spilogale putorius,33.477417,-87.162999
Spilogale putorius,27.004087,-81.388234
Spilogale putorius,38.414211,-79.74907
Spilogale putorius,35.679675,-85.114313
Spilogale putorius,34.831561,-94.62711
Spilogale putorius,34.877347,-94.702894
Spilogale putorius,33.671368,-87.379338
Spilogale putorius,33.646959,-87.518258
Spilogale putorius,34.846132,-94.705908
Spilogale putorius,34.931474,-94.746049
Spilogale putorius,34.9411,-94.693843
Spilogale putorius,34.970065,-94.623534
Spilogale putorius,34.834094,-94.77877
Spilogale putorius,34.970064,-94.793704
Spilogale putorius,32.280896,-84.659325
Spilogale putorius,35.341854,-86.029336
Spilogale putorius,38.72967,-79.206586
Spilogale putorius,35.61994,-85.098344
Spilogale putorius,35.74855,-85.105226
Spilogale putorius,34.969181,-94.605596
Spilogale putorius,34.856228,-94.789486
Spilogale putorius,35.720518,-83.114268
Spilogale putorius,30.017432,-95.958596
Spilogale putorius,35.717332,-85.147804
Spilogale putorius,35.680849,-85.199841
Spilogale putorius,35.794551,-85.135052
