longitude,latitude
-121.770417,47.424159
-120.340907,39.343293
-122.730268,45.526863
-124.137288,41.061097
-122.500532,47.445804
-122.033944,47.675713
-122.499184,47.408494
-123.082955,49.379333
-119.604041,37.515215
-121.523037,45.814264
-122.018552,47.494063
-119.494347,37.845981
-122.811659,48.094604
-122.761683,49.184408
-118.509254,36.139389
-122.503602,47.367138
-120.299723,38.282282
-123.933483,47.861
-121.741837,47.432342
-122.501565,47.431741
-122.924571,49.247621
-122.491498,47.369674
-121.37895,44.07811
-122.37531,47.708406
-122.820762,49.18306
-122.968228,50.113056
-119.013802,37.608163
-118.479287,37.128436
-121.3132,40.506521
-123.00843,38.46333
-122.700251,49.296774
-123.93464,46.105525
-120.779419,42.455984
-121.91803,42.393544
-121.067047,46.907898
-119.704335,37.72233
-120.779419,42.455984
-122.8017,45.628
-118.8504,44.9772
-119.704335,37.72233
-124.0472,43.9835
-122.734036,41.218929
-121.91803,42.393544
-122.67224,45.519791
-122.67224,45.519791
-120.306768,38.278891
-118.555148,36.887855
-120.0178,38.837187
-122.909945,49.316255
-122.318001,47.857619
-122.769378,48.224664
-123.132362,49.674155
-123.93795,47.859299
-122.30098,41.18802
-122.918562,49.247672
-122.137921,47.86557
-122.83061,49.178902
-123.016608,49.223797
-121.793735,45.296432
-122.658441,44.880066
-122.631688,47.746935
-119.853623,39.363587
-120.198062,47.87138
-121.420655,40.49766
-123.647461,45.747606
-123.312911,44.592948
-121.752766,45.30127
-122.889275,49.317587
-122.762297,49.180544
-122.916808,45.714623
-123.63627,49.432472
-121.853712,44.435364
-122.691278,47.930279
-123.144252,49.304258
-123.332667,45.706415
-121.092679,48.685003
-120.260923,38.261941
-123.146751,49.295994
-120.043922,38.938938
-122.48171,48.025256
-122.503535,47.383022
-122.597136,47.598497
-120.116585,38.669656
-120.089693,38.967809
-124.069951,40.872512
-123.878265,46.132395
-121.399795,49.033828
-122.266439,48.777351
-124.213308,42.0043
-124.140745,40.692012
-122.214468,44.390026
-119.601963,37.520074
-118.565752,36.486367
-121.907608,49.104481
-124.054883,43.69264
-122.275955,46.914288
-122.656393,49.017334
-123.963065,46.171753
-119.777344,37.995351
-122.728118,49.035054
-122.503358,47.42272
-122.384213,47.763955
-122.916763,45.710367
-118.751487,36.562445
-122.449028,49.329855
-122.656393,49.017337
-122.503684,47.350529
-122.715633,45.515683
-115.484663,30.892303
-119.805579,37.763518
-122.941464,49.244766
-122.508703,49.15721
-123.147253,48.085404
-124.418581,47.983548
-123.667674,48.155447
-122.878628,48.077445
-123.651359,40.893396
-119.010153,37.692745
-124.06517,40.632714
-120.340195,38.271815
-123.2281,49.4534
-122.687603,49.03507
-123.955872,45.748803
-122.928925,49.24522
-122.746149,45.47454
-122.492613,47.236449
-122.6562,49.017504
-124.007186,45.054475
-118.714133,36.607478
-123.374002,44.574396
-122.692957,48.493847
-121.581068,44.498164
-123.10982,48.093266
-121.673967,46.898513
-121.754093,44.41732
-122.660425,49.029527
-119.540058,37.758836
-123.87858,46.130978
-121.029081,47.180632
-122.77665,47.729025
-122.814093,39.656303
-123.131891,49.301767
-119.564269,37.733921
-123.004295,47.034801
-122.948253,49.365081
-120.310529,38.273215
-122.55478,47.656845
-121.952436,46.985557
-121.42665,49.380336
-122.897505,47.069897
-122.973004,50.120543
-122.935357,49.243264
-122.903763,46.350683
-123.88382,46.13623
-120.34181,39.343011
-122.929167,49.253333
-122.8002,48.134814
-124.78898,49.939051
-123.422272,49.365575
-118.677558,37.573513
-120.343127,39.338794
-122.929743,49.244796
-118.965628,36.743564
-122.002678,49.231822
-123.188828,48.141553
-122.675549,45.437761
-123.87703,48.031058
-120.044346,38.938481
-123.788374,48.052968
-115.564703,30.87056
-123.982967,45.104098
-120.015542,38.649022
-124.730003,50.240002
-118.779999,36.75
-124.040001,41.639999
-124.959999,50.119999
-121.330002,43.709999
-123.260002,48.040001
-123.12,40.8
-119.511574,37.869191
-123.95138,45.27543
-123.961618,45.760783
-123.933182,47.861972
-122.529127,47.308738
-122.541,47.042198
-120.231003,39.436699
-120.5,39.6333
-123.85,47.4667
-124.3667,47.6167
-122.286944,46.861944
-122.538853,47.670213
-115.481864,30.89395
-121.632296,44.523122
-120.094044,38.976091
-119.887968,39.08544
-123.028891,46.976221
-122.910418,49.311935
-119.634182,37.47809
-123.789258,48.051536
-121.234465,43.722065
-121.340297,43.967542
-122.935403,49.242941
-121.916114,47.90622
-122.006049,47.526944
-124.470162,47.774957
-119.175707,38.030757
-118.724098,36.60571
-119.850845,39.390948
-122.067116,47.639715
-122.706287,47.919732
-121.112351,47.535118
-119.656639,37.535884
-121.748726,45.136787
-122.363259,47.753825
-122.933712,49.243547
-123.016522,49.352524
-118.967187,36.738415
-122.659681,49.02954
-121.88155,42.643401
-118.752063,36.609592
-115.483805,30.89164
-121.390343,40.500486
-123.907267,40.30815
-123.940372,47.858393
-120.533137,38.735192
-119.736362,37.751452
-118.74634,36.559936
-118.753845,36.573345
-122.977903,50.123354
-124.085304,44.327206
-124.046479,44.727682
-121.689527,47.151129
-122.378334,47.707268
-119.026366,37.757569
-121.821201,49.104861
-123.093528,49.171158
-122.656399,49.01734
-122.460411,47.431604
-122.37268,48.733667
-122.507021,47.337453
-122.528137,45.86724
-118.971717,37.635079
-122.487439,47.375106
-121.055575,39.610184
-121.61774,47.00031
-122.088326,47.78381
-122.656746,49.027626
-122.920309,38.391103
-123.64518,43.15451
-122.82878,50.43606
-121.044851,39.202192
-122.50339,47.425133
-118.754897,37.392697
-122.687156,49.032914
-119.648233,37.870409
-120.628479,39.646999
-122.823097,49.184094
-118.237512,36.58815
-122.577958,49.218603
-121.836891,47.542089
-120.013983,38.77933
-121.741721,47.434007
-122.405579,48.623787
-123.948005,45.571178
-120.169692,39.140622
-122.325511,41.294865
-123.931736,45.962819
-124.0499,44.839241
-122.502263,47.429028
-123.935897,47.859928
-122.839545,45.44891
-122.768711,45.581258
-122.924754,49.246305
-121.52193,46.91942
-123.762328,39.331233
-118.613404,36.451141
-122.935397,49.242697
-122.793319,45.520662
-120.010631,38.192524
-122.656645,49.024522
-119.544578,37.725706
-122.937242,49.244607
-122.8455,44.229725
-122.043257,47.702831
-120.673286,47.552376
-119.572287,37.76895
-121.177311,47.71802
-121.532929,40.367459
-122.252833,47.555361
-122.880859,50.520216
-123.28604,45.245797
-122.500236,47.416153
-121.303732,46.854962
-120.399987,47.325492
-121.927605,48.03317
-122.275951,46.914223
-119.608989,37.502966
-121.568329,40.534203
-122.681058,45.443663
-122.143758,44.281175
-123.188647,48.142858
-121.994438,47.586478
-124.407163,47.719189
-122.77463,48.028287
-122.082662,47.787978
-122.656832,49.02922
-123.604352,47.802107
-118.434114,37.125901
-122.506092,47.340835
-118.978003,36.745678
-122.447714,43.200835
-123.256721,49.365535
-123.408294,42.105253
-122.92937,49.252962
-122.498125,47.412086
-124.30967,42.06915
-122.503727,47.349785
-120.651037,47.599209
-122.844382,47.062866
-123.217326,49.251869
-122.932344,47.377944
-123.014896,49.35747
-121.59548,46.937927
-121.397973,40.265482
-121.952781,49.09546
-124.150304,41.139084
-122.935408,49.242693
-123.191796,48.141385
-115.485803,30.892089
-120.252539,39.357826
-123.137672,49.304214
-123.471383,49.405158
-120.24537,41.362812
-123.140258,49.300165
-122.546434,47.577813
-121.492358,46.620317
-123.26676,49.3321
-119.804274,37.755284
-122.793651,48.068362
-122.557657,47.823595
-122.057924,47.622144
-123.305584,44.595661
-120.072069,39.236076
-122.304501,41.158638
-122.935334,49.2437
-122.709763,45.513608
-123.432448,48.021505
-122.980143,50.504786
-121.812469,46.749529
-123.017817,49.344293
-120.170044,39.145237
-121.424868,40.494173
-122.655197,49.022301
-121.175675,40.217128
-122.636878,45.483383
-120.336683,39.339287
-122.971467,47.077
-122.423415,48.66664
-123.141305,49.304139
-121.459351,48.122101
-122.479877,48.737453
-124.060081,41.377506
-123.964105,46.183646
-122.184857,47.839531
-122.935318,49.243694
-120.302338,38.288117
-118.726136,37.464408
-122.540069,47.316812
-118.561946,37.158137
-123.018211,49.344425
-119.574551,37.727149
-115.481727,30.893792
-123.115448,49.343203
-120.402603,44.522888
-123.749053,49.528563
-123.454416,49.403612
-118.966732,36.739102
-119.475412,37.758941
-123.935178,45.717811
-123.033569,49.260485
-122.034837,47.717805
-121.735202,46.786021
-122.976111,45.361389
-123.925328,47.85983
-123.759537,45.210106
-119.538329,37.865101
-123.124571,44.03134
-122.537089,45.818524
-121.203785,40.229689
-119.980756,38.904847
-122.149087,42.86609
-123.424101,48.035626
-121.438803,40.102398
-120.019252,38.186723
-123.139875,49.302239
-122.383572,47.764331
-119.604052,37.503731
-122.284143,47.768164
-123.608513,49.421192
-123.937278,48.02437
-119.314189,37.086079
-118.176079,37.385483
-124.069634,40.872899
-122.397844,42.972733
-123.065071,49.948127
-124.060123,44.608486
-122.837236,45.386984
-115.532227,31.009983
-122.126458,47.659745
-123.91681,49.511987
-122.288038,46.863788
-122.294883,47.629275
-122.018587,47.4923
-120.178328,39.373587
-122.114674,47.627076
-122.829851,45.384482
-122.823354,45.426141
-118.537645,36.044784
-118.537645,36.044784
-120.05206,38.833992
-120.312796,39.000583
-118.621992,35.971293
-118.629474,35.961418
-118.60307,35.95275
-118.629474,35.961418
-118.236003,36.067382
-122.005467,42.708615
-123.445009,39.065732
-123.445009,39.065732
-116.805033,35.300806
-116.805033,35.300806
-123.445009,39.065732
-120.798546,38.729625
-122.501718,47.430746
-122.998388,47.002927
-123.270417,44.596854
-124.194013,40.699088
-119.26673,37.913568
-122.378396,48.733567
-121.554108,40.090806
-121.025387,47.1794
-121.457054,49.081556
-122.01387,49.194284
-121.24292,43.712833
-123.262721,49.337177
-122.927972,49.302958
-121.655997,44.357478
-123.261383,49.334667
-119.321665,37.849937
-121.897697,43.880705
-122.47298,47.447282
-124.22285,43.336873
-123.529077,47.99009
-122.764625,49.180637
-123.977831,49.540624
-119.856107,39.354045
-120.242205,38.24858
-122.701811,45.557705
-122.503541,47.391484
-123.790825,48.053995
-122.773946,45.395075
-123.145877,49.295567
-121.657446,47.432524
-122.783547,45.562172
-122.778643,45.486354
-119.84436,37.760037
-120.044692,38.475742
-122.310655,48.125484
-122.692515,48.497747
-122.030907,47.271863
-121.0,47.1
-122.2663,49.0041
-123.1,49.2167
-123.7033,45.2775
-123.1,49.2167
-118.8167,36.5833
-122.2663,49.0041
-121.755149,44.405771
-122.702028,45.516445
-122.491875,47.363625
-119.955841,38.95057
-120.056137,38.93162
-122.508621,47.70303
-122.57383,41.357081
-118.751487,36.562445
-122.633458,47.586112
-124.407109,49.769631
-123.553393,48.095613
-124.400556,43.152449
-122.908483,46.910733
-124.194578,44.616207
-119.346932,37.87652
-123.018076,38.469516
-124.074014,40.874767
-122.610559,49.153909
-122.821458,46.298229
-123.090011,43.9864
-123.213792,49.406511
-122.284317,47.158653
-122.777886,47.093491
-122.935467,49.242707
-121.956096,46.985833
-123.116508,49.342433
-119.362898,37.875908
-122.911819,46.911667
-122.225625,47.876495
-120.87,41.4
-123.246944,49.347778
-122.851754,47.828288
-119.365622,37.8734
-118.582378,36.815458
-123.236197,49.55788
-124.091078,44.002588
-124.071694,40.86933
-122.374702,47.711304
-121.390201,45.237469
-122.072251,41.339871
-122.306349,47.760911
-123.331577,44.609259
-120.284107,41.276828
-122.503397,47.3714
-122.822549,49.180047
-123.782277,45.227816
-123.333563,44.605453
-121.813381,46.749984
-118.178272,37.386212
-119.629455,37.480175
-122.10855,47.637635
-122.813675,48.651203
-122.662463,49.021387
-123.116031,49.343224
-120.051448,38.823126
-119.600915,37.503747
-122.340188,47.836251
-122.734417,49.206343
-124.047052,41.441621
-119.523497,37.750055
-122.465278,49.016067
-123.936004,47.865017
-122.181858,47.155914
-123.269805,49.340458
-118.754394,36.559062
-123.159805,49.671631
-119.804409,37.766214
-119.804098,37.766239
-122.920661,50.019243
-119.80641,37.770314
-123.426598,48.034859
-115.540001,31.02
-120.550003,39.310001
-121.349998,46.23
-123.407688,42.098338
-120.281011,41.14422
-119.856185,37.883117
-123.795018,48.059203
-122.209924,47.100766
-121.401507,49.382564
-123.936535,46.102413
-124.104177,44.279062
-121.158271,46.631677
-121.636801,44.160135
-122.944112,49.242031
-123.298907,44.583008
-122.455139,48.678708
-123.141792,49.683884
-122.812847,47.042318
-121.783404,48.078796
-120.340035,39.343329
-123.977681,49.598553
-122.395881,47.530582
-122.392144,45.594051
-122.709659,45.51541
-123.718762,42.92481
-123.910953,46.126052
-122.704437,45.428842
-123.368447,49.37611
-121.821532,46.968235
-123.966205,46.408653
-123.931192,47.863812
-123.788925,48.058064
-123.37364,47.879533
-123.082422,49.250124
-123.737183,39.263502
-122.656822,49.022649
-123.91681,49.511429
-120.046228,38.465867
-122.33093,47.894102
-122.506718,47.337643
-122.607756,47.856063
-122.296492,41.152823
-119.158836,37.067622
-120.218688,38.897508
-123.653894,46.147362
-123.155138,45.614906
-123.304755,44.634011
-121.531843,40.437515
-118.732886,36.605858
-122.845721,47.650143
-122.656393,49.017334
-122.84468,45.527649
-122.13373,47.494478
-122.255443,48.230713
-122.774588,48.02829
-122.965155,50.114403
-122.509418,48.108829
-120.590778,38.721487
-123.222717,49.259022
-122.00004,42.849407
-121.341416,43.965868
-120.671332,47.55776
-122.503106,47.377147
-115.517132,30.774284
-122.781988,45.546045
-120.207896,38.698906
-122.287615,43.247786
-123.263747,49.332088
-122.5363,47.610182
-124.06868,46.613763
-123.865561,40.229555
-123.404288,42.095462
-123.01997,49.22534
-122.665329,49.019192
-122.503759,47.360548
-124.099319,44.280188
-120.306075,38.276732
-122.883585,47.230468
-122.928093,45.749582
-122.320755,42.394307
-123.470876,49.404338
-119.792501,38.544
-120.30623,38.278158
-121.112819,40.443352
-124.606087,47.917343
-122.656393,49.017334
-124.032158,41.364359
-123.305503,44.595594
-123.654734,46.147131
-120.059575,38.920993
-122.717586,45.515387
-122.503493,47.370986
-118.411484,37.130133
-122.900004,47.132433
-119.538329,37.865101
-122.92208,49.247228
-124.39298,42.612183
-120.30843,38.276096
-122.874751,45.445376
-120.222082,38.852097
-122.978303,47.07972
-123.472356,48.114607
-122.12981,44.371929
-123.26544,44.599406
-120.173969,39.151067
-121.567342,40.532687
-122.275087,46.917133
-122.503503,47.802175
-119.085025,37.629897
-121.736648,45.272999
-122.505908,47.342696
-119.956479,39.259124
-122.762072,49.17873
-124.100006,41.707355
-122.843384,47.133633
-122.209133,46.279295
-122.625587,47.332856
-118.96554,37.635267
-121.955682,49.095803
-119.598817,37.759543
-122.503582,47.370931
-122.913292,49.305064
-120.688228,48.325419
-122.503842,47.346575
-121.63146,46.962175
-119.523027,37.759245
-119.295957,37.08378
-122.130671,47.485529
-123.969968,49.712713
-119.742513,37.780961
-118.59457,35.979205
-123.836137,47.95162
-123.958394,45.501626
-122.689807,48.046572
-120.59478,39.04145
-122.503697,47.354022
-120.309298,38.277518
-118.683617,36.433317
-121.623491,44.542741
-121.340538,43.966563
-123.145958,49.295555
-123.186071,48.144607
-119.93788,38.30172
-121.951062,47.895368
-118.992928,37.629006
-123.140816,49.303628
-123.549085,44.523833
-120.307877,38.278246
-122.037024,47.681333
-123.654035,46.147236
-122.884933,47.081651
-123.789491,48.054632
-119.658048,37.534329
-122.656728,49.022067
-121.440988,49.36978
-122.772347,45.3956
-123.261012,49.262122
-122.763236,49.179339
-123.19644,48.138174
-115.482011,30.893514
-124.638603,47.921905
-123.654042,46.147185
-120.118347,39.277062
-123.579269,44.507736
-124.112771,41.345887
-115.429454,30.905578
-122.076657,47.545482
-123.082422,49.250124
-115.483595,30.891672
-124.126404,44.121838
-119.613647,37.500603
-124.126189,49.652421
-119.170817,37.245421
-124.610237,47.918308
-124.384409,43.187768
-119.604303,37.740678
-122.124807,45.246733
-122.158067,49.081703
-122.896912,47.070267
-122.935418,49.244518
-122.184478,47.136647
-123.959093,45.769811
-123.302564,44.838065
-123.011575,49.358038
-123.2218,49.3894
-121.942505,49.263227
-122.834458,45.387016
-123.965445,45.21657
-124.037103,40.898545
-118.644015,36.46587
-121.6432,46.902384
-122.361192,47.751641
-118.749119,36.555108
-121.22699,46.645021
-121.905077,46.995223
-122.634271,49.199952
-118.960878,37.65048
-120.307197,38.278453
-122.504027,45.492207
-121.046057,48.874331
-122.729903,45.468261
-122.178435,47.656329
-124.069941,40.869834
-122.831963,49.178505
-123.98288,50.213553
-119.247369,38.027036
-123.013343,49.341108
-119.404442,37.8992
-118.929599,36.830403
-123.683864,45.963229
-123.089553,49.228261
-123.362044,47.982402
-122.659447,50.559418
-123.858397,47.458175
-118.995686,37.644427
-118.240235,36.587607
-121.863723,43.80109
-122.656864,49.017885
-122.123099,48.659319
-122.877298,48.663448
-119.859353,37.876233
-120.027711,38.845558
-120.04912,38.837053
-122.327527,47.930161
-121.934455,49.10022
-119.626954,37.504978
-123.604352,47.801523
-122.655986,49.026077
-121.812968,46.750903
-124.481071,49.922497
-122.656828,49.023122
-123.704683,40.900335
-122.432665,48.752122
-122.31655,47.375278
-122.829522,46.823648
-119.478471,37.850473
-122.457458,49.323967
-123.990793,41.206956
-123.607971,49.433083
-118.11705,36.236479
-119.621648,37.663317
-122.93572,49.245184
-122.29853,49.047036
-122.768191,48.905079
-122.542933,47.707761
-120.13098,39.054465
-123.964281,45.208316
-122.311762,46.036233
-121.341365,43.968062
-122.478242,48.682617
-121.37786,47.40114
-122.72927,49.199048
-118.954553,36.732953
-121.177672,47.928138
-123.115059,49.34289
-122.761807,49.180016
-124.099299,40.662152
-123.094813,49.171488
-122.936561,49.242882
-122.599355,49.212773
-118.747272,36.593278
-119.573557,37.728753
-118.700849,36.612232
-124.756959,49.997462
-122.696053,48.499642
-120.727778,47.811389
-122.363523,47.751542
-121.735145,46.786021
-121.711465,45.330951
-120.309134,38.275822
-124.5327,49.871778
-120.054441,38.924846
-124.051575,40.859428
-119.911881,39.22416
-124.088221,40.941914
-123.110388,44.641621
-122.764953,49.1805
-121.861944,49.098889
-124.978043,50.03219
-122.295692,47.748863
-121.301758,40.564717
-121.567286,40.535697
-122.355697,47.808483
-123.239742,44.604133
-123.114483,50.038361
-119.15227,37.928099
-123.984008,45.104181
-119.850883,39.358544
-118.374465,36.431324
-122.659993,49.027855
-122.48902,47.372291
-120.015294,37.821422
-123.551645,44.520847
-123.654734,46.147151
-124.397362,43.148925
-123.933813,46.094417
-122.026398,49.152997
-122.705123,49.300623
-122.929658,49.245064
-120.840156,47.504119
-122.706238,45.5201
-118.41181,36.768833
-122.935196,49.243838
-123.016944,49.223658
-122.357216,45.483768
-122.002747,49.231942
-122.934718,49.282878
-122.276794,46.915199
-123.139374,49.303804
-122.926153,49.245517
-118.690098,36.608554
-120.005889,38.187033
-122.774004,48.028154
-122.383455,45.536778
-123.082422,49.250124
-120.121468,38.673831
-120.315249,39.424028
-122.623998,47.729454
-124.045505,46.426883
-122.831596,45.382668
-120.052644,38.92819
-119.050858,37.707283
-121.0,40.016667
-120.474873,39.703381
-120.513657,39.649157
-121.97083,44.78194
-121.88896328397217,44.213344214308115
-121.94535823268387,48.89002113748789
-119.00031115495885,37.630844453385315
-121.96358514173993,46.8043906811046
-121.9955401962346,42.70445975697129
-123.22265925575934,47.42141112202557
-122.60233805040929,47.1697180718362
-118.35736884887866,36.76346581148275
-121.1787025654645,47.23693146327293
-122.90034292010453,47.037815680011555
-123.22265925575934,47.42141112202557
-121.5964797546942,45.519736288065864
-121.8822324755138,42.3980646637232
-123.22265925575934,47.42141112202557
-123.94563666267312,45.43471459344539
-124.08640000000001,47.81629999906148
-121.94535823268387,48.89002113748789
-119.59969657358043,37.66035720167885
-123.76428403734285,47.92232631210009
-123.70422767595186,45.2772181048988
-123.22265925575934,47.42141112202557
-120.66508943340057,47.253636228589315
-119.00031115495885,37.630844453385315
-122.52227124065747,43.78144269413904
-123.22265925575934,47.42141112202557
-121.1787025654645,47.23693146327293
-123.86209760132509,47.969983216965495
-118.45874486036023,36.81862177876664
-122.53593651935513,47.178018685569
-122.33174026252954,47.60611928532362
-132.41805435573616,53.332918996936755
-120.90648827521098,46.8794353380698
-123.22265925575934,47.42141112202557
-123.03480484696803,44.942827135167335
-122.6263507487574,38.23855848486059
-123.22265925575934,47.42141112202557
-122.33174026252954,47.60611928532362
-122.33174026252954,47.60611928532362
-118.44134070615837,36.7536064186748
-132.41805435573616,53.332918996936755
-122.20843866203913,47.68142027877324
-118.35736884887866,36.76346581148275
-122.33174026252954,47.60611928532362
-123.93404696273574,47.858872760010705
-118.55797044483042,37.185130665209094
-123.82882972247852,47.87890376860302
-120.94399097294148,46.96583464689927
-124.6246161177738,48.36799467883659
-120.90648827521098,46.8794353380698
-122.13865155099492,43.17865279254281
-121.8822324755138,42.3980646637232
-121.36009559365381,46.65473205359073
-124.10481,47.80245
-132.41805435573616,53.332918996936755
-124.10481,47.80245
-121.33900849693991,47.322229666814515
-121.1787025654645,47.23693146327293
-122.20843866203913,47.68142027877324
-123.50367,47.91661
-123.03480484696803,44.942827135167335
-132.41805435573616,53.332918996936755
-123.22265925575934,47.42141112202557
-123.81036,47.65014
-122.26622318716775,46.86722251716783
-123.22265925575934,47.42141112202557
-122.44403571840007,47.252819308091134
-123.22265925575934,47.42141112202557
-121.9955401962346,42.70445975697129
-122.42259720260064,45.34332981524568
-122.12946927220703,44.21614198483288
-121.5964797546942,45.519736288065864
-124.2593041818911,48.25439861178268
-118.38977968839669,36.77035341116489
-122.93175674691211,47.65191328903542
-121.9955401962346,42.70445975697129
-120.90648827521098,46.8794353380698
