longitude,latitude
-114.044646,47.713564
-114.57754,46.634606
-117.217078,52.231848
-116.177255,51.425371
-113.719036,48.695695
-113.428187,48.478163
-117.266855,49.507796
-116.098056,51.473889
-115.431641,49.825752
-116.209682,51.416651
-117.156212,49.727219
-120.827909,49.062851
-114.144813,49.309403
-113.856032,49.130114
-121.568512,53.767544
-115.849695,48.436445
-114.717,45.702
-113.9505,47.9814
-113.8376,47.839
-114.0726,48.0633
-113.8376,47.839
-114.577842,46.6354
-120.828056,49.0625
-117.513234,51.281614
-114.844201,48.183165
-113.474092,49.011417
-113.71733,48.695584
-117.038537,49.061762
-114.642643,49.76069
-116.061328,50.55468
-113.720134,48.69495
-120.783355,49.063881
-113.525848,48.716337
-115.53326,51.211537
-121.001366,49.651958
-113.787022,48.759613
-116.583333,51.466667
-120.501273,49.466647
-115.344908,51.084714
-115.851669,51.089309
-113.739183,48.703459
-119.935634,50.914432
-115.174994,50.854694
-114.333125,48.406005
-119.161962,50.076
-115.791496,49.494731
-119.228897,53.035217
-114.392594,49.600573
-117.756319,45.285722
-117.471002,46.306765
-115.564852,51.165535
-117.75425,49.818451
-119.532174,49.774138
-117.443328,52.450537
-118.046123,52.904251
-115.1288,51.076336
-115.840309,51.245117
-115.564852,51.165535
-120.785615,49.063297
-113.724483,48.64716
-116.142693,51.407793
-114.180908,48.835285
-115.564852,51.165535
-117.735817,49.81662
-116.178022,51.415153
-120.603509,49.365849
-117.180234,45.262778
-120.827782,49.062664
-116.5124,45.349153
-115.532053,51.212876
-113.725693,48.698986
-118.162788,50.99553
-116.522698,51.725515
-115.944333,51.281972
-116.48719,51.502528
-115.532053,51.212876
-113.980922,48.481817
-115.830928,51.233461
-119.22644,53.035718
-113.982252,48.497514
-115.546243,51.2152
-115.658605,51.169562
-118.065595,52.890883
-120.785384,49.063198
-115.532053,51.212876
-115.659751,51.170368
-114.571604,50.653906
-113.678286,48.778826
-119.013403,48.726865
-113.718103,48.695192
-117.204362,52.227847
-116.174111,51.417139
-113.735142,48.629841
-113.733852,48.692798
-117.728321,49.799004
-118.071855,52.839423
-120.721937,49.070219
-113.718277,48.695358
-114.718103,50.60972
-113.71798,48.696303
-113.718092,48.695688
-116.498622,51.464564
-115.798781,51.080396
-118.042603,51.093173
-113.86209,49.120143
-116.21404,51.41726
-119.967509,52.305049
-115.603447,51.182147
-116.217452,51.417776
-115.564845,51.165545
-118.08399,50.835934
-113.787022,48.759613
-113.902835,48.572231
-113.46469,52.270376
-117.122741,48.244649
-117.675988,52.4086
-113.70958,48.819272
-116.454112,44.969432
-114.12,46.6307
-115.029999,51.029999
-117.686691,52.680545
-120.786893,49.064015
-114.750363,50.008778
-117.038872,49.062405
-121.637466,51.856518
-116.05073,50.883585
-121.42136,52.39057
-120.807023,49.0735
-115.397165,43.483952
-113.976852,45.60951
-118.052925,52.886208
-116.219371,51.417805
-115.791856,50.617298
-119.399303,49.939973
-118.082747,52.891916
-120.826867,49.062458
-115.168707,50.83286
-113.787022,48.759613
-117.18155,46.744896
-118.046469,52.694778
-118.03416,52.677145
-116.92401,51.244414
-115.586299,51.196534
-113.709147,48.703575
-116.971704,46.743937
-113.721544,48.73354
-120.191728,49.084022
-117.940087,49.258531
-113.771259,48.770667
-120.827948,49.062535
-115.013445,50.587813
-117.159218,49.734532
-120.818803,49.2885
-115.043917,51.02507
-115.788153,49.499748
-113.723512,48.694605
-118.078392,52.889075
-120.829716,49.062953
-116.583333,51.466667
-115.504879,51.252085
-120.841024,49.049252
-117.196672,52.222444
-113.860413,48.852587
-117.089934,52.181558
-115.876101,51.255338
-120.785603,49.063958
-114.088628,46.549394
-118.231087,50.474953
-115.329345,46.338355
-114.14547,46.925726
-114.938272,50.198442
-116.971458,52.11007
-113.719534,48.695039
-120.757683,49.10038
-115.593229,51.102757
-113.667898,48.701668
-115.089401,47.301481
-120.504358,49.459118
-119.885933,50.884436
-116.206695,51.326612
-113.668837,48.797305
-120.562987,49.911355
-120.78611,49.064203
-120.511971,49.463313
-115.532053,51.212876
-114.132385,49.344672
-115.603336,51.182165
-116.21182,51.417004
-117.180917,45.262222
-120.829055,49.062767
-115.838267,51.244992
-114.327883,49.326142
-113.637621,48.632096
-120.56312,49.906469
-118.368954,48.312286
-113.46734,49.007301
-113.787022,48.759613
-115.352543,47.056692
-113.245001,47.669098
-113.718017,48.695286
-113.657563,48.796896
-115.405842,51.07275
-114.785242,46.91297
-113.877395,48.617528
-115.797294,47.256392
-118.36853,49.903112
-117.94101,49.258931
-114.989918,50.597738
-116.177255,51.425371
-120.827044,49.062431
-116.064533,50.622696
-115.358908,51.098045
-114.341803,49.404538
-114.44341,50.20282
-114.321928,49.444273
-115.532053,51.212876
-113.910603,49.054786
-114.826657,50.15873
-115.449828,49.859696
-116.636596,49.128307
-114.377637,49.613756
-113.719463,48.695141
-116.061328,50.55468
-118.170482,51.021441
-116.766303,50.737562
-119.393741,49.938725
-118.062258,52.871067
-116.313278,51.341688
-113.993499,48.528381
-113.660515,48.717403
-115.449828,49.859696
-119.277052,49.357722
-120.499977,49.467109
-114.200371,48.828262
-118.891594,49.043083
-117.181357,49.756836
-118.04259,52.68085
-121.213843,49.493675
-113.877272,48.617517
-113.785126,48.770282
-119.365748,49.291151
-115.446545,49.840087
-118.967831,50.250699
-113.913871,49.04559
-114.01062,46.83835
-117.647864,49.307012
-119.397986,49.941542
-113.741505,48.687258
-118.077418,52.8906
-113.787022,48.759613
-117.940942,49.258597
-115.784578,51.0653
-116.2,44.0
-114.43709,46.14093
-114.42858,48.5686
-114.42829,48.5724
-121.5,51.8
-117.183564,48.677418
-113.45,45.6167
-117.183564,48.677418
-113.919274,48.148569
-117.183564,48.677418
-113.9183,48.1486
-117.183564,48.677418
-113.919274,48.148569
-113.5,46.5
-116.233333,51.416667
-116.233333,51.416667
-113.919274,48.148569
-116.233333,51.416667
-117.432285,47.653135
-113.45,45.6167
-113.45,45.6167
-118.083645,52.876819
-113.45,45.6167
-117.183564,48.677418
-115.6186,45.8636
-117.0,52.1
-120.27,53.72
-113.45,45.6167
-116.233333,51.416667
-116.233333,51.416667
-114.237117,48.064473
-113.5,46.5
-117.183564,48.677418
-117.183564,48.677418
-117.0,52.1
-117.183564,48.677418
-116.233333,51.416667
-117.516667,51.283333
-120.786796,49.06413
-117.081671,52.167818
-113.907672,49.047869
-120.626298,49.157128
-117.484617,46.120666
-114.076943,46.556186
-114.581317,50.29144
-119.355153,50.026622
-113.717712,48.695683
-120.787161,49.062607
-121.06408,49.015981
-120.194637,49.057893
-113.799937,49.091428
-118.0056,52.678131
-117.121653,49.605304
-120.826799,49.062605
-118.298864,50.217819
-113.442819,44.980524
-114.553,46.6382
-113.484523,47.17938
-116.483106,51.497639
-113.980753,48.501523
-118.253304,50.476147
-115.808547,50.156067
-119.509823,49.995603
-117.112205,47.913322
-115.344012,51.085194
-115.659751,51.170368
-120.565852,49.910368
-116.216995,51.417289
-120.565675,49.909964
-120.77116,49.063688
-120.78763,49.063494
-120.56629,49.910167
-118.080513,52.8716
-116.17544,51.416311
-113.32184,48.482943
-120.574951,50.476734
-113.673134,48.800758
-116.1811,51.428536
-117.50869,51.315089
-115.720353,51.179917
-113.91667,49.23333
-118.25,53.48333
-113.91667,49.23333
-118.25,53.48333
-114.41667,50.53333
-115.81667,49.36667
-118.35,53.75
-119.5,54.88333
-119.5,54.88333
-113.91667,49.23333
-118.25,53.48333
-114.41667,50.53333
-118.25,53.48333
-118.25,53.48333
-115.81667,49.36667
-118.35,53.75
-118.25,53.48333
-118.25,53.48333
-115.81667,49.36667
-118.35,53.75
-118.25,53.48333
-118.35,53.75
-118.25,53.48333
