name,latitude,longitude
Bison bison,34.736388,-98.711373
Bison bison,34.736342,-98.718638
Bison bison,43.779646,-110.545347
Bison bison,34.721161,-98.601964
Bison bison,34.41675,-101.062482
Bison bison,40.968982,-112.220771
Bison bison,34.409001,-101.050133
Bison bison,34.44521,-101.076979
Bison bison,34.409009,-101.050024
Bison bison,47.360235,-114.228103
Bison bison,43.970746,-110.585914
Bison bison,53.628949,-112.827449
Bison bison,47.014389,-103.539877
Bison bison,41.047048,-112.238196
Bison bison,46.964462,-103.517235
Bison bison,34.420576,-101.055379
Bison bison,34.445033,-101.081322
Bison bison,34.440962,-101.065436
Bison bison,34.689812,-98.630477
Bison bison,34.729023,-98.59665
Bison bison,34.736321,-98.52348
Bison bison,36.804567,-96.471187
Bison bison,30.899238,-108.130417
Bison bison,41.037936,-112.210943
Bison bison,41.035748,-112.229316
Bison bison,41.032402,-112.227917
Bison bison,41.032765,-112.257398
Bison bison,41.034978,-112.249497
Bison bison,41.034252,-112.248194
Bison bison,44.959274,-110.492325
Bison bison,34.736587,-98.524706
Bison bison,34.73636,-98.524793
Bison bison,40.995909,-112.197983
Bison bison,41.041159,-112.225875
Bison bison,44.599768,-110.856287
Bison bison,33.34845,-118.427712
Bison bison,33.437192,-118.496933
Bison bison,44.978748,-110.691574
Bison bison,44.955769,-110.576859
Bison bison,43.909528,-102.362617
Bison bison,41.040184,-112.241585
Bison bison,36.207002,-112.194505
Bison bison,34.708922,-98.625153
Bison bison,34.708905,-98.625175
Bison bison,41.04,-112.243333
Bison bison,41.022391,-112.237701
Bison bison,41.035523,-112.212358
Bison bison,41.02686,-112.238233
Bison bison,41.02972,-112.24237
Bison bison,41.040267,-112.25757
Bison bison,40.935275,-112.175673
Bison bison,34.736653,-98.524763
Bison bison,41.038819,-112.220981
Bison bison,40.960751,-112.185847
Bison bison,30.835919,-108.430944
Bison bison,44.909382,-110.4302
Bison bison,34.410092,-101.053567
Bison bison,41.051849,-112.229696
Bison bison,34.46263,-101.102372
Bison bison,34.747202,-98.628662
Bison bison,41.030261,-112.243478
Bison bison,40.954915,-112.216676
Bison bison,40.92367,-112.169324
Bison bison,53.768367,-112.938819
Bison bison,34.436991,-101.059862
Bison bison,34.462997,-101.088127
Bison bison,34.499357,-96.971861
Bison bison,43.908035,-102.350349
Bison bison,36.846143,-96.422924
Bison bison,43.625162,-110.664872
Bison bison,34.709973,-98.616176
Bison bison,41.262138,-110.934647
Bison bison,34.736609,-98.721372
Bison bison,34.441589,-101.055759
Bison bison,36.832342,-96.446802
Bison bison,36.840297,-96.45813
Bison bison,43.701264,-103.466727
Bison bison,44.914897,-110.276887
Bison bison,36.789094,-96.402056
Bison bison,36.582356,-96.348187
Bison bison,43.548359,-103.480034
Bison bison,41.050929,-112.238242
Bison bison,41.041268,-112.262969
Bison bison,43.884083,-102.266312
Bison bison,59.259429,-125.906687
Bison bison,41.031496,-112.246443
Bison bison,34.751254,-98.682064
Bison bison,44.375935,-110.555193
Bison bison,41.007156,-112.196792
Bison bison,44.406812,-110.839552
Bison bison,41.010468,-112.2494
Bison bison,34.724863,-98.674995
Bison bison,33.427708,-118.475846
Bison bison,44.910958,-110.373037
Bison bison,59.304661,-125.854003
Bison bison,44.914967,-110.274247
Bison bison,33.352662,-118.448822
Bison bison,34.709549,-98.625864
Bison bison,43.700875,-103.465997
Bison bison,41.044044,-112.210272
Bison bison,43.549405,-103.450703
Bison bison,43.520333,-103.484092
Bison bison,34.422675,-101.048303
Bison bison,43.553355,-103.457447
Bison bison,43.572439,-103.441564
Bison bison,41.029172,-112.196847
