name,latitude,longitude
Dama mesopotamica,30.044835,-99.198877
Dama mesopotamica,32.179458,-97.797202
Dama mesopotamica,30.096166,-99.338335
Dama mesopotamica,29.731397,-98.466913
Dama mesopotamica,29.731397,-98.466914
Dama mesopotamica,32.180979,-97.802029
Dama mesopotamica,29.703763,-98.338905
Dama mesopotamica,36.90123,-88.039025
Dama mesopotamica,36.901801,-88.039169
Dama mesopotamica,48.635528,-123.121115
Dama mesopotamica,48.634575,-123.124124
Dama mesopotamica,30.088507,-98.952436
Dama mesopotamica,28.61061,-99.40633
Dama mesopotamica,48.635177,-123.130408
Dama mesopotamica,30.063513,-99.5055
Dama mesopotamica,48.644382,-123.150126
Dama mesopotamica,48.639477,-123.131872
Dama mesopotamica,36.899762,-88.039623
Dama mesopotamica,48.641264,-123.124216
Dama mesopotamica,48.62915,-123.00174
Dama mesopotamica,48.636,-123.127398
Dama mesopotamica,48.634701,-123.123765
Dama mesopotamica,43.138523,-123.426559
Dama mesopotamica,29.952583,-98.566262
Dama mesopotamica,30.06703,-100.115346
Dama mesopotamica,36.895912,-88.01505
Dama mesopotamica,27.853655,-98.51117
Dama mesopotamica,31.143157,-100.521598
Dama mesopotamica,30.340832,-98.924088
Dama mesopotamica,30.842918,-98.188223
Dama mesopotamica,32.685252,-98.730522
Dama mesopotamica,36.892602,-88.021342
Dama mesopotamica,32.67698,-98.72047
Dama mesopotamica,32.685307,-98.730491
Dama mesopotamica,32.083944,-97.77475
Dama mesopotamica,32.758147,-96.790506
Dama mesopotamica,29.803108,-100.932211
Dama mesopotamica,30.087931,-98.943763
Dama mesopotamica,31.230183,-97.99302
Dama mesopotamica,30.089787,-98.949351
Dama mesopotamica,28.020014,-97.109292
Dama mesopotamica,36.899953,-88.036865
Dama mesopotamica,29.733659,-97.315752
Dama mesopotamica,36.899547,-88.038108
Dama mesopotamica,36.898244,-88.04736
Dama mesopotamica,36.909424,-88.024076
Dama mesopotamica,36.892652,-88.040496
Dama mesopotamica,32.681823,-98.720686
Dama mesopotamica,32.685701,-98.730559
Dama mesopotamica,29.803108,-100.937484
Dama mesopotamica,30.551465,-100.764442
Dama mesopotamica,30.223836,-98.17328
Dama mesopotamica,30.037872,-99.136831
Dama mesopotamica,40.75886,-81.953481
Dama mesopotamica,31.271742,-81.300667
Dama mesopotamica,48.65374,-123.34602
Dama mesopotamica,48.843698,-123.277693
Dama mesopotamica,48.830864,-123.315162
Dama mesopotamica,31.21847,-81.290715
Dama mesopotamica,48.866967,-123.283031
Dama mesopotamica,39.285563,-123.109633
Dama mesopotamica,31.220508,-81.309445
Dama mesopotamica,30.8492,-98.345138
Dama mesopotamica,30.064467,-99.372978
Dama mesopotamica,31.411561,-101.939311
Dama mesopotamica,39.094162,-77.205181
Dama mesopotamica,52.419457,-106.828816
Dama mesopotamica,28.303121,-98.114163
Dama mesopotamica,30.087558,-98.966324
Dama mesopotamica,29.803726,-100.931841
Dama mesopotamica,30.02992,-98.028825
Dama mesopotamica,29.803182,-100.933534
Dama mesopotamica,32.161056,-97.802375
Dama mesopotamica,32.168664,-97.804358
Dama mesopotamica,48.636028,-123.123693
Dama mesopotamica,30.135606,-97.493167
Dama mesopotamica,30.136389,-97.492226
Dama mesopotamica,30.192513,-98.4637
Dama mesopotamica,31.263838,-81.299095
Dama mesopotamica,22.838692,-103.627282
Dama mesopotamica,31.243882,-81.301191
Dama mesopotamica,30.437155,-100.974022
Dama mesopotamica,30.034166,-99.173332
Dama mesopotamica,31.258043,-81.298801
Dama mesopotamica,31.257998,-81.298755
Dama mesopotamica,30.089413,-98.945313
Dama mesopotamica,29.776423,-99.397722
Dama mesopotamica,29.496798,-100.260845
Dama mesopotamica,48.653216,-123.345478
Dama mesopotamica,25.772032,-98.837075
Dama mesopotamica,30.139157,-99.236872
Dama mesopotamica,36.858467,-88.025303
Dama mesopotamica,32.6853,-98.73051
Dama mesopotamica,37.973052,-122.619588
Dama mesopotamica,29.633932,-100.438839
Dama mesopotamica,39.316105,-123.308916
Dama mesopotamica,29.975605,-98.567903
Dama mesopotamica,32.501854,-96.80093
Dama mesopotamica,29.785785,-95.824396
Dama mesopotamica,30.089884,-98.951544
Dama mesopotamica,48.634175,-123.326522
Dama mesopotamica,48.63391,-123.326477
Dama mesopotamica,38.073373,-122.896507
Dama mesopotamica,48.633258,-123.336895
Dama mesopotamica,38.033625,-122.825089
Dama mesopotamica,38.042138,-122.793632
Dama mesopotamica,38.065846,-122.833028
Dama mesopotamica,38.025232,-122.82211
Dama mesopotamica,38.051198,-122.86634
Dama mesopotamica,40.74976,-111.815929
Dama mesopotamica,35.584301,-78.800003
Dama mesopotamica,37.75002,-122.14689
Dama mesopotamica,42.342658,-82.967733
Dama mesopotamica,38.069190831185736,-122.89940267316832
Dama mesopotamica,29.66472,-98.712076
Dama mesopotamica,42.383428,-71.416172
Dama mesopotamica,37.73284,-122.50232
Dama mesopotamica,31.769973,-106.442041
Dama mesopotamica,17.5487246825929,-92.95295121167037
Dama mesopotamica,17.548102,-92.952806
Dama mesopotamica,40.8689,-73.3656
Dama mesopotamica,42.278884,-71.779934
Dama mesopotamica,42.278852,-71.778861
Dama mesopotamica,17.633333,-61.8
Dama mesopotamica,45.333333,-75.583333
Dama mesopotamica,47.280299834879074,-95.74245860935036
