name,latitude,longitude
Erethizon dorsatum,44.942062,-75.721155
Erethizon dorsatum,33.407876,-101.173214
Erethizon dorsatum,51.152146,-114.315673
Erethizon dorsatum,45.20702,-76.000765
Erethizon dorsatum,51.158062,-114.318851
Erethizon dorsatum,51.034933,-106.491376
Erethizon dorsatum,44.75423,-85.654075
Erethizon dorsatum,41.814619,-124.161858
Erethizon dorsatum,46.873403,-93.541581
Erethizon dorsatum,33.404233,-101.113894
Erethizon dorsatum,44.31076,-68.598918
Erethizon dorsatum,41.801057,-124.217838
Erethizon dorsatum,51.1583,-114.315067
Erethizon dorsatum,45.291755,-75.826725
Erethizon dorsatum,45.440611,-76.025244
Erethizon dorsatum,45.094239,-75.633688
Erethizon dorsatum,33.461745,-101.082985
Erethizon dorsatum,42.658603,-72.322197
Erethizon dorsatum,41.908562,-124.19216
Erethizon dorsatum,36.222492,-100.641135
Erethizon dorsatum,41.699305,-122.470129
Erethizon dorsatum,44.473807,-78.294067
Erethizon dorsatum,43.356389,-72.455833
Erethizon dorsatum,35.102441,-106.689693
Erethizon dorsatum,49.636772,-112.880706
Erethizon dorsatum,42.849092,-70.956117
Erethizon dorsatum,44.657918,-63.453757
Erethizon dorsatum,51.106536,-114.099601
Erethizon dorsatum,40.980438,-112.186737
Erethizon dorsatum,35.007194,-106.68048
Erethizon dorsatum,45.098712,-75.628845
Erethizon dorsatum,44.007008,-73.2622
Erethizon dorsatum,44.323413,-72.555563
Erethizon dorsatum,45.292449,-75.824665
Erethizon dorsatum,35.095864,-106.681587
Erethizon dorsatum,44.304034,-79.958619
Erethizon dorsatum,40.592322,-111.623603
Erethizon dorsatum,44.889683,-63.24757
Erethizon dorsatum,42.858622,-71.012375
Erethizon dorsatum,29.811387,-98.70451
Erethizon dorsatum,47.031595,-95.114358
Erethizon dorsatum,44.103444,-78.7192
Erethizon dorsatum,45.292162,-75.825073
Erethizon dorsatum,46.225849,-64.344188
Erethizon dorsatum,45.291755,-75.826339
