name,latitude,longitude
Marmota flaviventris,44.268239,-121.191602
Marmota flaviventris,46.424803,-117.022825
Marmota flaviventris,43.31984,-116.550448
Marmota flaviventris,46.424917,-117.022827
Marmota flaviventris,39.417357,-119.741115
Marmota flaviventris,44.373499,-121.13474
Marmota flaviventris,39.464863,-119.787833
Marmota flaviventris,46.6674,-118.226905
Marmota flaviventris,42.857403,-112.428369
Marmota flaviventris,46.424783,-117.025485
Marmota flaviventris,46.667453,-118.226953
Marmota flaviventris,43.705887,-116.682259
Marmota flaviventris,43.705862,-116.682191
Marmota flaviventris,43.30091,-116.517512
Marmota flaviventris,41.726789,-122.501071
Marmota flaviventris,44.56027,-121.25973
Marmota flaviventris,43.779989,-117.012267
Marmota flaviventris,49.85883,-119.557205
Marmota flaviventris,43.443195,-116.445763
Marmota flaviventris,39.489666,-119.721655
Marmota flaviventris,49.858447,-119.556862
Marmota flaviventris,43.690155,-116.674429
Marmota flaviventris,46.051389,-118.931944
Marmota flaviventris,43.248907,-116.379952
Marmota flaviventris,49.857703,-119.556137
Marmota flaviventris,50.708133,-121.919542
Marmota flaviventris,47.373171,-120.227462
Marmota flaviventris,42.93557,-114.530643
Marmota flaviventris,49.809678,-119.470298
Marmota flaviventris,47.940588,-119.017541
Marmota flaviventris,47.66286,-117.408636
Marmota flaviventris,49.506396,-119.644725
Marmota flaviventris,43.58107,-116.33528
Marmota flaviventris,47.606987,-119.363503
Marmota flaviventris,40.658581,-107.251431
Marmota flaviventris,49.509671,-119.647494
Marmota flaviventris,49.506329,-119.644896
Marmota flaviventris,49.94093,-119.442847
Marmota flaviventris,50.238396,-119.254066
Marmota flaviventris,49.940975,-119.442903
Marmota flaviventris,49.854287,-119.559395
Marmota flaviventris,44.504729,-118.147453
Marmota flaviventris,46.619653,-120.630474
Marmota flaviventris,49.95156,-119.399467
Marmota flaviventris,42.844178,-112.41822
Marmota flaviventris,43.841763,-103.542267
Marmota flaviventris,36.612203,-118.695908
Marmota flaviventris,49.951217,-119.399722
Marmota flaviventris,44.358273,-121.14545
Marmota flaviventris,39.464929,-106.47767
Marmota flaviventris,47.873119,-120.195592
Marmota flaviventris,49.959795,-119.593665
Marmota flaviventris,49.938508,-119.396872
Marmota flaviventris,49.873929,-119.545365
Marmota flaviventris,43.875716,-116.467616
Marmota flaviventris,47.152833,-119.938658
Marmota flaviventris,45.725955,-121.071889
Marmota flaviventris,42.593483,-114.402206
Marmota flaviventris,47.662032,-117.423337
Marmota flaviventris,42.593494,-114.402199
Marmota flaviventris,49.858503,-119.558662
Marmota flaviventris,49.471059,-119.508359
Marmota flaviventris,49.8581,-119.558578
Marmota flaviventris,43.596347,-116.143411
Marmota flaviventris,46.839596,-120.589574
Marmota flaviventris,44.067063,-115.681922
Marmota flaviventris,39.510894,-119.715204
Marmota flaviventris,48.491629,-120.189262
Marmota flaviventris,43.596508,-116.146408
Marmota flaviventris,44.076955,-121.310443
Marmota flaviventris,44.278149,-121.194872
Marmota flaviventris,46.05038,-118.92666
Marmota flaviventris,49.510541,-119.646488
Marmota flaviventris,46.213416,-119.020179
Marmota flaviventris,47.609974,-117.414622
Marmota flaviventris,47.174843,-120.836243
Marmota flaviventris,42.838688,-108.718722
Marmota flaviventris,49.933051,-119.401807
Marmota flaviventris,49.509663,-119.64692
Marmota flaviventris,38.39408,-111.221966
Marmota flaviventris,41.728386,-111.865443
Marmota flaviventris,39.513367,-119.710303
Marmota flaviventris,47.6625,-116.777721
Marmota flaviventris,44.418363,-116.880682
Marmota flaviventris,46.66323,-118.227137
Marmota flaviventris,39.700939,-110.866072
Marmota flaviventris,47.664342,-117.408263
Marmota flaviventris,42.754963,-112.396158
Marmota flaviventris,47.553773,-117.622299
Marmota flaviventris,46.419645,-117.01265
Marmota flaviventris,46.287688,-114.208857
Marmota flaviventris,43.39611,-116.665187
Marmota flaviventris,40.655702,-115.420538
Marmota flaviventris,47.663176,-117.422938
Marmota flaviventris,47.784428,-117.496226
Marmota flaviventris,36.578083,-118.750721
Marmota flaviventris,42.600486,-114.468941
Marmota flaviventris,49.951608,-119.398457
Marmota flaviventris,50.863437,-121.730495
Marmota flaviventris,49.814576,-119.623105
Marmota flaviventris,40.36126,-111.882103
Marmota flaviventris,43.58038,-116.135261
Marmota flaviventris,46.874213,-114.002579
Marmota flaviventris,47.700611,-116.807733
Marmota flaviventris,47.915811,-117.542638
Marmota flaviventris,40.6571,-115.425428
Marmota flaviventris,46.229029,-119.004002
Marmota flaviventris,49.887383,-119.534308
Marmota flaviventris,50.863203,-121.731286
Marmota flaviventris,43.052577,-116.191938
Marmota flaviventris,40.357348,-111.897844
Marmota flaviventris,49.91395,-119.401024
Marmota flaviventris,37.237992,-118.598641
Marmota flaviventris,45.995613,-108.005142
Marmota flaviventris,47.641243,-117.49245
Marmota flaviventris,43.716444,-116.804092
Marmota flaviventris,40.554663,-111.919473
Marmota flaviventris,46.956594,-119.987993
Marmota flaviventris,41.756322,-111.810578
Marmota flaviventris,44.969792,-110.707183
Marmota flaviventris,36.576052,-118.748968
Marmota flaviventris,46.664009,-118.226621
Marmota flaviventris,49.511567,-119.646337
