name,latitude,longitude
Microtus xanthognathus,65.192017,-147.536397
Microtus xanthognathus,64.740144,-147.918972
Microtus xanthognathus,65.174979,-147.463042
Microtus xanthognathus,68.04347,-145.87689
Microtus xanthognathus,68.04269,-145.87852
Microtus xanthognathus,68.04279,-145.87807
Microtus xanthognathus,68.04305,-145.87831
Microtus xanthognathus,68.04293,-145.87758
Microtus xanthognathus,68.04291,-145.87872
Microtus xanthognathus,68.04387,-145.87732
Microtus xanthognathus,68.04311,-145.87833
Microtus xanthognathus,68.04385,-145.8773
Microtus xanthognathus,68.04375,-145.877
Microtus xanthognathus,68.04343,-145.87686
Microtus xanthognathus,68.04395,-145.87762
Microtus xanthognathus,68.037039,-145.878622
Microtus xanthognathus,68.04372,-145.87695
Microtus xanthognathus,68.04393,-145.87752
Microtus xanthognathus,68.04333,-145.87704
Microtus xanthognathus,68.04308,-145.87698
Microtus xanthognathus,67.95615,-146.00249
Microtus xanthognathus,67.96091,-146.00125
Microtus xanthognathus,68.04285,-145.87793
Microtus xanthognathus,68.04257,-145.87807
Microtus xanthognathus,68.04392,-145.87755
Microtus xanthognathus,68.04269,-145.87857
Microtus xanthognathus,68.03372,-145.88583
Microtus xanthognathus,68.0436,-145.87691
Microtus xanthognathus,68.33416,-145.59735
Microtus xanthognathus,68.04257,-145.87804
Microtus xanthognathus,64.740524,-147.912663
Microtus xanthognathus,64.733863,-147.952924
Microtus xanthognathus,64.742186,-147.922487
Microtus xanthognathus,64.740564,-147.912055
Microtus xanthognathus,64.742212,-147.922613
Microtus xanthognathus,64.742161,-147.922234
Microtus xanthognathus,64.734209,-147.952118
Microtus xanthognathus,67.8831,-146.06934
Microtus xanthognathus,67.66623,-146.06255
Microtus xanthognathus,67.66383,-146.05234
Microtus xanthognathus,67.66251,-146.05254
Microtus xanthognathus,67.66378,-146.05244
Microtus xanthognathus,67.67119,-146.07626
Microtus xanthognathus,67.67219,-146.07735
Microtus xanthognathus,67.66377,-146.05241
Microtus xanthognathus,67.66618,-146.06256
Microtus xanthognathus,67.67233,-146.07758
Microtus xanthognathus,67.67242,-146.07738
Microtus xanthognathus,67.66621,-146.06248
