name,latitude,longitude
Myotis evotis,40.023459,-121.165829
Myotis evotis,36.976931,-118.254982
Myotis evotis,40.193972,-120.618745
Myotis evotis,40.681185,-105.412174
Myotis evotis,37.748253,-115.188097
Myotis evotis,37.944778,-119.212611
Myotis evotis,36.744199,-118.966237
Myotis evotis,49.454932,-117.477034
Myotis evotis,45.881829,-122.892703
Myotis evotis,38.956571,-114.26841
Myotis evotis,39.960278,-105.295173
Myotis evotis,34.20487,-117.094947
Myotis evotis,40.919744,-117.654401
Myotis evotis,46.730058,-117.016651
Myotis evotis,37.270795,-122.29933
Myotis evotis,48.207103,-122.156411
Myotis evotis,40.767772,-121.347908
Myotis evotis,31.013248,-115.555248
Myotis evotis,38.287747,-120.279595
Myotis evotis,40.717591,-121.01605
Myotis evotis,49.797023,-116.809795
Myotis evotis,48.870491,-122.118419
Myotis evotis,50.584154,-116.228095
Myotis evotis,48.690614,-123.580941
Myotis evotis,44.962507,-115.502488
Myotis evotis,47.702856,-122.783778
Myotis evotis,40.886975,-124.074043
Myotis evotis,49.204638,-124.368303
Myotis evotis,49.281156,-119.675881
Myotis evotis,34.763524,-107.929497
Myotis evotis,44.61019,-122.83972
Myotis evotis,45.500175,-121.827953
Myotis evotis,44.61019,-122.839642
Myotis evotis,47.366684,-122.492914
Myotis evotis,38.628011,-123.382606
Myotis evotis,53.980681,-132.171407
Myotis evotis,36.012989,-106.7424
Myotis evotis,40.761234,-111.294563
Myotis evotis,39.650757,-111.413694
Myotis evotis,38.939208,-114.418189
Myotis evotis,44.880319,-120.575847
Myotis evotis,48.696018,-123.120757
Myotis evotis,48.726722,-123.184263
Myotis evotis,49.250669,-107.715836
Myotis evotis,32.652378,-116.707383
Myotis evotis,48.633488,-123.070363
Myotis evotis,38.744478,-123.506917
Myotis evotis,34.674953,-107.928533
Myotis evotis,36.495772,-121.142533
Myotis evotis,34.7306,-107.91241
Myotis evotis,49.384114,-114.355026
Myotis evotis,49.754292,-123.16284
Myotis evotis,34.953111,-108.167444
Myotis evotis,38.745011,-123.508124
Myotis evotis,39.43178,-120.240295
Myotis evotis,40.837749,-121.310695
Myotis evotis,36.471664,-121.19173
Myotis evotis,54.72518,-127.195354
Myotis evotis,39.43859,-120.228695
Myotis evotis,38.796908,-120.51178
Myotis evotis,35.84433,-106.425476
Myotis evotis,36.492882,-121.171608
Myotis evotis,27.297341,-112.895771
Myotis evotis,34.47535,-119.117787
Myotis evotis,32.58533999914336,-107.92115
Myotis evotis,47.60538,-122.076544
Myotis evotis,41.36904,-119.388054
