name,latitude,longitude
Pipistrellus subflavus,33.286632,-89.735371
Pipistrellus subflavus,39.482334,-77.601488
Pipistrellus subflavus,33.426815,-89.700227
Pipistrellus subflavus,41.897722,-74.135784
Pipistrellus subflavus,33.606093,-89.77609
Pipistrellus subflavus,33.586715,-89.871631
Pipistrellus subflavus,33.4794,-89.978849
Pipistrellus subflavus,33.750527,-89.601861
Pipistrellus subflavus,33.706092,-89.65438
Pipistrellus subflavus,33.588725,-89.643687
Pipistrellus subflavus,33.578462,-89.723857
Pipistrellus subflavus,33.604338,-89.753811
Pipistrellus subflavus,33.458908,-89.6973
Pipistrellus subflavus,33.539158,-89.81713
Pipistrellus subflavus,33.521822,-89.740484
Pipistrellus subflavus,33.785084,-89.81422
Pipistrellus subflavus,33.447223,-89.987162
Pipistrellus subflavus,28.709054,-82.50539
Pipistrellus subflavus,30.628169,-97.723515
Pipistrellus subflavus,34.387398,-80.804994
Pipistrellus subflavus,30.855421,-81.524455
Pipistrellus subflavus,34.67903,-85.342641
Pipistrellus subflavus,34.751001,-85.28402
Pipistrellus subflavus,34.681885,-85.255701
Pipistrellus subflavus,34.646746,-85.221132
Pipistrellus subflavus,33.596813,-89.636876
Pipistrellus subflavus,34.984373,-86.039374
Pipistrellus subflavus,36.22235,-84.296382
Pipistrellus subflavus,34.664461,-85.234193
Pipistrellus subflavus,35.748151,-80.524811
Pipistrellus subflavus,31.302943,-81.288147
Pipistrellus subflavus,30.676977,-97.796055
Pipistrellus subflavus,31.583344,-86.243197
Pipistrellus subflavus,35.72365,-85.255336
Pipistrellus subflavus,36.305365,-93.817008
Pipistrellus subflavus,35.138336,-82.796608
Pipistrellus subflavus,30.523655,-96.320559
Pipistrellus subflavus,34.991475,-86.521645
Pipistrellus subflavus,37.800512,-84.563205
Pipistrellus subflavus,30.945715,-91.469665
Pipistrellus subflavus,30.664134,-98.300386
Pipistrellus subflavus,37.855439,-85.326524
Pipistrellus subflavus,36.161469,-93.08375
Pipistrellus subflavus,35.625627,-94.233961
Pipistrellus subflavus,28.565479,-99.970367
Pipistrellus subflavus,34.975968,-85.210985
Pipistrellus subflavus,40.565366,-80.032787
Pipistrellus subflavus,37.317271,-85.935801
Pipistrellus subflavus,40.480641,-80.095875
Pipistrellus subflavus,36.871939,-94.267822
Pipistrellus subflavus,39.85087,-86.375516
Pipistrellus subflavus,40.245808,-75.971799
Pipistrellus subflavus,30.75955,-98.372359
Pipistrellus subflavus,37.386647,-76.483873
Pipistrellus subflavus,45.59892,-75.108449
Pipistrellus subflavus,30.151591,-81.94837
Pipistrellus subflavus,27.770367,-82.339923
Pipistrellus subflavus,29.785493,-98.629758
Pipistrellus subflavus,30.724917,-98.290037
Pipistrellus subflavus,30.724521,-97.791213
Pipistrellus subflavus,32.782751,-94.25723
Pipistrellus subflavus,38.205312,-76.506139
Pipistrellus subflavus,37.248589,-76.943985
Pipistrellus subflavus,44.403431,-76.128485
Pipistrellus subflavus,37.091964,-78.391555
Pipistrellus subflavus,37.333494,-76.573
Pipistrellus subflavus,29.6807,-84.761134
Pipistrellus subflavus,38.679682,-81.7513
Pipistrellus subflavus,36.70201,-94.149651
Pipistrellus subflavus,28.605061,-81.106214
Pipistrellus subflavus,37.341164,-76.651038
Pipistrellus subflavus,35.660065,-92.404131
Pipistrellus subflavus,37.37305,-80.156945
Pipistrellus subflavus,36.38073,-92.413288
Pipistrellus subflavus,37.21366,-80.021224
Pipistrellus subflavus,41.358131,-81.502031
Pipistrellus subflavus,34.285932,-89.549616
Pipistrellus subflavus,42.560556,-73.885046
Pipistrellus subflavus,45.304781,-76.227878
Pipistrellus subflavus,30.492761,-98.984844
Pipistrellus subflavus,30.501946,-97.714763
Pipistrellus subflavus,37.316282,-76.733367
Pipistrellus subflavus,33.798761,-84.228721
Pipistrellus subflavus,33.348276,-87.558482
Pipistrellus subflavus,39.29169,-76.78686
Pipistrellus subflavus,35.04362,-85.245254
Pipistrellus subflavus,36.226285,-82.295747
Pipistrellus subflavus,38.880641,-80.33169
Pipistrellus subflavus,29.507078,-98.682102
Pipistrellus subflavus,37.785499,-84.305262
Pipistrellus subflavus,33.616062,-89.667333
Pipistrellus subflavus,40.587513,-81.97754
Pipistrellus subflavus,33.635452,-89.980237
Pipistrellus subflavus,33.619296,-89.636944
Pipistrellus subflavus,31.130799,-88.584639
Pipistrellus subflavus,29.810639,-98.669239
Pipistrellus subflavus,41.082579,-81.58367
Pipistrellus subflavus,37.099221,-86.165606
Pipistrellus subflavus,28.690786,-100.962749
Pipistrellus subflavus,34.698776,-86.215974
Pipistrellus subflavus,36.07036,-94.696585
Pipistrellus subflavus,35.960399,-78.206211
Pipistrellus subflavus,34.734809,-86.241314
Pipistrellus subflavus,34.751796,-86.352647
Pipistrellus subflavus,34.733114,-86.301794
Pipistrellus subflavus,37.683271,-92.963106
Pipistrellus subflavus,33.212887,-87.559655
Pipistrellus subflavus,30.759084,-98.213168
Pipistrellus subflavus,33.328979,-87.441601
Pipistrellus subflavus,29.827488,-97.950879
Pipistrellus subflavus,38.695534,-85.41172
Pipistrellus subflavus,34.023611,-80.742879
Pipistrellus subflavus,34.738477,-85.262508
Pipistrellus subflavus,34.810258,-87.133117
Pipistrellus subflavus,34.845738,-87.075836
Pipistrellus subflavus,34.803177,-87.000375
Pipistrellus subflavus,34.417961,-85.606055
Pipistrellus subflavus,34.818229,-87.175988
Pipistrellus subflavus,34.525954,-85.795137
Pipistrellus subflavus,34.678875,-86.798716
Pipistrellus subflavus,34.910121,-87.048355
Pipistrellus subflavus,34.602116,-86.686842
