name,latitude,longitude
Rangifer tarandus,53.831554,-92.051932
Rangifer tarandus,60.233263,-134.049031
Rangifer tarandus,52.963375,-86.946927
Rangifer tarandus,52.930406,-87.006839
Rangifer tarandus,52.963005,-86.503022
Rangifer tarandus,63.218653,-148.909175
Rangifer tarandus,49.78123,-57.953635
Rangifer tarandus,62.375226,-146.401718
Rangifer tarandus,58.31388,-93.041116
Rangifer tarandus,50.309219,-90.425082
Rangifer tarandus,52.66546,-86.274836
Rangifer tarandus,58.779777,-124.806937
Rangifer tarandus,59.056108,-125.93526
Rangifer tarandus,52.764974,-86.913171
Rangifer tarandus,59.849631,-131.712436
Rangifer tarandus,60.011326,-129.205043
Rangifer tarandus,60.490516,-134.742481
Rangifer tarandus,60.08371,-129.58631
Rangifer tarandus,63.940751,-149.043216
Rangifer tarandus,60.099494,-129.548577
Rangifer tarandus,71.283677,-156.546209
Rangifer tarandus,68.004554,-149.473365
Rangifer tarandus,50.685433,-70.132147
Rangifer tarandus,50.607782,-70.099223
Rangifer tarandus,60.082891,-129.619882
Rangifer tarandus,57.14356,-111.464224
Rangifer tarandus,68.591546,-149.54807
Rangifer tarandus,68.449003,-149.583185
Rangifer tarandus,63.352272,-147.411653
Rangifer tarandus,63.367439,-147.427849
Rangifer tarandus,63.365423,-147.550808
Rangifer tarandus,58.382058,-129.839152
Rangifer tarandus,63.345252,-151.117567
Rangifer tarandus,68.231251,-146.54197
Rangifer tarandus,65.231609,-96.433382
Rangifer tarandus,63.667096,-148.425309
Rangifer tarandus,63.714616,-148.585528
Rangifer tarandus,65.265943,-96.755487
Rangifer tarandus,69.229068,-149.193742
Rangifer tarandus,63.187414,-151.162425
Rangifer tarandus,63.518648,-150.220288
Rangifer tarandus,63.65642,-149.283478
Rangifer tarandus,63.500086,-149.629889
Rangifer tarandus,63.533407,-150.12563
Rangifer tarandus,63.709934,-149.460235
Rangifer tarandus,63.566315,-150.127165
Rangifer tarandus,50.539409,-89.410907
Rangifer tarandus,50.599651,-89.579526
Rangifer tarandus,50.013094,-90.600306
Rangifer tarandus,63.726293,-149.21511
Rangifer tarandus,50.547429,-89.497215
Rangifer tarandus,63.403023,-150.099247
Rangifer tarandus,63.655636,-149.391517
Rangifer tarandus,65.240288,-96.790373
Rangifer tarandus,63.48712,-149.704184
Rangifer tarandus,63.497174,-150.068741
Rangifer tarandus,63.52901,-149.679247
Rangifer tarandus,63.423459,-150.363829
Rangifer tarandus,63.48844,-150.377714
Rangifer tarandus,63.715592,-149.126249
Rangifer tarandus,65.386253,-96.396216
Rangifer tarandus,71.252441,-156.850861
Rangifer tarandus,66.99402,-160.795302
Rangifer tarandus,50.325102,-89.482071
Rangifer tarandus,63.636136,-149.578474
Rangifer tarandus,60.554875,-151.334454
Rangifer tarandus,50.571885,-89.037331
Rangifer tarandus,50.490191,-89.449901
Rangifer tarandus,65.279314,-96.509214
Rangifer tarandus,65.275335,-96.717684
Rangifer tarandus,63.635229,-148.915126
Rangifer tarandus,67.48959,-156.99904
Rangifer tarandus,67.405563,-156.827942
Rangifer tarandus,57.117035,-110.603266
Rangifer tarandus,64.497216,-138.165252
Rangifer tarandus,63.492386,-150.358164
Rangifer tarandus,63.346232,-151.144406
Rangifer tarandus,70.222655,-148.28994
Rangifer tarandus,65.232642,-96.348572
Rangifer tarandus,63.19737,-151.026102
Rangifer tarandus,64.655344,-110.70153
Rangifer tarandus,64.162006,-140.889418
Rangifer tarandus,64.195612,-140.959318
Rangifer tarandus,63.162786,-151.139236
Rangifer tarandus,64.146494,-140.982838
Rangifer tarandus,50.881493,-89.554283
Rangifer tarandus,50.850713,-89.524901
Rangifer tarandus,52.793534,-118.229748
Rangifer tarandus,63.753432,-149.323208
Rangifer tarandus,63.671757,-149.223971
Rangifer tarandus,63.475898,-150.256315
Rangifer tarandus,70.384645,-148.52479
Rangifer tarandus,63.702358,-149.586428
Rangifer tarandus,63.485642,-150.160057
Rangifer tarandus,58.685829,-124.646543
Rangifer tarandus,59.141175,-125.799387
Rangifer tarandus,59.083166,-125.976122
Rangifer tarandus,58.744334,-125.639494
Rangifer tarandus,59.151904,-125.892822
Rangifer tarandus,52.683915,-120.153585
Rangifer tarandus,60.602848,-135.480667
Rangifer tarandus,60.153542,-77.071062
Rangifer tarandus,60.024174,-77.312002
Rangifer tarandus,63.445873,-150.099851
Rangifer tarandus,63.637763,-149.345306
Rangifer tarandus,64.85104,-166.302432
Rangifer tarandus,58.571678,-78.014498
Rangifer tarandus,63.552846,-150.047379
Rangifer tarandus,50.68884,-57.21472
Rangifer tarandus,58.562654,-78.063805
Rangifer tarandus,60.136227,-77.045469
Rangifer tarandus,63.672875,-148.850039
Rangifer tarandus,58.567617,-78.113825
Rangifer tarandus,60.152131,-77.005556
Rangifer tarandus,60.179881,-77.136267
Rangifer tarandus,60.188281,-77.002547
