name,latitude,longitude
Sorex trowbridgii,45.43138,-122.67293
Sorex trowbridgii,41.122846,-124.156866
Sorex trowbridgii,42.950613,-123.649159
Sorex trowbridgii,44.950866,-122.712755
Sorex trowbridgii,45.696419,-121.666672
Sorex trowbridgii,47.077447,-122.972377
Sorex trowbridgii,39.353847,-123.55504
Sorex trowbridgii,46.950974,-122.271034
Sorex trowbridgii,45.881687,-122.892421
Sorex trowbridgii,44.472424,-123.528084
Sorex trowbridgii,40.348581,-123.926687
Sorex trowbridgii,43.373805,-124.226622
Sorex trowbridgii,37.447883,-122.399345
Sorex trowbridgii,37.453633,-122.388917
Sorex trowbridgii,44.034447,-123.057847
Sorex trowbridgii,43.141004,-124.376248
Sorex trowbridgii,38.058464,-122.856872
Sorex trowbridgii,49.052975,-122.46363
Sorex trowbridgii,45.76854,-122.300356
Sorex trowbridgii,45.746374,-122.381402
Sorex trowbridgii,45.740362,-122.309739
Sorex trowbridgii,45.777213,-122.373675
Sorex trowbridgii,45.768772,-122.362991
Sorex trowbridgii,45.844085,-122.004487
Sorex trowbridgii,45.823605,-121.997062
Sorex trowbridgii,45.841757,-121.862857
Sorex trowbridgii,45.848697,-121.989621
Sorex trowbridgii,45.830331,-122.017459
Sorex trowbridgii,45.82746,-121.850099
Sorex trowbridgii,45.749698,-122.317306
Sorex trowbridgii,41.056903,-124.147945
Sorex trowbridgii,40.667011,-124.055438
Sorex trowbridgii,39.73349,-123.630337
Sorex trowbridgii,45.244983,-122.532425
Sorex trowbridgii,45.383343,-122.63032
Sorex trowbridgii,45.834675,-121.981445
Sorex trowbridgii,40.869348,-124.044702
Sorex trowbridgii,45.76858,-122.298736
Sorex trowbridgii,37.295391,-122.246604
Sorex trowbridgii,40.897278,-124.083977
Sorex trowbridgii,45.845118,-121.998227
Sorex trowbridgii,37.9249,-122.2905
Sorex trowbridgii,41.82043,-124.108069
Sorex trowbridgii,37.001618,-119.037596
Sorex trowbridgii,37.015799,-119.049156
Sorex trowbridgii,36.978209,-119.016437
Sorex trowbridgii,40.87358,-124.066373
Sorex trowbridgii,37.698167,-122.437622
Sorex trowbridgii,40.834367,-124.091351
Sorex trowbridgii,40.855683,-124.049859
Sorex trowbridgii,45.822941,-121.998707
Sorex trowbridgii,37.562914,-122.504581
Sorex trowbridgii,37.029932,-119.282908
Sorex trowbridgii,44.650537,-123.421575
Sorex trowbridgii,44.582699,-123.302421
Sorex trowbridgii,38.548498,-122.530562
Sorex trowbridgii,37.174783,-121.866608
Sorex trowbridgii,45.740356,-122.309724
Sorex trowbridgii,45.746369,-122.381388
Sorex trowbridgii,45.749693,-122.317292
Sorex trowbridgii,45.743527,-122.356185
Sorex trowbridgii,45.76243,-122.33033
Sorex trowbridgii,43.806938,-122.566712
Sorex trowbridgii,37.870353,-122.215163
Sorex trowbridgii,45.768766,-122.362977
Sorex trowbridgii,45.768535,-122.300342
Sorex trowbridgii,45.350328,-121.991797
Sorex trowbridgii,45.777208,-122.373661
Sorex trowbridgii,45.761265,-122.369375
Sorex trowbridgii,37.318557,-122.200285
Sorex trowbridgii,37.013733,-122.07328
Sorex trowbridgii,37.53557,-122.399567
Sorex trowbridgii,37.540277,-122.407005
Sorex trowbridgii,42.711112,-123.844722
Sorex trowbridgii,46.45,-121.804
Sorex trowbridgii,46.3689,-121.8493
Sorex trowbridgii,46.44,-121.8
Sorex trowbridgii,37.199102,-121.963283
Sorex trowbridgii,46.369,-121.8506
Sorex trowbridgii,37.396619,-122.203546
Sorex trowbridgii,57.12,-170.28
Sorex trowbridgii,41.33367,-124.001741
Sorex trowbridgii,41.23501,-123.901174
Sorex trowbridgii,38.152819,-122.578564
Sorex trowbridgii,37.535217,-122.398712
Sorex trowbridgii,44.3236,-124.4908
Sorex trowbridgii,47.70812,-123.29854
Sorex trowbridgii,44.52004,-123.54088
Sorex trowbridgii,44.7081,-123.29854
Sorex trowbridgii,44.52794,-123.5462
Sorex trowbridgii,39.211736,-119.882774
Sorex trowbridgii,37.172346,-122.221999
Sorex trowbridgii,44.39946,-122.0892
Sorex trowbridgii,44.16708,-124.00472
Sorex trowbridgii,36.377728,-121.561817
Sorex trowbridgii,36.378115,-121.562444
Sorex trowbridgii,36.377676,-121.561801
Sorex trowbridgii,36.378403,-121.562239
Sorex trowbridgii,37.636245,-121.920236
Sorex trowbridgii,47.02613,-122.33487
Sorex trowbridgii,37.79313,-122.45632
Sorex trowbridgii,37.79074,-122.47368
Sorex trowbridgii,37.79364,-122.45637
Sorex trowbridgii,37.79256,-122.45543
Sorex trowbridgii,37.78765,-122.47815
Sorex trowbridgii,37.80239,-122.47846
Sorex trowbridgii,37.79736,-122.47743
Sorex trowbridgii,37.79728,-122.47756
Sorex trowbridgii,37.79801,-122.47792
Sorex trowbridgii,37.79196,-122.4606
Sorex trowbridgii,37.79283,-122.4594
Sorex trowbridgii,37.79982,-122.47237
Sorex trowbridgii,44.218399999057084,-122.2438
Sorex trowbridgii,44.52605,-123.54946
Sorex trowbridgii,37.887,-122.232
Sorex trowbridgii,39.14887999907605,-120.4035
Sorex trowbridgii,39.027799999076876,-120.49598000000002
Sorex trowbridgii,38.60241999907985,-119.78960000000001
Sorex trowbridgii,37.63925,-121.92305
Sorex trowbridgii,36.785502,-118.902361
Sorex trowbridgii,36.791016,-118.597684
Sorex trowbridgii,39.305695,-120.516791
Sorex trowbridgii,36.375919,-121.559597
Sorex trowbridgii,37.99647,-122.50203
Sorex trowbridgii,38.91554,-121.01074
Sorex trowbridgii,39.25473,-120.71323
Sorex trowbridgii,39.18656,-120.83194
Sorex trowbridgii,39.24922,-120.7522
Sorex trowbridgii,40.917382979427344,-122.24071090678193
Sorex trowbridgii,41.49921,-124.0676
Sorex trowbridgii,41.3226,-124.0429
Sorex trowbridgii,41.4027,-124.0296
Sorex trowbridgii,36.093389,-118.224394
Sorex trowbridgii,35.8321,-118.296317
Sorex trowbridgii,40.91455099362282,-122.24428194811097
Sorex trowbridgii,41.12646936138506,-122.27760795155312
Sorex trowbridgii,41.473297,-121.149116
Sorex trowbridgii,43.899617924645376,-122.36510147284581
Sorex trowbridgii,43.906610853827196,-122.36510159561722
Sorex trowbridgii,39.458147,-120.286223
Sorex trowbridgii,39.44339,-120.2209
Sorex trowbridgii,39.447115,-120.309225
Sorex trowbridgii,39.431667,-120.23158
Sorex trowbridgii,39.46031,-120.285487
Sorex trowbridgii,39.42091,-120.29095
Sorex trowbridgii,43.87792823579798,-122.35519384993742
Sorex trowbridgii,43.877978143305036,-122.36522109613685
Sorex trowbridgii,43.87793032418505,-122.34555461411351
Sorex trowbridgii,43.899493836235095,-122.37487070972388
Sorex trowbridgii,43.90665576499787,-122.37472883201156
Sorex trowbridgii,44.188953154165404,-122.24797170838538
Sorex trowbridgii,44.1815907310887,-122.19287022121118
Sorex trowbridgii,44.06635047726159,-122.23292916691892
Sorex trowbridgii,44.195998915829435,-122.15780861322042
Sorex trowbridgii,44.203226155991864,-122.23298959328578
Sorex trowbridgii,44.18895333833686,-122.2279492155737
Sorex trowbridgii,44.080780105645786,-122.25804403889364
Sorex trowbridgii,44.0952420576263,-122.24793004607034
Sorex trowbridgii,44.09520396588698,-122.25795629179315
Sorex trowbridgii,39.424537,-121.112545
Sorex trowbridgii,39.395635,-121.082304
Sorex trowbridgii,44.9295,-123.934
Sorex trowbridgii,45.042,-123.923333
Sorex trowbridgii,40.41093,-121.53283
Sorex trowbridgii,40.41389,-121.53029
Sorex trowbridgii,41.10394,-123.114933
Sorex trowbridgii,41.584922,-121.806661
Sorex trowbridgii,41.75024,-122.249911
Sorex trowbridgii,40.58719,-121.29036
Sorex trowbridgii,40.5895,-121.29406
Sorex trowbridgii,47.8614,-123.4681
Sorex trowbridgii,48.0058,-123.5995
Sorex trowbridgii,40.4705,-121.51053
Sorex trowbridgii,47.9476,-123.5512
Sorex trowbridgii,37.79615,-120.14305
Sorex trowbridgii,37.84061,-119.93792
Sorex trowbridgii,37.957347,-122.600725
Sorex trowbridgii,37.959544,-122.599589
Sorex trowbridgii,37.968989,-122.601503
Sorex trowbridgii,41.4188,-121.64446
Sorex trowbridgii,40.24354,-121.67609
Sorex trowbridgii,41.10822,-121.98217
Sorex trowbridgii,37.961647,-122.600269
Sorex trowbridgii,41.02224,-121.97959
Sorex trowbridgii,40.34688,-121.62932
Sorex trowbridgii,40.35804,-121.55757
Sorex trowbridgii,40.3689,-121.53831
Sorex trowbridgii,41.248288,-121.353554
Sorex trowbridgii,41.415652,-121.875964
Sorex trowbridgii,40.332399,-121.562791
Sorex trowbridgii,41.990214,-123.520117
Sorex trowbridgii,48.1314,-123.5515
Sorex trowbridgii,41.056615,-122.498137
Sorex trowbridgii,40.53759,-121.57018
Sorex trowbridgii,40.45971,-121.44478
Sorex trowbridgii,40.47066,-121.5104
Sorex trowbridgii,37.8975,-122.70951
Sorex trowbridgii,48.1314,-123.5513
Sorex trowbridgii,37.928491,-119.992038
Sorex trowbridgii,37.76312,-119.85983
Sorex trowbridgii,37.56624,-119.86851
Sorex trowbridgii,37.767375,-119.864834
Sorex trowbridgii,37.57775,-119.88244
Sorex trowbridgii,37.917082,-122.623202
Sorex trowbridgii,37.76208,-119.84264
Sorex trowbridgii,37.74899,-119.83862
Sorex trowbridgii,41.459417,-120.24495
Sorex trowbridgii,41.141017,-120.279417
Sorex trowbridgii,41.425239,-120.317548
Sorex trowbridgii,37.77991,-119.56425
Sorex trowbridgii,40.52039502299024,-121.47552595337933
Sorex trowbridgii,40.544971826003206,-121.5682725054392
Sorex trowbridgii,40.531530126379316,-121.55919509427066
Sorex trowbridgii,40.890397591904396,-123.58395785676
Sorex trowbridgii,39.91757583577805,-121.06389359606966
Sorex trowbridgii,46.6562,-123.4827
Sorex trowbridgii,37.7409,-119.40804
Sorex trowbridgii,40.47372664418274,-121.49394470863157
Sorex trowbridgii,40.50962235168853,-121.45791637972056
Sorex trowbridgii,40.432018003917825,-121.53386404465549
Sorex trowbridgii,40.47730410439323,-121.43268731230776
Sorex trowbridgii,40.4457598163616,-121.5287921248106
Sorex trowbridgii,40.72124770161372,-121.12523057421653
Sorex trowbridgii,40.71333504603427,-121.0996688497626
Sorex trowbridgii,40.73770151733127,-121.11560158567588
Sorex trowbridgii,40.758733057465044,-121.12986323347393
Sorex trowbridgii,40.71387356879991,-121.15499717497833
Sorex trowbridgii,40.711431076827154,-121.09967182200555
Sorex trowbridgii,40.71838038884337,-121.16762354145867
Sorex trowbridgii,38.353234086919514,-120.54282230544008
Sorex trowbridgii,38.3575739525385,-120.54843249223615
Sorex trowbridgii,37.89693001087484,-122.23983545448328
Sorex trowbridgii,38.39766290252154,-120.57652366523264
Sorex trowbridgii,38.39129291746843,-120.59099392015519
Sorex trowbridgii,37.73,-119.61082
Sorex trowbridgii,36.412731,-118.802821
Sorex trowbridgii,37.7477,-119.8386
Sorex trowbridgii,37.81096,-119.71286
Sorex trowbridgii,37.78981,-119.83766
Sorex trowbridgii,37.75731,-119.80131
Sorex trowbridgii,37.6475,-119.70387
Sorex trowbridgii,40.7121487502614,-121.13687271830862
Sorex trowbridgii,40.733452573924396,-121.11701855723466
Sorex trowbridgii,40.755220212412645,-121.11825390542185
Sorex trowbridgii,40.71929472162635,-121.12659757819715
Sorex trowbridgii,40.72277470544289,-121.1218625163522
Sorex trowbridgii,40.70503118618127,-121.09899671240797
Sorex trowbridgii,40.711960081533775,-121.09810379239127
Sorex trowbridgii,39.578637,-120.373761
Sorex trowbridgii,38.39963,-120.50043
Sorex trowbridgii,38.39951,-120.58843
Sorex trowbridgii,52.58,-131.57
Sorex trowbridgii,36.075833,-121.594722
Sorex trowbridgii,38.074,-122.8485
Sorex trowbridgii,41.44997159563147,-120.28312908751028
Sorex trowbridgii,36.076667,-121.595
Sorex trowbridgii,36.076667,-121.594167
Sorex trowbridgii,46.829719954773786,-122.54922966043326
Sorex trowbridgii,34.490278,-119.798056
Sorex trowbridgii,47.785052688368054,-122.24227475442632
Sorex trowbridgii,38.04664,-120.52142
Sorex trowbridgii,38.44479,-120.56187
Sorex trowbridgii,45.57161794537926,-123.4977283118161
Sorex trowbridgii,45.627516406679575,-123.61683235080667
Sorex trowbridgii,45.550018924261565,-123.41182576564356
Sorex trowbridgii,45.57841972389011,-123.30802374854132
Sorex trowbridgii,44.69476765525936,-123.20093429736849
Sorex trowbridgii,48.70471611566994,-122.46266775960589
Sorex trowbridgii,48.70168,-121.62285
Sorex trowbridgii,43.2617,-122.2444
Sorex trowbridgii,48.314999999063254,-120.6754
Sorex trowbridgii,46.41,-123.93
Sorex trowbridgii,46.941735,-121.038358
Sorex trowbridgii,43.205250736891365,-122.33205669409591
Sorex trowbridgii,43.190751260782875,-122.29265549328056
Sorex trowbridgii,43.1907510823447,-122.31235597097447
