name,latitude,longitude
Tamias striatus,37.854254,-85.125822
Tamias striatus,40.602772,-74.532829
Tamias striatus,34.975335,-85.366498
Tamias striatus,33.687087,-84.427147
Tamias striatus,38.589028,-92.231863
Tamias striatus,42.61007,-72.465815
Tamias striatus,43.100644,-87.90458
Tamias striatus,35.851093,-78.640865
Tamias striatus,35.147583,-89.984369
Tamias striatus,43.314527,-84.163926
Tamias striatus,40.602783,-74.532815
Tamias striatus,33.460329,-86.802589
Tamias striatus,40.602785,-74.532582
Tamias striatus,35.803588,-78.660238
Tamias striatus,43.303079,-79.84196
Tamias striatus,43.30275,-79.842228
Tamias striatus,41.052757,-73.83829
Tamias striatus,33.905518,-84.373365
Tamias striatus,36.121511,-84.569809
Tamias striatus,34.644796,-86.472451
Tamias striatus,32.574044,-85.945187
Tamias striatus,35.932951,-79.050618
Tamias striatus,32.555209,-85.494944
Tamias striatus,32.552277,-85.473097
Tamias striatus,45.03006,-73.072811
Tamias striatus,38.562047,-90.774052
Tamias striatus,38.888476,-77.129843
Tamias striatus,35.118237,-89.807816
Tamias striatus,34.778405,-82.35453
Tamias striatus,38.58732,-92.234238
Tamias striatus,42.583314,-76.451793
Tamias striatus,38.588963,-92.231863
Tamias striatus,35.888169,-84.109636
Tamias striatus,42.308016,-71.929791
Tamias striatus,43.292246,-79.879391
Tamias striatus,44.249307,-76.470888
Tamias striatus,40.520505,-80.025859
Tamias striatus,43.628705,-72.939435
Tamias striatus,43.930337,-69.926304
Tamias striatus,35.887133,-84.168342
Tamias striatus,33.806618,-84.284385
Tamias striatus,45.593759,-75.878805
Tamias striatus,35.098966,-80.871934
Tamias striatus,38.89046,-77.135573
Tamias striatus,42.604114,-71.61663
Tamias striatus,38.935106,-77.355655
Tamias striatus,36.020075,-78.964175
Tamias striatus,38.941139,-77.356519
Tamias striatus,41.417306,-82.602673
Tamias striatus,42.345927,-71.552287
Tamias striatus,35.929268,-84.511827
Tamias striatus,43.553931,-79.655085
Tamias striatus,38.935152,-77.355699
Tamias striatus,43.563392,-79.678758
Tamias striatus,44.712135,-65.433946
Tamias striatus,37.26725,-80.411112
Tamias striatus,39.756308,-89.697976
Tamias striatus,39.119344,-86.5913
Tamias striatus,43.302108,-79.844033
Tamias striatus,44.419912,-77.623012
Tamias striatus,40.052508,-77.507538
Tamias striatus,38.840314,-77.238591
Tamias striatus,38.840294,-77.238638
Tamias striatus,40.772957,-77.855916
Tamias striatus,43.553967,-79.655022
Tamias striatus,42.45326,-71.080018
Tamias striatus,40.772968,-77.855943
Tamias striatus,41.913994,-70.647893
Tamias striatus,38.935433,-77.356475
Tamias striatus,43.133793,-72.53066
Tamias striatus,41.064939,-80.034952
Tamias striatus,39.274237,-84.209682
Tamias striatus,42.411651,-71.159148
Tamias striatus,45.493139,-76.093932
Tamias striatus,42.972328,-71.985733
Tamias striatus,39.492508,-88.311363
Tamias striatus,42.72152,-71.0299
Tamias striatus,43.646548,-79.46369
Tamias striatus,40.552693,-79.703077
Tamias striatus,40.141513,-75.081505
Tamias striatus,43.933993,-80.159396
Tamias striatus,44.892436,-79.417245
Tamias striatus,40.773128,-77.856565
Tamias striatus,42.910289,-72.215132
Tamias striatus,41.782384,-87.582761
Tamias striatus,43.594967,-71.44831
Tamias striatus,40.020514,-83.19698
Tamias striatus,42.582719,-80.398609
Tamias striatus,36.428572,-91.514535
Tamias striatus,44.182892,-78.259066
Tamias striatus,42.287225,-71.178528
Tamias striatus,43.136703,-70.9386
Tamias striatus,42.354088,-71.172508
Tamias striatus,41.069128,-80.041609
Tamias striatus,42.172454,-71.726831
Tamias striatus,38.935059,-77.355641
Tamias striatus,38.871731,-77.14069
Tamias striatus,39.264981,-84.3064
Tamias striatus,36.321284,-82.464583
Tamias striatus,43.43094,-72.788097
Tamias striatus,42.978982,-88.261426
Tamias striatus,40.772979,-77.855932
Tamias striatus,40.772977,-77.855916
Tamias striatus,39.417309,-76.54654
Tamias striatus,39.126503,-84.245641
Tamias striatus,40.005686,-87.539045
Tamias striatus,43.302469,-79.844159
Tamias striatus,44.340001,-78.247646
Tamias striatus,42.058056,-71.077294
Tamias striatus,35.552634,-82.932979
Tamias striatus,43.697878,-80.244325
Tamias striatus,38.936867,-77.349887
Tamias striatus,43.833961,-69.962685
Tamias striatus,41.57522,-78.687212
Tamias striatus,38.937155,-77.350035
Tamias striatus,43.713532,-73.351856
Tamias striatus,39.175024,-86.549236
Tamias striatus,41.061039,-80.044808
Tamias striatus,42.582783,-80.398071
Tamias striatus,42.440062,-71.338849
Tamias striatus,41.709051,-87.877281
Tamias striatus,41.434955,-81.845849
Tamias striatus,42.213255,-71.0932
Tamias striatus,40.566055,-80.012015
Tamias striatus,42.927656,-83.189361
Tamias striatus,38.930057,-77.349276
Tamias striatus,44.424804,-80.83019
Tamias striatus,42.691306,-71.36605
Tamias striatus,40.86357,-73.880982
Tamias striatus,41.434951,-81.845828
Tamias striatus,45.295605,-75.824676
Tamias striatus,45.357712,-75.723602
Tamias striatus,43.302515,-79.843138
Tamias striatus,43.692359,-73.221654
Tamias striatus,43.971869,-79.239902
Tamias striatus,46.52621,-84.57058
Tamias striatus,42.671219,-72.328052
Tamias striatus,43.910366,-78.931003
Tamias striatus,34.741097,-86.50685
Tamias striatus,35.716132,-83.488865
Tamias striatus,42.614983,-83.191833
Tamias striatus,41.86871,-73.377177
Tamias striatus,44.458989,-93.149463
Tamias striatus,35.154152,-80.818008
Tamias striatus,41.08282,-76.13328
Tamias striatus,45.371929,-75.794516
Tamias striatus,43.302048,-79.84373
Tamias striatus,44.746505,-92.886646
Tamias striatus,45.396605,-93.168138
Tamias striatus,34.946475,-85.437356
Tamias striatus,43.3332,-72.079617
Tamias striatus,40.566118,-80.011978
Tamias striatus,42.692361,-84.438483
Tamias striatus,45.075733,-92.995815
Tamias striatus,39.614078,-76.659346
Tamias striatus,42.081213,-71.620726
Tamias striatus,41.948348,-78.668598
Tamias striatus,44.949474,-64.214084
Tamias striatus,39.368837,-82.063488
Tamias striatus,43.81703,-70.264938
Tamias striatus,43.63704,-79.514802
Tamias striatus,42.692589,-84.439044
Tamias striatus,44.725838,-78.816368
Tamias striatus,41.276861,-81.53856
Tamias striatus,43.816995,-70.264962
Tamias striatus,45.142881,-75.598469
Tamias striatus,43.81705,-70.265008
Tamias striatus,41.021975,-85.271226
Tamias striatus,43.293153,-79.87456
Tamias striatus,48.718427,-93.641257
Tamias striatus,43.793377,-79.118865
Tamias striatus,42.692431,-84.438584
Tamias striatus,35.785319,-78.672611
Tamias striatus,38.89402,-77.255413
Tamias striatus,43.302579,-79.844674
Tamias striatus,39.602645,-79.264584
Tamias striatus,39.492675,-88.31125
Tamias striatus,44.476217,-76.434203
Tamias striatus,41.133554,-81.419896
Tamias striatus,46.529128,-84.315787
Tamias striatus,43.64483,-79.461495
Tamias striatus,44.339535,-78.739486
Tamias striatus,40.772847,-77.856248
Tamias striatus,43.280444,-79.91575
Tamias striatus,43.020538,-89.513909
Tamias striatus,44.475047,-79.1855
Tamias striatus,42.4557,-71.905222
Tamias striatus,41.934506,-71.405403
Tamias striatus,45.441838,-75.187182
Tamias striatus,44.357759,-78.730603
Tamias striatus,44.266395,-78.253841
Tamias striatus,42.444936,-71.59649
Tamias striatus,39.17351,-86.494577
Tamias striatus,43.997533,-79.545097
Tamias striatus,40.273582,-81.953481
Tamias striatus,38.706163,-90.738237
Tamias striatus,44.33968,-78.739272
Tamias striatus,44.396099,-73.233165
Tamias striatus,45.442484,-75.18044
Tamias striatus,44.963176,-93.219658
Tamias striatus,43.302464,-79.843699
Tamias striatus,49.82031,-97.078167
Tamias striatus,40.704431,-85.906467
Tamias striatus,41.687499,-83.500582
Tamias striatus,41.658319,-81.410384
Tamias striatus,40.013803,-75.190914
Tamias striatus,42.468334,-71.182834
Tamias striatus,43.652991,-79.462017
Tamias striatus,44.965736,-93.335976
Tamias striatus,44.493077,-77.285311
Tamias striatus,43.292944,-79.874694
Tamias striatus,44.479294,-77.303473
Tamias striatus,42.359663,-71.255317
Tamias striatus,42.446102,-76.438554
Tamias striatus,44.482878,-77.295807
Tamias striatus,45.368355,-75.794872
Tamias striatus,43.302733,-79.843373
Tamias striatus,44.488734,-77.286918
Tamias striatus,41.680518,-83.668055
Tamias striatus,43.280025,-80.395783
Tamias striatus,41.963601,-87.634231
Tamias striatus,43.043132,-70.714336
Tamias striatus,46.52915,-84.315814
Tamias striatus,41.9632,-87.633137
Tamias striatus,42.053585,-71.740516
Tamias striatus,42.47224,-71.39201
Tamias striatus,41.962716,-87.633838
Tamias striatus,36.082238,-83.919995
Tamias striatus,43.950783,-78.273299
Tamias striatus,42.345296,-71.501349
Tamias striatus,44.341019,-78.741224
Tamias striatus,42.148881,-71.78975
Tamias striatus,42.17485,-71.071619
Tamias striatus,42.258596,-89.005818
Tamias striatus,41.99755,-87.770433
Tamias striatus,42.33773,-72.46754
Tamias striatus,39.850655,-82.810333
Tamias striatus,40.14258,-75.082719
Tamias striatus,44.396752,-71.508069
Tamias striatus,43.302226,-79.844064
Tamias striatus,42.483764,-71.374306
Tamias striatus,45.014483,-74.717912
Tamias striatus,41.901919,-87.639255
Tamias striatus,45.480061,-76.0766
Tamias striatus,46.771263,-92.151672
Tamias striatus,43.273119,-73.166691
Tamias striatus,38.314543,-79.658342
Tamias striatus,42.48762,-79.35872
Tamias striatus,39.235289,-84.300832
Tamias striatus,44.708214,-77.241158
Tamias striatus,44.474175,-73.201272
Tamias striatus,45.128295,-61.874918
Tamias striatus,38.97902,-84.571778
Tamias striatus,41.049439,-72.28952
Tamias striatus,44.485082,-77.293182
Tamias striatus,42.282517,-71.151039
Tamias striatus,42.437253,-71.146408
Tamias striatus,43.278983,-79.90907
Tamias striatus,44.340794,-72.461433
Tamias striatus,41.605775,-87.565925
Tamias striatus,44.34082,-72.461268
Tamias striatus,42.982618,-81.176191
Tamias striatus,43.071916,-72.654381
Tamias striatus,43.005146,-71.30486
Tamias striatus,41.964221,-87.637128
Tamias striatus,43.295639,-79.876056
Tamias striatus,42.865888,-80.733317
Tamias striatus,40.485827,-89.007642
Tamias striatus,43.302857,-79.843253
Tamias striatus,43.302194,-79.844535
Tamias striatus,44.295712,-78.959358
Tamias striatus,42.381823,-76.420583
Tamias striatus,35.801059,-78.674766
Tamias striatus,44.478642,-77.302761
Tamias striatus,45.620119,-79.863704
Tamias striatus,43.628774,-72.939581
Tamias striatus,45.412369,-73.954129
Tamias striatus,45.454044,-75.675583
Tamias striatus,43.282313,-80.395163
Tamias striatus,43.302149,-79.844581
Tamias striatus,43.527671,-80.303528
Tamias striatus,40.772907,-77.856153
Tamias striatus,43.793354,-79.118335
Tamias striatus,42.084444,-88.167378
Tamias striatus,44.340774,-72.461325
Tamias striatus,43.022808,-88.183222
Tamias striatus,45.027057,-75.64293
Tamias striatus,43.838967,-72.136208
Tamias striatus,40.822131,-81.096018
Tamias striatus,45.057458,-76.1167
Tamias striatus,38.196415,-85.723302
Tamias striatus,43.661901,-70.27572
Tamias striatus,44.533168,-92.334855
Tamias striatus,40.519706,-78.001639
Tamias striatus,44.288382,-78.345268
Tamias striatus,44.479878,-77.300405
Tamias striatus,44.478841,-77.303462
Tamias striatus,43.562386,-79.673582
Tamias striatus,41.548335,-86.363944
Tamias striatus,44.459707,-77.338835
Tamias striatus,43.295582,-79.876317
Tamias striatus,44.146256,-74.901358
Tamias striatus,44.902928,-76.096246
Tamias striatus,42.631218,-70.845473
Tamias striatus,40.013847,-75.191076
Tamias striatus,44.453504,-69.034032
Tamias striatus,44.478422,-77.314659
Tamias striatus,43.817017,-70.264978
Tamias striatus,40.044063,-74.111125
Tamias striatus,45.293294,-75.8157
Tamias striatus,45.569073,-77.263649
Tamias striatus,45.363003,-75.879736
Tamias striatus,44.802783,-93.500451
Tamias striatus,46.471715,-93.937063
Tamias striatus,46.756289,-85.137767
Tamias striatus,48.780608,-87.108461
