name,latitude,longitude
Tamiasciurus douglasii,49.245214,-122.929689
Tamiasciurus douglasii,49.245064,-122.929658
Tamiasciurus douglasii,49.261288,-122.827812
Tamiasciurus douglasii,48.14365,-123.186101
Tamiasciurus douglasii,38.469551,-123.018153
Tamiasciurus douglasii,45.540462,-122.934172
Tamiasciurus douglasii,45.441445,-122.675322
Tamiasciurus douglasii,45.766998,-123.236552
Tamiasciurus douglasii,40.87489,-124.074193
Tamiasciurus douglasii,47.762447,-122.30469
Tamiasciurus douglasii,49.250124,-123.082422
Tamiasciurus douglasii,45.4823,-122.908508
Tamiasciurus douglasii,47.555361,-122.252833
Tamiasciurus douglasii,49.35792,-123.425473
Tamiasciurus douglasii,38.192647,-120.014115
Tamiasciurus douglasii,49.243038,-122.947563
Tamiasciurus douglasii,49.171428,-123.094772
Tamiasciurus douglasii,44.648654,-123.130732
Tamiasciurus douglasii,44.648407,-123.13049
Tamiasciurus douglasii,49.244718,-122.935488
Tamiasciurus douglasii,49.336872,-122.866447
Tamiasciurus douglasii,50.224075,-122.93985
Tamiasciurus douglasii,49.059528,-122.217235
Tamiasciurus douglasii,49.017885,-122.656864
Tamiasciurus douglasii,48.05929,-122.594202
Tamiasciurus douglasii,48.886909,-122.783197
Tamiasciurus douglasii,47.801523,-123.604352
Tamiasciurus douglasii,45.497643,-122.846663
Tamiasciurus douglasii,47.586407,-122.121237
Tamiasciurus douglasii,49.17117,-123.093414
Tamiasciurus douglasii,47.373136,-122.974747
Tamiasciurus douglasii,48.057341,-122.594075
Tamiasciurus douglasii,44.456783,-121.642762
Tamiasciurus douglasii,47.370986,-122.503493
Tamiasciurus douglasii,47.786519,-122.03044
Tamiasciurus douglasii,49.254405,-123.199546
Tamiasciurus douglasii,45.527465,-122.850907
Tamiasciurus douglasii,45.644463,-122.921317
Tamiasciurus douglasii,49.251869,-123.217326
Tamiasciurus douglasii,47.43741,-122.096709
Tamiasciurus douglasii,49.262967,-122.897713
Tamiasciurus douglasii,48.194958,-122.641217
Tamiasciurus douglasii,49.396879,-123.360806
Tamiasciurus douglasii,45.486828,-122.437811
Tamiasciurus douglasii,49.242211,-122.935462
Tamiasciurus douglasii,48.11277,-122.578605
Tamiasciurus douglasii,47.895807,-122.567863
Tamiasciurus douglasii,43.256988,-124.026713
Tamiasciurus douglasii,46.966563,-120.645438
Tamiasciurus douglasii,44.645738,-123.075496
Tamiasciurus douglasii,49.27202,-123.254242
Tamiasciurus douglasii,46.182527,-123.969342
Tamiasciurus douglasii,49.02922,-122.656832
Tamiasciurus douglasii,49.026883,-122.656585
Tamiasciurus douglasii,49.346483,-123.004192
Tamiasciurus douglasii,49.403996,-123.466968
Tamiasciurus douglasii,47.727325,-122.368042
Tamiasciurus douglasii,49.406831,-123.466375
Tamiasciurus douglasii,49.016067,-122.465278
Tamiasciurus douglasii,48.098036,-122.572929
Tamiasciurus douglasii,49.028194,-122.656827
Tamiasciurus douglasii,47.854796,-122.054605
Tamiasciurus douglasii,47.861277,-122.055465
Tamiasciurus douglasii,49.396018,-123.204545
Tamiasciurus douglasii,49.017337,-122.656393
Tamiasciurus douglasii,45.602092,-122.820038
Tamiasciurus douglasii,44.14279,-123.428382
Tamiasciurus douglasii,44.142867,-123.428189
Tamiasciurus douglasii,48.073945,-122.795671
Tamiasciurus douglasii,49.24139,-122.955309
Tamiasciurus douglasii,49.177634,-122.760335
Tamiasciurus douglasii,47.172542,-122.272626
Tamiasciurus douglasii,47.509223,-121.757664
Tamiasciurus douglasii,47.717805,-122.034837
Tamiasciurus douglasii,44.607258,-123.327557
Tamiasciurus douglasii,40.860888,-124.061074
Tamiasciurus douglasii,49.243553,-122.933395
Tamiasciurus douglasii,49.243572,-122.935121
Tamiasciurus douglasii,49.390407,-121.443884
Tamiasciurus douglasii,49.269787,-122.903
Tamiasciurus douglasii,49.245184,-122.93572
Tamiasciurus douglasii,49.032914,-122.687156
Tamiasciurus douglasii,46.949141,-122.86396
Tamiasciurus douglasii,49.248544,-123.209381
Tamiasciurus douglasii,43.986667,-123.07965
Tamiasciurus douglasii,47.733057,-122.256472
Tamiasciurus douglasii,45.702258,-123.145513
Tamiasciurus douglasii,49.332133,-123.263408
Tamiasciurus douglasii,47.733039,-122.183091
Tamiasciurus douglasii,49.385578,-123.371108
Tamiasciurus douglasii,49.3321,-123.26676
Tamiasciurus douglasii,44.648597,-123.130508
Tamiasciurus douglasii,49.242707,-122.935467
Tamiasciurus douglasii,49.78735,-123.10813
Tamiasciurus douglasii,44.599801,-123.265789
Tamiasciurus douglasii,49.311609,-122.915777
Tamiasciurus douglasii,49.245308,-122.929607
Tamiasciurus douglasii,44.002154,-123.10714
Tamiasciurus douglasii,47.440479,-122.460421
Tamiasciurus douglasii,49.176294,-122.818747
Tamiasciurus douglasii,47.627076,-122.114674
Tamiasciurus douglasii,49.020518,-122.663823
Tamiasciurus douglasii,49.261545,-123.2164
Tamiasciurus douglasii,47.447456,-122.469647
Tamiasciurus douglasii,47.866807,-123.857122
Tamiasciurus douglasii,49.25397,-122.822507
Tamiasciurus douglasii,43.986733,-123.090551
Tamiasciurus douglasii,45.702231,-123.14557
Tamiasciurus douglasii,43.884916,-121.446813
Tamiasciurus douglasii,48.493746,-122.640551
Tamiasciurus douglasii,49.24527,-122.929733
Tamiasciurus douglasii,48.493713,-122.640476
Tamiasciurus douglasii,44.592948,-123.312911
Tamiasciurus douglasii,48.772883,-122.225291
Tamiasciurus douglasii,47.370841,-122.503495
Tamiasciurus douglasii,44.9336,-123.052182
Tamiasciurus douglasii,48.737453,-122.479877
Tamiasciurus douglasii,38.939533,-119.9907
Tamiasciurus douglasii,40.874259,-124.053948
Tamiasciurus douglasii,49.388878,-123.077713
Tamiasciurus douglasii,48.764164,-122.225181
Tamiasciurus douglasii,47.43729,-122.120224
Tamiasciurus douglasii,48.762787,-122.225108
Tamiasciurus douglasii,45.104181,-123.984008
Tamiasciurus douglasii,49.36978,-121.440988
Tamiasciurus douglasii,48.763067,-122.225149
Tamiasciurus douglasii,49.243904,-122.935403
Tamiasciurus douglasii,49.242941,-122.935403
Tamiasciurus douglasii,49.152997,-122.026398
Tamiasciurus douglasii,49.306403,-123.135859
Tamiasciurus douglasii,46.147153,-123.654736
Tamiasciurus douglasii,37.75912,-119.806308
Tamiasciurus douglasii,38.955725,-120.107568
Tamiasciurus douglasii,38.957012,-120.106713
Tamiasciurus douglasii,47.68037,-122.06066
