name,latitude,longitude
Urocitellus richardsonii,49.142004,-112.062487
Urocitellus richardsonii,49.685893,-112.778375
Urocitellus richardsonii,49.874076,-97.231761
Urocitellus richardsonii,50.562129,-105.329675
Urocitellus richardsonii,51.031779,-114.061042
Urocitellus richardsonii,49.586026,-114.200723
Urocitellus richardsonii,52.055067,-113.411071
Urocitellus richardsonii,51.033408,-114.060962
Urocitellus richardsonii,51.010028,-114.005162
Urocitellus richardsonii,49.694835,-112.863159
Urocitellus richardsonii,52.532114,-112.064206
Urocitellus richardsonii,50.915189,-114.055717
Urocitellus richardsonii,49.813416,-112.927135
Urocitellus richardsonii,49.028095,-111.931222
Urocitellus richardsonii,51.199418,-114.486379
Urocitellus richardsonii,51.150242,-113.444202
Urocitellus richardsonii,51.117226,-114.537122
Urocitellus richardsonii,49.668468,-112.806657
Urocitellus richardsonii,52.1354,-106.639633
Urocitellus richardsonii,53.01899,-112.828193
Urocitellus richardsonii,49.695239,-112.861022
Urocitellus richardsonii,49.868845,-97.2425
Urocitellus richardsonii,49.09214,-98.350649
Urocitellus richardsonii,53.532202,-113.487076
Urocitellus richardsonii,50.028339,-110.656758
Urocitellus richardsonii,50.170394,-97.129003
Urocitellus richardsonii,49.69485,-112.862994
Urocitellus richardsonii,50.655039,-99.943355
Urocitellus richardsonii,50.655908,-99.944342
Urocitellus richardsonii,52.033631,-106.612519
Urocitellus richardsonii,50.17048,-97.128919
Urocitellus richardsonii,50.564828,-113.717556
Urocitellus richardsonii,50.927967,-114.130844
Urocitellus richardsonii,52.136054,-106.640416
Urocitellus richardsonii,49.887655,-97.12831
Urocitellus richardsonii,49.408907,-112.866005
Urocitellus richardsonii,51.041225,-114.015522
Urocitellus richardsonii,50.055892,-97.148915
Urocitellus richardsonii,49.694472,-112.862328
Urocitellus richardsonii,51.040374,-114.016804
Urocitellus richardsonii,51.921895,-109.11113
Urocitellus richardsonii,49.229403,-100.195757
Urocitellus richardsonii,49.58592,-114.200797
Urocitellus richardsonii,50.567005,-113.717803
Urocitellus richardsonii,49.87252,-97.237617
Urocitellus richardsonii,50.169849,-97.128701
Urocitellus richardsonii,52.178478,-106.572083
Urocitellus richardsonii,49.396959,-98.996815
Urocitellus richardsonii,50.170701,-97.128514
Urocitellus richardsonii,50.565715,-113.722313
Urocitellus richardsonii,52.128641,-106.646941
