name,latitude,longitude
Zapus trinotatus,40.875624,-124.075948
Zapus trinotatus,45.387674,-122.838969
Zapus trinotatus,47.71358,-122.053047
Zapus trinotatus,49.183439,-122.98354
Zapus trinotatus,40.858033,-124.05445
Zapus trinotatus,49.151656,-121.426903
Zapus trinotatus,46.559781,-123.617286
Zapus trinotatus,41.70345,-124.142486
Zapus trinotatus,47.393047,-122.535236
Zapus trinotatus,48.982562,-122.058547
Zapus trinotatus,49.396278,-123.204842
Zapus trinotatus,45.7352,-123.946237
Zapus trinotatus,49.182053,-122.821596
Zapus trinotatus,45.992042,-123.089479
Zapus trinotatus,47.60189,-121.259686
Zapus trinotatus,47.645928,-121.499122
Zapus trinotatus,47.867245,-123.878647
Zapus trinotatus,47.425079,-122.17267
Zapus trinotatus,47.584885,-123.645514
Zapus trinotatus,45.6427,-122.922653
Zapus trinotatus,40.897747,-124.036286
Zapus trinotatus,49.142495,-122.783263
Zapus trinotatus,49.521367,-123.239625
Zapus trinotatus,47.702778,-122.020753
Zapus trinotatus,44.849041,-122.294104
Zapus trinotatus,45.64655,-123.377533
Zapus trinotatus,44.780821,-121.990485
Zapus trinotatus,47.993558,-122.88774
Zapus trinotatus,45.729183,-122.362022
Zapus trinotatus,48.27495,-122.184344
Zapus trinotatus,40.897687,-124.036894
Zapus trinotatus,47.695324,-121.089258
Zapus trinotatus,45.777213,-122.373675
Zapus trinotatus,44.41206,-123.313848
Zapus trinotatus,45.768772,-122.362991
Zapus trinotatus,47.223773,-123.478852
Zapus trinotatus,47.713578,-122.051361
Zapus trinotatus,45.76854,-122.300356
Zapus trinotatus,45.740362,-122.309739
Zapus trinotatus,45.74,-122.31
Zapus trinotatus,45.769,-122.3
Zapus trinotatus,45.777,-122.374
Zapus trinotatus,43.910579,-122.079408
Zapus trinotatus,42.892208,-122.138047
Zapus trinotatus,45.769,-122.363
Zapus trinotatus,45.961337,-122.131701
Zapus trinotatus,45.961142,-122.132318
Zapus trinotatus,43.734931,-124.061962
Zapus trinotatus,49.064724,-120.833054
Zapus trinotatus,46.120093,-123.880187
Zapus trinotatus,46.199608,-123.973572
Zapus trinotatus,47.884663,-124.224933
Zapus trinotatus,46.122412,-123.876889
Zapus trinotatus,45.768535,-122.300342
Zapus trinotatus,45.740356,-122.309724
Zapus trinotatus,46.130667,-123.878548
Zapus trinotatus,46.126556,-123.885269
Zapus trinotatus,47.877512,-122.223175
Zapus trinotatus,40.982676,-124.094807
Zapus trinotatus,47.728875,-121.410663
Zapus trinotatus,41.90413,-124.191856
Zapus trinotatus,49.315586,-122.914897
Zapus trinotatus,41.25842,-124.187451
Zapus trinotatus,47.307892,-122.345466
Zapus trinotatus,38.077114,-122.962193
Zapus trinotatus,46.22554,-123.988852
Zapus trinotatus,47.9044,-123.0051
Zapus trinotatus,45.889908,-122.84899
Zapus trinotatus,41.258421,-124.096186
Zapus trinotatus,47.864068,-122.083422
Zapus trinotatus,47.0095,-123.512
Zapus trinotatus,47.5756,-122.855
Zapus trinotatus,45.627516406679575,-123.61683235080667
Zapus trinotatus,48.70168,-121.62285
Zapus trinotatus,45.262,-123.883
Zapus trinotatus,47.393,-120.913
Zapus trinotatus,47.397833,-120.922667
Zapus trinotatus,47.409333,-120.9395
Zapus trinotatus,47.4265,-120.937333
Zapus trinotatus,47.093667,-121.405
Zapus trinotatus,47.14,-121.617333
Zapus trinotatus,47.088167,-121.408
Zapus trinotatus,46.446833,-121.614333
Zapus trinotatus,48.395,-121.611
Zapus trinotatus,45.966667,-120.883333
Zapus trinotatus,45.9725,-120.885667
Zapus trinotatus,47.741667,-123.056333
Zapus trinotatus,47.736167,-123.025667
Zapus trinotatus,48.683333,-121.633333
Zapus trinotatus,48.7,-121.883333
Zapus trinotatus,48.683333,-121.916667
Zapus trinotatus,48.15,-121.6
Zapus trinotatus,48.7,-121.9
Zapus trinotatus,48.15,-121.583333
Zapus trinotatus,48.216667,-121.333333
Zapus trinotatus,48.2,-121.383333
Zapus trinotatus,48.683333,-121.9
Zapus trinotatus,48.216667,-121.35
Zapus trinotatus,46.31249999905782,-123.8864
Zapus trinotatus,43.2617,-122.2444
Zapus trinotatus,38.116796498911164,-122.93641514455973
Zapus trinotatus,46.2884999990578,-123.84969999999998
Zapus trinotatus,47.816667,-121.033333
Zapus trinotatus,47.8,-121.05
Zapus trinotatus,47.433333,-123.55
Zapus trinotatus,46.11751014943771,-123.93525001188492
Zapus trinotatus,44.233889,-123.805833
Zapus trinotatus,44.218889,-123.815
Zapus trinotatus,44.23,-123.805833
Zapus trinotatus,44.23,-123.810833
Zapus trinotatus,44.231944,-123.808889
Zapus trinotatus,44.233889,-123.808889
Zapus trinotatus,45.328333,-123.793889
Zapus trinotatus,44.216667,-123.8
Zapus trinotatus,45.216111,-123.641944
Zapus trinotatus,45.326111,-123.626111
Zapus trinotatus,45.3,-123.516667
Zapus trinotatus,45.331944,-123.656944
Zapus trinotatus,45.266944,-123.886111
Zapus trinotatus,45.258056,-123.881111
Zapus trinotatus,45.333333,-123.616667
Zapus trinotatus,44.333056,-123.728056
Zapus trinotatus,44.296111,-123.625
Zapus trinotatus,44.25,-123.791944
Zapus trinotatus,45.260833,-123.878889
Zapus trinotatus,44.253889,-123.792778
Zapus trinotatus,44.232778,-123.810833
Zapus trinotatus,45.270833,-123.885833
Zapus trinotatus,44.300833,-123.775
Zapus trinotatus,45.326944,-123.63
Zapus trinotatus,44.285,-123.616944
Zapus trinotatus,44.242778,-123.57
Zapus trinotatus,44.318889,-123.575
Zapus trinotatus,44.271944,-123.796944
Zapus trinotatus,44.24,-123.618889
Zapus trinotatus,45.265,-123.878889
Zapus trinotatus,45.266944,-123.888056
Zapus trinotatus,45.331944,-123.635
Zapus trinotatus,45.316667,-123.616667
Zapus trinotatus,45.316667,-123.65
Zapus trinotatus,38.11895932534915,-122.95165451771665
Zapus trinotatus,44.116667,-123.083333
Zapus trinotatus,44.133333,-123.083333
Zapus trinotatus,44.116667,-123.066667
Zapus trinotatus,44.461,-123.791
Zapus trinotatus,44.486,-123.914
Zapus trinotatus,44.494,-123.787
Zapus trinotatus,43.248649346125305,-122.43045981571224
Zapus trinotatus,43.74504132199697,-122.71267523862171
Zapus trinotatus,43.7307412915926,-122.73227546428112
Zapus trinotatus,43.730741472244425,-122.71267498793115
Zapus trinotatus,43.73074165282668,-122.69307451146254
Zapus trinotatus,48.66749999906468,-121.27050000000001
Zapus trinotatus,48.199722018015166,-121.91764220223172
Zapus trinotatus,48.66388199906468,-121.286838
Zapus trinotatus,47.00661899905919,-123.18390999999998
Zapus trinotatus,46.98849999905915,-122.677611
Zapus trinotatus,47.01749999905921,-122.6618
Zapus trinotatus,46.98849999905915,-122.64069999999997
Zapus trinotatus,46.944899999059054,-122.6618
Zapus trinotatus,46.95052598888455,-121.86731462477739
Zapus trinotatus,44.46852330374415,-123.87271644591156
Zapus trinotatus,44.51132240185758,-123.92591853074833
Zapus trinotatus,44.43992344488543,-123.88571622862565
Zapus trinotatus,44.539921756038105,-123.96612003776184
Zapus trinotatus,47.800699999061436,-123.08840000000001
Zapus trinotatus,46.43288099905803,-123.950365
Zapus trinotatus,47.939662999061895,-124.15040000000002
Zapus trinotatus,47.961799999061974,-123.0044
Zapus trinotatus,47.91789999906182,-124.289034
Zapus trinotatus,46.45461899905806,-123.990863
Zapus trinotatus,46.274963,-123.4715
Zapus trinotatus,43.71713750711248,-123.15668550917607
Zapus trinotatus,37.99551639748557,-123.0226894738788
Zapus trinotatus,47.946299999061914,-122.93870000000001
Zapus trinotatus,47.22149999905972,-123.858076
Zapus trinotatus,47.22876199905974,-123.9096
Zapus trinotatus,47.5497,-121.8642
Zapus trinotatus,48.08109999906239,-124.01880000000001
Zapus trinotatus,46.6860999990585,-121.81325900000002
Zapus trinotatus,45.885799999057284,-122.01009999999998
Zapus trinotatus,46.365309957229336,-123.81035195915699
Zapus trinotatus,45.79251999905718,-121.94552599999999
Zapus trinotatus,45.80711999905719,-122.01737500000002
Zapus trinotatus,46.124019999057566,-121.974105
Zapus trinotatus,46.5892419990583,-121.546298
Zapus trinotatus,46.933918999059024,-121.90230000000001
Zapus trinotatus,46.74701899905862,-121.54627000000002
Zapus trinotatus,46.9879,-121.849089
Zapus trinotatus,45.91871999905731,-121.9895
Zapus trinotatus,45.89303999905728,-122.00491699999999
Zapus trinotatus,46.6897189990585,-121.708559
Zapus trinotatus,46.73978099905861,-121.89696499999998
Zapus trinotatus,46.79001899905872,-121.89170000000001
