name,latitude,longitude
Antrozous pallidus,33.932257,-112.691774
Antrozous pallidus,33.658262,-114.523487
Antrozous pallidus,34.898884,-111.762113
Antrozous pallidus,32.32028,-112.886814
Antrozous pallidus,32.015432,-112.69508
Antrozous pallidus,32.016153,-112.695201
Antrozous pallidus,32.45496,-112.822359
Antrozous pallidus,34.038678,-116.160236
Antrozous pallidus,32.479708,-111.013237
Antrozous pallidus,25.429725,-100.124535
Antrozous pallidus,23.810967,-99.066486
Antrozous pallidus,38.342323,-122.601825
Antrozous pallidus,36.812091,-107.673711
Antrozous pallidus,34.604513,-104.38778
Antrozous pallidus,30.611783,-103.950208
Antrozous pallidus,30.610077,-103.950498
Antrozous pallidus,30.323013,-103.136605
Antrozous pallidus,38.53295,-121.976855
Antrozous pallidus,33.719681,-111.680878
Antrozous pallidus,34.61522,-104.39277
Antrozous pallidus,39.997497,-113.24292
Antrozous pallidus,30.384612,-103.65388
Antrozous pallidus,39.758893,-113.387496
Antrozous pallidus,31.680396,-110.941919
Antrozous pallidus,34.395953,-110.523558
Antrozous pallidus,34.071567,-106.907139
Antrozous pallidus,36.246128,-106.476013
Antrozous pallidus,39.80889,-121.976746
Antrozous pallidus,31.713337,-110.873353
Antrozous pallidus,37.000447,-113.560363
Antrozous pallidus,31.567617,-111.05023
Antrozous pallidus,35.7396,-105.961738
Antrozous pallidus,37.252549,-119.54228
Antrozous pallidus,32.809459,-106.292048
Antrozous pallidus,32.779613,-106.172455
Antrozous pallidus,31.835328,-109.031722
Antrozous pallidus,31.713426,-110.87333
Antrozous pallidus,35.411991,-113.859673
Antrozous pallidus,29.542592,-104.326453
Antrozous pallidus,41.535722,-122.359911
Antrozous pallidus,32.251072,-110.827508
Antrozous pallidus,31.674179,-110.949801
Antrozous pallidus,31.103558,-108.337692
Antrozous pallidus,29.542773,-104.326508
Antrozous pallidus,29.542769,-104.326508
Antrozous pallidus,29.469473,-103.960547
Antrozous pallidus,38.482764,-122.657495
Antrozous pallidus,32.274976,-106.729977
Antrozous pallidus,35.355713,-103.452326
Antrozous pallidus,25.183169,-99.832832
Antrozous pallidus,32.269461,-110.89973
Antrozous pallidus,30.593823,-103.93909
Antrozous pallidus,37.239062,-113.470312
Antrozous pallidus,36.328302,-115.289033
Antrozous pallidus,29.862105,-104.33432
Antrozous pallidus,38.458472,-122.934074
