name,latitude,longitude
Aplodontia rufa,45.887142,-123.964347
Aplodontia rufa,48.039214,-123.220585
Aplodontia rufa,45.51283,-122.179128
Aplodontia rufa,37.663792,-119.749231
Aplodontia rufa,47.550601,-122.255789
Aplodontia rufa,44.489463,-123.538566
Aplodontia rufa,47.976913,-122.217438
Aplodontia rufa,46.18354,-123.829068
Aplodontia rufa,38.825327,-120.15621
Aplodontia rufa,44.250263,-122.135042
Aplodontia rufa,47.751716,-122.299962
Aplodontia rufa,47.275177,-123.046555
Aplodontia rufa,47.810437,-122.362472
Aplodontia rufa,45.364472,-123.771963
Aplodontia rufa,41.065337,-124.190258
Aplodontia rufa,47.70002,-122.231438
Aplodontia rufa,45.349828,-122.6081
Aplodontia rufa,48.045178,-123.39823
Aplodontia rufa,47.53603,-122.115289
Aplodontia rufa,47.755075,-122.299308
Aplodontia rufa,41.067779,-124.077804
Aplodontia rufa,47.566667,-122.386754
Aplodontia rufa,45.7284,-122.416153
Aplodontia rufa,42.932805,-122.591634
Aplodontia rufa,40.221111,-120.709852
Aplodontia rufa,46.9162,-122.275894
Aplodontia rufa,44.2483,-122.150017
Aplodontia rufa,47.973141,-123.501489
Aplodontia rufa,44.249892,-122.15289
Aplodontia rufa,42.096405,-123.395512
Aplodontia rufa,45.517736,-122.356277
Aplodontia rufa,47.047102,-122.855477
Aplodontia rufa,47.074,-122.950034
Aplodontia rufa,47.014356,-122.856055
Aplodontia rufa,47.740924,-122.032028
Aplodontia rufa,47.708154,-122.377992
Aplodontia rufa,47.743344,-122.028949
Aplodontia rufa,47.654236,-122.407155
Aplodontia rufa,37.129937,-118.48142
Aplodontia rufa,46.914349,-123.100986
Aplodontia rufa,46.171742,-123.436547
Aplodontia rufa,47.542419,-122.631688
Aplodontia rufa,36.645554,-118.93952
Aplodontia rufa,47.093389,-122.77787
Aplodontia rufa,47.755359,-122.290295
Aplodontia rufa,45.086728,-122.518845
Aplodontia rufa,38.053424,-119.068202
Aplodontia rufa,48.717356,-121.680204
Aplodontia rufa,48.584502,-121.758348
Aplodontia rufa,47.675157,-122.033265
Aplodontia rufa,47.815783,-122.344898
Aplodontia rufa,47.702816,-122.375443
Aplodontia rufa,41.06964,-124.151351
Aplodontia rufa,45.54076,-122.171905
Aplodontia rufa,48.888814,-121.832161
Aplodontia rufa,47.558467,-122.248292
Aplodontia rufa,37.629667,-119.005333
Aplodontia rufa,47.656016,-122.308122
Aplodontia rufa,47.0,-123.41
Aplodontia rufa,47.729439,-122.623999
Aplodontia rufa,47.860957,-123.934813
Aplodontia rufa,42.057389,-124.189081
Aplodontia rufa,44.433333,-122.508333
Aplodontia rufa,45.568854,-123.497486
Aplodontia rufa,47.850711,-123.435728
Aplodontia rufa,47.6904,-122.388
Aplodontia rufa,46.7587,-121.638
Aplodontia rufa,47.1978,-122.5008
Aplodontia rufa,47.751,-122.652
Aplodontia rufa,47.621041,-122.227955
Aplodontia rufa,40.46521,-121.4764
Aplodontia rufa,46.9991,-122.8497
Aplodontia rufa,46.8876,-123.559
Aplodontia rufa,44.877437,-122.656463
Aplodontia rufa,47.161059,-123.813864
Aplodontia rufa,36.082849,-118.534723
Aplodontia rufa,36.603666,-118.732638
Aplodontia rufa,37.66285,-119.66467
Aplodontia rufa,37.66596,-119.66798
Aplodontia rufa,40.432018003917825,-121.53386404465549
Aplodontia rufa,47.278351,-120.834148
Aplodontia rufa,37.91771332714683,-119.2554066559816
Aplodontia rufa,47.163101,-123.756691
Aplodontia rufa,40.434312,-121.363656
Aplodontia rufa,44.004302,-123.403734
Aplodontia rufa,44.66508,-123.808216
Aplodontia rufa,37.625,-118.991667
Aplodontia rufa,47.75,-122.5
Aplodontia rufa,43.978759,-122.632262
Aplodontia rufa,47.76238,-122.36937
Aplodontia rufa,47.238439,-122.208681
Aplodontia rufa,47.481297,-121.747041
Aplodontia rufa,48.43449999906372,-121.95189999999998
Aplodontia rufa,44.56842495059775,-123.60411178854153
Aplodontia rufa,44.648985342631775,-123.48730044404006
Aplodontia rufa,44.60553424991372,-123.64278342031407
Aplodontia rufa,44.603714,-123.683908
Aplodontia rufa,44.605539,-123.643227
Aplodontia rufa,44.567683,-123.601342
Aplodontia rufa,44.605698,-123.642012
Aplodontia rufa,44.658619808177086,-124.05782448589099
Aplodontia rufa,44.60506317766915,-123.75573615649408
Aplodontia rufa,44.6115,-123.7239
Aplodontia rufa,38.91100683079026,-123.66541150257267
Aplodontia rufa,43.49540205190479,-122.92479601996217
Aplodontia rufa,43.48816213173212,-122.92479589408083
Aplodontia rufa,38.97336421873996,-123.7077013368054
Aplodontia rufa,48.076944,-123.7575
Aplodontia rufa,48.080833,-123.7375
Aplodontia rufa,44.661022299773975,-123.7955181706213
Aplodontia rufa,39.440499999074184,-120.2977
Aplodontia rufa,47.65691830796075,-122.41784357656562
Aplodontia rufa,47.55436,-121.88942
Aplodontia rufa,47.35777,-122.29679
Aplodontia rufa,44.60564,-123.756218
Aplodontia rufa,41.062449,-124.13973
Aplodontia rufa,44.5402,-123.5629
Aplodontia rufa,44.67062249680984,-123.76601763393357
Aplodontia rufa,44.670738,-123.725822
Aplodontia rufa,47.03333,-122.0395
Aplodontia rufa,39.43176739503357,-120.24256848641303
Aplodontia rufa,44.653603,-123.647934
Aplodontia rufa,42.245278,-124.391667
Aplodontia rufa,44.634712,-123.734573
Aplodontia rufa,44.670738,-123.766319
Aplodontia rufa,47.538921186900495,-122.15533426332745
Aplodontia rufa,47.63913,-122.17586
Aplodontia rufa,38.02764179882385,-122.89090192815118
Aplodontia rufa,44.56442631385957,-123.46430831130398
Aplodontia rufa,48.118007238596526,-123.43037982053438
Aplodontia rufa,48.07954,-123.10184
Aplodontia rufa,45.740227,-123.949554
Aplodontia rufa,47.322220345362815,-122.31232377455919
