name,latitude,longitude
Callospermophilus saturatus,46.867572,-121.679297
Callospermophilus saturatus,46.977826,-121.999285
Callospermophilus saturatus,46.879966,-121.726909
Callospermophilus saturatus,47.599403,-120.641413
Callospermophilus saturatus,47.094414,-121.449491
Callospermophilus saturatus,47.301059,-120.620536
Callospermophilus saturatus,47.812864,-120.736186
Callospermophilus saturatus,47.256694,-120.893672
Callospermophilus saturatus,47.329335,-121.314688
Callospermophilus saturatus,47.33423,-120.675665
Callospermophilus saturatus,46.901486,-121.644243
Callospermophilus saturatus,49.070551,-120.763643
Callospermophilus saturatus,45.965947,-121.340561
Callospermophilus saturatus,49.080011,-120.791649
Callospermophilus saturatus,47.507142,-120.83825
Callospermophilus saturatus,46.79591,-121.735793
Callospermophilus saturatus,46.882723,-121.728516
Callospermophilus saturatus,46.276778,-122.214742
Callospermophilus saturatus,49.57012,-121.13109
Callospermophilus saturatus,48.438922,-120.249292
Callospermophilus saturatus,46.795925,-121.735772
Callospermophilus saturatus,46.854647,-121.786205
Callospermophilus saturatus,46.627572,-121.28722
Callospermophilus saturatus,46.27626,-122.229355
Callospermophilus saturatus,46.893817,-121.5028
Callospermophilus saturatus,46.798608,-121.734888
Callospermophilus saturatus,49.070591,-120.763599
Callospermophilus saturatus,46.911747,-121.671212
Callospermophilus saturatus,46.815709,-121.754313
Callospermophilus saturatus,46.915807,-121.663789
Callospermophilus saturatus,46.785316,-121.734973
Callospermophilus saturatus,46.91723,-121.589472
Callospermophilus saturatus,46.917549,-121.667873
Callospermophilus saturatus,45.973637,-121.341955
Callospermophilus saturatus,49.071481,-120.763735
Callospermophilus saturatus,48.876368,-121.022098
Callospermophilus saturatus,46.790772,-121.737822
Callospermophilus saturatus,46.8022,-121.729513
Callospermophilus saturatus,46.792748,-121.73795
Callospermophilus saturatus,46.906509,-121.689411
Callospermophilus saturatus,46.80352,-121.732588
Callospermophilus saturatus,47.499054,-120.837807
Callospermophilus saturatus,45.934802,-121.340746
Callospermophilus saturatus,46.789572,-121.737514
Callospermophilus saturatus,46.802308,-121.728937
Callospermophilus saturatus,46.797116,-121.73648
Callospermophilus saturatus,46.921004,-121.463934
Callospermophilus saturatus,46.79227,-121.739388
Callospermophilus saturatus,46.80321,-121.734596
Callospermophilus saturatus,49.570564,-121.137375
Callospermophilus saturatus,49.568213,-121.141001
Callospermophilus saturatus,46.919162,-121.65692
