name,latitude,longitude
Castor canadensis,38.202307,-122.529978
Castor canadensis,38.321978,-122.511663
Castor canadensis,44.510342,-73.229645
Castor canadensis,44.667663,-63.524685
Castor canadensis,43.951942,-71.499205
Castor canadensis,38.297415,-122.477232
Castor canadensis,38.754592,-77.104325
Castor canadensis,39.24335,-76.861796
Castor canadensis,38.997086,-77.251327
Castor canadensis,49.348403,-122.647836
Castor canadensis,44.817897,-70.117541
Castor canadensis,40.578981,-74.885761
Castor canadensis,44.683059,-76.451157
Castor canadensis,49.885474,-119.502114
Castor canadensis,41.163036,-81.571776
Castor canadensis,38.996892,-77.254794
Castor canadensis,44.430021,-76.379731
Castor canadensis,38.755836,-121.263582
Castor canadensis,53.554426,-113.399583
Castor canadensis,49.210246,-123.187442
Castor canadensis,31.444169,-94.692841
Castor canadensis,39.744475,-75.149161
Castor canadensis,43.239023,-72.552562
Castor canadensis,42.866134,-81.468086
Castor canadensis,45.350272,-75.58812
Castor canadensis,39.430253,-77.439217
Castor canadensis,43.687205,-79.366638
Castor canadensis,39.189625,-76.833046
Castor canadensis,39.273191,-77.519518
Castor canadensis,42.531692,-71.471275
Castor canadensis,44.381903,-80.229909
Castor canadensis,33.329803,-86.752455
Castor canadensis,45.504629,-123.253959
Castor canadensis,49.872303,-97.101909
Castor canadensis,43.225471,-79.622144
Castor canadensis,44.402201,-68.312949
Castor canadensis,39.463288,-76.584405
Castor canadensis,49.820335,-97.225139
Castor canadensis,39.505833,-76.61622
Castor canadensis,39.503048,-76.622854
Castor canadensis,44.668241,-63.529066
Castor canadensis,42.276078,-122.8161
Castor canadensis,30.376626,-84.219003
Castor canadensis,49.100525,-123.829422
Castor canadensis,32.475862,-95.294427
Castor canadensis,33.571695,-86.724769
Castor canadensis,49.719723,-97.172944
Castor canadensis,38.882354,-76.802029
Castor canadensis,41.422128,-81.660167
Castor canadensis,42.636714,-70.919348
Castor canadensis,38.77007,-76.708322
Castor canadensis,39.77698,-75.142236
Castor canadensis,43.874773,-78.812759
Castor canadensis,41.897826,-72.180457
Castor canadensis,36.099177,-77.551085
Castor canadensis,37.727364,-97.837196
Castor canadensis,35.041291,-106.657202
Castor canadensis,37.459278,-77.620237
Castor canadensis,43.901253,-78.681922
Castor canadensis,42.628832,-72.11152
Castor canadensis,45.065679,-79.311062
Castor canadensis,40.997409,-74.47857
Castor canadensis,43.492816,-117.133837
Castor canadensis,42.274189,-71.201844
Castor canadensis,42.688142,-72.082712
Castor canadensis,46.229772,-123.996813
Castor canadensis,42.635768,-70.912222
Castor canadensis,43.022453,-78.825935
Castor canadensis,49.673426,-112.802104
Castor canadensis,41.435625,-82.101456
Castor canadensis,38.873347,-77.340553
Castor canadensis,39.59695,-75.166835
Castor canadensis,43.306207,-80.675345
Castor canadensis,45.43912,-73.728454
Castor canadensis,38.054539,-76.64472
Castor canadensis,42.282086,-71.188117
Castor canadensis,38.698162,-77.920953
Castor canadensis,43.110114,-79.25097
Castor canadensis,49.054538,-122.344221
Castor canadensis,47.668799,-121.926285
Castor canadensis,39.441723,-76.941132
Castor canadensis,41.319388,-81.58754
Castor canadensis,38.106328,-77.832405
Castor canadensis,49.212387,-123.02151
Castor canadensis,46.544015,-84.565688
Castor canadensis,44.074466,-79.470003
Castor canadensis,43.52073,-117.103223
Castor canadensis,33.452434,-96.960611
Castor canadensis,36.01825,-78.885322
Castor canadensis,43.519528,-117.10443
Castor canadensis,43.514431,-117.106176
Castor canadensis,29.974508,-95.591683
Castor canadensis,49.88156,-97.130258
Castor canadensis,44.019194,-73.177319
Castor canadensis,43.371135,-123.25963
Castor canadensis,40.467473,-122.262114
Castor canadensis,33.063373,-96.975087
Castor canadensis,43.945278,-78.954722
Castor canadensis,33.060912,-96.9633
Castor canadensis,33.05882,-96.669171
Castor canadensis,46.210817,-60.318275
Castor canadensis,38.938868,-94.643931
Castor canadensis,43.387059,-80.14565
Castor canadensis,43.518079,-117.101934
Castor canadensis,43.600425,-84.786109
Castor canadensis,35.132666,-89.840195
Castor canadensis,41.303737,-81.571749
Castor canadensis,40.511082,-74.575192
Castor canadensis,42.270175,-72.197005
Castor canadensis,43.494721,-117.134017
Castor canadensis,43.622436,-79.477501
Castor canadensis,34.806492,-80.143021
Castor canadensis,49.201019,-123.021927
Castor canadensis,44.339125,-78.729218
Castor canadensis,40.266126,-80.135276
Castor canadensis,33.058864,-96.668963
Castor canadensis,33.225823,-96.946122
Castor canadensis,47.6711,-121.922973
Castor canadensis,38.943513,-95.268298
Castor canadensis,38.944392,-95.266833
Castor canadensis,34.515897,-82.34703
Castor canadensis,38.915886,-95.228241
Castor canadensis,36.523612,-82.106372
Castor canadensis,32.997244,-97.094473
Castor canadensis,43.493388,-73.595245
Castor canadensis,47.490189,-101.433545
Castor canadensis,39.371167,-77.41613
Castor canadensis,43.517885,-117.101681
Castor canadensis,41.322007,-81.627134
Castor canadensis,32.824004,-97.428924
Castor canadensis,49.203742,-123.022396
Castor canadensis,43.517422,-80.497475
Castor canadensis,41.319319,-81.587572
Castor canadensis,41.2168,-73.563117
Castor canadensis,45.574347,-122.612683
Castor canadensis,38.297442,-122.477009
Castor canadensis,44.382143,-71.524844
Castor canadensis,40.981064,-76.467376
Castor canadensis,44.893117,-93.177455
Castor canadensis,42.510331,-73.322553
Castor canadensis,35.807778,-78.608438
Castor canadensis,34.651162,-92.436913
Castor canadensis,38.054749,-76.644827
Castor canadensis,44.312972,-76.432816
Castor canadensis,39.56065,-75.732923
Castor canadensis,37.754297,-97.802177
Castor canadensis,32.272227,-94.989042
Castor canadensis,42.340368,-72.505087
Castor canadensis,42.400528,-71.681433
Castor canadensis,38.572647,-121.358047
Castor canadensis,42.239077,-71.229899
Castor canadensis,49.881471,-97.10095
Castor canadensis,43.514348,-117.106271
Castor canadensis,38.054039,-76.644552
Castor canadensis,39.00226,-95.241049
Castor canadensis,39.214305,-121.277443
Castor canadensis,43.7827,-79.37677
Castor canadensis,43.622527,-79.477405
Castor canadensis,29.828332,-95.63434
Castor canadensis,31.59335,-94.653495
Castor canadensis,43.984982,-79.178608
Castor canadensis,38.402165,-76.411193
Castor canadensis,39.634665,-75.691686
Castor canadensis,39.212885,-77.463678
Castor canadensis,50.924133,-114.045541
Castor canadensis,35.13882,-79.043847
Castor canadensis,41.546708,-83.68692
Castor canadensis,33.45294,-96.960239
Castor canadensis,42.526718,-72.632718
Castor canadensis,42.593088,-72.494223
Castor canadensis,35.48368,-97.666367
Castor canadensis,38.10477,-77.835814
Castor canadensis,34.792294,-112.061614
Castor canadensis,42.064473,-93.631532
Castor canadensis,43.515717,-117.103739
Castor canadensis,48.790633,-123.709128
Castor canadensis,42.645186,-72.187631
Castor canadensis,38.751825,-77.108879
Castor canadensis,38.961618,-76.19148
Castor canadensis,44.360608,-69.873213
Castor canadensis,43.495112,-117.134028
Castor canadensis,41.24982,-81.662601
Castor canadensis,38.775587,-77.049811
Castor canadensis,43.521114,-117.1034
Castor canadensis,37.780177,-121.543587
Castor canadensis,42.399237,-72.394932
Castor canadensis,47.834586,-122.181614
Castor canadensis,37.516665,-77.421611
Castor canadensis,45.479236,-122.636279
Castor canadensis,34.651025,-92.436997
Castor canadensis,36.340672,-82.121325
Castor canadensis,50.719057,-120.260254
Castor canadensis,42.411085,-71.465262
Castor canadensis,40.577687,-74.451951
Castor canadensis,33.41575,-97.096484
Castor canadensis,30.507252,-84.289501
Castor canadensis,42.398924,-71.679965
Castor canadensis,42.21487,-71.142739
Castor canadensis,41.214082,-81.371172
Castor canadensis,42.483786,-87.964994
Castor canadensis,42.650892,-70.906355
Castor canadensis,42.683852,-72.084223
Castor canadensis,41.305548,-81.384605
Castor canadensis,47.378308,-91.187012
Castor canadensis,40.378367,-74.471414
Castor canadensis,44.470951,-77.31263
Castor canadensis,32.607702,-87.331954
Castor canadensis,45.482889,-123.21753
Castor canadensis,44.925652,-93.06259
Castor canadensis,41.897938,-91.485326
Castor canadensis,45.62918,-122.82058
Castor canadensis,46.358719,-87.172405
Castor canadensis,38.38625,-109.489967
Castor canadensis,44.686775,-93.094383
Castor canadensis,40.404082,-74.503975
Castor canadensis,43.519828,-117.103705
Castor canadensis,42.638158,-72.125223
Castor canadensis,40.152734,-75.681833
Castor canadensis,49.236746,-122.800272
Castor canadensis,43.492758,-117.133874
Castor canadensis,44.501604,-93.177574
