name,latitude,longitude
Cervus elaphus,38.088309,-122.99965
Cervus elaphus,38.395533,-122.987777
Cervus elaphus,38.184133,-122.986461
Cervus elaphus,43.81997,-123.248766
Cervus elaphus,41.347069,-124.028592
Cervus elaphus,38.047263,-122.879522
Cervus elaphus,35.522356,-83.347098
Cervus elaphus,38.112274,-122.922054
Cervus elaphus,33.421233,-105.62922
Cervus elaphus,46.878299,-113.961728
Cervus elaphus,33.335016,-105.673513
Cervus elaphus,39.241249,-106.895911
Cervus elaphus,38.154937,-122.941832
Cervus elaphus,50.601242,-116.088537
Cervus elaphus,47.855728,-123.949708
Cervus elaphus,37.10291,-121.129093
Cervus elaphus,27.2326,-97.950435
Cervus elaphus,36.029302,-112.065988
Cervus elaphus,37.163605,-120.941224
Cervus elaphus,33.335347,-105.671184
Cervus elaphus,43.153703,-111.023578
Cervus elaphus,38.030808,-122.927401
Cervus elaphus,46.86243,-122.287575
Cervus elaphus,45.9468,-123.547028
Cervus elaphus,46.874284,-113.961858
Cervus elaphus,51.195363,-115.493874
Cervus elaphus,33.339134,-105.671758
Cervus elaphus,46.205391,-123.961651
Cervus elaphus,44.665838,-122.772115
Cervus elaphus,37.006272,-120.914304
Cervus elaphus,36.070836,-112.199867
Cervus elaphus,44.615263,-124.062553
Cervus elaphus,29.315213,-103.161313
Cervus elaphus,37.074539,-120.850341
Cervus elaphus,35.506558,-83.223276
Cervus elaphus,41.32125,-124.0414
Cervus elaphus,38.088237,-122.833725
Cervus elaphus,38.179816,-121.880807
Cervus elaphus,43.513546,-110.750956
Cervus elaphus,45.902976,-123.959181
Cervus elaphus,45.642747,-122.922263
Cervus elaphus,35.553234,-83.122653
Cervus elaphus,27.311976,-97.894022
Cervus elaphus,37.253067,-121.694755
Cervus elaphus,33.336565,-105.674399
Cervus elaphus,38.065409,-122.833732
Cervus elaphus,50.489935,-115.966303
Cervus elaphus,38.10469,-122.894293
Cervus elaphus,45.4145,-123.824142
Cervus elaphus,51.115648,-115.370341
Cervus elaphus,41.321343,-124.041931
Cervus elaphus,45.026913,-112.527677
Cervus elaphus,43.508049,-110.755125
Cervus elaphus,49.691109,-115.686199
Cervus elaphus,45.8885,-123.957038
Cervus elaphus,33.181022,-105.698862
Cervus elaphus,46.17303,-123.91785
Cervus elaphus,35.3683,-119.262823
Cervus elaphus,36.037686,-112.122017
Cervus elaphus,37.257995,-107.107532
Cervus elaphus,36.237046,-120.97734
Cervus elaphus,38.386991,-122.822771
Cervus elaphus,42.539863,-122.842075
Cervus elaphus,41.318389,-124.040413
Cervus elaphus,51.081788,-115.333362
Cervus elaphus,45.326762,-117.878711
Cervus elaphus,33.080128,-105.607457
