name,latitude,longitude
Dicrostonyx groenlandicus,71.295789,-156.648245
Dicrostonyx groenlandicus,71.230393,-156.485472
Dicrostonyx groenlandicus,71.252175,-156.838897
Dicrostonyx groenlandicus,65.302139,-96.415
Dicrostonyx groenlandicus,64.73345,-165.93115
Dicrostonyx groenlandicus,70.241414,-148.106833
Dicrostonyx groenlandicus,68.613056,-149.560833
Dicrostonyx groenlandicus,71.27831,-156.5891
Dicrostonyx groenlandicus,71.295516,-156.688301
Dicrostonyx groenlandicus,69.372505,-81.82465
Dicrostonyx groenlandicus,68.61021,-149.55014
Dicrostonyx groenlandicus,68.9914,-150.27776
Dicrostonyx groenlandicus,70.117982,-145.850171
Dicrostonyx groenlandicus,68.560208,-149.485653
Dicrostonyx groenlandicus,68.93539,-150.27444
Dicrostonyx groenlandicus,69.00307,-158.26405
Dicrostonyx groenlandicus,68.89833,-156.47754
Dicrostonyx groenlandicus,68.89881,-156.46982
Dicrostonyx groenlandicus,69.059158,-154.235962
Dicrostonyx groenlandicus,68.521468,-105.658446
Dicrostonyx groenlandicus,68.521767,-105.662483
Dicrostonyx groenlandicus,69.76073,-146.30609
Dicrostonyx groenlandicus,69.76141,-146.31175
Dicrostonyx groenlandicus,69.767111,-146.302944
Dicrostonyx groenlandicus,70.126056,-145.851528
Dicrostonyx groenlandicus,69.89672,-146.36894
Dicrostonyx groenlandicus,70.124028,-145.845722
Dicrostonyx groenlandicus,69.113009,-105.407564
Dicrostonyx groenlandicus,69.111857,-105.403355
Dicrostonyx groenlandicus,69.112062,-105.403217
Dicrostonyx groenlandicus,69.114278,-105.404173
Dicrostonyx groenlandicus,69.114033,-105.404313
Dicrostonyx groenlandicus,69.453457,-106.674918
Dicrostonyx groenlandicus,69.113646,-105.404433
Dicrostonyx groenlandicus,69.453468,-106.674826
Dicrostonyx groenlandicus,69.112738,-105.405357
Dicrostonyx groenlandicus,69.453296,-106.671368
Dicrostonyx groenlandicus,69.112974,-105.407542
Dicrostonyx groenlandicus,69.463503,-106.686685
Dicrostonyx groenlandicus,69.112953,-105.411368
Dicrostonyx groenlandicus,69.464223,-106.687152
Dicrostonyx groenlandicus,69.112738,-105.403548
Dicrostonyx groenlandicus,69.464129,-106.688298
Dicrostonyx groenlandicus,67.81781,-115.097913
Dicrostonyx groenlandicus,69.113517,-105.404405
Dicrostonyx groenlandicus,69.468282,-106.682758
Dicrostonyx groenlandicus,69.112988,-105.40752
Dicrostonyx groenlandicus,69.467137,-106.682866
Dicrostonyx groenlandicus,69.113316,-105.403673
Dicrostonyx groenlandicus,69.463874,-106.686505
Dicrostonyx groenlandicus,69.114619,-105.397737
Dicrostonyx groenlandicus,69.453565,-106.675523
Dicrostonyx groenlandicus,69.112278,-105.408063
Dicrostonyx groenlandicus,69.461024,-106.672776
Dicrostonyx groenlandicus,69.157374,-104.902319
Dicrostonyx groenlandicus,69.461956,-106.68607
Dicrostonyx groenlandicus,69.461221,-106.685729
Dicrostonyx groenlandicus,69.460484,-106.682623
Dicrostonyx groenlandicus,69.457699,-106.681668
Dicrostonyx groenlandicus,69.458049,-106.682655
Dicrostonyx groenlandicus,69.461057,-106.678351
Dicrostonyx groenlandicus,69.458244,-106.68281
Dicrostonyx groenlandicus,69.460949,-106.677804
Dicrostonyx groenlandicus,69.459055,-106.681426
Dicrostonyx groenlandicus,69.461272,-106.68589
Dicrostonyx groenlandicus,69.460705,-106.683618
Dicrostonyx groenlandicus,69.461334,-106.680179
Dicrostonyx groenlandicus,69.459169,-106.665829
Dicrostonyx groenlandicus,69.158604,-104.901061
Dicrostonyx groenlandicus,69.460897,-106.685164
Dicrostonyx groenlandicus,69.462782,-106.687511
Dicrostonyx groenlandicus,69.158392,-104.898897
Dicrostonyx groenlandicus,69.461121,-106.678997
Dicrostonyx groenlandicus,69.463217,-106.686638
Dicrostonyx groenlandicus,69.157352,-104.899206
Dicrostonyx groenlandicus,69.461433,-106.681686
Dicrostonyx groenlandicus,69.463509,-106.686743
Dicrostonyx groenlandicus,69.467322,-106.682945
Dicrostonyx groenlandicus,69.156767,-104.899551
Dicrostonyx groenlandicus,69.460699,-106.684455
Dicrostonyx groenlandicus,69.157192,-104.899257
Dicrostonyx groenlandicus,69.461649,-106.685386
Dicrostonyx groenlandicus,69.468276,-106.682716
Dicrostonyx groenlandicus,69.158462,-104.897932
Dicrostonyx groenlandicus,69.461074,-106.678676
Dicrostonyx groenlandicus,69.460948,-106.672755
Dicrostonyx groenlandicus,69.157308,-104.898769
Dicrostonyx groenlandicus,69.463434,-106.686102
Dicrostonyx groenlandicus,69.156948,-104.899805
Dicrostonyx groenlandicus,69.45345,-106.672253
Dicrostonyx groenlandicus,69.158335,-104.901965
Dicrostonyx groenlandicus,69.467241,-106.682883
Dicrostonyx groenlandicus,69.460646,-106.67185
Dicrostonyx groenlandicus,69.15834,-104.895319
Dicrostonyx groenlandicus,69.460205,-106.669498
Dicrostonyx groenlandicus,69.113031,-105.402847
Dicrostonyx groenlandicus,69.113222,-105.4045
Dicrostonyx groenlandicus,69.453455,-106.675094
Dicrostonyx groenlandicus,69.11251,-105.407883
Dicrostonyx groenlandicus,69.457727,-106.681554
Dicrostonyx groenlandicus,70.12675,-145.855917
Dicrostonyx groenlandicus,70.126056,-145.8515
Dicrostonyx groenlandicus,70.11995,-145.84299
Dicrostonyx groenlandicus,70.127278,-145.855806
Dicrostonyx groenlandicus,70.1265,-145.855556
Dicrostonyx groenlandicus,70.11929,-145.8437
Dicrostonyx groenlandicus,70.90971,-153.25578
Dicrostonyx groenlandicus,73.14712,-79.964921
Dicrostonyx groenlandicus,72.928777,-79.843533
Dicrostonyx groenlandicus,72.860911,-79.76462
Dicrostonyx groenlandicus,69.573399,-138.887135
Dicrostonyx groenlandicus,69.577081,-138.885473
Dicrostonyx groenlandicus,70.29855,-110.93478
