name,latitude,longitude
Dicrostonyx hudsonius,58.841618,-63.746796
Dicrostonyx hudsonius,56.533,-79.233
Dicrostonyx hudsonius,56.529999,-79.230003
Dicrostonyx hudsonius,56.533333,-79.233333
Dicrostonyx hudsonius,58.45417,-78.10194
Dicrostonyx hudsonius,59.216667,-70.133333
Dicrostonyx hudsonius,56.217,-80.0
Dicrostonyx hudsonius,56.216667,-80.0
Dicrostonyx hudsonius,56.183333,-80.0
Dicrostonyx hudsonius,56.2,-79.883333
Dicrostonyx hudsonius,56.183333,-80.083333
Dicrostonyx hudsonius,56.266667,-79.783333
Dicrostonyx hudsonius,56.6,-79.266667
Dicrostonyx hudsonius,56.316667,-79.65
Dicrostonyx hudsonius,56.133333,-78.883333
Dicrostonyx hudsonius,56.5,-79.533333
Dicrostonyx hudsonius,58.45,-78.1
Dicrostonyx hudsonius,54.8,-66.8
Dicrostonyx hudsonius,55.066667,-67.233333
Dicrostonyx hudsonius,59.416667,-74.0
Dicrostonyx hudsonius,60.0,-69.716667
Dicrostonyx hudsonius,62.2,-75.633333
Dicrostonyx hudsonius,58.216667,-70.116667
Dicrostonyx hudsonius,58.333333,-70.25
Dicrostonyx hudsonius,56.267433,-76.306815
Dicrostonyx hudsonius,55.411223,-77.783333
Dicrostonyx hudsonius,55.05,-67.17
Dicrostonyx hudsonius,58.58,-70.0
Dicrostonyx hudsonius,56.257629,-76.429463
Dicrostonyx hudsonius,56.083333,-68.366667
Dicrostonyx hudsonius,58.506309,-67.626614
Dicrostonyx hudsonius,47.155,-78.80861
Dicrostonyx hudsonius,55.266667,-77.783333
Dicrostonyx hudsonius,58.132673,-62.407808
Dicrostonyx hudsonius,58.1,-68.4
Dicrostonyx hudsonius,53.82917,-79.025
Dicrostonyx hudsonius,58.866667,-65.833333
Dicrostonyx hudsonius,58.91667,-69.16667
Dicrostonyx hudsonius,62.216667,-75.65
Dicrostonyx hudsonius,56.382525,-64.741199
Dicrostonyx hudsonius,56.25,-64.7
Dicrostonyx hudsonius,58.666672,-77.5
Dicrostonyx hudsonius,58.454167,-78.104722
Dicrostonyx hudsonius,58.5,-76.733333
Dicrostonyx hudsonius,57.033333,-76.683333
Dicrostonyx hudsonius,57.333333,-78.416667
Dicrostonyx hudsonius,59.133333,-78.2
Dicrostonyx hudsonius,58.454167,-78.101944
Dicrostonyx hudsonius,55.433333,-60.283333
Dicrostonyx hudsonius,61.076111,-69.591667
Dicrostonyx hudsonius,61.083333,-69.566667
Dicrostonyx hudsonius,54.460574,-57.211412
Dicrostonyx hudsonius,56.54583,-61.67083
Dicrostonyx hudsonius,55.816667,-76.983333
Dicrostonyx hudsonius,55.997222,-76.737778
Dicrostonyx hudsonius,59.441667,-78.15
Dicrostonyx hudsonius,56.523822,-61.758081
Dicrostonyx hudsonius,58.865008,-63.35266
Dicrostonyx hudsonius,57.564334,-61.983035
Dicrostonyx hudsonius,54.35,-57.416667
Dicrostonyx hudsonius,61.603333,-71.512222
Dicrostonyx hudsonius,61.561111,-71.583333
Dicrostonyx hudsonius,42.65,-80.816667
Dicrostonyx hudsonius,52.94404,-66.90777
Dicrostonyx hudsonius,41.31,-102.4
Dicrostonyx hudsonius,60.416667,-64.916667
Dicrostonyx hudsonius,38.602779,-79.368889
Dicrostonyx hudsonius,38.833332,-79.283333
