name,latitude,longitude
Dicrostonyx richardsoni,58.672832,-93.821182
Dicrostonyx richardsoni,58.7431,-93.8202
Dicrostonyx richardsoni,58.743,-93.82
Dicrostonyx richardsoni,58.740002,-93.82
Dicrostonyx richardsoni,58.75,-93.75
Dicrostonyx richardsoni,62.733,-91.983
Dicrostonyx richardsoni,62.73,-91.980003
Dicrostonyx richardsoni,58.75,-93.817
Dicrostonyx richardsoni,58.75,-93.82
Dicrostonyx richardsoni,64.3,-96.0
Dicrostonyx richardsoni,64.300003,-96.0
Dicrostonyx richardsoni,61.1,-93.883
Dicrostonyx richardsoni,61.1,-93.983
Dicrostonyx richardsoni,61.099998,-93.980003
Dicrostonyx richardsoni,61.099998,-93.879997
Dicrostonyx richardsoni,62.817,-92.083
Dicrostonyx richardsoni,62.82,-92.080002
Dicrostonyx richardsoni,58.75,-94.0
Dicrostonyx richardsoni,58.75,-94.083333
Dicrostonyx richardsoni,58.7685,-94.165
Dicrostonyx richardsoni,64.49999999926774,-99.00000000000001
Dicrostonyx richardsoni,60.833332,-94.416664
Dicrostonyx richardsoni,64.319444,-96.020833
Dicrostonyx richardsoni,58.758346116793156,-94.08354125925472
Dicrostonyx richardsoni,85.75,-94.083333
Dicrostonyx richardsoni,58.76945606590405,-94.16549472779627
Dicrostonyx richardsoni,58.75695613047641,-94.07104073405365
Dicrostonyx richardsoni,67.470001,-102.0
Dicrostonyx richardsoni,67.5,-102.0
Dicrostonyx richardsoni,67.167,-103.0
Dicrostonyx richardsoni,61.1,-93.98
Dicrostonyx richardsoni,61.166667,-94.25
Dicrostonyx richardsoni,61.116667,-94.066667
Dicrostonyx richardsoni,61.117,-94.067
Dicrostonyx richardsoni,61.119999,-94.07
