name,latitude,longitude
Glaucomys sabrinus,45.343481,-65.876631
Glaucomys sabrinus,46.2557,-90.672103
Glaucomys sabrinus,45.97955,-60.224608
Glaucomys sabrinus,46.949006,-92.126795
Glaucomys sabrinus,46.609372,-73.914505
Glaucomys sabrinus,54.680961,-124.576307
Glaucomys sabrinus,46.926862,-71.325792
Glaucomys sabrinus,46.708386,-84.390256
Glaucomys sabrinus,49.414112,-114.248369
Glaucomys sabrinus,44.934599,-72.612651
Glaucomys sabrinus,45.071753,-79.117632
Glaucomys sabrinus,49.501747,-117.274053
Glaucomys sabrinus,48.451387,-89.2704
Glaucomys sabrinus,48.289363,-68.432372
Glaucomys sabrinus,48.128472,-89.574853
Glaucomys sabrinus,45.197018,-75.976889
Glaucomys sabrinus,49.224672,-122.601176
Glaucomys sabrinus,42.452382,-76.494082
Glaucomys sabrinus,42.501591,-76.553449
Glaucomys sabrinus,45.97944,-60.224776
Glaucomys sabrinus,60.777324,-135.127299
Glaucomys sabrinus,48.109615,-80.105657
Glaucomys sabrinus,48.141347,-89.542512
Glaucomys sabrinus,44.914457,-78.731967
Glaucomys sabrinus,45.97937,-60.224803
Glaucomys sabrinus,45.940362,-117.449767
Glaucomys sabrinus,45.106637,-77.962681
Glaucomys sabrinus,42.920757,-111.002156
Glaucomys sabrinus,53.751673,-114.010808
Glaucomys sabrinus,44.826778,-81.294156
Glaucomys sabrinus,45.988151,-74.00576
Glaucomys sabrinus,53.510556,-113.4675
Glaucomys sabrinus,48.018484,-117.777806
Glaucomys sabrinus,50.087078,-96.819192
Glaucomys sabrinus,47.046008,-113.043922
Glaucomys sabrinus,48.547592,-113.982513
Glaucomys sabrinus,43.394766,-70.629484
Glaucomys sabrinus,45.603822,-64.956229
Glaucomys sabrinus,44.653321,-63.75675
Glaucomys sabrinus,45.15992,-79.973717
Glaucomys sabrinus,46.149105,-76.037442
Glaucomys sabrinus,47.324913,-79.441047
Glaucomys sabrinus,46.370895,-81.074325
Glaucomys sabrinus,45.057342,-76.116417
Glaucomys sabrinus,48.676455,-81.021954
Glaucomys sabrinus,47.740238,-79.697426
Glaucomys sabrinus,48.061061,-77.831489
Glaucomys sabrinus,43.267445,-81.811317
Glaucomys sabrinus,41.527797,-70.658645
Glaucomys sabrinus,46.703209,-60.361967
Glaucomys sabrinus,48.381362,-79.008942
Glaucomys sabrinus,50.086922,-96.819275
Glaucomys sabrinus,49.302158,-122.701088
Glaucomys sabrinus,42.649394,-73.598416
Glaucomys sabrinus,47.759944,-64.882343
Glaucomys sabrinus,46.784794,-84.447851
Glaucomys sabrinus,45.396807,-79.014976
Glaucomys sabrinus,52.643976,-128.524502
Glaucomys sabrinus,49.303311,-122.70304
Glaucomys sabrinus,46.847263,-68.191101
Glaucomys sabrinus,48.381254,-79.008821
Glaucomys sabrinus,40.993139,-111.776293
Glaucomys sabrinus,44.689005,-78.334205
Glaucomys sabrinus,49.47052,-117.581235
Glaucomys sabrinus,48.141263,-89.542437
Glaucomys sabrinus,44.294627,-64.363701
Glaucomys sabrinus,44.826637,-81.294183
Glaucomys sabrinus,45.343547,-65.87652
Glaucomys sabrinus,44.304794,-72.636337
Glaucomys sabrinus,45.695688,-67.051217
Glaucomys sabrinus,46.89296,-71.273921
Glaucomys sabrinus,45.700067,-80.026017
Glaucomys sabrinus,43.503246,-80.217174
Glaucomys sabrinus,48.360591,-79.00348
Glaucomys sabrinus,47.198691,-93.235564
Glaucomys sabrinus,48.360593,-79.003497
