name,latitude,longitude
Lepus townsendii,51.073928,-114.088547
Lepus townsendii,53.523637,-113.492429
Lepus townsendii,51.074245,-114.063278
Lepus townsendii,51.072785,-114.172288
Lepus townsendii,50.932625,-113.983703
Lepus townsendii,50.86613,-113.979892
Lepus townsendii,41.221642,-105.827566
Lepus townsendii,51.04211,-114.019515
Lepus townsendii,53.605,-113.549378
Lepus townsendii,51.129369,-114.209861
Lepus townsendii,48.157683,-103.039176
Lepus townsendii,53.523686,-113.492614
Lepus townsendii,51.081632,-114.052687
Lepus townsendii,53.523671,-113.492357
Lepus townsendii,53.475288,-113.530948
Lepus townsendii,53.464631,-113.437511
Lepus townsendii,50.970009,-114.086095
Lepus townsendii,51.044733,-114.071883
Lepus townsendii,51.128415,-114.209768
Lepus townsendii,51.093626,-114.06991
Lepus townsendii,51.08672,-114.076929
Lepus townsendii,52.269141,-113.762335
Lepus townsendii,50.176052,-97.136092
Lepus townsendii,53.523543,-113.492635
Lepus townsendii,49.18011,-97.938947
Lepus townsendii,51.093619,-114.069903
Lepus townsendii,53.523556,-113.492462
Lepus townsendii,53.522622,-113.488548
Lepus townsendii,50.916486,-114.091832
Lepus townsendii,49.736606,-112.800933
Lepus townsendii,52.246223,-113.822381
Lepus townsendii,52.245983,-113.827133
Lepus townsendii,52.260239,-113.846193
Lepus townsendii,52.300991,-113.818925
Lepus townsendii,52.098776,-106.544425
Lepus townsendii,51.08364,-114.098726
Lepus townsendii,53.680512,-113.26667
Lepus townsendii,53.519918,-113.491918
Lepus townsendii,52.247922,-113.823563
Lepus townsendii,52.252508,-113.832512
Lepus townsendii,52.298375,-113.822041
Lepus townsendii,50.909609,-114.08423
Lepus townsendii,49.87938,-97.045579
Lepus townsendii,51.027415,-114.089072
Lepus townsendii,53.476107,-113.528289
Lepus townsendii,53.525094,-113.489707
Lepus townsendii,51.031475,-114.085413
Lepus townsendii,52.100906,-106.595175
Lepus townsendii,50.222538,-110.802558
Lepus townsendii,50.909999,-114.058925
Lepus townsendii,53.477986,-113.529927
Lepus townsendii,51.040694,-114.014711
Lepus townsendii,50.429706,-104.535559
Lepus townsendii,51.223534,-113.979181
Lepus townsendii,44.361507,-98.332446
Lepus townsendii,52.110247,-106.642099
Lepus townsendii,51.154128,-114.078894
Lepus townsendii,51.143631,-113.960053
Lepus townsendii,50.4366,-104.59043
Lepus townsendii,51.088434,-114.078353
Lepus townsendii,52.183464,-106.628504
Lepus townsendii,52.135893,-106.650148
Lepus townsendii,51.0925,-114.066333
Lepus townsendii,51.165256,-114.059401
Lepus townsendii,52.265534,-113.813361
Lepus townsendii,49.819775,-99.948984
Lepus townsendii,50.432128,-104.603815
Lepus townsendii,51.971098,-106.652699
Lepus townsendii,53.743919,-113.796923
Lepus townsendii,50.436614,-104.583137
Lepus townsendii,49.819733,-99.945695
Lepus townsendii,51.093067,-114.092308
Lepus townsendii,50.062942,-97.545021
Lepus townsendii,51.074089,-114.062989
Lepus townsendii,50.432145,-104.613158
Lepus townsendii,50.474956,-104.643023
Lepus townsendii,51.034234,-114.196052
Lepus townsendii,50.41164,-104.649364
Lepus townsendii,50.411684,-104.650384
Lepus townsendii,51.267372,-114.018618
Lepus townsendii,51.032445,-114.065567
Lepus townsendii,50.434148,-104.59487
Lepus townsendii,51.135524,-114.145675
Lepus townsendii,50.426522,-104.582184
Lepus townsendii,50.439332,-104.641242
Lepus townsendii,51.047811,-114.059262
Lepus townsendii,50.496535,-104.680333
Lepus townsendii,51.117762,-114.034071
Lepus townsendii,51.266878,-114.021757
Lepus townsendii,50.50135,-104.682397
Lepus townsendii,50.426056,-104.580167
Lepus townsendii,51.05246,-114.141331
Lepus townsendii,50.42475,-104.635842
Lepus townsendii,50.498638,-104.660548
Lepus townsendii,51.031,-114.126
Lepus townsendii,51.031,-114.005
Lepus townsendii,51.16019,-113.96432
Lepus townsendii,49.161673,-107.533005
Lepus townsendii,50.425182,-104.567431
Lepus townsendii,50.424444,-104.56683
Lepus townsendii,50.424882,-104.567174
Lepus townsendii,49.888446,-110.663687
Lepus townsendii,49.875724,-97.034916
