name,latitude,longitude
Marmota monax,33.007698,-87.630439
Marmota monax,39.634684,-75.692131
Marmota monax,40.12959,-75.446849
Marmota monax,38.905547,-78.165334
Marmota monax,40.881458,-74.264405
Marmota monax,35.953455,-83.862403
Marmota monax,39.482016,-74.680811
Marmota monax,40.649402,-73.983495
Marmota monax,40.631877,-74.262418
Marmota monax,40.654767,-73.995441
Marmota monax,40.794835,-73.774812
Marmota monax,36.482495,-86.934648
Marmota monax,34.853588,-82.48275
Marmota monax,38.425935,-78.860005
Marmota monax,35.907941,-79.065136
Marmota monax,35.583423,-82.423701
Marmota monax,39.749165,-75.15262
Marmota monax,35.655008,-82.649482
Marmota monax,37.615837,-77.398125
Marmota monax,39.607944,-75.173788
Marmota monax,41.442114,-74.075853
Marmota monax,36.054044,-95.928543
Marmota monax,36.006606,-94.094013
Marmota monax,38.623531,-90.184389
Marmota monax,38.563458,-91.026419
Marmota monax,40.433057,-81.987461
Marmota monax,36.073006,-94.151497
Marmota monax,39.948829,-75.346245
Marmota monax,38.312012,-77.465703
Marmota monax,39.969749,-77.561623
Marmota monax,41.539817,-81.593147
Marmota monax,33.212556,-87.564608
Marmota monax,41.02232,-82.093803
Marmota monax,33.443445,-85.579956
Marmota monax,38.938032,-77.28193
Marmota monax,39.034832,-76.907474
Marmota monax,36.115125,-78.999253
Marmota monax,37.525847,-77.454558
Marmota monax,35.501408,-80.841378
Marmota monax,40.128169,-82.014741
Marmota monax,39.990297,-82.07519
Marmota monax,43.596622,-72.609542
Marmota monax,42.159668,-71.007205
Marmota monax,40.016532,-82.118263
Marmota monax,43.690247,-79.421678
Marmota monax,39.939642,-75.211681
Marmota monax,41.031097,-81.53723
Marmota monax,35.526882,-82.981135
Marmota monax,39.482003,-74.680803
Marmota monax,39.027503,-76.899467
Marmota monax,43.690158,-79.422395
Marmota monax,35.533438,-82.910691
Marmota monax,42.174252,-71.054185
Marmota monax,35.987617,-78.907725
Marmota monax,43.485771,-80.552812
Marmota monax,37.54058,-77.474188
Marmota monax,39.135918,-84.526767
Marmota monax,35.501705,-80.841417
Marmota monax,42.68737,-80.533976
Marmota monax,39.239766,-76.856947
Marmota monax,40.05526,-76.349147
Marmota monax,35.601736,-82.569981
Marmota monax,37.531422,-77.460578
Marmota monax,41.645817,-83.274504
Marmota monax,42.018334,-73.914775
Marmota monax,37.435388,-79.916386
Marmota monax,34.053095,-89.895106
Marmota monax,43.691728,-79.368653
Marmota monax,40.65053,-74.174956
Marmota monax,43.69377,-79.77289
Marmota monax,42.672809,-78.383002
Marmota monax,38.982113,-94.787742
Marmota monax,40.802248,-74.205991
Marmota monax,35.922742,-79.054188
Marmota monax,37.219055,-80.454208
Marmota monax,37.392974,-80.451848
Marmota monax,40.206535,-82.17061
Marmota monax,44.468435,-69.003874
Marmota monax,45.389497,-79.201653
Marmota monax,37.245149,-80.581123
Marmota monax,42.342178,-82.977037
Marmota monax,42.393337,-76.373428
Marmota monax,37.224976,-80.427643
Marmota monax,45.442363,-75.998887
Marmota monax,43.100519,-77.436411
Marmota monax,43.749798,-79.272892
Marmota monax,43.726569,-79.35291
Marmota monax,45.467283,-73.563992
Marmota monax,42.404882,-83.360183
Marmota monax,43.578725,-80.780956
Marmota monax,35.817939,-84.094753
Marmota monax,45.350622,-75.917596
Marmota monax,38.93173,-77.342041
Marmota monax,40.74959,-73.80495
Marmota monax,42.250316,-71.096821
Marmota monax,35.68874,-84.028675
Marmota monax,42.807077,-70.973228
Marmota monax,42.966942,-81.295203
Marmota monax,43.723273,-79.35078
Marmota monax,45.027781,-75.643699
Marmota monax,40.292063,-74.733795
Marmota monax,35.744164,-86.928549
Marmota monax,40.050841,-75.453165
Marmota monax,42.719478,-84.41388
Marmota monax,40.015948,-82.119095
Marmota monax,40.849013,-79.411505
Marmota monax,45.445828,-75.652794
Marmota monax,40.467572,-74.430497
Marmota monax,43.93139,-80.10721
Marmota monax,40.511204,-74.46598
Marmota monax,42.457066,-82.975438
Marmota monax,41.485502,-71.530843
Marmota monax,41.548335,-86.363944
Marmota monax,39.716059,-79.356832
Marmota monax,37.363557,-89.017586
Marmota monax,39.740711,-75.146301
Marmota monax,40.463157,-79.970966
Marmota monax,35.439708,-82.248575
Marmota monax,39.493988,-74.52797
Marmota monax,41.442356,-74.075985
Marmota monax,41.629057,-83.199833
Marmota monax,43.032352,-76.141327
Marmota monax,39.837768,-88.962676
Marmota monax,45.531097,-73.696153
Marmota monax,41.487731,-71.532717
Marmota monax,40.813795,-73.98462
Marmota monax,43.916051,-78.966543
Marmota monax,35.2031,-82.252186
Marmota monax,44.817587,-72.614188
Marmota monax,40.876047,-73.947016
Marmota monax,40.75552,-73.936954
Marmota monax,38.873071,-77.340052
Marmota monax,40.615726,-73.812986
Marmota monax,42.098767,-72.591055
Marmota monax,42.418555,-71.116952
Marmota monax,37.213984,-80.437826
Marmota monax,42.772255,-71.106598
Marmota monax,42.345597,-71.529228
Marmota monax,41.193742,-81.415817
Marmota monax,42.296383,-83.717553
Marmota monax,37.215638,-80.427817
Marmota monax,40.715424,-79.901126
Marmota monax,42.297858,-83.718675
Marmota monax,42.38338,-71.818925
Marmota monax,41.080531,-74.207824
Marmota monax,37.20393,-80.416854
Marmota monax,41.118446,-81.414429
Marmota monax,40.791895,-73.925662
Marmota monax,41.368633,-72.896287
Marmota monax,37.138014,-80.405284
Marmota monax,43.630955,-72.562897
Marmota monax,43.450107,-81.199197
Marmota monax,44.120558,-70.350341
Marmota monax,40.770078,-79.817786
Marmota monax,40.789575,-73.813945
Marmota monax,43.522828,-80.23677
Marmota monax,38.071295,-76.648721
Marmota monax,37.203772,-80.416811
Marmota monax,40.871752,-73.804484
Marmota monax,42.018748,-73.914638
Marmota monax,41.32405,-74.296411
Marmota monax,40.898772,-74.184805
Marmota monax,44.134828,-69.620141
Marmota monax,36.048335,-94.18106
