name,latitude,longitude
Myodes gapperi,48.283655,-78.46389
Myodes gapperi,47.48092,-122.5521
Myodes gapperi,46.128872,-90.718537
Myodes gapperi,45.12514,-93.149395
Myodes gapperi,50.48553,-99.765817
Myodes gapperi,44.573283,-73.434118
Myodes gapperi,44.8387,-63.649585
Myodes gapperi,44.341013,-72.461193
Myodes gapperi,35.563098,-83.498685
Myodes gapperi,41.73171,-73.200244
Myodes gapperi,47.993177,-97.394526
Myodes gapperi,36.663625,-81.5116
Myodes gapperi,50.64784,-99.990841
Myodes gapperi,44.157948,-73.025786
Myodes gapperi,44.156778,-73.029691
Myodes gapperi,44.154746,-73.029348
Myodes gapperi,44.156686,-73.02703
Myodes gapperi,44.155824,-73.029262
Myodes gapperi,52.693867,-118.239595
Myodes gapperi,45.594473,-75.991008
Myodes gapperi,46.276908,-90.804145
Myodes gapperi,42.13562,-77.156853
Myodes gapperi,46.610958,-84.473064
Myodes gapperi,50.559845,-99.828616
Myodes gapperi,46.610803,-84.473303
Myodes gapperi,45.101562,-93.041917
Myodes gapperi,53.803807,-123.055475
Myodes gapperi,49.022969,-114.044281
Myodes gapperi,43.7543,-72.369175
Myodes gapperi,45.116667,-75.651389
Myodes gapperi,42.875663,-72.815525
Myodes gapperi,47.575,-52.741944
Myodes gapperi,44.334279,-72.387451
Myodes gapperi,46.535292,-84.569561
Myodes gapperi,46.655175,-87.63069
Myodes gapperi,35.329321,-82.894652
Myodes gapperi,44.348178,-73.006165
Myodes gapperi,40.751104,-77.816993
Myodes gapperi,40.633803,-75.986928
Myodes gapperi,45.861229,-92.724467
Myodes gapperi,45.219563,-91.413618
Myodes gapperi,46.049972,-92.41844
Myodes gapperi,45.218777,-91.413661
Myodes gapperi,45.859924,-92.724016
Myodes gapperi,46.049964,-92.418419
Myodes gapperi,46.049932,-92.418448
Myodes gapperi,45.860148,-92.724544
Myodes gapperi,46.049909,-92.418352
Myodes gapperi,46.049953,-92.418425
Myodes gapperi,45.218892,-91.413811
Myodes gapperi,44.706453,-93.332078
Myodes gapperi,42.443394,-72.225117
Myodes gapperi,46.237255,-89.502396
Myodes gapperi,45.490023,-89.552829
Myodes gapperi,45.826963,-90.084426
Myodes gapperi,40.762937,-77.75477
Myodes gapperi,46.933137,-83.857038
Myodes gapperi,43.713046,-72.861532
Myodes gapperi,48.34023,-88.647418
Myodes gapperi,50.874978,-100.056517
Myodes gapperi,50.875246,-100.055909
Myodes gapperi,44.812127,-66.957593
Myodes gapperi,51.439331,-116.535351
