name,latitude,longitude
Myodes rutilus,60.765493,-137.482013
Myodes rutilus,60.765529,-137.481695
Myodes rutilus,64.918314,-147.885233
Myodes rutilus,64.02567,-145.68967
Myodes rutilus,62.472995,-114.342912
Myodes rutilus,64.058678,-139.43986
Myodes rutilus,64.058832,-139.434104
Myodes rutilus,63.671301,-149.580668
Myodes rutilus,60.721187,-135.056845
Myodes rutilus,64.904448,-147.782007
Myodes rutilus,60.534167,-145.778564
Myodes rutilus,60.856833,-135.976744
Myodes rutilus,64.524906,-138.204219
Myodes rutilus,65.164404,-147.511696
Myodes rutilus,63.886747,-149.276829
Myodes rutilus,65.15478,-147.521723
Myodes rutilus,63.877737,-149.185738
Myodes rutilus,65.163195,-147.530268
Myodes rutilus,65.174979,-147.463042
Myodes rutilus,61.278323,-149.747111
Myodes rutilus,61.279623,-149.744806
Myodes rutilus,61.279699,-149.74942
Myodes rutilus,61.346463,-149.67029
Myodes rutilus,64.886354,-147.805982
Myodes rutilus,63.882021,-145.781394
Myodes rutilus,63.929416,-145.752073
Myodes rutilus,63.899671,-145.758321
Myodes rutilus,65.187086,-147.547446
Myodes rutilus,63.891171,-145.768626
Myodes rutilus,63.832148,-145.745422
Myodes rutilus,63.882432,-149.268806
Myodes rutilus,63.83638,-145.747622
Myodes rutilus,63.875646,-149.25754
Myodes rutilus,65.192017,-147.536397
Myodes rutilus,65.163698,-147.496318
Myodes rutilus,61.278281,-149.773592
Myodes rutilus,61.276453,-149.771487
Myodes rutilus,61.198546,-149.706275
Myodes rutilus,60.781618,-135.168723
Myodes rutilus,61.234321,-149.271341
Myodes rutilus,63.878494,-149.264537
Myodes rutilus,61.28205,-149.765012
Myodes rutilus,61.2824,-149.766869
Myodes rutilus,61.282055,-149.76589
Myodes rutilus,61.280604,-149.766934
Myodes rutilus,61.279862,-149.766782
Myodes rutilus,61.282226,-149.764222
Myodes rutilus,61.281983,-149.765255
Myodes rutilus,61.282516,-149.767329
Myodes rutilus,61.280828,-149.765832
Myodes rutilus,60.615222,-134.994253
Myodes rutilus,61.160246,-150.019244
Myodes rutilus,61.160102,-150.019672
Myodes rutilus,59.400012,-135.995911
Myodes rutilus,60.976773,-135.129818
Myodes rutilus,61.144856,-151.073578
Myodes rutilus,60.175002,-149.414081
Myodes rutilus,65.07456,-164.66824
Myodes rutilus,65.09694,-164.68153
Myodes rutilus,65.04885,-164.71654
Myodes rutilus,68.62579,-149.32825
Myodes rutilus,61.324012,-148.996492
Myodes rutilus,64.55836,-165.35358
Myodes rutilus,64.58461,-165.58906
Myodes rutilus,68.646164,-149.574428
Myodes rutilus,63.875024,-149.239578
Myodes rutilus,63.891,-145.769
Myodes rutilus,63.882,-149.269
Myodes rutilus,63.878,-149.186
Myodes rutilus,63.876,-149.258
Myodes rutilus,63.882,-145.781
Myodes rutilus,68.646,-149.574
Myodes rutilus,63.832,-145.745
Myodes rutilus,63.836,-145.748
Myodes rutilus,63.875,-149.24
Myodes rutilus,63.929,-145.752
Myodes rutilus,65.319687,-96.46927
Myodes rutilus,65.07476,-164.66824
Myodes rutilus,64.62442,-165.68583
Myodes rutilus,61.282402,-149.792403
Myodes rutilus,61.271286,-149.785778
Myodes rutilus,61.325184,-149.641138
Myodes rutilus,65.3325,-151.1076
Myodes rutilus,63.093915,-145.615929
Myodes rutilus,68.624715,-149.565958
Myodes rutilus,65.155,-147.522
Myodes rutilus,65.164,-147.512
Myodes rutilus,63.9,-145.758
Myodes rutilus,65.163,-147.53
Myodes rutilus,63.887,-149.277
Myodes rutilus,68.61126,-149.55367
Myodes rutilus,68.61092,-149.55043
Myodes rutilus,68.93732,-150.27107
Myodes rutilus,68.93544,-150.27185
Myodes rutilus,68.93539,-150.27467
Myodes rutilus,68.93722,-150.27248
Myodes rutilus,68.93898,-150.27156
Myodes rutilus,61.283097,-149.786323
Myodes rutilus,61.334798,-149.61019
Myodes rutilus,61.327513,-149.624701
Myodes rutilus,65.175,-147.463
Myodes rutilus,65.187,-147.547
Myodes rutilus,58.443041,-134.635554
Myodes rutilus,60.781663,-135.16883
Myodes rutilus,61.295556,-149.790278
Myodes rutilus,65.3746,-96.61297
Myodes rutilus,65.321227,-96.479866
Myodes rutilus,61.276944,-149.763333
Myodes rutilus,58.852942,-136.803883
Myodes rutilus,67.229637,-100.249309
Myodes rutilus,64.867188,-111.592766
Myodes rutilus,68.93714,-150.27197
Myodes rutilus,62.413412,-114.433128
Myodes rutilus,64.950898,-147.619783
