name,latitude,longitude
Napaeozapus insignis,35.94817,-82.684668
Napaeozapus insignis,44.198666,-72.697253
Napaeozapus insignis,44.890869,-71.767321
Napaeozapus insignis,45.040376,-64.385426
Napaeozapus insignis,42.58907,-73.198602
Napaeozapus insignis,44.058638,-72.42308
Napaeozapus insignis,44.458968,-63.630325
Napaeozapus insignis,44.058644,-72.423066
Napaeozapus insignis,43.961537,-72.203605
Napaeozapus insignis,44.495933,-74.103622
Napaeozapus insignis,43.893448,-74.607325
Napaeozapus insignis,44.164383,-74.912833
Napaeozapus insignis,44.167317,-74.919792
Napaeozapus insignis,44.30014,-72.889435
Napaeozapus insignis,45.134203,-71.197051
Napaeozapus insignis,44.695472,-77.929191
Napaeozapus insignis,46.237255,-89.502396
Napaeozapus insignis,45.826963,-90.084426
Napaeozapus insignis,46.211194,-89.491388
Napaeozapus insignis,46.194428,-90.875787
Napaeozapus insignis,45.309908,-72.51501
Napaeozapus insignis,41.786949,-73.411855
Napaeozapus insignis,45.853333,-65.858889
Napaeozapus insignis,46.737894,-84.552731
Napaeozapus insignis,43.59292,-72.561212
Napaeozapus insignis,44.084342,-72.569666
Napaeozapus insignis,43.432206,-72.798731
Napaeozapus insignis,44.334331,-72.387611
Napaeozapus insignis,44.334336,-72.387764
Napaeozapus insignis,36.566673,-81.712681
Napaeozapus insignis,42.575357,-73.236482
Napaeozapus insignis,44.524463,-72.607588
Napaeozapus insignis,40.87628,-77.960455
Napaeozapus insignis,44.348786,-73.010716
Napaeozapus insignis,45.083333,-72.366667
Napaeozapus insignis,47.503269,-68.842773
Napaeozapus insignis,42.397725,-73.106556
Napaeozapus insignis,43.424013,-72.558011
Napaeozapus insignis,43.110786,-74.018067
Napaeozapus insignis,46.367266,-93.217744
Napaeozapus insignis,46.367334,-93.217538
Napaeozapus insignis,42.443394,-72.225117
Napaeozapus insignis,42.424891,-72.256376
Napaeozapus insignis,45.810968,-90.091985
Napaeozapus insignis,42.459193,-74.678574
Napaeozapus insignis,44.334087,-72.387644
Napaeozapus insignis,36.170387,-81.912422
Napaeozapus insignis,45.911265,-66.773199
Napaeozapus insignis,46.488959,-71.832759
Napaeozapus insignis,35.73937,-83.570445
Napaeozapus insignis,35.703871,-83.441636
Napaeozapus insignis,44.042898,-71.275059
Napaeozapus insignis,44.048501,-71.297965
Napaeozapus insignis,44.046877,-71.305115
Napaeozapus insignis,46.244036,-89.536945
Napaeozapus insignis,45.490023,-89.552829
Napaeozapus insignis,44.428995,-80.274458
Napaeozapus insignis,45.5729,-79.326385
Napaeozapus insignis,46.907875,-81.644067
