name,latitude,longitude
Neurotrichus gibbsii,47.737904,-122.181198
Neurotrichus gibbsii,44.550719,-123.255534
Neurotrichus gibbsii,49.240087,-122.899477
Neurotrichus gibbsii,48.740003,-122.479697
Neurotrichus gibbsii,37.942695,-122.557633
Neurotrichus gibbsii,39.276091,-123.764253
Neurotrichus gibbsii,40.757528,-124.194429
Neurotrichus gibbsii,38.100547,-122.890678
Neurotrichus gibbsii,48.028231,-122.774576
Neurotrichus gibbsii,49.694595,-123.141983
Neurotrichus gibbsii,44.102239,-122.692371
Neurotrichus gibbsii,37.199225,-121.980537
Neurotrichus gibbsii,45.383282,-122.628376
Neurotrichus gibbsii,48.028323,-122.774425
Neurotrichus gibbsii,45.749669,-122.928351
Neurotrichus gibbsii,47.680272,-122.057159
Neurotrichus gibbsii,38.578147,-122.419525
Neurotrichus gibbsii,45.739649,-122.693655
Neurotrichus gibbsii,49.032439,-122.686868
Neurotrichus gibbsii,43.58985,-122.45227
Neurotrichus gibbsii,47.48544,-122.55405
Neurotrichus gibbsii,45.525053,-122.922906
Neurotrichus gibbsii,38.083444,-122.836791
Neurotrichus gibbsii,38.217528,-122.952219
Neurotrichus gibbsii,47.089506,-122.948024
Neurotrichus gibbsii,45.485385,-122.513038
Neurotrichus gibbsii,48.028373,-122.774457
Neurotrichus gibbsii,42.697687,-122.600115
Neurotrichus gibbsii,47.931031,-122.257124
Neurotrichus gibbsii,47.024147,-122.896872
Neurotrichus gibbsii,37.967238,-122.711372
Neurotrichus gibbsii,45.726739,-122.74275
Neurotrichus gibbsii,38.12854,-122.893296
Neurotrichus gibbsii,49.0384,-122.727067
Neurotrichus gibbsii,45.473843,-122.843249
Neurotrichus gibbsii,44.66172,-123.232012
Neurotrichus gibbsii,47.645993,-122.177006
Neurotrichus gibbsii,47.746722,-122.136748
Neurotrichus gibbsii,46.889739,-122.867489
Neurotrichus gibbsii,47.494492,-122.133461
Neurotrichus gibbsii,47.674998,-122.105177
Neurotrichus gibbsii,38.091758,-122.880547
Neurotrichus gibbsii,37.529125,-122.505753
Neurotrichus gibbsii,48.142145,-123.189172
Neurotrichus gibbsii,37.006164,-121.708105
Neurotrichus gibbsii,41.102596,-122.778542
Neurotrichus gibbsii,40.880158,-124.072564
Neurotrichus gibbsii,37.43578,-122.353762
Neurotrichus gibbsii,44.856595,-123.079436
Neurotrichus gibbsii,48.139786,-122.764286
Neurotrichus gibbsii,47.777803,-122.285538
Neurotrichus gibbsii,47.10788,-122.146033
Neurotrichus gibbsii,39.269775,-123.700937
Neurotrichus gibbsii,41.393401,-124.045214
Neurotrichus gibbsii,37.448576,-122.397831
Neurotrichus gibbsii,36.987736,-121.906794
Neurotrichus gibbsii,41.156469,-122.296361
Neurotrichus gibbsii,47.5061,-122.170395
Neurotrichus gibbsii,38.582555,-123.271911
Neurotrichus gibbsii,48.018775,-122.671669
Neurotrichus gibbsii,49.225497,-123.225236
Neurotrichus gibbsii,49.045873,-122.678953
Neurotrichus gibbsii,40.890074,-124.077564
Neurotrichus gibbsii,37.352958,-122.138111
Neurotrichus gibbsii,49.255208,-123.247178
Neurotrichus gibbsii,38.759883,-123.510672
Neurotrichus gibbsii,37.019839,-121.793853
Neurotrichus gibbsii,37.251983,-122.2201
Neurotrichus gibbsii,41.378338,-124.051178
Neurotrichus gibbsii,38.75972,-123.517088
Neurotrichus gibbsii,49.284784,-122.56261
Neurotrichus gibbsii,47.807606,-122.498158
Neurotrichus gibbsii,49.298187,-123.136714
Neurotrichus gibbsii,36.797897,-121.684355
Neurotrichus gibbsii,46.18387,-123.841544
Neurotrichus gibbsii,38.706889,-123.428161
Neurotrichus gibbsii,36.950712,-121.846253
Neurotrichus gibbsii,37.014373,-121.684458
Neurotrichus gibbsii,38.123351,-122.901258
Neurotrichus gibbsii,38.108681,-122.882706
Neurotrichus gibbsii,38.127134,-122.889687
Neurotrichus gibbsii,38.0951,-122.624672
Neurotrichus gibbsii,49.237219,-122.7984
Neurotrichus gibbsii,49.031511,-122.684491
Neurotrichus gibbsii,49.250124,-123.082422
Neurotrichus gibbsii,49.297267,-123.149025
Neurotrichus gibbsii,48.018704,-122.671511
Neurotrichus gibbsii,49.62922,-124.022818
Neurotrichus gibbsii,38.352054,-122.602021
Neurotrichus gibbsii,49.016461,-122.654265
Neurotrichus gibbsii,49.016429,-122.654249
Neurotrichus gibbsii,37.209113,-122.334105
Neurotrichus gibbsii,49.030292,-122.668042
Neurotrichus gibbsii,37.254975,-122.225625
Neurotrichus gibbsii,41.401974,-124.041617
Neurotrichus gibbsii,37.997574,-122.758054
Neurotrichus gibbsii,37.254787,-122.225539
Neurotrichus gibbsii,47.766983,-122.304253
Neurotrichus gibbsii,49.697746,-123.126201
Neurotrichus gibbsii,45.546622,-122.728805
Neurotrichus gibbsii,37.277728,-122.293043
Neurotrichus gibbsii,49.237955,-122.940952
Neurotrichus gibbsii,47.707977,-122.547118
