name,latitude,longitude
Ochotona collaris,65.408025,-146.007154
Ochotona collaris,64.709262,-140.821662
Ochotona collaris,60.080703,-134.720043
Ochotona collaris,64.094636,-149.903361
Ochotona collaris,65.466879,-137.34013
Ochotona collaris,64.324707,-132.007734
Ochotona collaris,61.846146,-149.199267
Ochotona collaris,61.855256,-149.200167
Ochotona collaris,61.825081,-149.193794
Ochotona collaris,64.492778,-132.084444
Ochotona collaris,64.777694,-132.713806
Ochotona collaris,63.55307,-150.930437
Ochotona collaris,60.686603,-135.581392
Ochotona collaris,63.903544,-135.253446
Ochotona collaris,61.790691,-149.284864
Ochotona collaris,63.740109,-149.287996
Ochotona collaris,60.616783,-136.052544
Ochotona collaris,60.168288,-135.214873
Ochotona collaris,61.780547,-149.273653
Ochotona collaris,60.362337,-135.070664
Ochotona collaris,60.592308,-136.275784
Ochotona collaris,60.593793,-136.264899
Ochotona collaris,60.755635,-135.281922
Ochotona collaris,60.878882,-136.911031
Ochotona collaris,60.071969,-136.882531
Ochotona collaris,62.11944,-137.17456
Ochotona collaris,64.607901,-134.591143
Ochotona collaris,64.603838,-134.595947
Ochotona collaris,63.945011,-135.197346
Ochotona collaris,63.944752,-135.199139
Ochotona collaris,61.803413,-137.85666
Ochotona collaris,61.766243,-137.824398
Ochotona collaris,61.84432,-137.765353
Ochotona collaris,61.843795,-137.76318
Ochotona collaris,61.741663,-137.822422
Ochotona collaris,60.24119,-135.66165
Ochotona collaris,61.79374,-137.771928
Ochotona collaris,60.298698,-135.136611
Ochotona collaris,60.428747,-135.527027
Ochotona collaris,60.237204,-135.049118
Ochotona collaris,60.314316,-136.010792
Ochotona collaris,60.241326,-135.661498
Ochotona collaris,63.938577,-135.206913
Ochotona collaris,64.418855,-138.474141
Ochotona collaris,64.439868,-138.404202
Ochotona collaris,60.01129,-135.343829
Ochotona collaris,65.603171,-137.495745
Ochotona collaris,60.019856,-135.415493
Ochotona collaris,65.165307,-137.841453
Ochotona collaris,61.790106,-149.290718
Ochotona collaris,61.846456,-137.767867
Ochotona collaris,63.248333,-145.606467
Ochotona collaris,63.24975,-145.611867
Ochotona collaris,63.247833,-145.608267
Ochotona collaris,63.2471,-145.6058
Ochotona collaris,63.305233,-145.668067
Ochotona collaris,63.247783,-145.607467
Ochotona collaris,63.247433,-145.606233
Ochotona collaris,60.306712,-135.910348
Ochotona collaris,60.307033,-135.910417
Ochotona collaris,60.306594,-135.910294
Ochotona collaris,60.544851,-135.256483
Ochotona collaris,60.557819,-136.059114
Ochotona collaris,60.567602,-136.052052
Ochotona collaris,60.557833,-136.063553
Ochotona collaris,60.557973,-136.058953
Ochotona collaris,60.300887,-135.908012
Ochotona collaris,60.568211,-136.051467
Ochotona collaris,60.567681,-136.052278
Ochotona collaris,60.619992,-135.140287
Ochotona collaris,64.430917,-138.338487
Ochotona collaris,61.032237,-138.511015
Ochotona collaris,62.106929,-127.575876
Ochotona collaris,61.189495,-138.300225
Ochotona collaris,61.199782,-138.900245
Ochotona collaris,67.786706,-136.705383
Ochotona collaris,64.675281,-138.458392
Ochotona collaris,63.18604,-148.720828
Ochotona collaris,65.080094,-138.36525
Ochotona collaris,60.76149,-135.51463
Ochotona collaris,61.336958,-134.115409
Ochotona collaris,61.215272,-133.523705
Ochotona collaris,60.230295,-134.644108
Ochotona collaris,63.941362,-135.221732
Ochotona collaris,60.857777,-138.566116
Ochotona collaris,63.7369,-149.234192
Ochotona collaris,61.393707,-138.18132
Ochotona collaris,61.29738,-139.471146
Ochotona collaris,64.073595,-135.314182
Ochotona collaris,62.147803,-127.769843
Ochotona collaris,60.882088,-136.021228
Ochotona collaris,63.783278,-145.792228
Ochotona collaris,63.78863,-145.791764
Ochotona collaris,63.114803,-151.192595
Ochotona collaris,65.4382,-145.1902
Ochotona collaris,60.618885,-135.137727
Ochotona collaris,65.0335,-146.5561
Ochotona collaris,64.927954,-142.847839
Ochotona collaris,63.541525,-149.801873
Ochotona collaris,59.430173,-135.282546
Ochotona collaris,63.740139,-149.291694
Ochotona collaris,61.14131,-145.75734
Ochotona collaris,64.930753,-138.291178
Ochotona collaris,63.739354,-149.281669
Ochotona collaris,65.444978,-146.459235
Ochotona collaris,65.461667,-146.473333
Ochotona collaris,64.019841,-142.321336
Ochotona collaris,64.022926,-142.324092
