name,latitude,longitude
Onychomys leucogaster,34.756573,-107.928007
Onychomys leucogaster,34.75688,-107.929533
Onychomys leucogaster,34.761852,-107.929788
Onychomys leucogaster,34.756829,-107.932407
Onychomys leucogaster,40.853174,-104.74301
Onychomys leucogaster,40.798781,-104.747491
Onychomys leucogaster,34.762254,-107.927507
Onychomys leucogaster,34.762287,-107.927531
Onychomys leucogaster,31.690364,-106.424548
Onychomys leucogaster,40.95855,-115.46628
Onychomys leucogaster,40.86758,-104.703635
Onychomys leucogaster,40.470356,-103.013883
Onychomys leucogaster,40.462418,-103.035457
Onychomys leucogaster,40.468354,-103.013501
Onychomys leucogaster,40.473576,-103.020055
Onychomys leucogaster,40.473551,-103.025194
Onychomys leucogaster,34.76215,-107.929781
Onychomys leucogaster,34.763504,-107.928073
Onychomys leucogaster,34.763688,-107.929016
Onychomys leucogaster,34.76482,-107.929671
Onychomys leucogaster,34.760218,-107.929827
Onychomys leucogaster,34.761968,-107.929813
Onychomys leucogaster,34.765699,-107.929428
Onychomys leucogaster,34.765776,-107.929396
Onychomys leucogaster,34.767029,-107.929244
Onychomys leucogaster,25.095553,-100.984308
Onychomys leucogaster,36.51843,-113.0544
Onychomys leucogaster,36.57631,-113.06858
Onychomys leucogaster,36.64614,-112.83779
Onychomys leucogaster,34.749495,-107.933455
Onychomys leucogaster,34.753268,-107.932119
Onychomys leucogaster,34.748923,-107.931893
Onychomys leucogaster,34.753891,-107.930929
Onychomys leucogaster,40.480573,-103.021063
Onychomys leucogaster,38.259554,-109.423615
Onychomys leucogaster,47.174408,-99.050112
Onychomys leucogaster,38.26,-109.424
Onychomys leucogaster,31.899,-110.877
Onychomys leucogaster,38.266703,-109.339949
Onychomys leucogaster,36.37416,-104.94813
Onychomys leucogaster,36.37523,-104.93874
Onychomys leucogaster,36.48202,-104.9746
Onychomys leucogaster,36.48723,-104.97233
Onychomys leucogaster,36.3756,-104.94713
Onychomys leucogaster,42.007708,-118.594728
Onychomys leucogaster,36.48432,-104.97925
Onychomys leucogaster,36.48933,-104.97653
Onychomys leucogaster,34.76457,-107.925805
Onychomys leucogaster,34.778361,-107.94048
Onychomys leucogaster,34.76452,-107.92586
Onychomys leucogaster,34.778361,-107.940483
Onychomys leucogaster,34.763807,-107.927929
Onychomys leucogaster,34.765098,-107.924876
Onychomys leucogaster,34.778229,-107.940582
Onychomys leucogaster,27.575631,-99.430394
Onychomys leucogaster,34.765982,-107.929318
Onychomys leucogaster,34.791437,-107.927555
Onychomys leucogaster,34.789455,-107.927399
Onychomys leucogaster,34.763266,-107.929942
Onychomys leucogaster,34.791628,-107.927989
Onychomys leucogaster,34.789283,-107.927108
Onychomys leucogaster,34.76752,-107.929192
Onychomys leucogaster,34.761008,-107.930037
Onychomys leucogaster,34.789162,-107.926913
Onychomys leucogaster,34.765885,-107.929325
Onychomys leucogaster,34.762815,-107.928693
Onychomys leucogaster,34.791592,-107.927875
Onychomys leucogaster,34.788878,-107.926369
Onychomys leucogaster,34.755233,-107.930594
Onychomys leucogaster,34.775843,-107.934326
Onychomys leucogaster,34.784302,-107.934717
Onychomys leucogaster,34.783007,-107.935024
Onychomys leucogaster,34.78371,-107.932658
Onychomys leucogaster,34.781909,-107.927337
Onychomys leucogaster,34.776072,-107.93383
Onychomys leucogaster,34.780507,-107.933585
Onychomys leucogaster,34.782346,-107.934375
Onychomys leucogaster,34.784295,-107.935119
Onychomys leucogaster,34.783452,-107.931705
Onychomys leucogaster,34.784278,-107.934702
Onychomys leucogaster,34.781845,-107.934295
Onychomys leucogaster,36.78893,-112.69402
Onychomys leucogaster,36.0895,-111.186
Onychomys leucogaster,34.76729,-107.929301
Onychomys leucogaster,34.759732,-107.933597
Onychomys leucogaster,34.755098,-107.932643
Onychomys leucogaster,36.68695,-111.94943
Onychomys leucogaster,34.758578,-107.929959
Onychomys leucogaster,34.757511,-107.929973
Onychomys leucogaster,34.757783,-107.929996
Onychomys leucogaster,34.758446,-107.929951
Onychomys leucogaster,40.47,-103.014
Onychomys leucogaster,32.607847,-106.848717
Onychomys leucogaster,31.829,-110.826
Onychomys leucogaster,34.759692,-107.933969
Onychomys leucogaster,34.782869,-107.935322
Onychomys leucogaster,34.784122,-107.934871
Onychomys leucogaster,34.783214,-107.935818
Onychomys leucogaster,34.785126,-107.932453
Onychomys leucogaster,34.784195,-107.934854
Onychomys leucogaster,34.78287,-107.935324
Onychomys leucogaster,40.474,-103.02
Onychomys leucogaster,40.474,-103.025
Onychomys leucogaster,40.461894,-103.02929
Onychomys leucogaster,34.7728,-107.9325
Onychomys leucogaster,36.49004,-104.97748
Onychomys leucogaster,36.37685,-104.94619
Onychomys leucogaster,31.871,-110.849
Onychomys leucogaster,34.757002,-107.934122
Onychomys leucogaster,50.626277,-104.576055
Onychomys leucogaster,50.626277,-109.15211
Onychomys leucogaster,31.332028,-106.460083
Onychomys leucogaster,31.33175,-106.460805
Onychomys leucogaster,34.749792,-107.932737
Onychomys leucogaster,34.764653,-107.927228
Onychomys leucogaster,40.481,-103.021
Onychomys leucogaster,49.75555,-103.85745
Onychomys leucogaster,33.498779,-107.42292
Onychomys leucogaster,32.609,-106.858
Onychomys leucogaster,34.734978,-107.92263
Onychomys leucogaster,34.774105,-107.936092
Onychomys leucogaster,34.775925,-107.933504
Onychomys leucogaster,34.764328,-107.929771
Onychomys leucogaster,34.752085,-107.932608
Onychomys leucogaster,34.774422,-107.935352
