name,latitude,longitude
Ovibos moschatus,64.566276,-165.537468
Ovibos moschatus,70.135232,-148.456751
Ovibos moschatus,64.511427,-165.390587
Ovibos moschatus,69.466368,-149.188766
Ovibos moschatus,65.299553,-96.406525
Ovibos moschatus,65.300797,-96.412828
Ovibos moschatus,77.668971,-70.538341
Ovibos moschatus,64.523499,-165.378176
Ovibos moschatus,65.042143,-164.711629
Ovibos moschatus,64.694775,-164.138841
Ovibos moschatus,64.715051,-164.008384
Ovibos moschatus,64.567965,-165.549191
Ovibos moschatus,64.570373,-165.5578
Ovibos moschatus,64.842605,-166.097917
Ovibos moschatus,65.320038,-96.4784
Ovibos moschatus,65.304062,-96.415543
Ovibos moschatus,70.107033,-148.506272
Ovibos moschatus,64.518593,-165.371735
Ovibos moschatus,64.457628,-165.060607
Ovibos moschatus,64.917089,-166.186436
Ovibos moschatus,64.956534,-166.195707
Ovibos moschatus,67.604248,-139.904461
Ovibos moschatus,64.556849,-165.24432
Ovibos moschatus,67.142749,-50.103614
Ovibos moschatus,64.804799,-136.761612
Ovibos moschatus,64.223698,-110.858438
Ovibos moschatus,62.405012,-113.360388
Ovibos moschatus,67.284572,-163.738549
Ovibos moschatus,58.284422,-68.361282
Ovibos moschatus,58.284817,-68.360424
Ovibos moschatus,75.921242,-100.159482
Ovibos moschatus,64.623617,-165.694058
Ovibos moschatus,65.050233,-164.635937
Ovibos moschatus,69.571367,-138.884292
Ovibos moschatus,64.492905,-165.327402
Ovibos moschatus,64.492908,-165.327472
Ovibos moschatus,64.492865,-165.327445
Ovibos moschatus,64.492882,-165.327492
Ovibos moschatus,64.492888,-165.327473
Ovibos moschatus,64.492828,-165.32741
Ovibos moschatus,64.49289,-165.32746
Ovibos moschatus,64.492908,-165.327337
Ovibos moschatus,64.821675,-166.076803
Ovibos moschatus,64.82174,-166.076728
Ovibos moschatus,64.821748,-166.076788
Ovibos moschatus,64.830602,-166.09041
Ovibos moschatus,64.821702,-166.076798
Ovibos moschatus,64.821678,-166.076828
Ovibos moschatus,64.821693,-166.076783
Ovibos moschatus,64.9997,-164.704215
Ovibos moschatus,64.672337,-166.014516
Ovibos moschatus,64.562453,-165.4387
Ovibos moschatus,63.640629,-104.366182
Ovibos moschatus,64.504143,-165.421697
Ovibos moschatus,69.575197,-138.914727
Ovibos moschatus,69.575434,-138.907141
Ovibos moschatus,69.578243,-138.98645
Ovibos moschatus,64.572272,-165.422045
Ovibos moschatus,68.871769,-148.901126
Ovibos moschatus,64.505758,-165.40504
Ovibos moschatus,69.227105,-104.903796
Ovibos moschatus,69.222811,-104.915361
Ovibos moschatus,69.222765,-104.915381
Ovibos moschatus,69.223036,-104.915068
Ovibos moschatus,65.008868,-164.697455
Ovibos moschatus,69.606208,-105.567286
Ovibos moschatus,65.92259,-112.928487
Ovibos moschatus,64.318023,-96.000066
Ovibos moschatus,74.901483,-109.599953
Ovibos moschatus,70.032029,-51.823817
Ovibos moschatus,70.039387,-51.836409
Ovibos moschatus,64.509497,-165.410449
Ovibos moschatus,64.508574,-165.401581
Ovibos moschatus,65.271766,-127.782543
Ovibos moschatus,69.119688,-105.014266
Ovibos moschatus,64.538833,-165.383115
Ovibos moschatus,64.526626,-165.375854
Ovibos moschatus,64.56199,-165.371957
Ovibos moschatus,64.546954,-165.230908
Ovibos moschatus,69.870204,-148.770554
Ovibos moschatus,69.580416,-138.857854
Ovibos moschatus,67.109331,-50.235537
Ovibos moschatus,69.575432,-138.85878
Ovibos moschatus,69.580471,-139.052198
Ovibos moschatus,69.221806,-104.93174
Ovibos moschatus,67.074561,-50.435849
Ovibos moschatus,82.471012,-62.042923
Ovibos moschatus,66.970328,-50.927938
Ovibos moschatus,64.948956,-164.763029
Ovibos moschatus,76.539363,-81.311828
Ovibos moschatus,76.539283,-81.309533
Ovibos moschatus,64.603943,-165.685137
Ovibos moschatus,64.688468,-164.232988
Ovibos moschatus,64.595962,-165.436127
Ovibos moschatus,64.516902,-165.383559
Ovibos moschatus,64.535015,-165.381634
Ovibos moschatus,64.693473,-164.268095
Ovibos moschatus,69.572563,-138.871492
Ovibos moschatus,69.56855,-138.905762
Ovibos moschatus,69.575797,-138.860367
Ovibos moschatus,64.538379,-165.409914
Ovibos moschatus,64.526603,-165.444955
Ovibos moschatus,65.094372,-96.078427
Ovibos moschatus,65.088876,-96.049697
Ovibos moschatus,65.319,-96.46798
Ovibos moschatus,64.720964,-165.816956
Ovibos moschatus,64.651665,-164.327469
Ovibos moschatus,68.682165,-149.123108
Ovibos moschatus,64.535553,-165.412506
Ovibos moschatus,66.957604,-136.158641
Ovibos moschatus,62.438168,-104.999623
Ovibos moschatus,64.693759,-165.762025
Ovibos moschatus,79.411318,-90.811097
Ovibos moschatus,69.220255,-104.78867
Ovibos moschatus,58.79188,-68.904861
Ovibos moschatus,62.413396,-104.890908
Ovibos moschatus,67.073897,-50.35034
Ovibos moschatus,67.034804,-101.202125
Ovibos moschatus,72.218056,-124.713417
Ovibos moschatus,64.389203,-96.388514
Ovibos moschatus,69.56852,-138.904328
Ovibos moschatus,76.6009,-87.4593
Ovibos moschatus,76.615014,-84.041253
Ovibos moschatus,64.443854,-165.064035
Ovibos moschatus,64.471952,-165.206341
Ovibos moschatus,63.893006,-110.526298
Ovibos moschatus,63.89496,-110.518636
Ovibos moschatus,64.491895,-165.334212
Ovibos moschatus,64.635433,-165.28967
Ovibos moschatus,69.927731,-148.684211
