name,latitude,longitude
Ovis canadensis,41.622884,-103.611418
Ovis canadensis,40.714305,-105.732278
Ovis canadensis,33.342772,-116.497637
Ovis canadensis,33.778925,-116.312962
Ovis canadensis,50.432873,-121.31353
Ovis canadensis,33.319938,-116.526983
Ovis canadensis,33.768834,-116.452966
Ovis canadensis,33.670308,-116.413423
Ovis canadensis,39.657606,-106.975949
Ovis canadensis,38.739308,-108.26645
Ovis canadensis,47.670033,-120.228975
Ovis canadensis,36.518498,-114.690914
Ovis canadensis,32.90843,-116.24781
Ovis canadensis,33.282675,-116.450516
Ovis canadensis,33.632806,-116.27855
Ovis canadensis,33.629647,-116.413427
Ovis canadensis,36.388087,-114.781979
Ovis canadensis,33.661125,-116.236661
Ovis canadensis,40.205467,-105.30765
Ovis canadensis,37.766379,-106.818639
Ovis canadensis,43.37803,-110.675975
Ovis canadensis,33.781496,-116.551038
Ovis canadensis,33.759929,-116.563057
Ovis canadensis,33.671795,-116.41662
Ovis canadensis,38.718763,-108.269067
Ovis canadensis,33.983901,-116.599741
Ovis canadensis,36.567228,-114.510844
Ovis canadensis,36.522664,-114.581374
Ovis canadensis,35.821203,-114.946444
Ovis canadensis,39.649927,-107.008822
Ovis canadensis,49.055283,-113.914355
Ovis canadensis,33.781038,-116.552895
Ovis canadensis,36.416522,-116.958846
Ovis canadensis,33.672058,-116.417603
Ovis canadensis,33.793001,-116.474859
Ovis canadensis,36.468852,-105.779319
Ovis canadensis,36.513501,-114.429441
Ovis canadensis,33.596717,-116.275716
Ovis canadensis,49.053178,-113.916223
Ovis canadensis,52.270908,-116.382888
Ovis canadensis,36.432278,-114.400544
Ovis canadensis,33.649309,-116.280017
Ovis canadensis,33.607371,-116.302024
Ovis canadensis,45.017996,-110.692562
Ovis canadensis,36.577125,-105.527056
Ovis canadensis,35.994455,-114.899063
Ovis canadensis,45.967444,-117.417827
Ovis canadensis,46.088009,-117.393913
Ovis canadensis,52.26205,-116.409112
Ovis canadensis,32.213385,-109.179339
Ovis canadensis,33.231088,-116.128799
Ovis canadensis,36.468915,-116.903998
Ovis canadensis,36.437117,-114.517006
Ovis canadensis,36.437087,-114.516944
Ovis canadensis,33.892194,-116.567383
Ovis canadensis,33.753615,-116.474766
Ovis canadensis,33.376827,-116.582587
Ovis canadensis,51.422477,-116.214571
Ovis canadensis,45.027464,-110.706342
Ovis canadensis,38.0875,-106.141967
Ovis canadensis,33.60626,-116.241843
Ovis canadensis,33.283041,-114.039442
Ovis canadensis,34.257265,-117.754655
Ovis canadensis,49.94063,-119.505705
Ovis canadensis,33.04018,-116.506382
Ovis canadensis,33.83387,-116.1566
Ovis canadensis,33.736592,-116.415609
Ovis canadensis,33.274893,-116.426888
Ovis canadensis,50.167577,-115.811455
Ovis canadensis,33.302306,-116.500097
Ovis canadensis,50.16763,-115.811478
Ovis canadensis,50.167562,-115.811464
Ovis canadensis,33.80891,-116.656486
Ovis canadensis,33.305511,-116.468482
Ovis canadensis,34.139342,-106.830883
Ovis canadensis,33.263141,-116.548235
Ovis canadensis,33.353076,-116.592499
Ovis canadensis,35.8649,-114.999733
Ovis canadensis,36.489807,-114.531138
Ovis canadensis,33.270482,-116.421183
Ovis canadensis,33.269732,-116.422643
Ovis canadensis,33.990178,-116.657845
Ovis canadensis,36.465252,-114.558825
Ovis canadensis,36.417199,-114.431393
Ovis canadensis,33.032959,-116.281299
Ovis canadensis,33.925015,-116.638348
Ovis canadensis,50.422883,-121.348465
Ovis canadensis,33.641853,-116.384238
Ovis canadensis,33.944092,-116.782259
Ovis canadensis,38.359808,-109.740248
Ovis canadensis,36.6974,-105.526252
Ovis canadensis,44.92317,-110.075661
Ovis canadensis,33.781227,-116.409196
Ovis canadensis,40.700923,-105.555959
Ovis canadensis,32.343961,-111.514451
Ovis canadensis,36.449041,-114.55617
Ovis canadensis,36.421185,-114.55488
Ovis canadensis,36.575062,-114.532652
Ovis canadensis,49.325008,-119.544038
Ovis canadensis,33.988318,-116.655754
Ovis canadensis,36.599278,-114.595834
Ovis canadensis,35.99548,-114.876483
Ovis canadensis,33.280477,-116.433454
Ovis canadensis,33.784695,-116.348042
Ovis canadensis,36.461137,-114.486198
Ovis canadensis,39.646515,-107.021846
Ovis canadensis,39.646072,-107.022897
Ovis canadensis,33.382368,-116.570535
Ovis canadensis,39.694738,-105.769418
Ovis canadensis,51.013217,-115.069769
