name,latitude,longitude
Peromyscus keeni,48.024806,-122.680001
Peromyscus keeni,48.025079,-122.680431
Peromyscus keeni,45.848697,-121.989621
Peromyscus keeni,49.153796,-121.890791
Peromyscus keeni,45.830331,-122.017459
Peromyscus keeni,45.841757,-121.862857
Peromyscus keeni,45.845118,-121.998227
Peromyscus keeni,45.746374,-122.381402
Peromyscus keeni,45.823605,-121.997062
Peromyscus keeni,45.834675,-121.981445
Peromyscus keeni,45.844085,-122.004487
Peromyscus keeni,49.181944,-121.739722
Peromyscus keeni,45.749698,-122.317306
Peromyscus keeni,53.255353,-132.074889
Peromyscus keeni,45.83,-122.017
Peromyscus keeni,45.827,-121.85
Peromyscus keeni,45.849,-121.99
Peromyscus keeni,45.842,-121.863
Peromyscus keeni,45.845,-121.998
Peromyscus keeni,58.397745,-134.667463
Peromyscus keeni,45.777213,-122.373675
Peromyscus keeni,45.768772,-122.362991
Peromyscus keeni,45.769,-122.363
Peromyscus keeni,45.75,-122.317
Peromyscus keeni,45.777,-122.374
Peromyscus keeni,45.746,-122.381
Peromyscus keeni,53.922322,-132.121525
Peromyscus keeni,45.82746,-121.850099
Peromyscus keeni,45.844,-122.004
Peromyscus keeni,45.835,-121.981
Peromyscus keeni,45.828,-121.85
Peromyscus keeni,45.824,-121.997
Peromyscus keeni,45.74,-122.31
Peromyscus keeni,45.740362,-122.309739
Peromyscus keeni,45.76854,-122.300356
Peromyscus keeni,52.445908,-131.324538
Peromyscus keeni,53.578155,-131.928025
Peromyscus keeni,57.06107,-135.323153
Peromyscus keeni,45.768766,-122.362977
Peromyscus keeni,45.777208,-122.373661
Peromyscus keeni,45.746369,-122.381388
Peromyscus keeni,45.749693,-122.317292
Peromyscus keeni,45.761,-122.369
Peromyscus keeni,53.255245,-132.075103
Peromyscus keeni,45.769,-122.3
Peromyscus keeni,45.761265,-122.369375
Peromyscus keeni,45.768535,-122.300342
Peromyscus keeni,45.761271,-122.369389
Peromyscus keeni,53.255417,-132.074997
Peromyscus keeni,53.539322,-131.954497
Peromyscus keeni,45.740356,-122.309724
Peromyscus keeni,54.171813,-133.035651
Peromyscus keeni,46.48336,-121.802922
Peromyscus keeni,61.027742,-138.402276
Peromyscus keeni,55.09777,-130.70749
Peromyscus keeni,47.040645,-122.915586
Peromyscus keeni,49.279999,-122.57
Peromyscus keeni,49.27,-122.57
Peromyscus keeni,58.33173,-134.59454
Peromyscus keeni,58.33184,-134.59318
Peromyscus keeni,58.29572,-134.54435
Peromyscus keeni,58.31417,-134.55143
Peromyscus keeni,55.6427,-131.35411
Peromyscus keeni,55.43078,-131.68526
Peromyscus keeni,55.10777,-131.20146
Peromyscus keeni,55.1027,-131.19408
Peromyscus keeni,55.10269,-131.19408
Peromyscus keeni,55.44185,-131.62419
Peromyscus keeni,55.10714,-131.20084
Peromyscus keeni,55.70465,-132.84977
Peromyscus keeni,55.10757,-131.2014
Peromyscus keeni,55.10862,-131.20203
Peromyscus keeni,55.44289,-131.62493
Peromyscus keeni,55.70194,-132.85042
Peromyscus keeni,55.10233,-131.1956
Peromyscus keeni,55.44187,-131.62421
Peromyscus keeni,55.44194,-131.62435
Peromyscus keeni,55.44223,-131.62459
Peromyscus keeni,55.44322,-131.62474
Peromyscus keeni,55.44225,-131.62578
Peromyscus keeni,55.70623,-132.8521
Peromyscus keeni,55.44233,-131.62515
Peromyscus keeni,55.10863,-131.20198
Peromyscus keeni,55.70309,-132.84905
Peromyscus keeni,55.4429,-131.62469
Peromyscus keeni,55.44238,-131.62498
Peromyscus keeni,55.70189,-132.8505
Peromyscus keeni,55.44192,-131.62424
Peromyscus keeni,55.53417,-131.35028
Peromyscus keeni,55.44296,-131.62477
Peromyscus keeni,55.70498,-132.85062
Peromyscus keeni,55.44249,-131.62568
Peromyscus keeni,55.45746,-131.65721
Peromyscus keeni,55.45815,-131.6557
Peromyscus keeni,55.430317021655696,-131.68884363136627
Peromyscus keeni,55.4575,-131.65714
Peromyscus keeni,55.45792,-131.65598
Peromyscus keeni,55.4577,-131.65639
Peromyscus keeni,55.44229,-131.6258
Peromyscus keeni,55.29416,-131.54256
Peromyscus keeni,55.44236,-131.6249
Peromyscus keeni,55.44213,-131.62438
Peromyscus keeni,55.45223,-131.65459
Peromyscus keeni,55.53468,-131.35089
Peromyscus keeni,55.44232,-131.62577
Peromyscus keeni,55.44185,-131.62421
Peromyscus keeni,55.44209,-131.6245
Peromyscus keeni,55.45806,-131.65608
Peromyscus keeni,55.44285,-131.62578
Peromyscus keeni,55.44236,-131.62522
Peromyscus keeni,55.29407,-131.54201
Peromyscus keeni,55.29407,-131.54202
Peromyscus keeni,55.29408,-131.54211
Peromyscus keeni,55.29418,-131.5426
Peromyscus keeni,55.44178,-131.62407
Peromyscus keeni,55.44229,-131.62549
Peromyscus keeni,55.29409,-131.54192
Peromyscus keeni,55.31606,-131.64905
Peromyscus keeni,55.31603626065901,-131.65062815042577
Peromyscus keeni,55.18518,-131.38488
Peromyscus keeni,55.64109,-131.35397
Peromyscus keeni,55.44297,-131.62483
Peromyscus keeni,55.44235,-131.62514
Peromyscus keeni,55.53576,-131.35059
Peromyscus keeni,55.53552,-131.35085
Peromyscus keeni,55.53552,-131.351
Peromyscus keeni,55.64286,-131.35364
Peromyscus keeni,55.53544,-131.3526
Peromyscus keeni,55.53573,-131.35318
Peromyscus keeni,55.63927,-131.35471
Peromyscus keeni,55.5356,-131.35054
