name,latitude,longitude
Peromyscus leucopus,42.430096,-71.319829
Peromyscus leucopus,39.252042,-76.789033
Peromyscus leucopus,42.175086,-71.071669
Peromyscus leucopus,42.346362,-71.092527
Peromyscus leucopus,39.938823,-75.594367
Peromyscus leucopus,41.128728,-74.55845
Peromyscus leucopus,42.477753,-76.506447
Peromyscus leucopus,42.463086,-71.100852
Peromyscus leucopus,42.174878,-71.071586
Peromyscus leucopus,42.657235,-71.196435
Peromyscus leucopus,35.960542,-79.034833
Peromyscus leucopus,42.404283,-71.150025
Peromyscus leucopus,40.34556,-75.034122
Peromyscus leucopus,37.785146,-77.105653
Peromyscus leucopus,42.403503,-71.091468
Peromyscus leucopus,39.615172,-76.153194
Peromyscus leucopus,43.837184,-80.055727
Peromyscus leucopus,40.647214,-73.985128
Peromyscus leucopus,43.136546,-70.763856
Peromyscus leucopus,42.850475,-71.239358
Peromyscus leucopus,41.741787,-71.442092
Peromyscus leucopus,42.174969,-71.071603
Peromyscus leucopus,44.711486,-93.171817
Peromyscus leucopus,42.299439,-71.095367
Peromyscus leucopus,41.06593,-80.034889
Peromyscus leucopus,42.609757,-71.176484
Peromyscus leucopus,43.144081,-70.940208
Peromyscus leucopus,43.929965,-69.92611
Peromyscus leucopus,35.829247,-79.057914
Peromyscus leucopus,41.978039,-87.741015
Peromyscus leucopus,36.681781,-83.507461
Peromyscus leucopus,43.545149,-70.353805
Peromyscus leucopus,44.824375,-93.250947
Peromyscus leucopus,40.934754,-81.515686
Peromyscus leucopus,40.376628,-89.928594
Peromyscus leucopus,42.294778,-71.227716
Peromyscus leucopus,28.87993,-96.464083
Peromyscus leucopus,37.040945,-78.276108
Peromyscus leucopus,43.049664,-70.823678
Peromyscus leucopus,42.255846,-88.757614
Peromyscus leucopus,35.938534,-79.045209
Peromyscus leucopus,41.142795,-73.353042
Peromyscus leucopus,41.115728,-73.324495
Peromyscus leucopus,41.133553,-81.419863
Peromyscus leucopus,40.648706,-73.981653
Peromyscus leucopus,33.961462,-83.275755
Peromyscus leucopus,38.672675,-88.541122
Peromyscus leucopus,39.89916,-75.186426
Peromyscus leucopus,42.42923,-71.550797
Peromyscus leucopus,35.80978,-78.717385
Peromyscus leucopus,40.691495,-73.644323
Peromyscus leucopus,29.862339,-100.342485
Peromyscus leucopus,31.789817,-98.118994
Peromyscus leucopus,42.468705,-71.310303
Peromyscus leucopus,45.393058,-75.500413
Peromyscus leucopus,42.174697,-71.071564
Peromyscus leucopus,40.628419,-73.608556
Peromyscus leucopus,40.354313,-85.4395
Peromyscus leucopus,38.917163,-77.279372
Peromyscus leucopus,38.917238,-77.279372
Peromyscus leucopus,36.217165,-96.262484
Peromyscus leucopus,40.122424,-84.475406
Peromyscus leucopus,39.748992,-75.152053
Peromyscus leucopus,43.036183,-81.282478
Peromyscus leucopus,20.358635,-90.073509
Peromyscus leucopus,36.224888,-79.882358
Peromyscus leucopus,35.93995,-79.055244
Peromyscus leucopus,43.035975,-81.282863
Peromyscus leucopus,40.741134,-73.746
Peromyscus leucopus,39.774722,-75.139961
Peromyscus leucopus,42.124221,-71.206634
Peromyscus leucopus,42.233189,-71.040792
Peromyscus leucopus,42.1489,-71.788855
Peromyscus leucopus,42.646198,-70.820946
Peromyscus leucopus,42.104311,-83.096089
Peromyscus leucopus,42.199167,-71.121003
Peromyscus leucopus,43.097494,-70.733338
Peromyscus leucopus,41.779097,-87.574824
Peromyscus leucopus,42.229863,-71.593936
Peromyscus leucopus,42.648728,-70.98327
Peromyscus leucopus,42.538602,-71.341562
Peromyscus leucopus,39.130403,-84.801658
Peromyscus leucopus,42.521304,-70.898763
Peromyscus leucopus,42.174866,-71.071594
Peromyscus leucopus,42.428394,-71.24321
Peromyscus leucopus,41.789084,-70.29302
Peromyscus leucopus,35.886067,-78.648125
Peromyscus leucopus,43.690753,-70.452906
Peromyscus leucopus,38.314221,-79.658524
Peromyscus leucopus,42.481606,-71.256584
Peromyscus leucopus,43.161892,-70.971406
Peromyscus leucopus,41.283704,-81.814928
Peromyscus leucopus,42.162127,-70.842656
Peromyscus leucopus,42.174847,-71.071547
Peromyscus leucopus,41.955829,-71.47212
Peromyscus leucopus,42.512988,-71.292572
Peromyscus leucopus,38.770187,-77.409623
Peromyscus leucopus,42.244589,-71.008606
Peromyscus leucopus,33.576203,-85.11248
Peromyscus leucopus,42.410408,-71.690477
Peromyscus leucopus,34.55048,-111.83312
Peromyscus leucopus,42.23578,-71.5919
Peromyscus leucopus,40.051619,-75.165742
Peromyscus leucopus,40.161664,-79.267738
Peromyscus leucopus,42.174758,-71.071556
Peromyscus leucopus,41.377302,-72.210678
Peromyscus leucopus,41.411958,-81.882646
Peromyscus leucopus,42.705986,-71.171571
Peromyscus leucopus,41.83131,-71.020763
Peromyscus leucopus,42.656763,-70.598173
Peromyscus leucopus,42.174819,-71.071694
Peromyscus leucopus,41.705123,-70.097239
Peromyscus leucopus,41.793425,-70.55677
Peromyscus leucopus,42.246393,-70.886747
Peromyscus leucopus,43.498749,-80.559372
Peromyscus leucopus,35.796658,-78.924119
Peromyscus leucopus,40.97173,-73.784387
Peromyscus leucopus,38.025395,-86.037317
Peromyscus leucopus,42.769095,-71.204527
Peromyscus leucopus,43.437153,-71.430719
Peromyscus leucopus,38.958875,-78.009453
Peromyscus leucopus,43.073625,-89.417313
Peromyscus leucopus,44.198761,-68.705234
Peromyscus leucopus,36.359315,-86.359222
Peromyscus leucopus,42.17495,-71.0717
Peromyscus leucopus,42.174808,-71.071747
Peromyscus leucopus,42.288097,-71.525605
Peromyscus leucopus,39.216506,-84.610013
Peromyscus leucopus,42.110706,-71.957409
Peromyscus leucopus,25.795478,-99.176062
Peromyscus leucopus,41.589923,-70.572458
Peromyscus leucopus,41.651563,-71.581013
Peromyscus leucopus,42.660556,-71.508575
Peromyscus leucopus,39.956899,-75.44988
Peromyscus leucopus,36.104198,-93.981259
Peromyscus leucopus,41.755472,-70.591525
Peromyscus leucopus,26.50648,-100.520118
Peromyscus leucopus,41.498612,-72.550637
Peromyscus leucopus,42.174786,-71.0717
Peromyscus leucopus,25.772487,-98.767861
Peromyscus leucopus,42.23326,-71.592818
Peromyscus leucopus,25.769216,-98.694241
Peromyscus leucopus,25.768063,-98.700871
Peromyscus leucopus,37.154958,-80.98063
Peromyscus leucopus,40.524348,-74.500024
Peromyscus leucopus,42.174878,-71.071786
Peromyscus leucopus,44.939253,-93.196458
Peromyscus leucopus,43.056697,-71.741724
Peromyscus leucopus,25.812178,-98.747352
Peromyscus leucopus,42.110036,-72.004233
Peromyscus leucopus,41.551563,-71.654938
Peromyscus leucopus,39.205305,-76.873301
Peromyscus leucopus,44.239217,-86.232733
Peromyscus leucopus,44.109978,-86.400631
Peromyscus leucopus,40.793624,-73.95237
Peromyscus leucopus,36.661071,-81.403856
Peromyscus leucopus,42.772316,-71.106705
Peromyscus leucopus,36.062764,-97.006976
Peromyscus leucopus,44.680546,-84.391189
Peromyscus leucopus,42.244915,-86.119856
Peromyscus leucopus,43.060325,-89.41662
Peromyscus leucopus,42.30448,-76.492341
Peromyscus leucopus,42.18447,-71.563818
Peromyscus leucopus,41.450081,-70.922234
Peromyscus leucopus,25.747174,-98.714129
Peromyscus leucopus,40.59567,-75.513994
Peromyscus leucopus,46.782291,-92.092642
Peromyscus leucopus,40.794858,-73.951319
Peromyscus leucopus,33.23328,-86.039108
Peromyscus leucopus,41.61795,-83.578383
Peromyscus leucopus,40.997083,-73.87271
Peromyscus leucopus,42.433953,-83.82367
Peromyscus leucopus,45.077103,-67.046731
Peromyscus leucopus,41.267728,-70.17298
Peromyscus leucopus,38.716195,-77.933487
Peromyscus leucopus,42.344064,-72.677818
Peromyscus leucopus,42.906794,-85.748257
Peromyscus leucopus,42.230471,-71.59238
Peromyscus leucopus,35.993575,-78.912048
Peromyscus leucopus,38.917297,-77.279245
Peromyscus leucopus,40.55258,-79.703238
Peromyscus leucopus,42.471495,-71.653696
Peromyscus leucopus,42.303938,-71.088797
Peromyscus leucopus,41.78265,-87.580464
Peromyscus leucopus,40.543817,-74.302642
Peromyscus leucopus,44.463278,-70.874031
Peromyscus leucopus,41.40495,-81.882797
Peromyscus leucopus,42.160322,-71.804335
Peromyscus leucopus,35.152222,-106.530278
Peromyscus leucopus,40.76664,-73.975024
Peromyscus leucopus,39.834734,-74.997107
Peromyscus leucopus,40.873987,-73.966942
Peromyscus leucopus,40.785978,-77.8545
Peromyscus leucopus,41.133233,-73.801665
Peromyscus leucopus,42.469496,-71.008824
Peromyscus leucopus,42.366913,-71.259558
Peromyscus leucopus,35.18323,-80.797225
Peromyscus leucopus,30.156522,-99.350337
