name,latitude,longitude
Peromyscus maniculatus,39.118846,-95.598309
Peromyscus maniculatus,40.014986,-105.270546
Peromyscus maniculatus,43.725983,-79.361787
Peromyscus maniculatus,47.416022,-122.3079
Peromyscus maniculatus,39.014277,-77.03124
Peromyscus maniculatus,36.964052,-122.118839
Peromyscus maniculatus,44.156322,-70.347123
Peromyscus maniculatus,53.528917,-113.479142
Peromyscus maniculatus,43.33237,-76.224223
Peromyscus maniculatus,43.67623,-123.797742
Peromyscus maniculatus,37.525434,-94.570577
Peromyscus maniculatus,42.161397,-77.106407
Peromyscus maniculatus,39.518845,-121.44697
Peromyscus maniculatus,33.168318,-117.392326
Peromyscus maniculatus,32.736513,-116.75618
Peromyscus maniculatus,47.306529,-122.521069
Peromyscus maniculatus,44.38204,-121.85952
Peromyscus maniculatus,44.149754,-71.800798
Peromyscus maniculatus,39.640796,-89.782311
Peromyscus maniculatus,34.756416,-107.927999
Peromyscus maniculatus,34.735046,-107.932142
Peromyscus maniculatus,34.763892,-107.926654
Peromyscus maniculatus,34.763268,-107.929729
Peromyscus maniculatus,34.734749,-107.931182
Peromyscus maniculatus,34.73467,-107.931244
Peromyscus maniculatus,34.756658,-107.928006
Peromyscus maniculatus,34.756494,-107.933676
Peromyscus maniculatus,34.73533,-107.932454
Peromyscus maniculatus,34.73522,-107.932289
Peromyscus maniculatus,34.75677,-107.931138
Peromyscus maniculatus,34.756741,-107.931152
Peromyscus maniculatus,34.756691,-107.931318
Peromyscus maniculatus,47.077302,-122.975007
Peromyscus maniculatus,46.859521,-113.975885
Peromyscus maniculatus,46.208317,-60.314742
Peromyscus maniculatus,49.101497,-113.633675
Peromyscus maniculatus,21.932833,-100.549586
Peromyscus maniculatus,45.434558,-73.944771
Peromyscus maniculatus,49.999214,-96.856808
Peromyscus maniculatus,45.501867,-122.987935
Peromyscus maniculatus,41.942963,-78.670288
Peromyscus maniculatus,41.957263,-87.719763
Peromyscus maniculatus,47.666042,-122.412188
Peromyscus maniculatus,33.343836,-116.9053
Peromyscus maniculatus,46.292405,-62.819028
Peromyscus maniculatus,41.394794,-82.231331
Peromyscus maniculatus,49.078925,-123.709258
Peromyscus maniculatus,36.987506,-121.912972
Peromyscus maniculatus,43.460496,-80.497618
Peromyscus maniculatus,39.011956,-79.423408
Peromyscus maniculatus,50.031864,-96.893856
Peromyscus maniculatus,50.147488,-95.660825
Peromyscus maniculatus,36.156868,-121.671906
Peromyscus maniculatus,37.499745,-122.459412
Peromyscus maniculatus,48.436028,-89.238152
Peromyscus maniculatus,33.47422,-119.035605
Peromyscus maniculatus,47.359528,-122.503578
Peromyscus maniculatus,40.033733,-105.293147
Peromyscus maniculatus,50.031847,-96.862042
Peromyscus maniculatus,47.433934,-122.501232
Peromyscus maniculatus,46.693646,-84.407935
Peromyscus maniculatus,48.967995,-123.799341
Peromyscus maniculatus,19.453776,-99.017932
Peromyscus maniculatus,40.125976,-90.308459
Peromyscus maniculatus,36.221223,-95.908316
Peromyscus maniculatus,37.949298,-122.316566
Peromyscus maniculatus,46.211071,-62.73078
Peromyscus maniculatus,33.625239,-117.805516
Peromyscus maniculatus,44.820247,-79.720692
Peromyscus maniculatus,48.028294,-122.774583
Peromyscus maniculatus,35.207867,-95.557183
Peromyscus maniculatus,39.83087,-77.23174
Peromyscus maniculatus,30.15145,-97.219178
Peromyscus maniculatus,49.131065,-122.594683
Peromyscus maniculatus,62.604758,-114.167388
Peromyscus maniculatus,49.078991,-123.709067
Peromyscus maniculatus,47.296153,-101.631333
Peromyscus maniculatus,49.611733,-117.113919
Peromyscus maniculatus,46.015264,-60.387413
Peromyscus maniculatus,29.874895,-100.352452
Peromyscus maniculatus,49.747353,-125.071625
Peromyscus maniculatus,48.536057,-124.443211
Peromyscus maniculatus,45.361742,-122.977854
Peromyscus maniculatus,42.026708,-93.660094
Peromyscus maniculatus,31.755137,-116.629425
Peromyscus maniculatus,36.901622,-88.036099
Peromyscus maniculatus,37.063768,-118.230017
Peromyscus maniculatus,45.902888,-123.911289
Peromyscus maniculatus,46.868444,-113.995797
Peromyscus maniculatus,53.678136,-112.887605
Peromyscus maniculatus,47.446461,-122.500095
Peromyscus maniculatus,49.440097,-114.230567
Peromyscus maniculatus,49.634903,-112.863937
Peromyscus maniculatus,36.495535,-121.763851
Peromyscus maniculatus,32.68987,-97.11514
Peromyscus maniculatus,49.87095,-119.433408
Peromyscus maniculatus,49.871476,-119.433517
Peromyscus maniculatus,45.662736,-122.844691
Peromyscus maniculatus,47.657354,-122.291807
Peromyscus maniculatus,19.174561,-99.542695
Peromyscus maniculatus,40.854109,-104.726916
Peromyscus maniculatus,40.86758,-104.703635
Peromyscus maniculatus,40.798781,-104.747491
Peromyscus maniculatus,29.659113,-96.245217
Peromyscus maniculatus,34.734717,-107.931496
Peromyscus maniculatus,34.734046,-107.92901
Peromyscus maniculatus,34.76167,-107.926822
Peromyscus maniculatus,34.755633,-107.933438
Peromyscus maniculatus,34.734113,-107.929201
Peromyscus maniculatus,34.734056,-107.929017
Peromyscus maniculatus,34.734574,-107.92976
Peromyscus maniculatus,34.761195,-107.925698
Peromyscus maniculatus,34.755369,-107.934445
Peromyscus maniculatus,34.75532,-107.934576
Peromyscus maniculatus,34.756475,-107.932586
Peromyscus maniculatus,34.755757,-107.933305
Peromyscus maniculatus,34.761483,-107.926369
Peromyscus maniculatus,34.763112,-107.927548
Peromyscus maniculatus,34.76215,-107.92733
Peromyscus maniculatus,34.761494,-107.926375
Peromyscus maniculatus,34.754978,-107.935495
Peromyscus maniculatus,34.75642,-107.932799
Peromyscus maniculatus,34.761495,-107.926366
Peromyscus maniculatus,34.756435,-107.932709
Peromyscus maniculatus,34.729499,-107.931979
Peromyscus maniculatus,34.756351,-107.932864
Peromyscus maniculatus,34.756715,-107.93237
Peromyscus maniculatus,34.754717,-107.93539
Peromyscus maniculatus,34.755535,-107.93363
Peromyscus maniculatus,49.397912,-121.4469
Peromyscus maniculatus,37.984133,-122.60878
Peromyscus maniculatus,39.262285,-123.164462
Peromyscus maniculatus,43.742802,-79.260972
Peromyscus maniculatus,40.199877,-105.159251
Peromyscus maniculatus,42.041287,-88.314586
Peromyscus maniculatus,50.849073,-115.404921
Peromyscus maniculatus,42.747275,-112.394525
Peromyscus maniculatus,33.384888,-117.220038
Peromyscus maniculatus,36.384864,-105.614893
Peromyscus maniculatus,42.747208,-112.394562
Peromyscus maniculatus,34.422092,-101.046172
Peromyscus maniculatus,46.860235,-101.602909
Peromyscus maniculatus,39.352932,-123.555477
Peromyscus maniculatus,39.353847,-123.55504
Peromyscus maniculatus,37.45438,-97.279552
Peromyscus maniculatus,30.981406,-91.488046
Peromyscus maniculatus,40.442762,-79.900842
Peromyscus maniculatus,43.566628,-80.251706
Peromyscus maniculatus,37.558853,-97.337595
Peromyscus maniculatus,44.88575,-122.636614
Peromyscus maniculatus,44.340837,-72.461354
Peromyscus maniculatus,45.983052,-59.984988
Peromyscus maniculatus,40.536188,-109.537728
Peromyscus maniculatus,29.705871,-81.994286
Peromyscus maniculatus,46.14723,-123.654454
Peromyscus maniculatus,35.828442,-106.576759
Peromyscus maniculatus,48.358569,-123.743391
Peromyscus maniculatus,31.919415,-116.605221
Peromyscus maniculatus,31.919204,-116.605159
Peromyscus maniculatus,49.274208,-91.345812
Peromyscus maniculatus,45.919288,-64.656625
Peromyscus maniculatus,37.641727,-115.370797
Peromyscus maniculatus,44.554481,-69.654769
Peromyscus maniculatus,44.340726,-72.461416
Peromyscus maniculatus,49.687962,-116.823475
Peromyscus maniculatus,45.304035,-109.366404
Peromyscus maniculatus,45.550195,-78.640237
Peromyscus maniculatus,39.009061,-77.006889
Peromyscus maniculatus,49.509445,-119.646408
Peromyscus maniculatus,49.052503,-122.846198
Peromyscus maniculatus,60.822025,-135.944411
Peromyscus maniculatus,38.961197,-106.984992
Peromyscus maniculatus,40.132653,-111.021994
Peromyscus maniculatus,48.892975,-123.355155
Peromyscus maniculatus,39.760405,-121.775505
Peromyscus maniculatus,45.740362,-122.309739
Peromyscus maniculatus,50.123108,-96.911728
Peromyscus maniculatus,49.319978,-123.072414
Peromyscus maniculatus,45.0025,-92.90474
Peromyscus maniculatus,45.130601,-93.238074
Peromyscus maniculatus,42.993916,-81.215825
Peromyscus maniculatus,38.895739,-77.154429
Peromyscus maniculatus,43.593197,-80.283208
Peromyscus maniculatus,49.684889,-95.328757
Peromyscus maniculatus,45.559212,-122.842545
Peromyscus maniculatus,36.370045,-121.894166
Peromyscus maniculatus,36.822621,-122.087928
Peromyscus maniculatus,39.002109,-107.022429
Peromyscus maniculatus,46.236118,-63.088744
Peromyscus maniculatus,33.042717,-97.20652
Peromyscus maniculatus,43.688133,-79.33705
Peromyscus maniculatus,45.305169,-66.057312
Peromyscus maniculatus,44.060529,-120.735395
Peromyscus maniculatus,47.229137,-100.34783
Peromyscus maniculatus,48.639444,-124.328333
Peromyscus maniculatus,45.790772,-75.80265
Peromyscus maniculatus,40.367674,-124.360212
Peromyscus maniculatus,44.511024,-69.127741
Peromyscus maniculatus,45.221531,-67.276735
Peromyscus maniculatus,41.772332,-111.896634
Peromyscus maniculatus,48.34028,-88.647711
Peromyscus maniculatus,36.78725,-108.158172
Peromyscus maniculatus,48.4399,-68.572149
Peromyscus maniculatus,49.101434,-123.18824
Peromyscus maniculatus,23.880228,-105.162262
Peromyscus maniculatus,62.411622,-114.432299
Peromyscus maniculatus,45.46545,-122.673342
Peromyscus maniculatus,60.778303,-135.169625
Peromyscus maniculatus,46.42632,-63.191272
Peromyscus maniculatus,53.243722,-112.883919
Peromyscus maniculatus,49.034058,-122.730308
Peromyscus maniculatus,53.24372,-112.883884
Peromyscus maniculatus,48.340263,-88.647948
Peromyscus maniculatus,53.239209,-112.889751
Peromyscus maniculatus,49.845967,-125.099144
Peromyscus maniculatus,52.02427,-114.253754
Peromyscus maniculatus,40.19038,-119.84811
Peromyscus maniculatus,45.492497,-122.291763
Peromyscus maniculatus,47.46828,-122.473409
Peromyscus maniculatus,47.604042,-122.53212
Peromyscus maniculatus,45.212405,-79.315145
Peromyscus maniculatus,49.38442,-122.641495
Peromyscus maniculatus,53.243588,-112.884083
Peromyscus maniculatus,53.803521,-123.058248
Peromyscus maniculatus,53.241093,-112.888291
Peromyscus maniculatus,53.245824,-112.933718
Peromyscus maniculatus,47.383103,-91.195507
Peromyscus maniculatus,53.386671,-117.706385
Peromyscus maniculatus,49.179183,-101.262658
Peromyscus maniculatus,43.855733,-85.946862
Peromyscus maniculatus,40.95855,-115.46628
Peromyscus maniculatus,39.54417,-118.76888
Peromyscus maniculatus,40.91325,-115.35013
Peromyscus maniculatus,40.66864,-118.18655
Peromyscus maniculatus,45.52666,-122.292026
Peromyscus maniculatus,49.177497,-122.829033
Peromyscus maniculatus,50.773045,-100.222264
Peromyscus maniculatus,45.956948,-66.637939
Peromyscus maniculatus,38.928958,-77.039101
Peromyscus maniculatus,45.880737,-66.538528
Peromyscus maniculatus,42.982222,-81.176256
