name,latitude,longitude
Scalopus aquaticus,28.587392,-81.348928
Scalopus aquaticus,41.329717,-72.6007
Scalopus aquaticus,33.427943,-86.83681
Scalopus aquaticus,33.627422,-78.950363
Scalopus aquaticus,27.238042,-82.330066
Scalopus aquaticus,27.237681,-82.330268
Scalopus aquaticus,30.791861,-83.789887
Scalopus aquaticus,39.79787,-83.909125
Scalopus aquaticus,36.335564,-92.379606
Scalopus aquaticus,27.282727,-82.531694
Scalopus aquaticus,32.690687,-97.19109
Scalopus aquaticus,41.991796,-73.095676
Scalopus aquaticus,36.562056,-99.566503
Scalopus aquaticus,29.973153,-95.570318
Scalopus aquaticus,34.348531,-77.672404
Scalopus aquaticus,29.671028,-82.352817
Scalopus aquaticus,26.659354,-81.847307
Scalopus aquaticus,31.969722,-81.030342
Scalopus aquaticus,38.67589,-97.998191
Scalopus aquaticus,38.786192,-89.953775
Scalopus aquaticus,29.589753,-82.237503
Scalopus aquaticus,28.52643,-81.358497
Scalopus aquaticus,29.406865,-97.735741
Scalopus aquaticus,33.153606,-97.040717
Scalopus aquaticus,29.868674,-95.474808
Scalopus aquaticus,42.185126,-82.699709
Scalopus aquaticus,31.06374,-88.842031
Scalopus aquaticus,30.276905,-81.647322
Scalopus aquaticus,41.056233,-87.474914
Scalopus aquaticus,35.491471,-76.948177
Scalopus aquaticus,41.572365,-87.593049
Scalopus aquaticus,37.160767,-92.1827
Scalopus aquaticus,34.988455,-82.252474
Scalopus aquaticus,29.548303,-82.343583
Scalopus aquaticus,38.881519,-92.305116
Scalopus aquaticus,36.217228,-96.26251
Scalopus aquaticus,39.421077,-84.501324
Scalopus aquaticus,39.574633,-76.638267
Scalopus aquaticus,38.590417,-92.231362
Scalopus aquaticus,35.073447,-80.977163
Scalopus aquaticus,29.645244,-82.360078
Scalopus aquaticus,35.721084,-78.506503
Scalopus aquaticus,38.8955,-77.06435
Scalopus aquaticus,38.114793,-97.865098
Scalopus aquaticus,26.48922,-81.532622
Scalopus aquaticus,39.603755,-77.859221
Scalopus aquaticus,39.063792,-78.065266
Scalopus aquaticus,41.282498,-89.023544
Scalopus aquaticus,37.61277,-77.340446
Scalopus aquaticus,40.710305,-96.832431
Scalopus aquaticus,39.317725,-76.876525
Scalopus aquaticus,32.749425,-79.922613
Scalopus aquaticus,36.059034,-86.944134
Scalopus aquaticus,35.952938,-83.686608
Scalopus aquaticus,33.224492,-96.943055
Scalopus aquaticus,35.947076,-83.692451
Scalopus aquaticus,32.047436,-94.755188
Scalopus aquaticus,39.602109,-75.167852
Scalopus aquaticus,30.20955,-95.364991
Scalopus aquaticus,39.778907,-75.140935
Scalopus aquaticus,39.602088,-75.167728
Scalopus aquaticus,39.501542,-84.722695
Scalopus aquaticus,35.839874,-79.152561
Scalopus aquaticus,42.152796,-90.160632
Scalopus aquaticus,39.776035,-75.142287
Scalopus aquaticus,39.863229,-86.285433
Scalopus aquaticus,39.776099,-75.142213
Scalopus aquaticus,38.878937,-92.298197
Scalopus aquaticus,39.53099,-76.645804
Scalopus aquaticus,41.300728,-88.124353
Scalopus aquaticus,33.294897,-89.685858
Scalopus aquaticus,35.13785,-89.987409
Scalopus aquaticus,33.018027,-97.097816
Scalopus aquaticus,39.561649,-88.566399
Scalopus aquaticus,35.883283,-100.181147
Scalopus aquaticus,38.758556,-77.115552
Scalopus aquaticus,36.103189,-86.731475
Scalopus aquaticus,36.075739,-96.003883
Scalopus aquaticus,29.651908,-82.480263
Scalopus aquaticus,31.970172,-81.137139
Scalopus aquaticus,39.004554,-76.875528
Scalopus aquaticus,29.663375,-82.306835
Scalopus aquaticus,27.30892,-82.490889
Scalopus aquaticus,27.873638,-82.809703
Scalopus aquaticus,38.904307,-77.097991
Scalopus aquaticus,38.781765,-76.700412
Scalopus aquaticus,39.131608,-77.530413
Scalopus aquaticus,40.585257,-74.126652
Scalopus aquaticus,38.950255,-76.959113
Scalopus aquaticus,39.172832,-84.577431
Scalopus aquaticus,32.44622,-93.680196
Scalopus aquaticus,33.80521,-84.301918
Scalopus aquaticus,39.238081,-84.487005
Scalopus aquaticus,39.454102,-84.203208
Scalopus aquaticus,30.236607,-95.490739
