name,latitude,longitude
Scapanus orarius,49.237269,-122.797936
Scapanus orarius,49.231136,-122.805686
Scapanus orarius,44.372109,-123.835467
Scapanus orarius,49.059158,-122.879136
Scapanus orarius,44.985145,-123.430133
Scapanus orarius,49.065789,-122.841719
Scapanus orarius,49.113036,-122.908919
Scapanus orarius,49.058933,-122.879631
Scapanus orarius,49.089911,-122.863664
Scapanus orarius,49.279335,-122.893891
Scapanus orarius,49.313405,-121.633749
Scapanus orarius,48.033738,-122.772828
Scapanus orarius,45.850159,-122.934469
Scapanus orarius,49.195956,-123.004944
Scapanus orarius,49.235308,-122.799728
Scapanus orarius,49.023753,-123.057061
Scapanus orarius,49.020233,-123.048233
Scapanus orarius,49.019511,-123.046281
Scapanus orarius,49.016361,-123.042489
Scapanus orarius,49.016372,-123.042489
Scapanus orarius,49.126761,-123.057258
Scapanus orarius,49.126933,-123.058053
Scapanus orarius,45.8844,-122.872447
Scapanus orarius,49.170794,-123.093522
Scapanus orarius,49.217056,-123.203706
Scapanus orarius,49.219417,-123.213714
Scapanus orarius,49.252725,-123.250149
Scapanus orarius,49.21915,-123.213967
Scapanus orarius,49.035556,-122.725833
Scapanus orarius,49.22027,-123.210822
Scapanus orarius,49.160833,-122.757778
Scapanus orarius,49.177986,-122.762169
Scapanus orarius,49.177883,-122.762208
Scapanus orarius,49.295787,-123.141396
Scapanus orarius,49.243515,-122.910129
Scapanus orarius,49.243868,-122.907011
Scapanus orarius,49.116468,-122.90182
Scapanus orarius,49.225447,-123.225272
Scapanus orarius,49.254008,-123.248441
Scapanus orarius,49.206968,-123.143331
Scapanus orarius,49.250345,-123.247772
Scapanus orarius,47.377698,-122.486926
Scapanus orarius,49.240225,-122.899258
Scapanus orarius,49.062274,-122.70388
Scapanus orarius,45.570518,-122.777434
Scapanus orarius,49.167893,-122.766095
Scapanus orarius,49.05845,-122.876336
Scapanus orarius,49.186142,-122.756867
Scapanus orarius,49.275404,-122.913338
Scapanus orarius,49.027394,-122.867889
Scapanus orarius,49.081753,-122.827194
Scapanus orarius,49.236861,-122.897044
Scapanus orarius,42.133824,-122.817717
Scapanus orarius,49.220008,-123.210998
Scapanus orarius,47.839668,-122.349299
Scapanus orarius,44.034167,-123.056944
Scapanus orarius,49.191347,-122.849012
Scapanus orarius,49.131431,-122.643023
Scapanus orarius,49.007503,-122.616923
Scapanus orarius,47.378278,-122.486427
Scapanus orarius,49.243542,-122.933814
Scapanus orarius,49.238653,-122.898061
Scapanus orarius,49.0527,-122.456125
Scapanus orarius,49.179282,-122.820615
Scapanus orarius,49.315288,-122.61518
Scapanus orarius,49.247681,-122.91665
Scapanus orarius,49.232504,-122.93826
Scapanus orarius,49.184545,-122.984275
Scapanus orarius,49.207339,-122.732414
Scapanus orarius,47.912032,-122.527088
Scapanus orarius,49.342289,-121.746964
Scapanus orarius,49.237397,-122.796356
Scapanus orarius,49.298164,-123.136383
Scapanus orarius,44.543902,-123.7228
Scapanus orarius,44.639416,-123.279475
Scapanus orarius,49.277381,-123.248695
Scapanus orarius,49.244668,-122.93985
Scapanus orarius,49.236201,-123.198659
Scapanus orarius,44.415129,-124.034896
Scapanus orarius,49.173092,-122.576403
Scapanus orarius,44.598062,-123.937941
Scapanus orarius,48.109997,-122.779078
Scapanus orarius,49.121647,-123.063065
Scapanus orarius,47.465743,-122.148056
Scapanus orarius,49.217536,-123.212048
Scapanus orarius,49.237786,-122.010299
Scapanus orarius,48.042198,-122.684166
