name,latitude,longitude
Sylvilagus floridanus,26.17543,-98.230127
Sylvilagus floridanus,41.977117,-87.742487
Sylvilagus floridanus,42.998253,-87.976163
Sylvilagus floridanus,40.622647,-73.458247
Sylvilagus floridanus,44.656703,-93.112734
Sylvilagus floridanus,45.368144,-75.793628
Sylvilagus floridanus,30.233676,-97.638663
Sylvilagus floridanus,33.035393,-96.567202
Sylvilagus floridanus,43.657042,-79.355216
Sylvilagus floridanus,31.287578,-89.375646
Sylvilagus floridanus,39.59454,-77.148454
Sylvilagus floridanus,31.287596,-89.375649
Sylvilagus floridanus,37.690342,-77.459555
Sylvilagus floridanus,42.025872,-93.660478
Sylvilagus floridanus,43.179557,-80.234011
Sylvilagus floridanus,44.30704,-73.18583
Sylvilagus floridanus,39.273222,-77.524921
Sylvilagus floridanus,41.809942,-72.927459
Sylvilagus floridanus,19.454722,-99.039012
Sylvilagus floridanus,38.873872,-77.338403
Sylvilagus floridanus,42.45326,-71.080018
Sylvilagus floridanus,41.222354,-88.258965
Sylvilagus floridanus,20.727314,-103.56742
Sylvilagus floridanus,50.123108,-96.911728
Sylvilagus floridanus,43.523525,-80.304989
Sylvilagus floridanus,32.774764,-96.663027
Sylvilagus floridanus,30.634383,-97.773823
Sylvilagus floridanus,39.501756,-77.053806
Sylvilagus floridanus,38.192236,-78.517941
Sylvilagus floridanus,40.862455,-96.673955
Sylvilagus floridanus,45.143169,-75.601435
Sylvilagus floridanus,43.809052,-79.449088
Sylvilagus floridanus,42.29016,-71.186299
Sylvilagus floridanus,41.366649,-88.363998
Sylvilagus floridanus,42.339245,-71.54975
Sylvilagus floridanus,45.40337,-73.944817
Sylvilagus floridanus,32.814,-96.9489
Sylvilagus floridanus,36.326182,-92.381362
Sylvilagus floridanus,35.73875,-78.848122
Sylvilagus floridanus,44.989558,-93.219863
Sylvilagus floridanus,42.464808,-71.087753
Sylvilagus floridanus,45.394325,-73.972795
Sylvilagus floridanus,43.864829,-79.522489
Sylvilagus floridanus,26.17615,-98.229762
Sylvilagus floridanus,42.290205,-71.186207
Sylvilagus floridanus,45.218068,-75.841717
Sylvilagus floridanus,42.309276,-71.094375
Sylvilagus floridanus,44.797734,-92.967426
Sylvilagus floridanus,42.820037,-73.815583
Sylvilagus floridanus,43.066548,-88.015912
Sylvilagus floridanus,43.313082,-79.848559
Sylvilagus floridanus,44.172308,-80.143412
Sylvilagus floridanus,41.575097,-78.687363
Sylvilagus floridanus,35.152552,-80.983103
Sylvilagus floridanus,32.523116,-97.324755
Sylvilagus floridanus,39.56638,-77.170151
Sylvilagus floridanus,42.038564,-87.751953
Sylvilagus floridanus,10.345032,-85.338425
Sylvilagus floridanus,30.497835,-97.558201
Sylvilagus floridanus,44.22732,-76.499763
Sylvilagus floridanus,44.167908,-84.670487
Sylvilagus floridanus,30.763668,-97.762196
Sylvilagus floridanus,19.454694,-99.039149
Sylvilagus floridanus,30.637958,-97.661224
Sylvilagus floridanus,39.584258,-77.029964
Sylvilagus floridanus,37.242223,-80.436294
Sylvilagus floridanus,45.465936,-73.799874
Sylvilagus floridanus,32.775377,-96.660946
Sylvilagus floridanus,44.936601,-92.98292
Sylvilagus floridanus,30.35037,-97.547277
Sylvilagus floridanus,42.505424,-96.500946
Sylvilagus floridanus,44.210583,-78.677474
Sylvilagus floridanus,26.640623,-80.16612
Sylvilagus floridanus,39.201655,-96.56378
Sylvilagus floridanus,30.497826,-97.558198
Sylvilagus floridanus,30.57498,-96.363751
Sylvilagus floridanus,41.260717,-72.558549
Sylvilagus floridanus,31.287621,-89.375635
Sylvilagus floridanus,48.970643,-123.795691
Sylvilagus floridanus,36.107003,-84.574347
Sylvilagus floridanus,44.788575,-93.142361
Sylvilagus floridanus,34.605967,-86.745053
Sylvilagus floridanus,28.442561,-81.541217
Sylvilagus floridanus,30.572259,-96.363456
Sylvilagus floridanus,42.286706,-83.746328
Sylvilagus floridanus,43.068438,-89.535168
Sylvilagus floridanus,49.895231,-97.120894
Sylvilagus floridanus,44.175853,-78.097983
Sylvilagus floridanus,43.705071,-80.00023
Sylvilagus floridanus,43.374469,-80.128414
Sylvilagus floridanus,37.264668,-80.396721
Sylvilagus floridanus,38.963717,-84.584871
Sylvilagus floridanus,44.472204,-77.314103
Sylvilagus floridanus,40.432914,-74.663464
Sylvilagus floridanus,39.460051,-77.016591
Sylvilagus floridanus,30.65105,-97.81243
Sylvilagus floridanus,32.775213,-96.660954
Sylvilagus floridanus,44.35589,-77.832487
Sylvilagus floridanus,37.282309,-76.746402
Sylvilagus floridanus,28.919428,-81.966882
Sylvilagus floridanus,44.248662,-76.959966
Sylvilagus floridanus,40.58301,-73.885719
Sylvilagus floridanus,35.221364,-81.040722
Sylvilagus floridanus,39.461638,-77.074625
Sylvilagus floridanus,32.775416,-96.661431
Sylvilagus floridanus,42.290065,-71.186222
Sylvilagus floridanus,26.994255,-82.185243
Sylvilagus floridanus,28.442602,-81.541267
Sylvilagus floridanus,42.39391,-71.560709
Sylvilagus floridanus,35.221378,-81.040119
Sylvilagus floridanus,44.472602,-77.316804
Sylvilagus floridanus,40.543561,-74.316424
Sylvilagus floridanus,27.646708,-97.333364
Sylvilagus floridanus,28.455866,-98.270288
Sylvilagus floridanus,44.467855,-79.960148
Sylvilagus floridanus,30.57223,-96.366589
Sylvilagus floridanus,40.697182,-73.693864
Sylvilagus floridanus,35.221365,-81.040679
Sylvilagus floridanus,45.537476,-73.821563
Sylvilagus floridanus,36.840747,-75.992209
Sylvilagus floridanus,31.287387,-89.375719
Sylvilagus floridanus,38.886685,-77.037565
Sylvilagus floridanus,45.258924,-93.025411
Sylvilagus floridanus,39.751696,-75.163274
Sylvilagus floridanus,30.486164,-97.699747
Sylvilagus floridanus,30.410475,-97.655145
Sylvilagus floridanus,30.569372,-96.366535
Sylvilagus floridanus,40.196093,-88.306149
Sylvilagus floridanus,44.360333,-78.295137
Sylvilagus floridanus,44.318952,-78.264107
Sylvilagus floridanus,30.655707,-97.700116
Sylvilagus floridanus,30.837398,-97.305334
Sylvilagus floridanus,44.31788,-78.264167
Sylvilagus floridanus,26.185164,-97.66384
Sylvilagus floridanus,45.495025,-75.663025
Sylvilagus floridanus,26.185165,-97.66384
Sylvilagus floridanus,42.299178,-71.095253
Sylvilagus floridanus,42.56228,-76.400203
Sylvilagus floridanus,44.350086,-78.282569
Sylvilagus floridanus,31.287395,-89.375725
Sylvilagus floridanus,45.616595,-122.720332
Sylvilagus floridanus,38.07239,-76.647444
Sylvilagus floridanus,39.698476,-75.740816
Sylvilagus floridanus,26.176327,-98.366005
Sylvilagus floridanus,19.078162,-97.313747
Sylvilagus floridanus,46.815013,-92.176626
Sylvilagus floridanus,37.078342,-81.650222
Sylvilagus floridanus,42.299217,-71.095211
Sylvilagus floridanus,43.044558,-88.020797
Sylvilagus floridanus,30.57038,-97.68627
Sylvilagus floridanus,33.04881,-96.847894
Sylvilagus floridanus,38.946228,-92.446573
Sylvilagus floridanus,43.373013,-80.312014
Sylvilagus floridanus,26.16557,-97.326164
Sylvilagus floridanus,42.807025,-70.972625
Sylvilagus floridanus,42.086016,-70.79925
Sylvilagus floridanus,41.792729,-87.716606
Sylvilagus floridanus,43.817263,-79.380172
Sylvilagus floridanus,48.40795,-123.295336
Sylvilagus floridanus,43.953056,-78.95
Sylvilagus floridanus,43.833775,-79.440379
Sylvilagus floridanus,49.878309,-97.116534
Sylvilagus floridanus,43.543056,-80.251111
Sylvilagus floridanus,43.93395,-79.004038
Sylvilagus floridanus,34.782738,-94.951036
Sylvilagus floridanus,44.22541,-76.613045
Sylvilagus floridanus,30.232894,-97.747314
Sylvilagus floridanus,29.970058,-95.601455
Sylvilagus floridanus,26.074105,-97.526995
Sylvilagus floridanus,43.223889,-79.625
Sylvilagus floridanus,45.405761,-73.927815
Sylvilagus floridanus,26.124957,-97.955567
Sylvilagus floridanus,45.585707,-73.180917
Sylvilagus floridanus,34.729995,-86.760471
Sylvilagus floridanus,45.346633,-73.486053
Sylvilagus floridanus,45.250843,-74.142783
Sylvilagus floridanus,45.346537,-73.485655
Sylvilagus floridanus,48.446157,-123.404335
Sylvilagus floridanus,32.775465,-96.661387
Sylvilagus floridanus,44.332147,-79.678531
Sylvilagus floridanus,13.30783,-87.160861
Sylvilagus floridanus,42.280691,-83.711828
Sylvilagus floridanus,23.664051,-99.17477
Sylvilagus floridanus,45.315883,-73.533874
Sylvilagus floridanus,40.892855,-74.008042
Sylvilagus floridanus,42.989345,-81.30207
Sylvilagus floridanus,42.989405,-81.302108
Sylvilagus floridanus,31.590175,-110.506716
Sylvilagus floridanus,42.35367,-71.107794
Sylvilagus floridanus,44.976528,-93.154197
Sylvilagus floridanus,30.063645,-97.835487
Sylvilagus floridanus,41.253374,-96.246837
Sylvilagus floridanus,40.184269,-75.537964
Sylvilagus floridanus,42.989388,-81.302087
Sylvilagus floridanus,45.574944,-94.046422
Sylvilagus floridanus,43.000121,-78.847381
Sylvilagus floridanus,26.1233,-97.95875
Sylvilagus floridanus,42.217383,-71.216367
Sylvilagus floridanus,48.461667,-123.319167
Sylvilagus floridanus,33.211288,-97.148081
Sylvilagus floridanus,42.989338,-81.30207
Sylvilagus floridanus,42.290138,-71.186272
Sylvilagus floridanus,45.019911,-93.153624
Sylvilagus floridanus,48.970556,-123.795884
Sylvilagus floridanus,31.287584,-89.375622
Sylvilagus floridanus,36.666325,-75.997662
Sylvilagus floridanus,35.517163,-82.500624
Sylvilagus floridanus,42.989345,-81.302162
Sylvilagus floridanus,27.676562,-97.353708
Sylvilagus floridanus,30.382149,-97.02979
Sylvilagus floridanus,45.404992,-73.950355
Sylvilagus floridanus,40.892792,-74.007864
Sylvilagus floridanus,42.36293,-71.261567
Sylvilagus floridanus,29.596625,-99.733797
Sylvilagus floridanus,44.490263,-73.232418
Sylvilagus floridanus,37.375653,-88.933252
Sylvilagus floridanus,42.989342,-81.302308
Sylvilagus floridanus,42.807309,-70.974415
Sylvilagus floridanus,45.371856,-75.797692
Sylvilagus floridanus,28.152551,-96.97641
Sylvilagus floridanus,41.268119,-81.348175
Sylvilagus floridanus,26.667183,-80.168176
Sylvilagus floridanus,44.893737,-93.333073
Sylvilagus floridanus,41.893906,-72.634231
Sylvilagus floridanus,32.587423,-97.331133
Sylvilagus floridanus,42.17475,-71.071586
Sylvilagus floridanus,44.346214,-78.296679
Sylvilagus floridanus,27.685353,-97.348967
Sylvilagus floridanus,48.558672,-123.210209
Sylvilagus floridanus,19.363157,-98.504103
Sylvilagus floridanus,44.40888,-73.111667
Sylvilagus floridanus,45.058233,-76.116482
Sylvilagus floridanus,40.643024,-74.98151
Sylvilagus floridanus,44.94695,-75.722887
Sylvilagus floridanus,44.893665,-93.332217
Sylvilagus floridanus,42.84021,-103.003815
Sylvilagus floridanus,28.433558,-81.725374
Sylvilagus floridanus,27.668292,-97.330697
Sylvilagus floridanus,41.963589,-87.634063
Sylvilagus floridanus,45.320293,-75.913741
Sylvilagus floridanus,41.063247,-80.033858
Sylvilagus floridanus,32.909556,-96.604021
Sylvilagus floridanus,42.455682,-71.90565
Sylvilagus floridanus,41.380143,-88.397567
Sylvilagus floridanus,43.833163,-79.42208
Sylvilagus floridanus,43.910422,-78.930934
Sylvilagus floridanus,26.887741,-80.113974
Sylvilagus floridanus,44.946649,-75.722899
Sylvilagus floridanus,30.398003,-98.045953
Sylvilagus floridanus,45.287773,-92.933507
Sylvilagus floridanus,45.405088,-75.810331
