name,latitude,longitude
Tamias minimus,53.532391,-113.487029
Tamias minimus,38.039656,-104.971802
Tamias minimus,52.099966,-106.686033
Tamias minimus,52.998425,-112.833162
Tamias minimus,52.998463,-112.833078
Tamias minimus,53.532466,-113.487089
Tamias minimus,53.530114,-113.481295
Tamias minimus,39.926347,-105.433864
Tamias minimus,44.096382,-103.206059
Tamias minimus,53.526678,-113.491137
Tamias minimus,53.532371,-113.486989
Tamias minimus,56.718902,-111.439607
Tamias minimus,60.772343,-136.207357
Tamias minimus,40.002863,-105.295733
Tamias minimus,53.440138,-105.871186
Tamias minimus,61.380357,-139.112415
Tamias minimus,45.435145,-89.144717
Tamias minimus,53.203349,-105.75307
Tamias minimus,51.977871,-106.715266
Tamias minimus,60.867737,-135.690065
Tamias minimus,49.700748,-95.240629
Tamias minimus,53.664825,-113.274114
Tamias minimus,37.625527,-112.166376
Tamias minimus,43.265385,-118.844128
Tamias minimus,44.107127,-103.536536
Tamias minimus,42.722438,-108.881653
Tamias minimus,48.486373,-114.417302
Tamias minimus,37.623138,-112.16613
Tamias minimus,53.519932,-113.555249
Tamias minimus,53.53401,-113.55475
Tamias minimus,51.979708,-106.716053
Tamias minimus,47.417752,-91.092683
Tamias minimus,60.681095,-135.044953
Tamias minimus,54.838515,-111.972227
Tamias minimus,60.067081,-134.559905
Tamias minimus,48.198216,-91.922649
Tamias minimus,43.265762,-118.844597
Tamias minimus,43.265667,-118.844015
Tamias minimus,53.532058,-113.487041
Tamias minimus,53.532283,-113.486917
Tamias minimus,52.768732,-118.119505
Tamias minimus,51.97844,-106.713951
Tamias minimus,60.821772,-135.944258
Tamias minimus,43.265527,-118.844132
Tamias minimus,51.170197,-115.590995
Tamias minimus,60.008506,-127.792192
Tamias minimus,43.266489,-118.844031
Tamias minimus,44.471788,-110.842089
Tamias minimus,38.913612,-105.286377
Tamias minimus,39.663598,-105.879178
Tamias minimus,39.759715,-110.918771
Tamias minimus,44.955652,-110.674541
Tamias minimus,43.265511,-118.844196
Tamias minimus,38.213478,-119.015211
Tamias minimus,43.745122,-103.481225
Tamias minimus,40.08256,-105.54728
Tamias minimus,43.87748,-103.45601
Tamias minimus,43.748955,-103.471538
Tamias minimus,49.016647,-114.049919
