name,latitude,longitude
Taxidea taxus,33.804561,-106.882032
Taxidea taxus,36.911409,-121.32975
Taxidea taxus,36.719233,-120.866598
Taxidea taxus,33.804495,-106.891097
Taxidea taxus,34.321393,-119.38014
Taxidea taxus,33.180642,-117.035544
Taxidea taxus,49.632217,-112.884096
Taxidea taxus,32.16216,-107.485181
Taxidea taxus,35.092378,-119.704005
Taxidea taxus,40.636005,-103.657511
Taxidea taxus,37.991227,-122.966306
Taxidea taxus,26.59755,-97.50312
Taxidea taxus,49.114456,-107.613328
Taxidea taxus,49.148422,-107.494192
Taxidea taxus,38.453597,-123.120933
Taxidea taxus,43.962006,-109.381796
Taxidea taxus,50.668994,-116.111381
Taxidea taxus,37.837911,-122.805131
Taxidea taxus,24.076695,-109.859059
Taxidea taxus,38.091738,-122.946048
Taxidea taxus,36.814085,-116.862671
Taxidea taxus,27.204212,-98.501787
Taxidea taxus,35.368912,-113.97168
Taxidea taxus,37.322922,-121.673487
Taxidea taxus,44.11303,-96.459336
Taxidea taxus,28.582474,-105.411324
Taxidea taxus,37.612588,-119.958417
Taxidea taxus,41.234351,-105.849114
Taxidea taxus,33.421128,-116.398654
Taxidea taxus,31.222406,-115.235023
Taxidea taxus,31.093736,-108.059428
Taxidea taxus,31.273917,-115.385551
Taxidea taxus,36.209273,-120.864188
Taxidea taxus,37.605806,-99.328611
Taxidea taxus,43.37348,-116.413837
Taxidea taxus,33.256887,-103.11195
Taxidea taxus,30.037816,-98.334708
Taxidea taxus,36.580318,-121.770517
Taxidea taxus,49.76862,-101.10163
Taxidea taxus,38.017759,-122.991271
Taxidea taxus,36.609434,-120.883894
Taxidea taxus,36.557945,-121.033323
Taxidea taxus,31.37963,-102.454863
Taxidea taxus,40.3624,-119.901849
Taxidea taxus,36.438973,-115.359756
Taxidea taxus,36.507635,-115.474548
Taxidea taxus,37.910678,-122.721895
Taxidea taxus,39.40772,-112.007939
Taxidea taxus,32.328401,-110.836884
Taxidea taxus,36.43937,-115.360611
Taxidea taxus,35.300147,-119.260758
Taxidea taxus,49.88567,-119.609774
Taxidea taxus,35.379847,-119.371322
Taxidea taxus,45.257165,-120.870773
Taxidea taxus,34.45366,-100.214914
Taxidea taxus,33.633945,-101.90483
Taxidea taxus,23.7187,-110.084904
Taxidea taxus,31.804407,-116.17815
Taxidea taxus,43.171755,-115.958955
Taxidea taxus,37.910072,-122.726158
Taxidea taxus,51.872215,-112.189965
Taxidea taxus,31.821304,-116.086359
Taxidea taxus,40.379538,-89.927918
Taxidea taxus,30.52323,-104.416563
Taxidea taxus,37.381412,-121.736459
Taxidea taxus,35.35411,-118.115639
Taxidea taxus,35.332373,-119.363391
Taxidea taxus,37.519662,-110.72573
Taxidea taxus,37.342625,-122.229531
Taxidea taxus,31.009378,-109.273226
Taxidea taxus,37.450367,-121.193978
Taxidea taxus,37.907095,-122.722629
Taxidea taxus,38.028739,-122.536233
Taxidea taxus,35.195388,-106.617797
Taxidea taxus,43.27009,-115.151425
Taxidea taxus,36.398975,-120.982789
Taxidea taxus,31.363524,-110.121415
Taxidea taxus,41.181989,-105.702958
Taxidea taxus,41.485604,-120.186989
Taxidea taxus,33.633663,-101.905053
Taxidea taxus,45.078033,-117.813302
Taxidea taxus,50.422061,-115.964378
Taxidea taxus,44.798622,-92.824883
Taxidea taxus,37.315552,-122.202249
Taxidea taxus,34.3003,-118.999522
Taxidea taxus,39.834608,-104.846752
Taxidea taxus,47.385771,-91.203356
Taxidea taxus,52.182359,-106.57082
Taxidea taxus,36.632894,-121.019096
Taxidea taxus,39.36992,-111.98683
Taxidea taxus,39.855967,-104.826269
Taxidea taxus,43.265843,-118.844934
Taxidea taxus,43.329225,-116.474086
Taxidea taxus,30.902205,-115.928539
Taxidea taxus,32.206385,-110.77236
Taxidea taxus,32.216788,-110.726084
Taxidea taxus,43.305341,-116.41351
Taxidea taxus,43.281252,-116.395116
Taxidea taxus,43.028575,-115.744597
Taxidea taxus,40.564374,-106.275346
Taxidea taxus,44.106074,-109.291951
Taxidea taxus,33.871285,-116.545398
Taxidea taxus,39.022389,-114.678162
Taxidea taxus,47.159607,-103.67639
Taxidea taxus,43.325573,-118.975842
Taxidea taxus,34.821299,-115.638348
Taxidea taxus,47.228218,-99.798749
Taxidea taxus,43.540644,-116.607369
Taxidea taxus,41.272415,-105.60552
Taxidea taxus,44.910439,-110.260306
Taxidea taxus,33.495604,-117.600968
Taxidea taxus,33.950814,-116.691403
Taxidea taxus,42.974043,-117.054304
Taxidea taxus,39.835777,-104.837865
Taxidea taxus,49.006187,-110.210834
Taxidea taxus,40.570977,-112.654329
Taxidea taxus,43.901498,-102.317813
Taxidea taxus,37.97048,-106.923942
Taxidea taxus,39.394469,-114.778642
Taxidea taxus,38.158145,-122.918529
Taxidea taxus,44.901028,-110.249978
Taxidea taxus,44.488838,-121.051286
Taxidea taxus,36.631267,-116.319588
Taxidea taxus,36.737893,-121.24306
Taxidea taxus,43.371258,-115.910783
Taxidea taxus,38.080978,-122.959145
Taxidea taxus,50.367411,-111.050545
Taxidea taxus,40.788761,-111.480074
Taxidea taxus,43.342439,-117.159468
Taxidea taxus,38.12564,-122.90684
Taxidea taxus,44.587801,-84.385684
Taxidea taxus,42.729786,-109.861611
Taxidea taxus,33.278117,-101.43748
Taxidea taxus,46.609036,-109.811911
Taxidea taxus,35.937164,-117.919971
Taxidea taxus,41.220897,-93.998807
Taxidea taxus,44.899687,-110.240997
Taxidea taxus,47.331021,-100.382597
Taxidea taxus,44.868644,-110.175036
Taxidea taxus,38.081311,-122.956081
Taxidea taxus,44.58352,-104.710069
Taxidea taxus,36.665913,-107.661086
Taxidea taxus,43.627503,-116.200287
Taxidea taxus,40.40624,-96.280246
Taxidea taxus,38.462795,-106.409112
Taxidea taxus,34.846233,-120.379385
Taxidea taxus,24.102975,-101.573068
Taxidea taxus,41.000171,-106.024101
Taxidea taxus,44.881908,-110.21792
Taxidea taxus,45.679592,-97.11005
Taxidea taxus,44.93001,-110.31415
Taxidea taxus,47.856762,-108.162078
Taxidea taxus,49.145273,-107.515303
Taxidea taxus,44.933273,-110.31369
Taxidea taxus,37.186196,-107.042202
Taxidea taxus,33.54885,-101.778472
Taxidea taxus,42.290512,-106.4964
Taxidea taxus,33.55436,-117.573964
Taxidea taxus,44.91382,-110.27118
Taxidea taxus,43.370008,-115.962203
Taxidea taxus,33.548889,-101.778333
Taxidea taxus,32.176288,-110.749213
Taxidea taxus,28.983015,-98.524039
Taxidea taxus,41.651443,-119.304475
Taxidea taxus,37.313142,-120.847488
