name,latitude,longitude
Urocitellus columbianus,46.759614,-114.081288
Urocitellus columbianus,46.539788,-114.094444
Urocitellus columbianus,46.739005,-117.167201
Urocitellus columbianus,44.392832,-116.873012
Urocitellus columbianus,48.496292,-113.97815
Urocitellus columbianus,48.501523,-113.980753
Urocitellus columbianus,44.414666,-116.880426
Urocitellus columbianus,44.057959,-115.947974
Urocitellus columbianus,44.05798,-115.947964
Urocitellus columbianus,49.110381,-113.841201
Urocitellus columbianus,46.9421,-116.648838
Urocitellus columbianus,49.422372,-114.237628
Urocitellus columbianus,51.158455,-115.505257
Urocitellus columbianus,49.064141,-120.786216
Urocitellus columbianus,50.202765,-114.191205
Urocitellus columbianus,49.499608,-115.788067
Urocitellus columbianus,49.938689,-119.393919
Urocitellus columbianus,47.960098,-116.577494
Urocitellus columbianus,49.938633,-119.394042
Urocitellus columbianus,49.128039,-118.24924
Urocitellus columbianus,48.391133,-116.511843
Urocitellus columbianus,49.940648,-119.399347
Urocitellus columbianus,50.99553,-118.162788
Urocitellus columbianus,49.94098,-119.3994
Urocitellus columbianus,49.600573,-114.392594
Urocitellus columbianus,50.030033,-119.359422
Urocitellus columbianus,45.640911,-113.643643
Urocitellus columbianus,49.626909,-114.934631
Urocitellus columbianus,49.409829,-114.341368
Urocitellus columbianus,49.007301,-113.46734
Urocitellus columbianus,49.129356,-114.026419
Urocitellus columbianus,49.079513,-113.869555
Urocitellus columbianus,50.027829,-119.360725
Urocitellus columbianus,47.414598,-117.531438
Urocitellus columbianus,52.12005,-122.023537
Urocitellus columbianus,45.258251,-117.95247
Urocitellus columbianus,47.304269,-113.603226
Urocitellus columbianus,51.165386,-115.564803
Urocitellus columbianus,51.171947,-115.569655
Urocitellus columbianus,51.074072,-115.403974
Urocitellus columbianus,51.255338,-115.876101
Urocitellus columbianus,49.49961,-115.787875
Urocitellus columbianus,52.120168,-122.023488
Urocitellus columbianus,50.62354,-116.063688
Urocitellus columbianus,50.843404,-115.167404
Urocitellus columbianus,50.017903,-119.372022
Urocitellus columbianus,49.495609,-115.7886
Urocitellus columbianus,49.75768,-113.90558
Urocitellus columbianus,49.370131,-115.842106
Urocitellus columbianus,45.282707,-117.212887
Urocitellus columbianus,47.032352,-114.316638
Urocitellus columbianus,51.217945,-115.51245
Urocitellus columbianus,51.200238,-115.504203
Urocitellus columbianus,49.916979,-115.647271
Urocitellus columbianus,51.1713,-115.569603
Urocitellus columbianus,49.445053,-114.322911
Urocitellus columbianus,52.889806,-118.066673
Urocitellus columbianus,49.011417,-113.474092
Urocitellus columbianus,49.258717,-116.647367
Urocitellus columbianus,49.915785,-115.648352
Urocitellus columbianus,48.698609,-113.699381
Urocitellus columbianus,51.192773,-115.55303
Urocitellus columbianus,50.630155,-114.683774
Urocitellus columbianus,51.170292,-115.572983
Urocitellus columbianus,48.040669,-113.595861
Urocitellus columbianus,51.182329,-115.603294
Urocitellus columbianus,49.062535,-120.827948
Urocitellus columbianus,50.173382,-119.443001
Urocitellus columbianus,50.175693,-119.441665
Urocitellus columbianus,50.173662,-119.441903
Urocitellus columbianus,50.173253,-119.441833
Urocitellus columbianus,49.062605,-120.826799
Urocitellus columbianus,49.47374,-119.506318
Urocitellus columbianus,51.210676,-115.539452
Urocitellus columbianus,47.504849,-116.692613
Urocitellus columbianus,49.151417,-119.240328
Urocitellus columbianus,47.0217,-113.387
Urocitellus columbianus,48.368539,-116.62283
Urocitellus columbianus,49.772227,-119.519099
Urocitellus columbianus,47.419727,-115.62423
Urocitellus columbianus,49.10474,-118.983182
Urocitellus columbianus,48.72112,-120.670005
Urocitellus columbianus,45.500281,-118.436199
Urocitellus columbianus,49.844024,-119.370868
Urocitellus columbianus,48.518172,-114.020523
Urocitellus columbianus,50.275415,-114.633604
Urocitellus columbianus,48.515745,-113.990419
Urocitellus columbianus,50.901919,-119.91146
Urocitellus columbianus,49.785822,-119.556074
Urocitellus columbianus,48.497514,-113.982252
Urocitellus columbianus,46.635168,-114.577844
Urocitellus columbianus,50.900176,-119.910124
Urocitellus columbianus,49.786301,-119.557173
Urocitellus columbianus,46.634627,-114.578031
Urocitellus columbianus,49.120667,-120.578203
Urocitellus columbianus,52.890255,-118.077668
Urocitellus columbianus,52.887962,-118.060965
Urocitellus columbianus,47.951663,-116.603365
Urocitellus columbianus,48.695325,-113.717592
Urocitellus columbianus,49.006882,-120.884908
Urocitellus columbianus,52.885284,-118.055509
Urocitellus columbianus,52.871067,-118.062258
Urocitellus columbianus,49.630085,-121.016016
Urocitellus columbianus,49.062633,-120.828613
Urocitellus columbianus,50.737886,-115.915732
Urocitellus columbianus,49.092141,-120.877236
Urocitellus columbianus,49.116108,-119.141322
Urocitellus columbianus,49.588139,-120.773621
Urocitellus columbianus,52.221861,-117.193555
Urocitellus columbianus,46.509702,-114.099668
Urocitellus columbianus,47.452518,-113.592048
Urocitellus columbianus,51.163636,-115.558455
Urocitellus columbianus,51.163818,-115.558564
Urocitellus columbianus,51.163829,-115.55856
Urocitellus columbianus,48.786748,-113.73973
Urocitellus columbianus,49.062557,-120.766235
Urocitellus columbianus,44.945747,-116.136803
Urocitellus columbianus,49.588175,-120.775114
Urocitellus columbianus,46.473846,-114.883648
Urocitellus columbianus,45.29999,-117.776229
Urocitellus columbianus,49.588353,-120.774393
Urocitellus columbianus,49.063647,-120.786147
Urocitellus columbianus,48.611776,-113.745113
Urocitellus columbianus,50.636202,-116.050061
Urocitellus columbianus,48.778826,-113.678286
Urocitellus columbianus,48.629787,-114.247849
Urocitellus columbianus,51.182147,-115.603447
Urocitellus columbianus,51.021441,-118.170482
Urocitellus columbianus,50.454397,-118.735433
Urocitellus columbianus,49.045383,-113.914078
Urocitellus columbianus,51.165825,-115.565113
Urocitellus columbianus,48.768227,-114.278236
Urocitellus columbianus,49.75759,-117.140909
Urocitellus columbianus,50.490856,-114.805053
Urocitellus columbianus,49.507696,-115.175512
Urocitellus columbianus,48.826355,-113.729187
Urocitellus columbianus,49.508932,-115.176333
Urocitellus columbianus,52.889075,-118.078392
Urocitellus columbianus,51.165545,-115.564845
Urocitellus columbianus,48.642106,-116.597159
