name,latitude,longitude
Urocitellus parryii,60.73519,-135.068575
Urocitellus parryii,60.781465,-135.168368
Urocitellus parryii,61.611462,-139.579407
Urocitellus parryii,60.813658,-136.708487
Urocitellus parryii,60.754798,-137.532808
Urocitellus parryii,60.699074,-135.022474
Urocitellus parryii,60.709125,-135.037042
Urocitellus parryii,60.319718,-134.020325
Urocitellus parryii,62.19398,-133.253277
Urocitellus parryii,60.320917,-134.015578
Urocitellus parryii,60.824517,-135.939803
Urocitellus parryii,62.622987,-136.84217
Urocitellus parryii,60.752335,-135.106226
Urocitellus parryii,60.872576,-135.333941
Urocitellus parryii,61.481877,-135.777333
Urocitellus parryii,63.068748,-146.095856
Urocitellus parryii,53.884662,-166.533243
Urocitellus parryii,61.089115,-149.66404
Urocitellus parryii,64.477633,-165.235334
Urocitellus parryii,63.209891,-147.401841
Urocitellus parryii,67.180478,-135.859001
Urocitellus parryii,63.431377,-150.310984
Urocitellus parryii,63.7399,-149.280075
Urocitellus parryii,63.737392,-148.561879
Urocitellus parryii,60.694169,-135.038089
Urocitellus parryii,61.76806,-149.316988
Urocitellus parryii,63.744633,-149.29213
Urocitellus parryii,61.76798,-149.316852
Urocitellus parryii,60.553535,-137.240878
Urocitellus parryii,63.53514,-149.829645
Urocitellus parryii,63.748827,-149.291058
Urocitellus parryii,63.091315,-151.192606
Urocitellus parryii,59.803277,-136.616349
Urocitellus parryii,63.434139,-150.315708
Urocitellus parryii,64.522652,-165.281558
Urocitellus parryii,64.443218,-164.875065
Urocitellus parryii,63.196599,-150.831215
Urocitellus parryii,64.501111,-165.406389
Urocitellus parryii,61.246471,-149.532837
Urocitellus parryii,63.74065,-148.583466
Urocitellus parryii,60.749398,-135.224048
Urocitellus parryii,53.882909,-166.538041
Urocitellus parryii,64.510517,-138.166495
Urocitellus parryii,68.626653,-149.5931
Urocitellus parryii,65.299422,-96.399147
Urocitellus parryii,63.739513,-149.291458
Urocitellus parryii,61.245857,-149.535989
Urocitellus parryii,63.1148,-151.192606
Urocitellus parryii,63.426937,-150.427824
Urocitellus parryii,64.680817,-110.531443
Urocitellus parryii,64.423514,-138.32927
Urocitellus parryii,64.123128,-149.840636
Urocitellus parryii,61.068569,-149.123867
Urocitellus parryii,61.025334,-138.503915
Urocitellus parryii,61.767271,-149.35355
Urocitellus parryii,59.816463,-136.049793
Urocitellus parryii,61.779807,-149.374261
Urocitellus parryii,59.816286,-136.042428
Urocitellus parryii,60.166537,-134.59477
Urocitellus parryii,64.501228,-165.406389
Urocitellus parryii,60.876722,-135.325447
Urocitellus parryii,60.879878,-135.339478
Urocitellus parryii,63.746311,-149.291703
Urocitellus parryii,59.8152,-136.049425
Urocitellus parryii,60.171148,-134.606802
Urocitellus parryii,59.815213,-136.041368
Urocitellus parryii,61.655569,-149.214411
Urocitellus parryii,63.535672,-149.829044
Urocitellus parryii,63.435805,-150.315033
Urocitellus parryii,63.086596,-146.364055
Urocitellus parryii,60.876101,-135.333972
Urocitellus parryii,60.877271,-135.333629
Urocitellus parryii,60.871661,-135.338516
Urocitellus parryii,63.431109,-150.310892
Urocitellus parryii,61.790506,-149.280188
Urocitellus parryii,63.739636,-149.291676
Urocitellus parryii,63.740108,-149.287931
Urocitellus parryii,63.743183,-149.266862
Urocitellus parryii,68.604877,-141.169462
Urocitellus parryii,61.772479,-149.30298
Urocitellus parryii,59.209295,-154.963855
Urocitellus parryii,64.868896,-166.166574
Urocitellus parryii,63.553908,-149.657792
Urocitellus parryii,61.254013,-149.51503
Urocitellus parryii,61.839745,-149.162247
Urocitellus parryii,60.625735,-135.148835
Urocitellus parryii,68.347485,-149.336648
Urocitellus parryii,60.625512,-135.148148
Urocitellus parryii,60.625162,-135.147472
Urocitellus parryii,60.621848,-135.150951
Urocitellus parryii,64.496948,-165.384384
Urocitellus parryii,63.087165,-151.192606
Urocitellus parryii,63.551833,-149.708847
Urocitellus parryii,64.478066,-165.237945
Urocitellus parryii,64.478348,-165.216338
Urocitellus parryii,71.328366,-156.638518
Urocitellus parryii,63.744286,-149.290728
Urocitellus parryii,59.696345,-136.609527
Urocitellus parryii,59.838896,-136.642124
Urocitellus parryii,63.75083,-149.291472
Urocitellus parryii,63.385594,-148.721658
Urocitellus parryii,63.557117,-149.740342
Urocitellus parryii,61.250221,-149.519243
Urocitellus parryii,63.521949,-150.044254
Urocitellus parryii,63.430877,-150.311064
Urocitellus parryii,61.789375,-149.287217
Urocitellus parryii,63.700896,-149.574702
Urocitellus parryii,63.74453,-149.289712
Urocitellus parryii,60.723975,-135.069017
Urocitellus parryii,60.871533,-135.338283
Urocitellus parryii,60.720576,-135.079841
Urocitellus parryii,60.724705,-135.08265
Urocitellus parryii,60.717347,-135.066175
Urocitellus parryii,60.911423,-135.174648
Urocitellus parryii,60.699935,-135.042913
Urocitellus parryii,60.735332,-135.068425
Urocitellus parryii,60.576207,-134.67981
Urocitellus parryii,60.23769,-133.863355
Urocitellus parryii,60.329667,-134.989353
Urocitellus parryii,61.243508,-149.54449
Urocitellus parryii,60.685328,-135.050565
Urocitellus parryii,60.297753,-133.985604
Urocitellus parryii,66.942292,-136.249894
Urocitellus parryii,60.878187,-135.332443
Urocitellus parryii,64.591233,-138.223162
Urocitellus parryii,61.243676,-149.542114
Urocitellus parryii,61.245907,-149.536851
Urocitellus parryii,64.581379,-138.241792
Urocitellus parryii,64.581075,-138.244897
Urocitellus parryii,61.122688,-149.687042
Urocitellus parryii,60.735173,-135.068835
Urocitellus parryii,60.87259,-135.328535
Urocitellus parryii,60.601263,-136.210278
Urocitellus parryii,60.582778,-136.271111
Urocitellus parryii,61.243035,-149.549638
Urocitellus parryii,59.701672,-136.596557
Urocitellus parryii,60.873402,-135.328885
Urocitellus parryii,60.696792,-135.05658
Urocitellus parryii,59.668988,-136.556907
Urocitellus parryii,59.912658,-136.804509
Urocitellus parryii,65.115767,-135.098795
Urocitellus parryii,64.4375,-138.354714
Urocitellus parryii,64.867484,-111.592708
Urocitellus parryii,64.790162,-134.660161
Urocitellus parryii,63.431431,-150.311449
Urocitellus parryii,61.178078,-138.463256
Urocitellus parryii,60.240834,-135.064285
Urocitellus parryii,60.417244,-135.407974
Urocitellus parryii,60.2969,-133.984995
Urocitellus parryii,61.843267,-137.763933
Urocitellus parryii,60.415513,-135.410171
Urocitellus parryii,60.183758,-135.260994
Urocitellus parryii,61.769722,-149.308889
Urocitellus parryii,60.843752,-135.308835
Urocitellus parryii,60.863136,-135.710206
Urocitellus parryii,63.314316,-151.082055
Urocitellus parryii,60.693351,-135.043044
Urocitellus parryii,60.557462,-136.06341
Urocitellus parryii,60.566852,-136.062347
Urocitellus parryii,60.297171,-133.985547
Urocitellus parryii,60.619979,-135.13739
Urocitellus parryii,60.740718,-135.091934
Urocitellus parryii,68.881111,-166.21
Urocitellus parryii,62.906361,-149.613669
Urocitellus parryii,60.477917,-134.860672
Urocitellus parryii,61.378447,-139.13147
Urocitellus parryii,60.178887,-134.685943
Urocitellus parryii,55.202976,-162.717545
Urocitellus parryii,60.772147,-136.056981
Urocitellus parryii,60.771387,-136.056154
Urocitellus parryii,60.77227,-136.055488
Urocitellus parryii,61.257317,-149.524087
Urocitellus parryii,60.669543,-134.893795
Urocitellus parryii,60.788436,-136.418397
