name,latitude,longitude
Ursus arctos,56.955091,-135.141903
Ursus arctos,56.964679,-135.15091
Ursus arctos,57.107142,-135.378134
Ursus arctos,51.088181,-115.265865
Ursus arctos,50.227815,-115.961867
Ursus arctos,45.062713,-110.603296
Ursus arctos,57.150182,-135.569063
Ursus arctos,49.447091,-114.159903
Ursus arctos,57.046922,-135.314962
Ursus arctos,43.877774,-110.764009
Ursus arctos,53.936442,-122.07088
Ursus arctos,58.471958,-154.098033
Ursus arctos,51.457955,-116.302182
Ursus arctos,57.108167,-135.393558
Ursus arctos,57.145569,-135.588556
Ursus arctos,43.81939,-110.730305
Ursus arctos,43.875361,-110.67384
Ursus arctos,44.822064,-110.260159
Ursus arctos,63.712126,-149.093646
Ursus arctos,43.639526,-110.131451
Ursus arctos,43.889091,-110.746345
Ursus arctos,43.970221,-110.695487
Ursus arctos,57.130921,-135.364493
Ursus arctos,44.918603,-110.325663
Ursus arctos,55.18347,-120.810527
Ursus arctos,50.613664,-114.802219
Ursus arctos,43.853759,-110.636265
Ursus arctos,44.961238,-110.615093
Ursus arctos,43.653649,-110.197867
Ursus arctos,43.949402,-110.535905
Ursus arctos,43.831157,-110.630101
Ursus arctos,59.866731,-153.119038
Ursus arctos,60.511239,-134.857838
Ursus arctos,52.946428,-118.023743
Ursus arctos,43.859637,-110.149948
Ursus arctos,59.858563,-153.151666
Ursus arctos,48.553432,-113.215591
Ursus arctos,52.329991,-126.589585
Ursus arctos,58.557963,-155.777588
Ursus arctos,44.820656,-110.385857
Ursus arctos,58.571,-155.826858
Ursus arctos,58.497786,-155.75757
Ursus arctos,68.032386,-149.670139
Ursus arctos,51.350682,-115.858745
Ursus arctos,58.414525,-155.719276
Ursus arctos,44.980194,-110.215588
Ursus arctos,43.853101,-110.518768
Ursus arctos,50.286388,-114.773178
Ursus arctos,60.864789,-135.969979
Ursus arctos,58.467483,-155.771606
Ursus arctos,44.190417,-110.690318
Ursus arctos,58.552803,-155.778275
Ursus arctos,58.404118,-155.61987
Ursus arctos,61.166667,-150.0475
Ursus arctos,60.915019,-138.163086
Ursus arctos,44.931114,-110.621337
Ursus arctos,52.057935,-116.472545
Ursus arctos,49.501792,-114.195476
Ursus arctos,44.504062,-110.237139
Ursus arctos,43.920244,-110.493555
Ursus arctos,43.932516,-110.748839
Ursus arctos,69.277431,-148.896725
Ursus arctos,50.732775,-115.039527
Ursus arctos,44.489473,-110.752482
Ursus arctos,68.75953,-149.551872
Ursus arctos,44.922244,-110.677177
Ursus arctos,47.82885,-112.464292
Ursus arctos,54.749806,-124.318688
Ursus arctos,43.737378,-110.641116
Ursus arctos,44.916761,-110.179215
Ursus arctos,52.939731,-118.172379
Ursus arctos,57.079622,-135.457882
Ursus arctos,44.675499,-110.909107
Ursus arctos,60.158157,-132.096799
Ursus arctos,50.359039,-114.571544
Ursus arctos,68.660506,-149.265033
Ursus arctos,57.131422,-135.364756
Ursus arctos,48.639776,-113.649604
Ursus arctos,44.409592,-110.08867
Ursus arctos,50.75706,-115.063428
Ursus arctos,57.1319,-135.3667
Ursus arctos,43.966602,-110.277097
Ursus arctos,60.890366,-135.929978
Ursus arctos,67.155654,-136.143266
Ursus arctos,48.680603,-113.745391
Ursus arctos,50.566415,-116.270176
Ursus arctos,50.687341,-115.07422
Ursus arctos,44.496805,-110.309926
Ursus arctos,44.121609,-110.705258
Ursus arctos,59.86241,-153.170312
Ursus arctos,57.063365,-135.347218
Ursus arctos,48.814879,-113.504887
Ursus arctos,43.946632,-110.797645
Ursus arctos,63.091315,-151.192606
Ursus arctos,63.568847,-150.135132
