name,latitude,longitude
Vulpes vulpes,40.822083,-74.835388
Vulpes vulpes,38.411853,-75.060938
Vulpes vulpes,39.115817,-77.111105
Vulpes vulpes,45.519315,-73.531549
Vulpes vulpes,36.840989,-119.864281
Vulpes vulpes,43.071916,-72.654381
Vulpes vulpes,43.067391,-89.445114
Vulpes vulpes,40.309562,-75.1739
Vulpes vulpes,41.494918,-81.786806
Vulpes vulpes,39.848537,-105.156089
Vulpes vulpes,39.165804,-76.847064
Vulpes vulpes,44.991956,-93.382845
Vulpes vulpes,39.587901,-104.955672
Vulpes vulpes,43.629399,-79.327263
Vulpes vulpes,43.162326,-79.56555
Vulpes vulpes,38.935386,-77.357748
Vulpes vulpes,38.782475,-77.28909
Vulpes vulpes,39.103213,-77.197423
Vulpes vulpes,38.998582,-77.55823
Vulpes vulpes,40.811883,-74.485328
Vulpes vulpes,38.782491,-77.289079
Vulpes vulpes,42.387791,-71.124151
Vulpes vulpes,44.99499,-93.369294
Vulpes vulpes,36.845133,-119.861748
Vulpes vulpes,38.761058,-75.085808
Vulpes vulpes,38.917113,-77.279367
Vulpes vulpes,44.035153,-73.423142
Vulpes vulpes,36.84055,-119.868931
Vulpes vulpes,39.189854,-76.83329
Vulpes vulpes,39.952179,-75.384396
Vulpes vulpes,38.908062,-106.972375
Vulpes vulpes,40.459701,-74.427376
Vulpes vulpes,44.474996,-78.298077
Vulpes vulpes,60.700678,-135.095491
Vulpes vulpes,60.725262,-135.065614
Vulpes vulpes,43.552708,-80.25328
Vulpes vulpes,44.085071,-77.241731
Vulpes vulpes,43.453713,-80.511376
Vulpes vulpes,40.682215,-75.310782
Vulpes vulpes,38.646827,-78.772785
Vulpes vulpes,43.819283,-70.263358
Vulpes vulpes,41.637201,-70.341466
Vulpes vulpes,34.408059,-86.923358
Vulpes vulpes,45.507451,-75.337894
Vulpes vulpes,42.277635,-85.132327
Vulpes vulpes,41.391274,-88.444302
Vulpes vulpes,38.918858,-77.2854
Vulpes vulpes,40.102197,-104.810433
Vulpes vulpes,38.919287,-77.120667
Vulpes vulpes,40.804712,-73.464455
Vulpes vulpes,40.003222,-75.1874
Vulpes vulpes,41.894757,-72.933358
Vulpes vulpes,39.4634,-77.142276
Vulpes vulpes,41.916284,-70.644902
Vulpes vulpes,43.373013,-80.312014
Vulpes vulpes,44.207416,-76.341166
Vulpes vulpes,44.26539,-72.595823
Vulpes vulpes,45.21605,-75.8595
Vulpes vulpes,39.119942,-77.223955
Vulpes vulpes,38.929928,-77.347306
Vulpes vulpes,41.375883,-72.632097
Vulpes vulpes,41.996254,-87.743988
Vulpes vulpes,44.394225,-73.276897
Vulpes vulpes,40.30995,-83.157877
Vulpes vulpes,38.997307,-77.105194
Vulpes vulpes,43.523187,-72.524262
Vulpes vulpes,44.885364,-93.111444
Vulpes vulpes,44.936601,-92.98292
Vulpes vulpes,45.031662,-93.416483
Vulpes vulpes,48.49673,-89.448465
Vulpes vulpes,38.871606,-77.140639
Vulpes vulpes,40.060553,-75.246253
Vulpes vulpes,46.145538,-60.188795
Vulpes vulpes,44.075211,-73.314103
Vulpes vulpes,45.042544,-93.43386
Vulpes vulpes,45.236941,-75.877016
Vulpes vulpes,46.709265,-121.641414
Vulpes vulpes,60.58994,-134.894604
Vulpes vulpes,60.716328,-135.050067
Vulpes vulpes,38.942275,-77.354924
Vulpes vulpes,46.265595,-64.56655
Vulpes vulpes,41.306019,-72.656702
Vulpes vulpes,43.084084,-89.208165
Vulpes vulpes,39.207115,-75.636697
Vulpes vulpes,40.017621,-75.407611
Vulpes vulpes,43.799228,-79.150392
Vulpes vulpes,38.934172,-77.04573
Vulpes vulpes,32.582879,-85.478316
Vulpes vulpes,41.915267,-70.64631
Vulpes vulpes,43.366955,-80.095795
Vulpes vulpes,45.054452,-93.442247
Vulpes vulpes,40.170973,-75.690504
Vulpes vulpes,46.928044,-95.05254
Vulpes vulpes,45.420921,-74.029687
Vulpes vulpes,39.577305,-77.103241
Vulpes vulpes,45.588119,-94.029845
Vulpes vulpes,45.112012,-76.704431
Vulpes vulpes,46.18049,-59.953062
Vulpes vulpes,44.301425,-73.296845
Vulpes vulpes,43.966632,-70.304
Vulpes vulpes,38.996297,-77.234533
Vulpes vulpes,45.480107,-76.07669
Vulpes vulpes,54.603223,-124.222913
Vulpes vulpes,46.542622,-84.579464
