species,occurrences,AUC,J,cutoff
Alces_alces,988,0.966848128964579,0.818825910931174,0.5298783323937509
Antilocapra_americana,1030,0.9214294466962014,0.6893203883495147,0.6133148588183083
Antrozous_pallidus,572,0.9454404860873393,0.784965034965035,0.5145134999070139
Aplodontia_rufa,239,0.9757269655643284,0.8912133891213387,0.5841554973867392
Bison_bison,224,0.9693977200255102,0.875,0.5226090638629385
Blarina_brevicauda,1062,0.9282662318547601,0.6958568738229753,0.519160985440425
Callospermophilus_lateralis,553,0.9649765049426275,0.8390596745027126,0.5458845613572392
Callospermophilus_saturatus,75,0.9463111111111111,0.8266666666666667,0.30332676045214046
Canis_latrans,896,0.9478554239078445,0.7433035714285714,0.5742281494874111
Canis_lupus,896,0.9359081034757653,0.7154017857142856,0.6175519241074813
Canis_rufus,896,0.9397284060108418,0.7433035714285714,0.5666501966830819
Castor_canadensis,1024,0.9531393051147461,0.76953125,0.538311894040301
Cervus_elaphus,601,0.9597564790795152,0.8302828618968385,0.4736000453606695
Condylura_cristata,913,0.9581036482882641,0.7940854326396494,0.6019946664492274
Corynorhinus_townsendii,622,0.9539875001292377,0.7893890675241158,0.557738797978766
Cryptotis_parva,588,0.9512269193391643,0.7806122448979591,0.5672611258142166
Cynomys_ludovicianus,250,0.9658159999999999,0.8680000000000001,0.5935985474222512
Dama_dama,65,0.9892307692307692,0.9230769230769231,0.34751023871082204
Dama_mesopotamica,65,0.9798816568047337,0.9076923076923078,0.259909077505194
Dicrostonyx_groenlandicus,151,0.9534011666154993,0.814569536423841,0.5520770976438361
Dicrostonyx_hudsonius,54,0.9478737997256516,0.8148148148148149,0.309855789985349
Dicrostonyx_richardsoni,12,0.9722222222222222,0.8333333333333335,0.48521176126339943
Didelphis_virginiana,975,0.937148717948718,0.724102564102564,0.6256252453772965
Dipodomys_ordii,201,0.9634414989727977,0.855721393034826,0.5354867476508018
Eptesicus_fuscus,1155,0.9476010569517063,0.7567099567099567,0.5320142821397853
Erethizon_dorsatum,981,0.9682037198099258,0.8154943934760448,0.4671898192872397
Euderma_maculatum,70,0.9490816326530613,0.842857142857143,0.4660601332293859
Geomys_bursarius,352,0.9635322507747933,0.8380681818181819,0.5125188752799386
Glaucomys_sabrinus,766,0.9548372747786134,0.7924281984334205,0.46952862349846836
Glaucomys_volans,829,0.919870904093324,0.683956574185766,0.5762955232353384
Gulo_gulo,850,0.9526961937716263,0.7870588235294118,0.4897732107570085
Ictidomys_tridecemlineatus,724,0.941124736729648,0.7430939226519337,0.6256236446597604
Lasionycteris_noctivagans,773,0.9287632901499342,0.7179818887451488,0.5450738920229847
Lasiurus_blossevillii,200,0.9727250000000002,0.9100000000000001,0.4376514171285676
Lasiurus_borealis,796,0.9459372869371985,0.7525125628140703,0.4580983406737327
Lasiurus_cinereus,709,0.9439614785520043,0.7559943582510578,0.5298416492624414
Lemmiscus_curtatus,121,0.9679325182706099,0.9008264462809918,0.597874786690809
Lemmus_trimucronatus,190,0.9517728531855956,0.831578947368421,0.47683081195613797
Lepus_americanus,878,0.9687975103906683,0.8154897494305238,0.5008538845306356
Lepus_arcticus,131,0.9287046209428356,0.7938931297709924,0.5227973840588316
Lepus_europaeus,74,0.993791088385683,0.9594594594594597,0.4541264037372578
Lepus_townsendii,571,0.9587275833407454,0.777583187390543,0.6229498398179425
Lontra_canadensis,1039,0.958427395113203,0.7661212704523581,0.6012934127821637
Lynx_canadensis,673,0.9697767199715628,0.8528974739970283,0.5969090875718825
Lynx_rufus,851,0.9186289441743383,0.6968272620446534,0.4601886408290714
Marmota_broweri,28,0.9170918367346939,0.8214285714285716,0.5901964248625198
Marmota_caligata,468,0.9592464752721164,0.8226495726495728,0.5118302138127054
Marmota_flaviventris,527,0.9481454943488077,0.7685009487666035,0.5045147814699183
Marmota_monax,985,0.9760813213429874,0.8619289340101524,0.6485521470629101
Marmota_vancouverensis,14,0.9081632653061225,0.7857142857142856,0.23558179588908795
Martes_americana,299,0.9795472086441985,0.9063545150501673,0.5583485657781758
Martes_pennanti,657,0.9854673588957694,0.9071537290715372,0.4672638151377833
Mephitis_mephitis,986,0.9272903817748684,0.6896551724137931,0.4648224935103307
Microtus_chrotorrhinus,122,0.9753090567051869,0.8442622950819674,0.4015955879389099
Microtus_longicaudus,252,0.977749433106576,0.8968253968253967,0.5869870728718083
Microtus_miurus,132,0.9259067952249771,0.7878787878787878,0.4582752289980263
Microtus_montanus,298,0.9769830187829377,0.8691275167785235,0.5581116588256375
Microtus_ochrogaster,211,0.9576155072886953,0.8293838862559242,0.6340530094875828
Microtus_oeconomus,201,0.956461473725898,0.8159203980099503,0.5452970252260216
Microtus_oregoni,244,0.9778873286750873,0.901639344262295,0.5443724534116546
Microtus_pennsylvanicus,588,0.9802816534777177,0.8843537414965987,0.42379102240120137
Microtus_pinetorum,486,0.9532993784822775,0.8148148148148149,0.5531820464284516
Microtus_richardsoni,204,0.9582011726259131,0.8431372549019609,0.568289025337804
Microtus_townsendii,195,0.9951084812623274,0.953846153846154,0.41672425401234814
Microtus_xanthognathus,54,0.9746227709190671,0.9074074074074074,0.6366499840436823
Mus_musculus,529,0.9486583452746381,0.7844990548204158,0.5742150844913363
Mustela_erminea,1039,0.9374046452083842,0.7353224254090471,0.5248953177104504
Mustela_frenata,1191,0.9504959883142602,0.7598656591099915,0.5467008999564374
Mustela_nigripes,100,0.93485,0.8600000000000001,0.3658349339558745
Mustela_nivalis,485,0.9616622382824955,0.8309278350515465,0.45267359144561775
Mustela_subpalmata,485,0.962325433095972,0.8103092783505155,0.5117059603143821
Myodes_gapperi,203,0.9666456356621127,0.8768472906403941,0.4512128512047142
Myodes_rutilus,47,0.9576731552738795,0.8936170212765959,0.6513864353244438
Myotis_californicus,617,0.968006693127461,0.8282009724473256,0.570927294568036
Myotis_ciliolabrum,587,0.9248437903583897,0.7018739352640546,0.5048052062118488
Myotis_evotis,606,0.9420876493589954,0.7673267326732673,0.5388617832783873
Myotis_keenii,185,0.9760116873630387,0.8864864864864865,0.47633885902003903
Myotis_leibii,205,0.9639143367043426,0.8439024390243901,0.592803541082867
Myotis_lucifugus,574,0.9414494530709367,0.7630662020905925,0.5848163488375375
Myotis_melanorhinus,587,0.9311139423453647,0.7342419080068143,0.5429791563905069
Myotis_septentrionalis,251,0.9694131839177156,0.8884462151394423,0.5546174076158394
Myotis_thysanodes,421,0.9564124553573947,0.8147268408551069,0.49222860947228353
Myotis_volans,438,0.949604887304268,0.773972602739726,0.5209794964212362
Myotis_yumanensis,465,0.9515897791652215,0.778494623655914,0.48058746574293887
Napaeozapus_insignis,125,0.976128,0.9039999999999999,0.5267795973160946
Neotoma_cinerea,702,0.9605380638144171,0.7905982905982905,0.5692876351821036
Neovison_vison,615,0.9549514178068609,0.7918699186991871,0.5548554531890036
Neurotrichus_gibbsii,303,0.9636582470128201,0.8481848184818481,0.6356100794703243
Nyctinomops_macrotis,207,0.9632546850568275,0.8599033816425121,0.48880462109107875
Ochotona_collaris,178,0.9594274712788788,0.8707865168539326,0.3769937561170695
Ochotona_princeps,416,0.9770450027736686,0.8894230769230771,0.5200185061264738
Odocoileus_hemionus,552,0.9651809625078764,0.8278985507246377,0.5058633938179125
Odocoileus_virginianus,830,0.9497931484976048,0.7590361445783134,0.47345126334424603
Ondatra_zibethicus,911,0.9655286467025175,0.8210757409440177,0.5006032197839654
Onychomys_leucogaster,126,0.9785840262030738,0.8888888888888888,0.497483564552053
Oreamnos_americanus,445,0.9711602070445651,0.8606741573033707,0.4795677603689198
Ovibos_moschatus,295,0.9747313990232691,0.8508474576271188,0.4183573694288111
Ovis_canadensis,567,0.9458224076095916,0.7813051146384478,0.5401196160006307
Ovis_dalli,361,0.9804252576330752,0.9058171745152355,0.5932139350889316
Parascalops_breweri,439,0.9926707520197592,0.9476082004555808,0.5803692594204112
Perognathus_fasciatus,202,0.9614008430546024,0.8712871287128714,0.4585846563727387
Perognathus_parvus,163,0.9504874101396364,0.803680981595092,0.423431738561205
Peromyscus_keeni,63,0.9855127236079617,0.873015873015873,0.2799430575227351
Peromyscus_leucopus,240,0.9658854166666667,0.8541666666666665,0.4392147434044561
Peromyscus_maniculatus,356,0.9594590329503849,0.8398876404494382,0.5727201902632991
Phenacomys_intermedius,354,0.9710013086916276,0.8700564971751414,0.49759871989642457
Phenacomys_ungava,76,0.9351627423822715,0.8026315789473684,0.35176061690698
Pipistrellus_subflavus,727,0.9462205479737157,0.7510316368638239,0.5444547299613596
Poliocitellus_franklinii,343,0.9488903433093354,0.8104956268221573,0.5125767281829201
Procyon_lotor,907,0.948166228853375,0.7563395810363835,0.5210133965823676
Puma_concolor,595,0.9702224419179436,0.850420168067227,0.5352582725469314
Rangifer_tarandus,889,0.9580727324719955,0.7817772778402698,0.5211862377469777
Reithrodontomys_megalotis,213,0.9721395666644626,0.887323943661972,0.5522005445143134
Scalopus_aquaticus,727,0.8975950231680759,0.6437414030261348,0.5311222088062509
Scapanus_orarius,218,0.9793157141654742,0.9174311926605505,0.5064514777999799
Scapanus_townsendii,150,0.965,0.9266666666666667,0.3449388226908768
Sciurus_carolinensis,656,0.9640536696906603,0.8064024390243902,0.5689902586081702
Sciurus_niger,483,0.9564510114064528,0.7950310559006211,0.5528595403550891
Sorex_arcticus,258,0.9657622739018087,0.8449612403100775,0.47836189327464373
Sorex_bendirii,158,0.9577992308924852,0.8481012658227849,0.4208345424551154
Sorex_cinereus,377,0.9838456613358287,0.8859416445623343,0.5528623034679094
Sorex_dispar,50,0.968,0.8599999999999999,0.4622526000412537
Sorex_fumeus,205,0.9685782272456871,0.8439024390243901,0.49930615707552223
Sorex_haydeni,349,0.9568599600988498,0.8108882521489971,0.6240799699571579
Sorex_hoyi,540,0.9380195473251028,0.7685185185185186,0.5570087932145152
Sorex_merriami,156,0.9621342866535174,0.8653846153846154,0.3523025403382073
Sorex_monticolus,252,0.9575302343159486,0.8174603174603177,0.44139920888752426
Sorex_palustris,641,0.9666046860283147,0.8205928237129485,0.501942556310907
Sorex_preblei,37,0.9868517165814463,0.945945945945946,0.49540893171039924
Sorex_rohweri,29,0.8870392390011891,0.8275862068965516,0.2922780790386334
Sorex_trowbridgii,157,0.979268935859467,0.9171974522292994,0.5510852841592623
Sorex_tundrensis,218,0.9624610723003113,0.8256880733944953,0.4508948464925068
Sorex_ugyunak,81,0.9751562261850327,0.9012345679012346,0.46258587141304436
Sorex_vagrans,211,0.9889265739763258,0.9478672985781991,0.5674516343277268
Spilogale_putorius,651,0.9391931590534237,0.7511520737327189,0.5454750894844254
Sylvilagus_floridanus,878,0.950870688715812,0.7596810933940774,0.563204761741062
Sylvilagus_nuttallii,771,0.9236173144180836,0.6900129701686122,0.5968142389170333
Sylvilagus_transitionalis,90,0.9993827160493828,0.9777777777777779,0.535761834509862
Synaptomys_borealis,353,0.9597179978974232,0.821529745042493,0.4944004708155577
Synaptomys_cooperi,485,0.9347667127218621,0.7381443298969073,0.5660477054087364
Tamias_amoenus,391,0.9615190900111852,0.8388746803069054,0.5849630080812803
Tamias_minimus,607,0.955908416090151,0.8039538714991763,0.5316657230306219
Tamias_striatus,818,0.9540257112284121,0.7848410757946209,0.56903293413681
Tamias_townsendii,320,0.9479443359375,0.7843749999999998,0.5646333839344957
Tamiasciurus_douglasii,463,0.9725030204927019,0.8812095032397407,0.6451154718611972
Tamiasciurus_hudsonicus,665,0.9757883430380462,0.8511278195488723,0.5705396395682364
Taxidea_taxus,1330,0.8729303521962802,0.5706766917293233,0.502011541854641
Thomomys_talpoides,454,0.9429593044693281,0.7907488986784141,0.5639112473922645
Urocitellus_columbianus,403,0.9914475183025571,0.9280397022332507,0.5007910777465621
Urocitellus_parryii,421,0.9490213889562797,0.7933491686460807,0.5385308777170307
Urocitellus_richardsonii,409,0.9768921754413233,0.880195599022005,0.46108371859924635
Urocyon_cinereoargenteus,799,0.9460926596292926,0.7459324155193992,0.5078058139292829
Ursus_americanus,1149,0.9480196576127424,0.7484769364664925,0.45780601997320364
Ursus_arctos,713,0.9607125926246486,0.8078541374474053,0.5381431176516026
Ursus_maritimus,325,0.9816047337278107,0.8984615384615384,0.4378711727365856
Vulpes_lagopus,250,0.9756639999999999,0.8759999999999999,0.476908843625498
Vulpes_velox,265,0.9673264506941972,0.8339622641509434,0.49242644896029414
Vulpes_vulpes,915,0.966887037534713,0.8218579234972676,0.48719450433595124
Zapus_hudsonius,592,0.9550766983199417,0.7922297297297298,0.4676511847181689
Zapus_princeps,329,0.974418196432036,0.884498480243161,0.4933815731733695
Zapus_trinotatus,309,0.9912286214011166,0.964401294498382,0.5355304138938147
